Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | CDU+CSU | SPD | FDP | Linke | Grüne | Piraten | AfD | FW | Other
GMS | N/A | 2021-09-08 | 2021-09-13 | N | 1003 | N/A | 1 | 23 | 25 | 13 | 6 | 16 | N/A | 11 | N/A | 6
Forsa | N/A | 2021-09-07 | 2021-09-13 | N | 2501 | 75.0 | 1 | 21 | 25 | 11 | 6 | 17 | N/A | 11 | 3 | 6
INSA and YouGov | N/A | 2021-09-06 | 2021-09-10 | N | 1152 | N/A | 1 | 20 | 26 | 13 | 6 | 15 | N/A | 11 | N/A | 9
Forschungsgruppe Wahlen | N/A | 2021-09-07 | 2021-09-09 | N | 1281 | 75.0 | 1 | 22 | 25 | 11 | 6 | 17 | N/A | 11 | 3 | 5
YouGov | N/A | 2021-09-03 | 2021-09-07 | N | 1700 | N/A | 1 | 21 | 26 | 10 | 6 | 15 | N/A | 12 | N/A | 10
Kantar | N/A | 2021-09-01 | 2021-09-07 | N | 1901 | N/A | 1 | 21 | 25 | 12 | 6 | 17 | N/A | 12 | N/A | 7
Allensbach | N/A | 2021-09-01 | 2021-09-07 | N | 1258 | N/A | 0.5 | 25 | 27 | 9.5 | 6 | 15.5 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-09-03 | 2021-09-06 | N | 2052 | N/A | 0.5 | N/A | 26 | 12.5 | 6.5 | 15.5 | N/A | 11 | 3 | 5
GMS | N/A | 2021-09-01 | 2021-09-06 | N | 1004 | N/A | 1 | 23 | 25 | 12 | 6 | 17 | N/A | 11 | N/A | 6
Forsa | N/A | 2021-08-31 | 2021-09-06 | N | 2505 | 78.0 | 1 | 19 | 25 | 13 | 6 | 17 | N/A | 11 | N/A | 9
INSA and YouGov | N/A | 2021-08-30 | 2021-09-03 | N | 1427 | N/A | 1 | 20 | 25 | 13 | 7 | 16 | N/A | 12 | N/A | 7
Forschungsgruppe Wahlen | N/A | 2021-08-31 | 2021-09-02 | N | 1301 | 71.0 | 1 | 22 | 25 | 11 | 7 | 17 | N/A | 11 | N/A | 7
Trend Research | N/A | 2021-08-30 | 2021-09-02 | N | 1065 | N/A | 1 | 20 | 26 | 13 | 7 | 15 | N/A | 12 | N/A | 7
Infratest dimap | N/A | 2021-08-30 | 2021-09-01 | N | 1337 | N/A | 1 | 20 | 25 | 13 | 6 | 16 | N/A | 12 | N/A | 8
YouGov | N/A | 2021-08-27 | 2021-08-31 | N | 1729 | N/A | 1 | 20 | 25 | 13 | 8 | 15 | N/A | 12 | N/A | 8
Kantar | N/A | 2021-08-25 | 2021-08-31 | N | 1439 | N/A | 1 | 21 | 25 | 11 | 7 | 19 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-08-27 | 2021-08-30 | N | 2015 | N/A | 0.5 | N/A | 25 | 13.5 | 7 | 16.5 | N/A | 11 | N/A | 7
Forsa | N/A | 2021-08-24 | 2021-08-30 | N | 2508 | 76.0 | 1 | 21 | 23 | 12 | 6 | 18 | N/A | 11 | N/A | 9
Ipsos | N/A | 2021-08-28 | 2021-08-29 | N | 2001 | N/A | 1 | 21 | 25 | 11 | 7 | 19 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-08-23 | 2021-08-27 | N | 1247 | N/A | 1 | 21 | 24 | 13 | 6 | 17 | N/A | 11 | N/A | 8
Forschungsgruppe Wahlen | N/A | 2021-08-24 | 2021-08-26 | N | 1300 | 73.0 | 1 | 22 | 22 | 10 | 6 | 20 | N/A | 11 | 3 | 6
Allensbach | N/A | 2021-08-18 | 2021-08-26 | N | 1038 | N/A | 0.5 | 26 | 24 | 10.5 | 6 | 17 | N/A | 10.5 | N/A | 6
YouGov | N/A | 2021-08-20 | 2021-08-24 | N | 1689 | N/A | 1 | 22 | 24 | 13 | 8 | 16 | N/A | 11 | N/A | 7
Kantar | N/A | 2021-08-18 | 2021-08-24 | N | 1919 | N/A | 1 | 23 | 23 | 12 | 7 | 18 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-08-20 | 2021-08-23 | N | 2119 | N/A | 1 | N/A | 23 | 13 | 7 | 17 | N/A | 11 | N/A | 6
Forsa | N/A | 2021-08-16 | 2021-08-23 | N | 2504 | 74.0 | 1 | 22 | 23 | 12 | 6 | 18 | N/A | 10 | N/A | 9
INSA and YouGov | N/A | 2021-08-16 | 2021-08-20 | N | 1352 | N/A | 1 | 22 | 22 | 13 | 7 | 17 | N/A | 12 | N/A | 7
Infratest dimap | N/A | 2021-08-17 | 2021-08-18 | N | 1219 | N/A | 1 | 23 | 21 | 13 | 7 | 17 | N/A | 11 | N/A | 8
Trend Research | N/A | 2021-08-12 | 2021-08-18 | N | 1096 | N/A | 1 | 23 | 21 | 13 | 7 | 17 | N/A | 12 | N/A | 8
Kantar | N/A | 2021-08-11 | 2021-08-17 | N | 1920 | N/A | 1 | 22 | 21 | 12 | 7 | 19 | N/A | 11 | N/A | 8
Allensbach | N/A | 2021-08-05 | 2021-08-17 | N | 1018 | N/A | 0.5 | 27.5 | 19.5 | 11 | 7.5 | 17.5 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-08-13 | 2021-08-16 | N | 2080 | N/A | 0.5 | N/A | 20 | 12.5 | 6.5 | 17.5 | N/A | 11 | N/A | 7.5
Forsa | N/A | 2021-08-10 | 2021-08-16 | N | 2501 | 74.0 | 1 | 23 | 21 | 12 | 6 | 19 | N/A | 10 | N/A | 9
INSA and YouGov | N/A | 2021-08-09 | 2021-08-13 | N | 1450 | N/A | 1 | 25 | 20 | 12 | 7 | 18 | N/A | 11 | 3 | 4
Forschungsgruppe Wahlen | N/A | 2021-08-10 | 2021-08-12 | N | 1252 | N/A | 1 | 26 | 19 | 11 | 7 | 19 | N/A | 11 | N/A | 7
Kantar | N/A | 2021-08-04 | 2021-08-10 | N | 1446 | N/A | 1 | 22 | 19 | 12 | 7 | 21 | N/A | 11 | N/A | 8
INSA and YouGov | N/A | 2021-08-06 | 2021-08-09 | N | 2118 | N/A | 0.5 | N/A | 17.5 | 12.5 | 6.5 | 17.5 | N/A | 11.5 | 3.5 | 5.5
Forsa | N/A | 2021-08-03 | 2021-08-09 | N | 2509 | 74.0 | 1 | 23 | 19 | 12 | 7 | 20 | N/A | 10 | N/A | 9
INSA and YouGov | N/A | 2021-08-02 | 2021-08-06 | N | 2002 | N/A | 1 | 26 | 18 | 12 | 7 | 18 | N/A | 11 | N/A | 8
Infratest dimap | N/A | 2021-08-02 | 2021-08-04 | N | 1312 | N/A | 1 | 27 | 18 | 12 | 6 | 19 | N/A | 10 | N/A | 8
Kantar | N/A | 2021-07-28 | 2021-08-03 | N | 1413 | N/A | 1 | 24 | 18 | 13 | 6 | 22 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-07-30 | 2021-08-02 | N | 2080 | N/A | 0.5 | N/A | 18 | 13 | 7 | 18 | N/A | 11 | N/A | 5.5
Forsa | N/A | 2021-07-27 | 2021-08-02 | N | 2502 | 75.0 | 1 | 26 | 16 | 13 | 6 | 20 | N/A | 10 | N/A | 9
Ipsos | N/A | 2021-07-21 | 2021-07-31 | N | 2002 | N/A | 1 | 27 | 18 | 10 | 7 | 20 | N/A | 11 | N/A | 7
INSA and YouGov | N/A | 2021-07-26 | 2021-07-30 | N | 1196 | N/A | 1 | 27 | 17 | 13 | 6 | 18 | N/A | 11 | N/A | 8
Forschungsgruppe Wahlen | N/A | 2021-07-27 | 2021-07-29 | N | 1268 | 73.0 | 1 | 28 | 16 | 10 | 7 | 21 | N/A | 11 | 3 | 4
GMS | N/A | 2021-07-21 | 2021-07-27 | N | 1003 | N/A | 1 | 30 | 15 | 12 | 7 | 18 | N/A | 10 | N/A | 8
Kantar | N/A | 2021-07-20 | 2021-07-27 | N | 1441 | N/A | 1 | 27 | 17 | 13 | 6 | 19 | N/A | 11 | N/A | 7
INSA and YouGov | N/A | 2021-07-23 | 2021-07-26 | N | 2007 | N/A | 0.5 | N/A | 17.5 | 13 | 6 | 17.5 | N/A | 12 | N/A | 7
YouGov | N/A | 2021-07-23 | 2021-07-26 | N | 1748 | N/A | 1 | 28 | 16 | 12 | 8 | 16 | N/A | 12 | N/A | 8
Forsa | N/A | 2021-07-20 | 2021-07-26 | N | 2501 | 75.0 | 1 | 26 | 15 | 13 | 7 | 21 | N/A | 10 | N/A | 8
INSA and YouGov | N/A | 2021-07-19 | 2021-07-23 | N | 1316 | N/A | 1 | 27 | 17 | 13 | 7 | 18 | N/A | 11 | N/A | 7
Allensbach | N/A | 2021-07-03 | 2021-07-22 | N | 1243 | N/A | 0.5 | 30 | 16 | 12 | 7 | 19.5 | N/A | 9.5 | N/A | 6
Infratest dimap | N/A | 2021-07-20 | 2021-07-21 | N | 1188 | N/A | 1 | 29 | 16 | 12 | 6 | 19 | N/A | 10 | 3 | 5
Kantar | N/A | 2021-07-14 | 2021-07-20 | N | 1421 | N/A | 1 | 28 | 16 | 12 | 7 | 19 | N/A | 11 | N/A | 7
INSA and YouGov | N/A | 2021-07-16 | 2021-07-19 | N | 2064 | N/A | 0.5 | N/A | 16.5 | 12 | 6 | 18 | N/A | 11.5 | N/A | 7
Forsa | N/A | 2021-07-13 | 2021-07-19 | N | 2503 | 78.0 | 1 | 28 | 16 | 12 | 7 | 19 | N/A | 10 | N/A | 8
INSA and YouGov | N/A | 2021-07-12 | 2021-07-16 | N | 1354 | N/A | 1 | 28 | 17 | 12 | 7 | 18 | N/A | 11 | N/A | 7
Forschungsgruppe Wahlen | N/A | 2021-07-13 | 2021-07-15 | N | 1224 | N/A | 1 | 30 | 15 | 10 | 7 | 20 | N/A | 10 | N/A | 8
Allensbach | N/A | 2021-07-03 | 2021-07-14 | N | 1028 | N/A | 0.5 | 31.5 | 16.5 | 12 | 6.5 | 18 | N/A | 9.5 | N/A | 6
Kantar | N/A | 2021-07-07 | 2021-07-13 | N | 1495 | N/A | 1 | 28 | 15 | 11 | 8 | 20 | N/A | 11 | N/A | 7
INSA and YouGov | N/A | 2021-07-09 | 2021-07-12 | N | 2087 | N/A | 0.5 | N/A | 17 | 12.5 | 7 | 17 | N/A | 11 | N/A | 7.5
Forsa | N/A | 2021-07-06 | 2021-07-12 | N | 2502 | 78.0 | 1 | 30 | 15 | 12 | 7 | 19 | N/A | 9 | N/A | 8
INSA and YouGov | N/A | 2021-07-05 | 2021-07-09 | N | 1352 | N/A | 1 | 28 | 17 | 12 | 8 | 17 | N/A | 11 | N/A | 7
Kantar | N/A | 2021-06-29 | 2021-07-06 | N | 1405 | N/A | 1 | 29 | 15 | 11 | 8 | 19 | N/A | 11 | N/A | 7
INSA and YouGov | N/A | 2021-07-02 | 2021-07-05 | N | 2056 | N/A | 0.5 | N/A | 16.5 | 12.5 | 7 | 18 | N/A | 10 | N/A | 7
Forsa | N/A | 2021-06-29 | 2021-07-05 | N | 2505 | 78.0 | 1 | 30 | 15 | 11 | 7 | 19 | N/A | 10 | N/A | 8
INSA and YouGov | N/A | 2021-06-28 | 2021-07-02 | N | 1352 | N/A | 1 | 28 | 17 | 12 | 7 | 18 | N/A | 10 | N/A | 8
Infratest dimap | N/A | 2021-06-28 | 2021-06-30 | N | 1317 | N/A | 1 | 28 | 15 | 11 | 7 | 20 | N/A | 11 | N/A | 8
Kantar | N/A | 2021-06-23 | 2021-06-29 | N | 1418 | N/A | 1 | 28 | 16 | 10 | 7 | 20 | N/A | 11 | N/A | 8
INSA and YouGov | N/A | 2021-06-25 | 2021-06-28 | N | 2060 | N/A | 0.5 | N/A | 16 | 13 | 7.5 | 18 | N/A | 11 | N/A | 5
YouGov | N/A | 2021-06-25 | 2021-06-28 | N | 1648 | N/A | 1 | 30 | 15 | 11 | 7 | 19 | N/A | 11 | N/A | 7
Forsa | N/A | 2021-06-22 | 2021-06-28 | N | 2501 | 78.0 | 1 | 30 | 14 | 12 | 7 | 20 | N/A | 9 | N/A | 8
Ipsos | N/A | 2021-06-21 | 2021-06-27 | N | 2002 | N/A | 1 | 28 | 15 | 11 | 8 | 21 | N/A | 10 | N/A | 7
INSA and YouGov | N/A | 2021-06-21 | 2021-06-25 | N | 1203 | N/A | 1 | 28 | 17 | 12 | 7 | 19 | N/A | 11 | N/A | 6
Forschungsgruppe Wahlen | N/A | 2021-06-22 | 2021-06-24 | N | 1271 | 76.0 | 1 | 29 | 14 | 10 | 7 | 22 | N/A | 10 | N/A | 8
Infratest dimap | N/A | 2021-06-22 | 2021-06-23 | N | 1217 | N/A | 1 | 28 | 15 | 11 | 6 | 21 | N/A | 12 | 3 | 4
Kantar | N/A | 2021-06-15 | 2021-06-22 | N | 1430 | N/A | 1 | 28 | 17 | 11 | 7 | 19 | N/A | 10 | N/A | 7
INSA and YouGov | N/A | 2021-06-18 | 2021-06-21 | N | 2082 | N/A | 0.5 | N/A | 15.5 | 14 | 7 | 19 | N/A | 10.5 | N/A | 5.5
GMS | N/A | 2021-06-16 | 2021-06-21 | N | 1002 | N/A | 1 | 28 | 16 | 12 | 8 | 20 | N/A | 10 | N/A | 6
Forsa | N/A | 2021-06-15 | 2021-06-21 | N | 2502 | 76.0 | 1 | 29 | 15 | 13 | 6 | 21 | N/A | 9 | N/A | 7
INSA and YouGov | N/A | 2021-06-14 | 2021-06-18 | N | 1502 | N/A | 1 | 28 | 16 | 13 | 6 | 20 | N/A | 11 | N/A | 6
Kantar | N/A | 2021-06-09 | 2021-06-15 | N | 1413 | N/A | 1 | 27 | 17 | 12 | 7 | 20 | N/A | 10 | N/A | 7
INSA and YouGov | N/A | 2021-06-11 | 2021-06-14 | N | 2038 | N/A | 0.5 | N/A | 16.5 | 13.5 | 6 | 19.5 | N/A | 11 | N/A | 6
Forsa | N/A | 2021-06-08 | 2021-06-14 | N | 2501 | 76.0 | 1 | 28 | 14 | 14 | 7 | 21 | N/A | 9 | N/A | 7
INSA and YouGov | N/A | 2021-06-07 | 2021-06-11 | N | 1401 | N/A | 1 | 27 | 16 | 13 | 7 | 20 | N/A | 11 | N/A | 6
Redfield & Wilton Strategies | N/A | 2021-06-08 | 2021-06-09 | N | 1500 | N/A | 1 | 23 | 18 | 14 | 12 | 15 | N/A | 13 | N/A | 6
Infratest dimap | N/A | 2021-06-07 | 2021-06-09 | N | 1316 | N/A | 1 | 28 | 14 | 12 | 7 | 20 | N/A | 12 | N/A | 7
Forschungsgruppe Wahlen | N/A | 2021-06-07 | 2021-06-09 | N | 1232 | N/A | 1 | 28 | 15 | 10 | 7 | 22 | N/A | 11 | 3 | 4
Allensbach | N/A | 2021-05-28 | 2021-06-09 | N | 1070 | N/A | 0.5 | 29.5 | 17 | 11 | 7 | 21.5 | N/A | 9 | N/A | 5
Kantar | N/A | 2021-06-02 | 2021-06-08 | N | 1421 | N/A | 1 | 26 | 16 | 13 | 7 | 21 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-06-04 | 2021-06-07 | N | 2015 | N/A | 0.5 | N/A | 15.5 | 13.5 | 7 | 20.5 | N/A | 11 | N/A | 6
Forsa | N/A | 2021-06-01 | 2021-06-07 | N | 2501 | 76.0 | 1 | 27 | 14 | 14 | 6 | 22 | N/A | 9 | N/A | 8
INSA and YouGov | N/A | 2021-05-31 | 2021-06-04 | N | 1380 | N/A | 1 | 26 | 17 | 12 | 6 | 21 | N/A | 12 | N/A | 6
Kantar | N/A | 2021-05-26 | 2021-06-01 | N | 1419 | N/A | 1 | 24 | 16 | 13 | 7 | 22 | N/A | 11 | N/A | 7
INSA and YouGov | N/A | 2021-05-28 | 2021-05-31 | N | 2040 | N/A | 0.5 | N/A | 15.5 | 13.5 | 6.5 | 21.5 | N/A | 11 | N/A | 6.5
Forsa | N/A | 2021-05-25 | 2021-05-31 | N | 2500 | 74.0 | 1 | 25 | 14 | 14 | 6 | 24 | N/A | 9 | N/A | 8
INSA and YouGov | N/A | 2021-05-25 | 2021-05-28 | N | 1301 | N/A | 1 | 25 | 16 | 13 | 7 | 22 | N/A | 12 | N/A | 5
INSA and YouGov | N/A | 2021-05-21 | 2021-05-25 | N | 2128 | N/A | 0.5 | N/A | 16 | 12.5 | 6.5 | 22 | N/A | 11.5 | N/A | 5.5
Kantar | N/A | 2021-05-19 | 2021-05-25 | N | 1422 | N/A | 1 | 25 | 15 | 12 | 7 | 23 | N/A | 12 | N/A | 6
Ipsos | N/A | 2021-05-18 | 2021-05-25 | N | 2014 | N/A | 1 | 25 | 13 | 11 | 9 | 23 | N/A | 13 | N/A | 6
YouGov | N/A | 2021-05-21 | 2021-05-24 | N | 1706 | N/A | 1 | 26 | 15 | 12 | 7 | 22 | N/A | 11 | N/A | 7
Forsa | N/A | 2021-05-18 | 2021-05-21 | N | 2004 | 76.0 | 1 | 24 | 14 | 13 | 6 | 25 | N/A | 10 | N/A | 8
INSA and YouGov | N/A | 2021-05-17 | 2021-05-21 | N | 1405 | N/A | 1 | 24 | 17 | 13 | 6 | 23 | N/A | 12 | N/A | 5
Forschungsgruppe Wahlen | N/A | 2021-05-18 | 2021-05-20 | N | 1229 | N/A | 1 | 24 | 14 | 11 | 7 | 25 | N/A | 11 | 3 | 5
Kantar | N/A | 2021-05-11 | 2021-05-18 | N | 1445 | N/A | 1 | 26 | 14 | 11 | 8 | 24 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-05-14 | 2021-05-17 | N | 2023 | N/A | 0.5 | N/A | 16 | 12.5 | 6.5 | 23 | N/A | 11 | N/A | 5.5
Forsa | N/A | 2021-05-11 | 2021-05-17 | N | 2001 | 76.0 | 1 | 24 | 15 | 11 | 6 | 26 | N/A | 10 | N/A | 8
GMS | N/A | 2021-05-11 | 2021-05-17 | N | 1005 | N/A | 1 | 26 | 15 | 11 | 7 | 24 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-05-10 | 2021-05-14 | N | 1350 | N/A | 1 | 25 | 16 | 11 | 7 | 24 | N/A | 12 | N/A | 5
Allensbach | N/A | 2021-05-01 | 2021-05-13 | N | 1027 | N/A | 0.5 | 27.5 | 16 | 10 | 6.5 | 24 | N/A | 10 | N/A | 6
Infratest dimap | N/A | 2021-05-10 | 2021-05-11 | N | 1198 | N/A | 1 | 24 | 15 | 12 | 7 | 25 | N/A | 11 | N/A | 6
Kantar | N/A | 2021-05-06 | 2021-05-11 | N | 1428 | N/A | 1 | 24 | 15 | 11 | 8 | 25 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-05-07 | 2021-05-10 | N | 2055 | N/A | 0.5 | N/A | 15 | 12 | 7.5 | 23.5 | N/A | 11 | N/A | 5.5
Forsa | N/A | 2021-05-04 | 2021-05-10 | N | 2501 | 76.0 | 1 | 24 | 15 | 11 | 6 | 27 | N/A | 10 | N/A | 7
Redfield & Wilton Strategies | N/A | 2021-05-05 | 2021-05-06 | N | 1271 | N/A | 1 | 22 | 16 | 12 | 11 | 21 | N/A | 11 | N/A | 7
Forschungsgruppe Wahlen | N/A | 2021-05-04 | 2021-05-06 | N | 1271 | 75.0 | 1 | 25 | 14 | 10 | 7 | 26 | N/A | 11 | N/A | 7
Infratest dimap | N/A | 2021-05-03 | 2021-05-05 | N | 1351 | N/A | 1 | 23 | 14 | 11 | 6 | 26 | N/A | 12 | 3 | 5
Kantar | N/A | 2021-04-29 | 2021-05-05 | N | 1910 | N/A | 1 | 23 | 16 | 12 | 7 | 26 | N/A | 10 | N/A | 6
INSA and YouGov | N/A | 2021-04-30 | 2021-05-03 | N | 2075 | N/A | 1 | N/A | 15 | 12 | 7 | 24 | N/A | 12 | N/A | 6
Forsa | N/A | 2021-04-27 | 2021-05-03 | N | 2508 | 74.0 | 1 | 23 | 14 | 12 | 6 | 28 | N/A | 10 | N/A | 7
Kantar | N/A | 2021-04-22 | 2021-04-28 | N | 1442 | N/A | 1 | 24 | 15 | 11 | 7 | 27 | N/A | 10 | N/A | 6
INSA and YouGov | N/A | 2021-04-23 | 2021-04-26 | N | 2082 | N/A | 1 | N/A | 16 | 12 | 8 | 23 | N/A | 12 | N/A | 6
YouGov | N/A | 2021-04-23 | 2021-04-26 | N | 1643 | N/A | 1 | 24 | 14 | 11 | 8 | 25 | N/A | 11 | N/A | 7
Forsa | N/A | 2021-04-20 | 2021-04-26 | N | 2507 | 75.0 | 1 | 22 | 13 | 12 | 7 | 28 | N/A | 11 | N/A | 7
INSA and YouGov | N/A | 2021-04-23 | 2021-04-23 | N | 1000 | N/A | 1 | 24 | 17 | 12 | 8 | 23 | N/A | 11 | N/A | 5
Kantar | N/A | 2021-04-15 | 2021-04-21 | N | 1225 | N/A | 1 | 27 | 13 | 9 | 7 | 28 | N/A | 10 | N/A | 6
INSA and YouGov | N/A | 2021-04-20 | 2021-04-20 | N | 1000 | N/A | 1 | 27 | 16 | 11 | 7 | 22 | N/A | 12 | N/A | 5
Forsa | N/A | 2021-04-19 | 2021-04-20 | N | 1502 | 75.0 | 1 | 21 | 13 | 12 | 7 | 28 | N/A | 11 | N/A | 8
INSA and YouGov | N/A | 2021-04-16 | 2021-04-19 | N | 3057 | N/A | 1 | N/A | 16 | 11 | 7 | 21 | N/A | 12 | N/A | 5
Forsa | N/A | 2021-04-13 | 2021-04-16 | N | 2003 | N/A | 1 | 28 | 15 | 10 | 6 | 23 | N/A | 11 | N/A | 7
INSA and YouGov | N/A | 2021-04-15 | 2021-04-15 | N | 1007 | N/A | 1 | 28 | 18 | 10 | 8 | 20 | N/A | 12 | N/A | 4
Forschungsgruppe Wahlen | N/A | 2021-04-13 | 2021-04-15 | N | 1292 | N/A | 1 | 31 | 14 | 9 | 7 | 21 | N/A | 11 | N/A | 7
Allensbach | N/A | 2021-04-06 | 2021-04-15 | N | 1051 | N/A | 0.5 | 28 | 16.5 | 10 | 7.5 | 23 | N/A | 9.5 | N/A | 5.5
Infratest dimap | N/A | 2021-04-13 | 2021-04-14 | N | 1174 | N/A | 1 | 28 | 15 | 11 | 7 | 21 | N/A | 11 | N/A | 7
Kantar | N/A | 2021-04-08 | 2021-04-14 | N | 1437 | N/A | 1 | 29 | 15 | 9 | 8 | 22 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-04-09 | 2021-04-12 | N | 3174 | N/A | 0.5 | N/A | 17 | 10 | 7 | 20.5 | N/A | 12 | N/A | 6
Forsa | N/A | 2021-04-06 | 2021-04-12 | N | 2500 | 77.0 | 1 | 27 | 15 | 9 | 8 | 23 | N/A | 11 | N/A | 7
Kantar | N/A | 2021-03-31 | 2021-04-07 | N | 1448 | N/A | 1 | 27 | 15 | 9 | 9 | 22 | N/A | 11 | N/A | 7
INSA and YouGov | N/A | 2021-03-30 | 2021-04-01 | N | 3020 | N/A | 1 | N/A | 17 | 10 | 7 | 21 | N/A | 12 | N/A | 6
Forsa | N/A | 2021-03-30 | 2021-04-01 | N | 1501 | 79.0 | 1 | 27 | 15 | 10 | 7 | 23 | N/A | 10 | N/A | 8
Kantar | BamS | 2021-03-25 | 2021-03-31 | N | 1429 | N/A | 1 | 26 | 16 | 9 | 9 | 23 | N/A | 10 | N/A | 7
Infratest dimap | ARD | 2021-03-29 | 2021-03-30 | N | 1348 | N/A | 1 | 27 | 16 | 9 | 7 | 22 | N/A | 11 | N/A | 8
INSA and YouGov | N/A | 2021-03-26 | 2021-03-29 | N | 3049 | N/A | 0.5 | N/A | 18 | 10.5 | 7 | 21 | N/A | 11 | N/A | 6.5
YouGov | N/A | 2021-03-25 | 2021-03-29 | N | 2054 | N/A | 1 | 27 | 17 | 10 | 8 | 21 | N/A | 11 | N/A | 6
GMS | N/A | 2021-03-24 | 2021-03-29 | N | 1003 | N/A | 1 | 26 | 16 | 11 | 8 | 21 | N/A | 11 | N/A | 7
Forsa | N/A | 2021-03-23 | 2021-03-29 | N | 2503 | 78.0 | 1 | 27 | 15 | 10 | 7 | 23 | N/A | 11 | N/A | 7
Forschungsgruppe Wahlen | N/A | 2021-03-23 | 2021-03-25 | N | 1030 | 75.0 | 1 | 28 | 15 | 9 | 7 | 23 | N/A | 12 | N/A | 6
Kantar | N/A | 2021-03-18 | 2021-03-24 | N | 1447 | N/A | 1 | 25 | 17 | 10 | 9 | 23 | N/A | 10 | N/A | 6
INSA and YouGov | N/A | 2021-03-19 | 2021-03-22 | N | 3104 | N/A | 0.5 | N/A | 18 | 10.5 | 7 | 20 | N/A | 11 | N/A | 5.5
Forsa | N/A | 2021-03-16 | 2021-03-22 | N | 2511 | 79.0 | 1 | 26 | 16 | 10 | 8 | 22 | N/A | 10 | N/A | 8
Allensbach | N/A | 2021-03-08 | 2021-03-21 | N | 1006 | N/A | 0.5 | 28.5 | 18 | 8.5 | 8.5 | 21.5 | N/A | 10 | N/A | 5
Infratest dimap | N/A | 2021-03-15 | 2021-03-17 | N | 1207 | N/A | 1 | 29 | 17 | 9 | 7 | 20 | N/A | 11 | N/A | 7
Kantar | N/A | 2021-03-11 | 2021-03-17 | N | 1942 | N/A | 1 | 27 | 17 | 10 | 8 | 22 | N/A | 10 | N/A | 6
INSA and YouGov | N/A | 2021-03-12 | 2021-03-15 | N | 2068 | N/A | 0.5 | N/A | 17 | 10.5 | 8 | 17 | N/A | 11.5 | N/A | 6.5
Forsa | N/A | 2021-03-09 | 2021-03-15 | N | 2501 | 78.0 | 1 | 29 | 16 | 8 | 8 | 21 | N/A | 10 | N/A | 8
Kantar | N/A | 2021-03-04 | 2021-03-10 | N | 2378 | N/A | 1 | 31 | 16 | 8 | 8 | 19 | N/A | 11 | N/A | 7
INSA and YouGov | N/A | 2021-03-05 | 2021-03-08 | N | 2049 | N/A | 0.5 | N/A | 17 | 10.5 | 9 | 17 | N/A | 11.5 | N/A | 5
Forsa | N/A | 2021-03-02 | 2021-03-08 | N | 2510 | 78.0 | 1 | 33 | 16 | 8 | 8 | 18 | N/A | 10 | N/A | 7
Kantar | N/A | 2021-02-25 | 2021-03-03 | N | 2410 | N/A | 1 | 32 | 16 | 9 | 9 | 19 | N/A | 10 | N/A | 5
Infratest dimap | N/A | 2021-03-01 | 2021-03-02 | N | 1296 | N/A | 1 | 33 | 16 | 7 | 7 | 20 | N/A | 11 | N/A | 6
INSA and YouGov | N/A | 2021-02-26 | 2021-03-01 | N | 2032 | N/A | 0.5 | N/A | 17 | 10 | 8 | 17 | N/A | 11 | N/A | 4.5
Forsa | N/A | 2021-02-25 | 2021-03-01 | N | 2501 | 76.0 | 1 | 34 | 16 | 7 | 8 | 19 | N/A | 9 | N/A | 7
Forschungsgruppe Wahlen | N/A | 2021-02-23 | 2021-02-25 | N | 1202 | 75.0 | 1 | 35 | 16 | 7 | 7 | 19 | N/A | 10 | N/A | 6
Kantar | N/A | 2021-02-18 | 2021-02-24 | N | 1869 | N/A | 1 | 34 | 16 | 8 | 9 | 18 | N/A | 9 | N/A | 6
INSA and YouGov | N/A | 2021-02-19 | 2021-02-22 | N | 2075 | N/A | 0.5 | 33.5 | 16 | 9 | 8 | 17 | N/A | 11 | N/A | 5.5
YouGov | N/A | 2021-02-18 | 2021-02-22 | N | 1619 | N/A | 1 | 33 | 16 | 8 | 8 | 18 | N/A | 11 | N/A | 6
Forsa | N/A | 2021-02-16 | 2021-02-22 | N | 2505 | 77.0 | 1 | 35 | 16 | 8 | 7 | 19 | N/A | 8 | N/A | 7
Infratest dimap | N/A | 2021-02-15 | 2021-02-17 | N | 1025 | N/A | 1 | 33 | 16 | 8 | 6 | 20 | N/A | 11 | N/A | 6
Kantar | N/A | 2021-02-11 | 2021-02-17 | N | 1905 | N/A | 1 | 34 | 16 | 8 | 8 | 19 | N/A | 9 | N/A | 6
Allensbach | N/A | 2021-02-04 | 2021-02-17 | N | 1082 | N/A | 0.5 | 37 | 15 | 7 | 7 | 20 | N/A | 9.5 | N/A | 4.5
