Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Ensemble | RN | LFI | LR | PS | DLF | LÉ | UDI | Agir | PCF | LP | UPR | NPA | G·s | RES | LO | GJ | REC | Other
OpinionWay–Tilder | Cnews, Europe1 and JDD | 2024-05-05 | 2024-05-06 | E | 1026 | N/A | 1 | 16 | 31 | 7 | 7 | 14 | N/A | 7 | N/A | N/A | 3 | 1 | 1 | 0 | N/A | N/A | 1 | N/A | 7 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-05-02 | 2024-05-06 | E | 1325 | N/A | 0.5 | 16 | 32 | 8 | 8 | 13 | N/A | 6.5 | N/A | N/A | 3 | 1 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-04-30 | 2024-05-03 | E | 2043 | N/A | 0.5 | 15 | 31 | 8.5 | 7 | 14 | N/A | 5.5 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
ELABE | BFMTV and La Tribune Dimanche | 2024-04-30 | 2024-05-03 | E | 1375 | N/A | 0.5 | 16.5 | 32 | 8.5 | 6.5 | 12 | N/A | 8 | N/A | N/A | 2 | 1 | 0.5 | 0.5 | N/A | N/A | 1 | N/A | 5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-30 | 2024-05-03 | E | 1345 | N/A | 0.5 | 16.5 | 31.5 | 7.5 | 7.5 | 13.5 | N/A | 6.5 | N/A | N/A | 3 | 1 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-29 | 2024-05-02 | E | 1375 | N/A | 0.5 | 16.5 | 31 | 7.5 | 7.5 | 13.5 | N/A | 7 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 0 | N/A | 6.5 | N/A
OpinionWay–Tilder | Les Echos and Radio Classique | 2024-04-29 | 2024-05-02 | E | 1075 | N/A | 1 | 17 | 31 | 6 | 7 | 14 | N/A | 7 | N/A | N/A | 2 | 2 | 1 | N/A | N/A | N/A | 0 | N/A | 7 | N/A
Cluster17 | Le Point | 2024-04-29 | 2024-05-01 | E | 1337 | N/A | 0.5 | 15.5 | 29.5 | 8 | 6 | 13 | N/A | 6 | N/A | N/A | 2.5 | 2 | 1 | 0.5 | N/A | N/A | 1 | N/A | 5.5 | N/A
OpinionWay–Tilder | Cnews, Europe1 and JDD | 2024-04-29 | 2024-04-30 | E | 1009 | N/A | 1 | 17 | 29 | 7 | 7 | 14 | N/A | 7 | N/A | N/A | 4 | 1 | 1 | N/A | N/A | N/A | 1 | N/A | 8 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-26 | 2024-04-30 | E | 1360 | N/A | 0.5 | 16 | 31.5 | 7 | 7.5 | 14 | N/A | 7 | N/A | N/A | 3 | 1 | 0.5 | 0.5 | N/A | N/A | 0 | N/A | 6.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-25 | 2024-04-29 | E | 1345 | N/A | 0.5 | 16 | 31.5 | 7 | 8 | 14.5 | N/A | 7.5 | N/A | N/A | 2.5 | 0.5 | 0.5 | 0.5 | N/A | N/A | 0 | N/A | 6 | N/A
BVA | RTL | 2024-04-25 | 2024-04-26 | E | 1434 | N/A | 0.5 | 17 | 31 | 6.5 | 6 | 13 | 1 | 8 | N/A | N/A | 1.5 | 1 | 1 | 1 | N/A | N/A | 1 | N/A | 5.5 | N/A
Odoxa | Public Sénat | 2024-04-25 | 2024-04-26 | E | 1005 | N/A | 0.5 | 15.5 | 32 | 7 | 8 | 12 | N/A | 7 | N/A | N/A | 2.5 | 1.5 | 1 | 1 | N/A | N/A | 1.5 | N/A | 5.5 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-04-24 | 2024-04-26 | E | 2319 | N/A | 0.5 | 16 | 31 | 9 | 7 | 13 | N/A | 6 | N/A | N/A | 2 | 1 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-23 | 2024-04-26 | E | 1345 | N/A | 0.5 | 16.5 | 31.5 | 7.5 | 8 | 14 | N/A | 8 | N/A | N/A | 2 | 0.5 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
OpinionWay–Tilder | Les Echos and Radio Classique | 2024-04-24 | 2024-04-25 | E | 1011 | N/A | 1 | 18 | 29 | 6 | 7 | 14 | N/A | 6 | N/A | N/A | 3 | 2 | 1 | N/A | N/A | N/A | 1 | N/A | 8 | N/A
Cluster17 | Le Point | 2024-04-23 | 2024-04-25 | E | 1164 | N/A | 0.5 | 16 | 29.5 | 8 | 6 | 12.5 | N/A | 6.5 | N/A | N/A | 3 | 1.5 | 1 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-22 | 2024-04-25 | E | 1350 | N/A | 0.5 | 17.5 | 31 | 7.5 | 8 | 13 | N/A | 8 | N/A | N/A | 2.5 | 0 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
OpinionWay–Tilder | Cnews, Europe1 and JDD | 2024-04-23 | 2024-04-24 | E | 1007 | N/A | 1 | 18 | 30 | 8 | 6 | 13 | N/A | 7 | N/A | N/A | 3 | 1 | 1 | N/A | N/A | N/A | 1 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-20 | 2024-04-24 | E | 1335 | N/A | 0.5 | 17.5 | 31 | 7 | 8.5 | 12.5 | N/A | 7.5 | N/A | N/A | 2.5 | 0.5 | 0 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
Ipsos | Le Parisien and Radio France | 2024-04-19 | 2024-04-24 | E | 10651 | N/A | 0.5 | 17 | 32 | 7 | 6.5 | 14 | N/A | 6.5 | N/A | N/A | 2.5 | 1 | 1 | 1 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-19 | 2024-04-23 | E | 1335 | N/A | 0.5 | 17 | 31.5 | 7 | 8 | 12 | N/A | 7.5 | N/A | N/A | 2.5 | 0.5 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-04-19 | 2024-04-22 | E | 2319 | N/A | 0.5 | 16 | 31 | 8 | 7 | 13 | N/A | 6 | N/A | N/A | 3 | 1 | 1.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-18 | 2024-04-22 | E | 1371 | N/A | 0.5 | 17 | 31.5 | 7 | 8 | 12 | N/A | 7.5 | N/A | N/A | 2 | 1 | 0 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-16 | 2024-04-19 | E | 1371 | N/A | 0.5 | 17.5 | 31.5 | 8 | 8 | 11.5 | N/A | 7.5 | N/A | N/A | 2 | 1 | 0 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
OpinionWay–Tilder | Les Echos and Radio Classique | 2024-04-17 | 2024-04-18 | E | 1021 | N/A | 1 | 19 | 29 | 7 | 7 | 13 | N/A | 7 | N/A | N/A | 3 | 1 | 1 | N/A | N/A | N/A | 0 | N/A | 7 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-15 | 2024-04-18 | E | 1376 | N/A | 0.5 | 17.5 | 32 | 8 | 8 | 11.5 | N/A | 7.5 | N/A | N/A | 2.5 | 1 | 0 | 0.5 | N/A | N/A | 1 | N/A | 5.5 | N/A
OpinionWay–Tilder | Cnews | 2024-04-16 | 2024-04-17 | E | 1002 | N/A | 1 | 19 | 29 | 8 | 7 | 12 | N/A | 6 | N/A | N/A | 4 | N/A | 1 | N/A | N/A | N/A | 1 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-13 | 2024-04-17 | E | 1364 | N/A | 0.5 | 17.5 | 32.5 | 7.5 | 8 | 11.5 | N/A | 7.5 | N/A | N/A | 2.5 | 1 | 0 | 0.5 | N/A | N/A | 0.5 | N/A | 5.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-12 | 2024-04-16 | E | 1349 | N/A | 0.5 | 18 | 32.5 | 7 | 8 | 12 | N/A | 7.5 | N/A | N/A | 3 | 0.5 | 0 | 0 | N/A | N/A | 0.5 | N/A | 6 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-04-12 | 2024-04-15 | E | 2005 | N/A | 0.5 | 16 | 30 | 8 | 7 | 14 | N/A | 6 | N/A | N/A | 3 | 1 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-11 | 2024-04-15 | E | 1326 | N/A | 0.5 | 18 | 32.5 | 7.5 | 8 | 12 | N/A | 7 | N/A | N/A | 3 | 1 | 0 | 0 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-09 | 2024-04-12 | E | 1347 | N/A | 0.5 | 18 | 31.5 | 8 | 8.5 | 12.5 | N/A | 6.5 | N/A | N/A | 3 | 0.5 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ipsos | Le Parisien and Radio France | 2024-04-10 | 2024-04-11 | E | 1500 | N/A | 0.5 | 16 | 32 | 7 | 6.5 | 13 | N/A | 7 | N/A | N/A | 3 | 1 | 1 | 0.5 | N/A | N/A | 1 | N/A | 6.5 | N/A
Cluster17 | Le Point | 2024-04-09 | 2024-04-11 | E | 1164 | N/A | 0.5 | 17 | 29 | 8.5 | 6 | 12 | N/A | 6 | N/A | N/A | 2.5 | 1.5 | 1.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-08 | 2024-04-11 | E | 1355 | N/A | 0.5 | 18 | 31 | 8 | 8.5 | 12.5 | N/A | 6 | N/A | N/A | 3 | 0.5 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-06 | 2024-04-10 | E | 1343 | N/A | 0.5 | 18.5 | 31.5 | 8 | 8.5 | 12 | N/A | 5.5 | N/A | N/A | 2.5 | 0.5 | 0.5 | 0.5 | N/A | N/A | 0.5 | N/A | 6.5 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-05 | 2024-04-09 | E | 1335 | N/A | 0.5 | 18.5 | 32 | 7.5 | 8 | 12 | N/A | 5.5 | N/A | N/A | 3 | 1 | 0.5 | 0.5 | N/A | N/A | 1 | N/A | 6.5 | N/A
YouGov | HuffPost | 2024-04-03 | 2024-04-09 | E | 1028 | N/A | 1 | 19 | 29 | 5 | 7 | 12 | 2 | 6 | N/A | N/A | 2 | N/A | N/A | N/A | N/A | N/A | 2 | N/A | 9 | 2
Harris Interactive | Challenges, M6 and RTL | 2024-04-05 | 2024-04-08 | E | 2018 | N/A | 0.5 | 17 | 30 | 9 | 7 | 12 | N/A | 6 | N/A | N/A | 3 | 0.5 | 0.5 | N/A | N/A | N/A | 1 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-04-04 | 2024-04-08 | E | 1343 | N/A | 0.5 | 19 | 32 | 7.5 | 7.5 | 11 | N/A | 6.5 | N/A | N/A | 3 | 1 | 0.5 | 0.5 | N/A | N/A | 1 | N/A | 6 | N/A
Ifop–Fiducial | JDD | 2024-04-05 | 2024-04-07 | E | 1348 | N/A | 0.5 | 19 | 32 | 7.5 | 7.5 | 11 | N/A | 6.5 | N/A | N/A | 3 | 0 | 0.5 | N/A | N/A | N/A | N/A | N/A | 6 | N/A
OpinionWay–Tilder | Cnews | 2024-04-03 | 2024-04-05 | E | 1509 | N/A | 1 | 19 | 29 | 7 | 8 | 12 | N/A | 7 | N/A | N/A | 2 | N/A | 1 | N/A | N/A | N/A | 1 | N/A | 7 | 2
ELABE | BFMTV and La Tribune Dimanche | 2024-04-02 | 2024-04-04 | E | 1504 | N/A | 0.5 | 16.5 | 30 | 7.5 | 7 | 12 | N/A | 8.5 | N/A | N/A | 2.5 | 0.5 | 0.5 | N/A | N/A | N/A | 1.5 | N/A | 5.5 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-03-28 | 2024-03-29 | E | 2220 | N/A | 0.5 | 17 | 31 | 8 | 7 | 13 | N/A | 6 | N/A | N/A | 3 | 1 | 0.5 | N/A | N/A | N/A | 1 | N/A | 6 | N/A
BVA | RTL | 2024-03-27 | 2024-03-28 | E | 1518 | N/A | 0.5 | 20 | 30 | 7 | 8 | 11 | 3 | 6 | N/A | N/A | 2.5 | 1 | 1 | 0.5 | N/A | N/A | 1 | N/A | 5.5 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-03-22 | 2024-03-25 | E | 2027 | N/A | 0.5 | 18 | 30 | 7 | 7 | 12 | 2 | 7 | N/A | N/A | 3 | 0.5 | 0.5 | N/A | N/A | N/A | 1 | N/A | 6 | N/A
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-03-19 | 2024-03-20 | E | 1112 | N/A | 0.5 | 21 | 30 | 6 | 7 | 11 | 2 | 7 | N/A | N/A | 3 | 0.5 | 0.5 | N/A | N/A | N/A | 0.5 | N/A | 6 | N/A
Harris Interactive | Challenges, M6 and RTL | 2024-03-15 | 2024-03-18 | E | 2124 | N/A | 0.5 | 18 | 30 | 8 | 7 | 13 | 2 | 7 | N/A | N/A | 2 | N/A | 0.5 | N/A | N/A | N/A | 1 | N/A | 6 | 1.5
OpinionWay–Tilder | Les Echos and Radio Classique | 2024-03-13 | 2024-03-14 | E | 1008 | N/A | 1 | 20 | 27 | 6 | 8 | 11 | 3 | 8 | N/A | N/A | 2 | N/A | 1 | N/A | N/A | N/A | 1 | N/A | 6 | 3
Cluster17 | Le Point | 2024-03-08 | 2024-03-09 | E | 1016 | N/A | 0.5 | 17 | 29.5 | 8 | 7 | 10 | 3 | 8 | N/A | N/A | 3 | N/A | 1 | N/A | N/A | N/A | 0.5 | N/A | 6 | N/A
ELABE | BFMTV and La Tribune Dimanche | 2024-03-05 | 2024-03-07 | E | 1504 | N/A | 0.5 | 17 | 29.5 | 7.5 | 7 | 8.5 | 3 | 9.5 | N/A | N/A | 3 | N/A | 0.5 | N/A | N/A | N/A | 1.5 | N/A | 4.5 | 3
YouGov | HuffPost | 2024-02-26 | 2024-03-07 | E | 1008 | N/A | 1 | 20 | 33 | 6 | 6 | 10 | 3 | 7 | N/A | N/A | 2 | N/A | N/A | N/A | N/A | N/A | 1 | N/A | 5 | 3
Ipsos | CEVIPOF, Fondation Jean Jaurès, Institut Montaigne and Le Monde | 2024-03-01 | 2024-03-06 | E | 11700 | N/A | 0.5 | 18 | 31 | 7 | 7 | 11.5 | 2.5 | 8.5 | N/A | N/A | 3.5 | 0.5 | 0.5 | N/A | N/A | N/A | N/A | N/A | 5 | 1.5
Ipsos | Euronews | 2024-02-23 | 2024-03-05 | E | 2000 | N/A | 0.1 | 18.1 | 30.7 | 7 | 7.6 | 12.2 | 2.5 | 8.1 | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.5 | 5.4
Ifop–Fiducial | JDD | 2024-02-29 | 2024-03-01 | E | 1348 | N/A | 0.5 | 19 | 29 | 8 | 8 | 9 | 1.5 | 8 | N/A | N/A | 3 | 0 | 0.5 | N/A | N/A | 1.5 | N/A | N/A | 6 | N/A
BVA | RTL | 2024-02-27 | 2024-02-28 | E | 1344 | N/A | 0.5 | 18 | 30 | 7 | 8 | 11 | 2 | 7 | N/A | N/A | 3 | 0.5 | 0.5 | N/A | N/A | 0.5 | 2 | N/A | 6 | N/A
Odoxa | Public Sénat | 2024-02-21 | 2024-02-22 | E | 1005 | N/A | 0.5 | 19 | 30 | 6 | 8.5 | 11 | 4 | 8.5 | N/A | N/A | 1.5 | N/A | N/A | N/A | N/A | N/A | 1.5 | N/A | 7 | 2
Stack Data Strategy | N/A | 2024-02-17 | 2024-02-22 | E | 744 | N/A | 0.1 | 15 | 31.0 | 9.9 | 4.7 | 9.9 | 3.1 | 5.6 | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | 1.3 | N/A | N/A | 6.5 | 5.0
OpinionWay–Tilder | Les Echos and Radio Classique | 2024-02-14 | 2024-02-15 | E | 1009 | N/A | 1 | 19 | 27 | 7 | 8 | 10 | 2 | 8 | N/A | N/A | 3 | N/A | 1 | N/A | N/A | N/A | 0 | N/A | 8 | 3
ELABE | BFMTV and La Tribune Dimanche | 2024-02-07 | 2024-02-09 | E | 1426 | N/A | 0.5 | 16.5 | 27.5 | 9 | 8 | 9 | 3 | 9.5 | N/A | N/A | 2.5 | N/A | 0.5 | N/A | N/A | N/A | 1.5 | N/A | 5 | 3
Ifop–Fiducial | LCI, Le Figaro and Sud Radio | 2024-02-07 | 2024-02-08 | E | 1356 | N/A | 0.1 | 18.67 | 28.5 | 7.5 | 7.33 | 10.17 | 1.33 | 8.17 | N/A | N/A | 3.33 | 0.33 | 0.67 | N/A | N/A | 0.67 | N/A | N/A | 6.17 | N/A
YouGov | N/A | 2024-01-29 | 2024-02-07 | E | 1001 | N/A | 1 | 19 | 32 | 8 | 6 | 8 | 2 | 8 | N/A | N/A | 2 | N/A | N/A | N/A | N/A | N/A | 1 | N/A | 8 | 3
Portland Communications | N/A | 2024-01-24 | 2024-01-31 | E | 469 | N/A | 1 | 14 | 33 | 6 | 8 | 9 | 3 | 9 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | 2 | N/A | 6 | 5
OpinionWay–Tilder | Les Echos | 2024-01-17 | 2024-01-18 | E | 1019 | N/A | 1 | 20 | 27 | 8 | 8 | 10 | 2 | 6 | N/A | N/A | 4 | N/A | N/A | N/A | N/A | N/A | 1 | N/A | 7 | N/A
Ifop–Fiducial | Le Nouvel Economiste | 2024-01-16 | 2024-01-17 | E | 1348 | N/A | 0.5 | 19 | 31 | 7.5 | 6.5 | 9.5 | 2 | 7 | N/A | N/A | 4 | 0.5 | 0 | N/A | N/A | 0.5 | N/A | N/A | 7 | N/A
Harris Interactive | Challenges | 2024-01-12 | 2024-01-15 | E | 1217 | N/A | 0.5 | 19 | 28 | 7 | 8 | 11 | 2.5 | 8 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | 1 | N/A | 6 | 1.5
Ifop–Fiducial | L’Itinérant | 2024-01-12 | 2024-01-15 | E | 875 | N/A | 0.5 | 20 | 30 | 6.5 | 7.5 | 9 | 3 | 9 | N/A | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6 | 2
YouGov | N/A | 2024-01-08 | 2024-01-15 | E | 1004 | N/A | 1 | 20 | 30 | 7 | 6 | 8 | 4 | 9 | N/A | N/A | 2 | N/A | N/A | 2 | N/A | N/A | 2 | N/A | 7 | 3
Cluster17 | Le Point | 2024-01-13 | 2024-01-14 | E | 1209 | N/A | 0.5 | 18 | 28.5 | 7.5 | 7 | 11 | 3 | 8 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | 1 | N/A | 7 | 2
ELABE | BFMTV and La Tribune Dimanche | 2024-01-10 | 2024-01-12 | E | 1400 | N/A | 0.5 | 18 | 28.5 | 7.5 | 8.5 | 9.5 | 2.5 | 8.5 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | 1.5 | N/A | 5 | 3
Ifop–Fiducial | L’Itinérant | 2024-01-03 | 2024-01-05 | E | 1090 | N/A | 0.5 | 17 | 28 | 6 | 8 | 10 | 2 | 9 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | 0.5 | N/A | N/A | 6.5 | N/A
Odoxa | Public Sénat | 2023-12-13 | 2023-12-14 | E | 1004 | N/A | 0.5 | 21 | 31 | 6.5 | 9 | 9 | 2 | 6 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | 2.5 | N/A | 6 | 3
OpinionWay–Tilder | Les Echos | 2023-12-13 | 2023-12-14 | E | N/A | N/A | 1 | 19 | 27 | 6 | 9 | 10 | 3 | 8 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | 1 | N/A | 8 | N/A
Ifop–Fiducial | JDD | 2023-12-12 | 2023-12-13 | N | 1100 | N/A | 1 | 18 | 27 | 10 | 10 | 8 | 1 | 9 | N/A | N/A | 4 | N/A | N/A | N/A | N/A | N/A | 1 | N/A | 6 | N/A
Ifop–Fiducial | JDD | 2023-12-12 | 2023-12-13 | N | 1100 | N/A | 1 | 19 | 28 | N/A | 11 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5 | N/A
Ipsos and Sopra Steria | CEVIPOF and Le Monde | 2023-11-29 | 2023-12-12 | E | 11691 | N/A | 0.5 | 20 | 28 | 7.5 | 8 | 10.5 | 2.5 | 9.5 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.5 | 2
Ifop–Fiducial | Sud Radio | 2023-12-08 | 2023-12-11 | E | 1062 | N/A | 0.5 | 18 | 30 | 7 | 7.5 | 10 | 2.5 | 8 | N/A | N/A | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.5 | 1
OpinionWay–Tilder | Les Echos | 2023-11-15 | 2023-11-16 | E | N/A | N/A | 1 | 19 | 28 | 7 | 8 | 9 | 2 | 8 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | 2 | N/A | 7 | 3
Ipsos and Sopra Steria | La Tribune Dimanche | 2023-11-09 | 2023-11-10 | E | 1412 | N/A | 0.1 | 21 | 29 | 8.5 | 6.25 | 10.25 | 2 | 10.25 | N/A | N/A | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6 | 2.75
Ifop–Fiducial | Le Figaro and Sud Radio | 2023-10-12 | 2023-10-13 | E | 1515 | N/A | 0.1 | 20 | 28 | 9 | 8.25 | 9 | 2.25 | 8.5 | N/A | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.5 | N/A
Ifop–Fiducial | JDD | 2023-08-30 | 2023-08-31 | E | 1126 | N/A | 0.5 | 21 | 25 | 10 | 8 | 9 | 3 | 8 | N/A | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.5 | 1.5
Ifop–Fiducial | Sud Radio | 2023-07-04 | 2023-07-05 | E | 1008 | N/A | 1 | 20 | 26 | 8 | 11 | 9 | 4 | 9 | N/A | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7 | 1
Ipsos and Sopra Steria | CEVIPOF and Le Monde | 2023-06-16 | 2023-06-26 | E | 10631 | 44.2 | 0.5 | 21 | 24 | 8.5 | 9 | 10 | 2.5 | 10 | N/A | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.5 | 3
ELABE | N/A | 2023-06-19 | 2023-06-21 | E | 1397 | N/A | 0.5 | 22.5 | 26 | 8.5 | 8.5 | 9.5 | 2.5 | 11 | N/A | N/A | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.5 | 2.5
Cluster17 | Le Point | 2023-05-17 | 2023-05-19 | E | 1760 | N/A | 0.5 | 19.5 | 24 | 11 | 7.5 | 9 | 3 | 11 | N/A | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.5 | N/A
Ifop–Fiducial | JDD and Sud Radio | 2023-05-10 | 2023-05-11 | E | 1310 | N/A | 1 | 19 | 25 | 10 | 8 | 10 | 3 | 10 | N/A | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6 | N/A
ELABE | BFMTV | 2023-04-03 | 2023-04-05 | N | 1808 | N/A | 0.5 | 21.5 | 24.5 | N/A | 11.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5 | N/A
Ifop–Fiducial | JDD and Sud Radio | 2023-03-20 | 2023-03-21 | N | 1094 | N/A | 1 | 21 | 26 | 11 | 10 | 7 | 1 | 9 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | 1 | N/A | 5 | N/A
Ifop–Fiducial | JDD and Sud Radio | 2023-03-20 | 2023-03-21 | N | 1094 | N/A | 1 | 22 | 26 | N/A | 10 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5 | N/A
Harris Interactive | Challenges | 2023-03-03 | 2023-03-07 | N | 2108 | N/A | 1 | 24 | 22 | N/A | 10 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | N/A
Cluster17 | N/A | 2022-11-04 | 2022-11-06 | N | 2151 | N/A | 0.5 | 25 | 20 | N/A | 10.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5 | N/A
Ifop–Fiducial | JDD and Sud Radio | 2022-11-02 | 2022-11-04 | N | 1513 | N/A | 1 | 26 | 21 | 11 | 11 | 8 | N/A | 7 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5 | N/A
Ifop–Fiducial | JDD and Sud Radio | 2022-11-02 | 2022-11-04 | N | 1513 | N/A | 0.5 | 27 | 21 | N/A | 11 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.5 | N/A
Harris Interactive | Challenges | 2022-04-24 | 2022-04-25 | N | 2048 | N/A | 1 | 24 | 23 | 19 | 8 | 5 | 1 | 8 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | 1 | N/A | 7 | 1
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-22 | 2019-05-23 | E | 1024 | N/A | 0.5 | 22.5 | 24.5 | 9.5 | 12 | 5 | 3.5 | 7.5 | N/A | N/A | 3.5 | 1.5 | 1 | N/A | 2 | N/A | 1 | 1 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-19 | 2019-05-23 | E | 2757 | 45.5 | 0.5 | 23 | 24.5 | 8 | 14 | 6 | 4 | 7 | N/A | N/A | 3.5 | 2 | 1.5 | N/A | 2 | N/A | 0.5 | 0.5 | N/A | 4
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-21 | 2019-05-22 | E | 1024 | N/A | 0.5 | 22.5 | 24 | 9.5 | 12.5 | 4.5 | 3.5 | 7 | N/A | N/A | 3.5 | 1.5 | 1 | N/A | 2 | N/A | 1 | 1 | N/A | 2
OpinionWay–Tilder | Les Echos and Radio Classique | 2019-05-20 | 2019-05-22 | E | 2914 | 44.0 | 0.5 | 23 | 25 | 8 | 13 | 6 | 3 | 6.5 | N/A | N/A | 4 | 1 | 1 | N/A | 2 | N/A | 1 | 1 | N/A | 6
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-18 | 2019-05-22 | E | 2739 | 45.0 | 0.5 | 23 | 24.5 | 8.5 | 14 | 6 | 4 | 6.5 | N/A | N/A | 3.5 | 1.5 | 1.5 | N/A | 2 | N/A | 0.5 | 0.5 | N/A | 4
