Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | VVD | D66 | PVV | CDA | GL | SP | PvdA | PvdD | CU | P50+ | SGP | FVD | DENK | PPNL | PvdT | CO | JA21 | BIJ1 | Volt | BBB | Splinter | BVNL | NSC | Other
Ipsos | EenVandaag | 2022-02-25 | 2022-02-28 | N | 1025 | N/A | 0.1 | 20.0 | 12.8 | 10.8 | 6.9 | 5.7 | 4.8 | 6.5 | 5.7 | 3.6 | 1.0 | 2.4 | 3.0 | 2.8 | N/A | N/A | N/A | 5.3 | 0.7 | 3.2 | 3.2 | N/A | N/A | N/A | 1.6
Peil.nl | N/A | 2022-02-26 | 2022-02-27 | N | 3000 | N/A | 1 | 17 | 13 | 9 | 5 | 6 | 6 | 6 | 6 | 4 | 1 | 3 | 4 | 2 | N/A | N/A | N/A | 9 | 1 | 3 | 5 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2022-02-18 | 2022-02-19 | N | 3000 | N/A | 1 | 15 | 13 | 10 | 4 | 6 | 6 | 6 | 6 | 3 | 1 | 3 | 5 | 2 | N/A | N/A | N/A | 9 | 1 | 5 | 5 | N/A | 1 | N/A | 0
I&O Research | N/A | 2022-02-11 | 2022-02-14 | N | 2311 | N/A | 0.1 | 16.8 | 11.9 | 10.3 | 3.9 | 6.8 | 4.8 | 6.3 | 5.1 | 3.9 | 1.1 | 2.8 | 3.0 | 1.6 | N/A | N/A | N/A | 5.9 | 1.2 | 5.5 | 5.5 | N/A | 0.9 | N/A | 2.4
Peil.nl | N/A | 2022-02-11 | 2022-02-12 | N | 3000 | N/A | 1 | 15 | 13 | 10 | 4 | 6 | 5 | 6 | 6 | 3 | 1 | 3 | 5 | 2 | N/A | N/A | N/A | 9 | 1 | 7 | 5 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2022-02-04 | 2022-02-05 | N | 3000 | N/A | 1 | 15 | 13 | 10 | 4 | 6 | 5 | 6 | 6 | 3 | 1 | 3 | 5 | 2 | N/A | N/A | N/A | 9 | 1 | 7 | 5 | N/A | 1 | N/A | 0
Kantar | N/A | 2022-01-27 | 2022-01-31 | N | 1002 | N/A | 0.1 | 20.7 | 12.8 | 10.2 | 7.6 | 5.6 | 5.5 | 6.4 | 3.6 | 3.7 | 1.4 | 1.7 | 4.1 | 1.5 | N/A | N/A | N/A | 5.9 | 1.2 | 3.8 | 4.9 | N/A | N/A | N/A | 0.0
Peil.nl | N/A | 2022-01-28 | 2022-01-29 | N | 3000 | N/A | 1 | 15 | 13 | 10 | 4 | 6 | 5 | 6 | 6 | 3 | 1 | 3 | 5 | 2 | N/A | N/A | N/A | 9 | 1 | 7 | 5 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2022-01-21 | 2022-01-24 | N | 1024 | N/A | 0.1 | 19.2 | 11.8 | 10.7 | 6.0 | 6.8 | 4.5 | 6.3 | 6.0 | 3.4 | 0.9 | 2.5 | 4.2 | 2.3 | N/A | N/A | N/A | 4.3 | 0.8 | 4.7 | 4.7 | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2022-01-21 | 2022-01-22 | N | 3000 | N/A | 1 | 15 | 12 | 11 | 4 | 6 | 5 | 6 | 6 | 4 | 1 | 3 | 5 | 2 | N/A | N/A | N/A | 7 | 1 | 7 | 5 | N/A | 1 | N/A | 0
I&O Research | N/A | 2022-01-14 | 2022-01-17 | N | 2230 | N/A | 0.1 | 17.0 | 11.3 | 9.7 | 5.2 | 7.1 | 5.1 | 5.9 | 5.1 | 4.0 | 1.3 | 2.8 | 3.3 | 1.6 | N/A | N/A | N/A | 6.3 | 1.3 | 6.4 | 5.4 | N/A | 0.7 | N/A | 0
Peil.nl | N/A | 2022-01-14 | 2022-01-15 | N | 3000 | N/A | 1 | 17 | 13 | 12 | 5 | 6 | 5 | 6 | 6 | 4 | 1 | 2 | 5 | 2 | N/A | N/A | N/A | 6 | 1 | 5 | 5 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2021-12-24 | 2021-12-25 | N | 3000 | N/A | 1 | 18 | 12 | 13 | 5 | 6 | 5 | 6 | 6 | 4 | 0 | 2 | 4 | 2 | N/A | N/A | N/A | 6 | 1 | 5 | 5 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2021-12-17 | 2021-12-20 | N | 1014 | N/A | 0.1 | 19.6 | 13.1 | 11.5 | 5.5 | 5.3 | 5.1 | 6.8 | 5.7 | 3.7 | 0.5 | 2.3 | 4.0 | 2.4 | N/A | N/A | N/A | 5.4 | 0.9 | 3.2 | 3.8 | N/A | N/A | N/A | 1.2
Kantar | N/A | 2021-12-15 | 2021-12-20 | N | 1004 | N/A | 1 | 21.0 | 10.0 | 12.0 | 7.0 | 6.0 | 8.0 | 7.0 | 5.0 | 6.0 | 1.0 | 2.0 | 3.0 | 1.0 | N/A | N/A | N/A | 4.0 | 1.0 | 5.0 | 3.0 | N/A | N/A | N/A | 0.0
Peil.nl | N/A | 2021-12-17 | 2021-12-18 | N | 3000 | N/A | 1 | 18 | 12 | 13 | 5 | 6 | 5 | 6 | 6 | 4 | 0 | 2 | 4 | 2 | N/A | N/A | N/A | 6 | 1 | 5 | 5 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2021-12-12 | 2021-12-12 | N | 3000 | N/A | 1 | 20 | 11 | 13 | 4 | 6 | 5 | 7 | 6 | 4 | 0 | 2 | 4 | 2 | N/A | N/A | N/A | 5 | 1 | 5 | 5 | N/A | N/A | N/A | 1
I&O Research | N/A | 2021-12-03 | 2021-12-06 | N | 2053 | N/A | 0.1 | 18.2 | 11.3 | 10.0 | 5.6 | 5.8 | 5.2 | 6.0 | 5.0 | 3.3 | 1.1 | 2.4 | 2.6 | 1.0 | N/A | N/A | N/A | 5.0 | 1.4 | 6.1 | 6.1 | N/A | 0.8 | N/A | 3.0
Peil.nl | N/A | 2021-12-03 | 2021-12-05 | N | 3000 | N/A | 1 | 21 | 11 | 13 | 3 | 6 | 5 | 7 | 6 | 4 | 0 | 2 | 4 | 2 | N/A | N/A | N/A | 5 | 1 | 4 | 5 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2021-11-26 | 2021-11-29 | N | 1008 | N/A | 0.1 | 21.4 | 12.8 | 12.5 | 6.7 | 5.4 | 5.7 | 5.2 | 5.4 | 3.5 | 0.5 | 2.5 | 2.8 | 2.3 | N/A | N/A | N/A | 3.6 | 0.7 | 3.5 | 4.2 | N/A | N/A | N/A | 1.3
Peil.nl | N/A | 2021-11-26 | 2021-11-27 | N | 3000 | N/A | 1 | 21 | 11 | 13 | 3 | 6 | 5 | 7 | 6 | 4 | 0 | 2 | 4 | 2 | N/A | N/A | N/A | 5 | 1 | 4 | 5 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2021-11-19 | 2021-11-20 | N | 3000 | N/A | 1 | 21 | 11 | 13 | 3 | 6 | 5 | 7 | 6 | 4 | 0 | 2 | 4 | 2 | N/A | N/A | N/A | 5 | 1 | 4 | 5 | N/A | 1 | N/A | 0
I&O Research | N/A | 2021-11-12 | 2021-11-15 | N | 2021 | N/A | 0.1 | 20.1 | 9.3 | 10.7 | 4.9 | 6.3 | 5.4 | 6.1 | 4.4 | 4.9 | 0.6 | 2.8 | 4.2 | 1.6 | N/A | N/A | N/A | 4.1 | 1.3 | 5.4 | 4.5 | N/A | 0.7 | N/A | 2.5
Kantar | N/A | 2021-11-05 | 2021-11-09 | N | 985 | N/A | 1 | 21.0 | 13.0 | 11.0 | 6.0 | 6.0 | 5.0 | 6.0 | 5.0 | 3.0 | 1.0 | 2.0 | 4.0 | 2.0 | N/A | N/A | N/A | 4.0 | 1.0 | 5.0 | 4.0 | N/A | N/A | N/A | 0.0
Peil.nl | N/A | 2021-11-07 | 2021-11-07 | N | 3000 | N/A | 1 | 23 | 12 | 13 | 3 | 6 | 5 | 7 | 6 | 4 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 3 | 1 | 4 | 5 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2021-10-29 | 2021-10-30 | N | 3000 | N/A | 1 | 23 | 12 | 13 | 3 | 6 | 5 | 7 | 6 | 4 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 3 | 1 | 4 | 5 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2021-10-22 | 2021-10-25 | N | 1026 | N/A | 0.1 | 21.6 | 12.0 | 12.0 | 6.0 | 4.8 | 6.3 | 5.9 | 6.0 | 3.6 | 0.5 | 2.0 | 2.4 | 2.4 | N/A | N/A | N/A | 4.0 | 1.1 | 4.0 | 3.5 | N/A | N/A | N/A | 1.9
Peil.nl | N/A | 2021-10-15 | 2021-10-16 | N | 3000 | N/A | 1 | 23 | 11 | 13 | 3 | 6 | 6 | 7 | 5 | 4 | 0 | 2 | 4 | 2 | N/A | N/A | N/A | 3 | 1 | 4 | 5 | N/A | 1 | N/A | 0
I&O Research | N/A | 2021-10-08 | 2021-10-11 | N | 2052 | N/A | 0.1 | 21.2 | 9.3 | 9.7 | 4.2 | 7.3 | 6.0 | 7.1 | 4.8 | 4.2 | 0.5 | 2.8 | 3.3 | 0.7 | N/A | N/A | N/A | 4.2 | 1.1 | 5.0 | 3.8 | N/A | 0.6 | N/A | 4.3
Peil.nl | N/A | 2021-10-08 | 2021-10-09 | N | 3000 | N/A | 1 | 23 | 11 | 12 | 3 | 6 | 6 | 7 | 5 | 5 | 0 | 2 | 5 | 2 | N/A | N/A | N/A | 3 | 1 | 4 | 5 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2021-10-01 | 2021-10-02 | N | 3000 | N/A | 1 | 24 | 11 | 11 | 3 | 6 | 6 | 7 | 5 | 5 | 0 | 2 | 4 | 2 | N/A | N/A | N/A | 3 | 1 | 4 | 5 | N/A | 1 | N/A | 0
Ipsos | N/A | 2021-09-24 | 2021-09-27 | N | 994 | N/A | 0.1 | 23.3 | 12.1 | 11.3 | 5.5 | 5.7 | 5.3 | 5.9 | 5.9 | 3.4 | 0.4 | 1.9 | 3.0 | 2.5 | N/A | N/A | N/A | 3.7 | 1.0 | 3.9 | 3.5 | N/A | N/A | N/A | 1.7
Peil.nl | N/A | 2021-09-24 | 2021-09-25 | N | 3000 | N/A | 1 | 23 | 13 | 11 | 3 | 6 | 6 | 7 | 5 | 5 | 0 | 2 | 4 | 2 | N/A | N/A | N/A | 3 | 1 | 4 | 5 | N/A | 1 | N/A | 0
Kantar | N/A | 2021-09-17 | 2021-09-20 | N | 1037 | N/A | 1 | 22 | 13 | 13 | 5 | 7 | 5 | 6 | 4 | 4 | 1 | 2 | 3 | 2 | N/A | N/A | N/A | 4 | 1 | 4 | 5 | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-09-17 | 2021-09-18 | N | 3000 | N/A | 1 | 23 | 13 | 11 | 5 | 6 | 5 | 7 | 5 | 5 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 3 | 1 | 3 | 5 | N/A | 1 | N/A | 0
I&O Research | N/A | 2021-09-10 | 2021-09-13 | N | 2207 | N/A | 0.1 | 20.4 | 11.8 | 10.3 | 4.7 | 6.8 | 6.1 | 7.7 | 5.2 | 4.8 | 0.4 | 2.2 | 3.0 | 1.0 | N/A | N/A | N/A | 3.5 | 1.6 | 3.9 | 4.3 | N/A | 0.6 | N/A | 1.6
Peil.nl | N/A | 2021-09-10 | 2021-09-11 | N | 3000 | N/A | 1 | 25 | 13 | 11 | 4 | 5 | 6 | 7 | 5 | 4 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 3 | 1 | 3 | 5 | N/A | 1 | N/A | 0
Peil.nl | N/A | 2021-09-03 | 2021-09-04 | N | 3000 | N/A | 1 | 25 | 12 | 11 | 5 | 5 | 6 | 7 | 5 | 4 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 3 | 1 | 3 | 5 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2021-08-27 | 2021-08-30 | N | 1008 | N/A | 0.1 | 24.6 | 13.5 | 10.9 | 6.5 | 5.8 | 4.5 | 6.3 | 5.0 | 3.9 | 0.3 | 2.4 | 2.9 | 2.4 | N/A | N/A | N/A | 3.5 | 0.7 | 3.2 | 2.4 | N/A | N/A | N/A | 1.2
Peil.nl | N/A | 2021-08-20 | 2021-08-21 | N | 3000 | N/A | 1 | 24 | 13 | 11 | 4 | 5 | 6 | 7 | 5 | 4 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 3 | 1 | 4 | 5 | N/A | 1 | N/A | 0
Ipsos | EenVandaag | 2021-07-23 | 2021-07-26 | N | 1004 | N/A | 0.1 | 23.3 | 13.7 | 10.5 | 6.2 | 5.0 | 5.9 | 5.7 | 5.3 | 3.8 | 0.6 | 2.3 | 2.5 | 2.4 | N/A | N/A | N/A | 4.5 | 1.0 | 3.5 | 2.8 | N/A | N/A | N/A | 1.0
Peil.nl | N/A | 2021-07-23 | 2021-07-24 | N | 3000 | N/A | 1 | 23 | 15 | 11 | 4 | 5 | 6 | 7 | 5 | 4 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 3 | 1 | 4 | 4 | N/A | 1 | N/A | 0
I&O Research | N/A | 2021-07-09 | 2021-07-12 | N | 2129 | N/A | 0.1 | 21.5 | 13.7 | 10.4 | 4.1 | 5.9 | 6.0 | 7.2 | 4.7 | 3.5 | 0.3 | 2.4 | 3.0 | 1.6 | N/A | N/A | N/A | 4.0 | 2.0 | 3.9 | 3.5 | N/A | 1.2 | N/A | 1.0
Ipsos | EenVandaag | 2021-06-25 | 2021-06-28 | N | 1011 | N/A | 0.1 | 24.6 | 14.2 | 10.8 | 6.1 | 4.9 | 5.3 | 6.1 | 5.1 | 3.4 | 0.6 | 2.4 | 3.5 | 2.4 | N/A | N/A | N/A | 3.2 | 0.7 | 3.0 | 2.8 | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2021-06-27 | 2021-06-27 | N | 3000 | N/A | 1 | 23 | 15 | 12 | 4 | 5 | 6 | 7 | 5 | 4 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 3 | 1 | 4 | 3 | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-06-20 | 2021-06-20 | N | 3000 | N/A | 1 | 23 | 15 | 12 | 4 | 5 | 6 | 7 | 5 | 4 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 3 | 1 | 4 | 3 | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-06-12 | 2021-06-12 | N | 3000 | N/A | 1 | 23 | 15 | 12 | 5 | 5 | 6 | 7 | 5 | 3 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 4 | 1 | 4 | 3 | N/A | N/A | N/A | 0
I&O Research | N/A | 2021-06-04 | 2021-06-07 | N | 1824 | N/A | 0.1 | 22.8 | 13.5 | 9.2 | 7.9 | 5.7 | 4.8 | 6.5 | 5.0 | 3.5 | 0.5 | 2.2 | 3.5 | 2.0 | N/A | N/A | N/A | 3.9 | 1.5 | 4.4 | 2.3 | N/A | N/A | N/A | 1.0
Peil.nl | N/A | 2021-06-04 | 2021-06-05 | N | 3000 | N/A | 1 | 23 | 15 | 11 | 7 | 5 | 6 | 7 | 5 | 3 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 4 | 1 | 4 | 2 | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-05-28 | 2021-05-29 | N | 3000 | N/A | 1 | 23 | 15 | 12 | 7 | 5 | 6 | 6 | 5 | 3 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 4 | 1 | 4 | 2 | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2021-05-21 | 2021-05-23 | N | 1010 | N/A | 0.1 | 22.9 | 15.9 | 11.1 | 8.7 | 4.3 | 5.2 | 6.4 | 5.7 | 3.1 | 0.5 | 2.4 | 2.3 | 1.5 | N/A | N/A | N/A | 4.0 | 0.8 | 3.2 | 1.3 | N/A | N/A | N/A | 0.7
Peil.nl | N/A | 2021-05-21 | 2021-05-22 | N | 3000 | N/A | 1 | 23 | 15 | 12 | 7 | 5 | 6 | 6 | 5 | 3 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 4 | 1 | 4 | 2 | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-05-14 | 2021-05-15 | N | 3000 | N/A | 1 | 23 | 15 | 12 | 7 | 5 | 6 | 6 | 5 | 3 | 0 | 2 | 3 | 2 | N/A | N/A | N/A | 4 | 1 | 4 | 2 | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-05-07 | 2021-05-09 | N | 3000 | N/A | 1 | 23 | 15 | 11 | 7 | 5 | 6 | 6 | 5 | 3 | 0 | 2 | 5 | 2 | N/A | N/A | N/A | 4 | 1 | 3 | 1 | N/A | N/A | N/A | 0
I&O Research | N/A | 2021-04-30 | 2021-05-03 | N | 1914 | N/A | 0.1 | 21.5 | 14.3 | 9.9 | 6.4 | 5.0 | 6.5 | 6.4 | 4.4 | 3.5 | 0.7 | 2.0 | 5.0 | 2.2 | N/A | N/A | N/A | 3.8 | 1.3 | 3.9 | 1.8 | N/A | N/A | N/A | 1.1
Peil.nl | N/A | 2021-04-30 | 2021-05-01 | N | 3000 | N/A | 1 | 21 | 15 | 12 | 8 | 5 | 6 | 6 | 5 | 3 | 0 | 2 | 6 | 2 | N/A | N/A | N/A | 4 | 1 | 3 | 1 | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-04-23 | 2021-04-24 | N | 3000 | N/A | 1 | 21 | 15 | 12 | 8 | 5 | 6 | 6 | 5 | 3 | 0 | 2 | 6 | 2 | N/A | N/A | N/A | 4 | 1 | 3 | 1 | N/A | N/A | N/A | 0
Ipsos | N/A | 2021-04-16 | 2021-04-19 | N | 1014 | N/A | 0.1 | 22.5 | 16.7 | 11.7 | 7.7 | 4.7 | 4.5 | 6.3 | 5.2 | 3.2 | 0.8 | 2.2 | 4.5 | 1.5 | N/A | N/A | N/A | 2.9 | 0.7 | 3.4 | 0.8 | N/A | N/A | N/A | 0.8
Peil.nl | N/A | 2021-04-16 | 2021-04-17 | N | 3000 | N/A | 1 | 21 | 16 | 11 | 9 | 5 | 6 | 6 | 4 | 3 | 0 | 2 | 6 | 2 | N/A | N/A | N/A | 3 | 1 | 3 | 1 | N/A | N/A | N/A | 0
I&O Research | N/A | 2021-04-09 | 2021-04-12 | N | 2023 | N/A | 0.1 | 21.6 | 16.5 | 9.5 | 8.8 | 4.2 | 6.4 | 5.3 | 4.3 | 3.4 | 0.8 | 2.1 | 4.7 | 1.9 | N/A | N/A | N/A | 3.8 | 1.1 | 3.0 | 1.0 | N/A | N/A | N/A | 1.5
Peil.nl | N/A | 2021-04-09 | 2021-04-10 | N | 3000 | N/A | 1 | 21 | 16 | 11 | 9 | 5 | 6 | 6 | 5 | 3 | 1 | 2 | 6 | 2 | N/A | N/A | N/A | 3 | 1 | 3 | 1 | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-04-03 | 2021-04-04 | N | 3000 | N/A | 1 | 19 | 17 | 11 | 10 | 5 | 6 | 6 | 5 | 3 | 1 | 2 | 6 | 2 | N/A | N/A | N/A | 3 | 1 | 3 | 1 | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-03-26 | 2021-03-27 | N | 3000 | N/A | 1 | 22 | 16 | 11 | 9 | 5 | 6 | 6 | 4 | 3 | 1 | 2 | 6 | 2 | N/A | N/A | N/A | 3 | 1 | 3 | 1 | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-03-16 | 2021-03-16 | N | 3000 | N/A | 1 | 21 | 13 | 15 | 11 | 5 | 7 | 7 | 4 | 4 | 0 | 2 | 4 | 1 | N/A | N/A | 0 | 2 | 1 | 2 | 1 | 0 | N/A | N/A | 0
Ipsos | EenVandaag | 2021-03-15 | 2021-03-16 | N | 2552 | N/A | 1 | 23 | 13 | 13 | 11 | 7 | 7 | 7 | 4 | 4 | 0 | 2 | 3 | 1 | N/A | N/A | N/A | 1 | 0 | 1 | 1 | N/A | N/A | N/A | 0
Kantar Public | N/A | 2021-03-14 | 2021-03-16 | N | 2900 | N/A | 1 | 24 | 11 | 12 | 10 | 6 | 8 | 8 | 4 | 4 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 1 | 1 | 2 | 1 | 1 | N/A | N/A | 0
I&O Research | N/A | 2021-03-12 | 2021-03-15 | N | 2812 | N/A | 0.1 | 21.0 | 11.8 | 12.5 | 10.2 | 7.2 | 6.8 | 7.4 | 3.2 | 3.9 | 1.0 | 2.4 | 3.2 | 1.3 | 0.1 | N/A | 0.3 | 1.8 | 0.7 | 3.2 | 0.9 | N/A | N/A | N/A | 1.1
Peil.nl | N/A | 2021-03-12 | 2021-03-13 | N | 3000 | N/A | 1 | 21 | 11 | 16 | 12 | 5 | 7 | 7 | 4 | 4 | 1 | 2 | 4 | 1 | N/A | N/A | 0 | 2 | 1 | 2 | N/A | N/A | N/A | N/A | 0
Kantar Public | N/A | 2021-03-06 | 2021-03-08 | N | 1596 | N/A | 1 | 27 | 10 | 11 | 13 | 7 | 8 | 9 | 4 | 4 | 2 | 1 | 2 | 1 | N/A | N/A | N/A | 1 | N/A | 1 | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2021-03-05 | 2021-03-08 | N | 2576 | N/A | 0.1 | 22.7 | 10.1 | 11.9 | 10.0 | 7.4 | 6.5 | 8.6 | 3.5 | 3.8 | 1.8 | 2.5 | 2.9 | 1.9 | 0.3 | N/A | 0.4 | 1.6 | 0.7 | 2.3 | 0.5 | N/A | N/A | N/A | 1.3
Ipsos | EenVandaag | 2021-03-05 | 2021-03-08 | N | 2006 | N/A | 0.1 | 24.8 | 9.1 | 13.3 | 11.1 | 7.7 | 6.7 | 7.4 | 4.2 | 4.2 | 1.3 | 1.9 | 3 | 1.3 | N/A | N/A | N/A | 1.3 | N/A | 1.2 | N/A | N/A | N/A | N/A | 1.5
Peil.nl | N/A | 2021-03-05 | 2021-03-06 | N | 3000 | N/A | 1 | 21 | 9 | 16 | 11 | 6 | 6 | 8 | 5 | 5 | 1 | 2 | 3 | 1 | N/A | N/A | 1 | 2 | 1 | 1 | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2021-03-01 | 2021-03-02 | N | 2685 | N/A | 0.1 | 23.4 | 9.4 | 11.8 | 11.2 | 7.5 | 6.2 | 8.1 | 3.9 | 3.7 | 1.6 | 2.6 | 3.2 | 1.8 | N/A | N/A | N/A | 1.7 | N/A | 1.6 | N/A | N/A | N/A | N/A | 2.0
Ipsos | EenVandaag | 2021-03-01 | 2021-03-02 | N | 2049 | N/A | 0.1 | 24.2 | 9.3 | 13.1 | 11.2 | 8.6 | 6.7 | 7.7 | 4.3 | 3.5 | 1.2 | 1.9 | 3.1 | 2.0 | N/A | N/A | N/A | 1.0 | N/A | 1.0 | N/A | N/A | N/A | N/A | 1.3
Peil.nl | N/A | 2021-02-26 | 2021-02-27 | N | 3000 | N/A | 1 | 22 | 9 | 16 | 13 | 6 | 6 | 8 | 5 | 5 | 1 | 2 | 3 | 1 | N/A | N/A | 1 | 2 | 1 | 1 | N/A | N/A | N/A | N/A | 0
Kantar Public | N/A | 2021-02-22 | 2021-02-24 | N | 1131 | N/A | 1 | 27 | 10 | 11 | 11 | 8 | 7 | 9 | 4 | 5 | 3 | 1 | 2 | 1 | N/A | N/A | N/A | 1 | N/A | 1 | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-02-19 | 2021-02-20 | N | 3000 | N/A | 1 | 22 | 8 | 15 | 12 | 6 | 6 | 8 | 5 | 5 | 1 | 2 | 3 | 1 | N/A | 2 | 1 | 2 | 1 | 1 | N/A | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2021-02-14 | 2021-02-15 | N | 1035 | N/A | 0.1 | 24.4 | 9.7 | 13.9 | 13.0 | 6.9 | 6.8 | 7.6 | 4.5 | 3.9 | 1.2 | 1.9 | 2.1 | 1.8 | N/A | N/A | N/A | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
I&O Research | N/A | 2021-02-12 | 2021-02-15 | N | 2521 | N/A | 1 | 26 | 9 | 13 | 12 | 8 | 7 | 9 | 3 | 3 | 1 | 2 | 3 | 2 | N/A | N/A | N/A | 2 | N/A | 1 | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2021-02-12 | 2021-02-13 | N | 3000 | N/A | 1 | 23 | 9 | 16 | 12 | 6 | 6 | 9 | 5 | 5 | 1 | 2 | 3 | 1 | N/A | N/A | 1 | 2 | 0 | 1 | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-02-05 | 2021-02-06 | N | 3000 | N/A | 1 | 23 | 9 | 16 | 12 | 6 | 6 | 9 | 5 | 5 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 2 | N/A | 1 | N/A | N/A | N/A | N/A | 0
I&O Research | De Volkskrant | 2021-01-29 | 2021-02-02 | N | 2199 | N/A | 1 | 29 | 8 | 13 | 13 | 7 | 7 | 9 | 3 | 5 | 1 | 2 | 2 | 1 | 0 | N/A | 0 | 1 | 0 | 0 | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-01-29 | 2021-01-30 | N | 3000 | N/A | 1 | 23 | 7 | 16 | 13 | 6 | 7 | 8 | 5 | 5 | 1 | 2 | 3 | 2 | N/A | N/A | N/A | 2 | 1 | 1 | N/A | N/A | N/A | N/A | 0
Kantar Public | N/A | 2021-01-23 | 2021-01-26 | N | 1203 | N/A | 1 | 28 | 9 | 11 | 12 | 9 | 7 | 8 | 3 | 3 | 2 | 2 | 2 | 2 | N/A | N/A | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2021-01-22 | 2021-01-25 | N | 2232 | N/A | 1 | 28 | 9 | 13 | 11 | 9 | 7 | 8 | 3 | 5 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | 0
Ipsos | EenVandaag | 2021-01-22 | 2021-01-25 | N | 1045 | N/A | 0.1 | 26.0 | 10.1 | 12.7 | 13.1 | 7.8 | 6.2 | 7.7 | 4.4 | 3.9 | 1.1 | 1.5 | 2.1 | 1.5 | N/A | N/A | N/A | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Peil.nl | N/A | 2021-01-22 | 2021-01-23 | N | 3000 | N/A | 1 | 23 | 8 | 16 | 13 | 6 | 7 | 7 | 5 | 5 | 1 | 2 | 3 | 2 | N/A | N/A | N/A | 2 | 1 | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-01-15 | 2021-01-16 | N | 3000 | N/A | 1 | 23 | 9 | 17 | 11 | 7 | 7 | 7 | 5 | 5 | 1 | 2 | 3 | 2 | N/A | N/A | N/A | 2 | 1 | N/A | N/A | N/A | N/A | N/A | 0
Kantar Public | N/A | 2021-01-08 | 2021-01-12 | N | 1560 | 59.0 | 1 | 29 | 9 | 14 | 11 | 8 | 7 | 7 | 3 | 4 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | 0
I&O Research | N/A | 2021-01-08 | 2021-01-11 | N | 2336 | N/A | 1 | 29 | 9 | 13 | 12 | 9 | 7 | 7 | 3 | 5 | 1 | 2 | 3 | 1 | N/A | N/A | N/A | 1 | N/A | N/A | N/A | N/A | N/A | N/A | 0
Peil.nl | N/A | 2021-01-08 | 2021-01-09 | N | 3000 | N/A | 1 | 22 | 9 | 17 | 12 | 7 | 6 | 7 | 5 | 5 | 1 | 3 | 3 | 2 | N/A | N/A | N/A | 2 | 1 | N/A | N/A | N/A | N/A | N/A | 0
