Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | D | S | V | M | P | B | F | C | J | Other
MMR | N/A | 2019-05-23 | 2019-05-29 | N | 932 | N/A | 0.1 | 21.5 | 12.5 | 14.1 | 10.8 | 14.0 | 9.7 | 4.2 | 8.3 | 3.4 | 1.6
MMR | N/A | 2019-05-14 | 2019-05-16 | N | 978 | N/A | 0.1 | 21.3 | 13.9 | 12.2 | 11.8 | 9.8 | 11.6 | 6.4 | 8.4 | 3.2 | 1.4
MMR | N/A | 2019-04-30 | 2019-05-03 | N | 941 | N/A | 0.1 | 20.2 | 14.1 | 13.4 | 9.2 | 13.4 | 9.8 | 5.1 | 9.2 | 4.2 | 1.4
Gallup | N/A | 2019-04-05 | 2019-04-30 | N | 5189 | 57.7 | 0.1 | 23.6 | 16.2 | 13.3 | 8.9 | 11.1 | 8.0 | 4.0 | 11.0 | 3.6 | 0.3
MMR | N/A | 2019-04-13 | 2019-04-13 | N | N/A | N/A | 0.1 | 22.5 | 14.3 | 12.1 | 9.2 | 13.3 | 11.2 | 5.0 | 7.8 | 2.8 | 1.7
MMR | N/A | 2019-04-04 | 2019-04-09 | N | 926 | N/A | 0.1 | 21.7 | 13.9 | 10.4 | 10.2 | 15.0 | 8.7 | 5.4 | 9.0 | 4.5 | 1.2
Gallup | N/A | 2019-03-01 | 2019-03-31 | N | 6705 | 55.4 | 0.1 | 25.0 | 15.9 | 11.6 | 9.0 | 11.6 | 9.0 | 3.7 | 10.3 | 3.5 | 0.4
MMR | N/A | 2019-03-11 | 2019-03-14 | N | 1025 | N/A | 0.1 | 23.6 | 13.8 | 11.4 | 8.0 | 13.6 | 11.1 | 4.7 | 9.4 | 2.5 | 1.9
Gallup | N/A | 2019-01-31 | 2019-02-28 | N | 7060 | 53.5 | 0.1 | 25.0 | 16.8 | 12.3 | 6.7 | 11.6 | 9.0 | 3.4 | 9.9 | 5.0 | 0.3
MMR | N/A | 2019-02-11 | 2019-02-15 | N | 934 | N/A | 0.1 | 22.7 | 15.9 | 11.1 | 6.1 | 10.4 | 13.5 | 6.9 | 8.1 | 3.6 | 1.5
Gallup | N/A | 2019-01-07 | 2019-01-31 | N | 4241 | 54.4 | 0.1 | 23.4 | 19.1 | 11.3 | 6.5 | 12.7 | 8.8 | 3.7 | 9.1 | 5.3 | 0.1
MMR | N/A | 2019-01-28 | 2019-01-28 | N | N/A | N/A | 0.1 | 21.8 | 15.5 | 12.2 | 8.3 | 12.0 | 12.6 | 5.4 | 9.2 | N/A | 3.1
MMR | N/A | 2019-01-04 | 2019-01-14 | N | 2061 | N/A | 0.1 | 22.2 | 15.0 | 11.3 | 6.9 | 13.8 | 11.7 | 6.7 | 7.8 | N/A | 4.6
Gallup | N/A | 2018-12-03 | 2019-01-01 | N | 4899 | 58.0 | 0.1 | 22.7 | 18.4 | 11.6 | 5.7 | 10.7 | 11.4 | 5.3 | 10.5 | 3.4 | 0.3
MMR | N/A | 2018-12-05 | 2018-12-11 | N | 975 | N/A | 0.1 | 22.1 | 16.9 | 12.9 | 5.9 | 14.4 | 12.5 | 4.2 | 8.5 | N/A | 2.6
Zenter | N/A | 2018-12-03 | 2018-12-04 | N | 2300 | 55.0 | 0.1 | 21.4 | 20.8 | 12.7 | 4.3 | 14.4 | 8.5 | 5.7 | 9.1 | N/A | 3.1
Maskína | N/A | 2018-11-30 | 2018-12-03 | N | 1311 | N/A | 0.1 | 19.3 | 19.7 | 14.9 | 4.6 | 14.9 | 8.8 | 4.4 | 13.4 | N/A | N/A
Gallup | N/A | 2018-11-03 | 2018-12-02 | N | 5319 | 58.3 | 0.1 | 23.5 | 18.7 | 10.5 | 12.0 | 10.2 | 7.5 | 6.2 | 9.8 | 1.3 | 0.3
MMR | N/A | 2018-11-21 | 2018-11-21 | N | N/A | N/A | 0.1 | 21.1 | 16.3 | 10.3 | 13.1 | 11.3 | 7.5 | 7.6 | 8.6 | N/A | 4.2
MMR | N/A | 2018-11-08 | 2018-11-12 | N | 1048 | N/A | 0.1 | 19.8 | 16.6 | 11.5 | 12.1 | 11.3 | 8.8 | 7.3 | 7.8 | N/A | 4.7
Gallup | N/A | 2018-10-02 | 2018-10-31 | N | 6129 | 54.8 | 0.1 | 25.8 | 17.0 | 10.6 | 10.3 | 10.6 | 7.2 | 6.2 | 10.8 | 1.1 | 0.4
MMR | N/A | 2018-10-22 | 2018-10-22 | N | N/A | N/A | 0.1 | 20.8 | 16.5 | 10.8 | 12.8 | 13.2 | 7.8 | 5.9 | 9.9 | N/A | 2.3
MMR | N/A | 2018-10-03 | 2018-10-09 | N | 921 | N/A | 0.1 | 20.8 | 16.7 | 10.9 | 11.9 | 12.7 | 8.9 | 6.1 | 8.6 | N/A | 3.2
Gallup | N/A | 2018-09-03 | 2018-10-01 | N | 5460 | 53.3 | 0.1 | 24.6 | 19.3 | 10.3 | 9.8 | 11.5 | 6.6 | 5.9 | 10.7 | 0.9 | 0.4
MMR | N/A | 2018-09-07 | 2018-09-12 | N | 953 | N/A | 0.1 | 21.3 | 19.8 | 11.1 | 10.8 | 13.2 | 8.1 | 5.3 | 7.9 | N/A | 2.5
Gallup | N/A | 2018-08-02 | 2018-09-02 | N | 7094 | 52.6 | 0.1 | 22.7 | 19.3 | 11.7 | 8.7 | 12.5 | 8.2 | 5.7 | 10.1 | 0.7 | 0.4
MMR | N/A | 2018-08-10 | 2018-08-10 | N | N/A | N/A | 0.1 | 22.1 | 16.6 | 8.8 | 10.3 | 13.4 | 8.9 | 7.8 | 8.7 | N/A | 3.4
Gallup | N/A | 2018-06-29 | 2018-07-30 | N | 7060 | 50.4 | 0.1 | 24.6 | 16.7 | 10.7 | 8.6 | 13.9 | 9.2 | 6.0 | 8.7 | 0.9 | 0.7
Gallup | N/A | 2018-05-31 | 2018-07-01 | N | 5875 | 55.2 | 0.1 | 24.5 | 15.2 | 11.5 | 8.0 | 13.1 | 8.5 | 5.1 | 10.4 | 1.0 | 2.7
MMR | N/A | 2018-06-12 | 2018-06-18 | N | 925 | N/A | 0.1 | 21.6 | 15.1 | 12.7 | 10.6 | 14.3 | 9.5 | 8.2 | 5.8 | N/A | 2.2
Gallup | N/A | 2018-05-02 | 2018-05-31 | N | 7113 | 56.6 | 0.1 | 23.8 | 17.9 | 13.3 | 8.5 | 13.3 | 8.9 | 4.1 | 8.4 | N/A | 1.8
MMR | N/A | 2018-05-16 | 2018-05-22 | N | 929 | N/A | 0.1 | 23.7 | 14.6 | 12.0 | 9.8 | 14.1 | 10.1 | 5.6 | 7.1 | N/A | 3.0
MMR | N/A | 2018-05-02 | 2018-05-02 | N | N/A | N/A | 0.1 | 24.5 | 14.7 | 13.7 | 10.3 | 13.0 | 8.2 | 5.8 | 7.6 | N/A | 2.1
Gallup | N/A | 2018-03-27 | 2018-04-29 | N | 6766 | 56.3 | 0.1 | 25.3 | 17.7 | 14.1 | 7.9 | 11.0 | 9.6 | 4.2 | 7.7 | N/A | 2.5
MMR | N/A | 2018-04-13 | 2018-04-19 | N | 910 | N/A | 0.1 | 23.9 | 13.6 | 14.3 | 8.8 | 15.3 | 7.3 | 6.9 | 7.0 | N/A | 2.8
Gallup | N/A | 2018-03-01 | 2018-03-26 | N | 5423 | 57.0 | 0.1 | 24.5 | 16.5 | 13.9 | 8.7 | 12.5 | 9.2 | 4.9 | 8.4 | N/A | 1.4
MMR | N/A | 2018-03-19 | 2018-03-19 | N | N/A | N/A | 0.1 | 25.3 | 16.1 | 14.8 | 10.7 | 13.2 | 9.0 | 3.6 | 6.0 | N/A | 1.4
MMR | N/A | 2018-03-12 | 2018-03-12 | N | N/A | N/A | 0.1 | 21.9 | 15.9 | 16.1 | 9.7 | 13.8 | 8.8 | 5.7 | 6.1 | N/A | 2.0
Gallup | N/A | 2018-02-01 | 2018-02-28 | N | 5564 | 55.3 | 0.1 | 23.5 | 15.3 | 16.6 | 8.6 | 11.9 | 9.3 | 5.9 | 6.8 | N/A | 2.2
Gallup | N/A | 2018-01-04 | 2018-01-31 | N | 5606 | 53.8 | 0.1 | 25.5 | 16.1 | 16.9 | 6.8 | 10.7 | 9.5 | 5.5 | 7.3 | N/A | 1.7
MMR | N/A | 2018-01-25 | 2018-01-30 | N | 928 | N/A | 0.1 | 22.3 | 14.9 | 18.4 | 7.7 | 12.9 | 11.2 | 4.2 | 6.0 | N/A | 2.4
MMR | N/A | 2018-01-09 | 2018-01-17 | N | 1594 | N/A | 0.1 | 25.8 | 13.9 | 15.0 | 6.9 | 12.2 | 11.2 | 6.1 | 6.2 | N/A | 2.6
Gallup | N/A | 2017-11-30 | 2017-12-28 | N | 7001 | 55.2 | 0.1 | 25.1 | 15.5 | 17.3 | 5.8 | 10.1 | 11.9 | 5.4 | 6.5 | N/A | 2.4
MMR | N/A | 2017-12-12 | 2017-12-15 | N | 923 | N/A | 0.1 | 23.2 | 16.8 | 16.7 | 8.7 | 14.1 | 8.5 | 3.7 | 5.7 | N/A | 2.5
Fréttablaðið | Stöð 2 and Vísir | 2017-12-04 | 2017-12-04 | N | 804 | N/A | 0.1 | 26.4 | 13.4 | 23.5 | 7.4 | 7.7 | 11.3 | 4.0 | 4.8 | N/A | 1.5
Gallup | N/A | 2017-11-08 | 2017-11-30 | N | 3991 | 57.8 | 0.1 | 24.0 | 16.7 | 16.1 | 6.8 | 10.4 | 10.4 | 6.4 | 7.1 | N/A | 2.1
MMR | N/A | 2017-11-14 | 2017-11-17 | N | 944 | N/A | 0.1 | 24.4 | 16.0 | 13.0 | 10.5 | 9.9 | 9.5 | 8.4 | 6.5 | N/A | 1.8
