Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Fidesz+KDNP | Jobbik | MSZP | P | DK | LMP | MM | Együtt | MLP | MKKP | MH | EM | MMM | ANPM | Other
ZRI Závecz Research | N/A | 2021-08-01 | 2021-08-31 | N | 1000 | N/A | 1 | 50 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 2 | 45 | N/A | N/A | 1
Republikon | N/A | 2021-08-23 | 2021-08-28 | N | 1000 | N/A | 1 | 45 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 1 | 52 | N/A | N/A | 0
Nézőpont Intézet | N/A | 2021-08-20 | 2021-08-25 | N | 1000 | N/A | 1 | 52 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 46 | N/A | N/A | 2
Társadalomkutató | N/A | 2021-08-16 | 2021-08-18 | N | 1000 | N/A | 1 | 43 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 42 | N/A | N/A | 2
IDEA Intézet | N/A | 2021-07-22 | 2021-08-01 | N | 2000 | N/A | 1 | 48 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | 4 | 44 | N/A | N/A | 0
IDEA Intézet | N/A | 2021-06-30 | 2021-07-04 | N | 2000 | N/A | 1 | 47 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 4 | 45 | N/A | N/A | 1
ZRI Závecz Research | N/A | 2021-06-08 | 2021-06-16 | N | 1000 | N/A | 1 | 47 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50 | N/A | N/A | 3
Medián | N/A | 2021-06-07 | 2021-06-09 | N | 1000 | N/A | 1 | 52 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 3 | 43 | N/A | N/A | 0
Nézőpont Intézet | N/A | 2021-06-03 | 2021-06-08 | N | 1000 | N/A | 1 | 50 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | 4 | 42 | N/A | N/A | 0
IDEA Intézet | N/A | 2021-05-27 | 2021-06-08 | N | 2000 | N/A | 1 | 47 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 3 | 48 | N/A | N/A | 0
Publicus Research | N/A | 2021-05-18 | 2021-05-21 | N | 1011 | N/A | 1 | 44 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 1 | 54 | N/A | N/A | 1
ZRI Závecz Research | N/A | 2021-05-08 | 2021-05-17 | N | 1000 | N/A | 1 | 48 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50 | N/A | N/A | 2
Civitas Intézet | N/A | 2021-05-06 | 2021-05-11 | N | 1003 | N/A | 1 | 53 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 1 | 45 | N/A | N/A | 2
IDEA Intézet | N/A | 2021-04-27 | 2021-05-04 | N | 2000 | N/A | 1 | 46 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 4 | 48 | N/A | N/A | 0
ZRI Závecz Research | N/A | 2021-04-01 | 2021-04-30 | N | 1000 | N/A | 1 | 48 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 1 | 49 | N/A | N/A | 1
Nézőpont Intézet | N/A | 2021-04-27 | 2021-04-28 | N | 1000 | N/A | 1 | 51 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 3 | 43 | N/A | N/A | 1
Publicus Research | N/A | 2021-04-24 | 2021-04-28 | N | 1012 | N/A | 1 | 48 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 1 | 51 | N/A | N/A | 0
Republikon | N/A | 2021-04-19 | 2021-04-23 | N | 1000 | N/A | 1 | 46 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 1 | 52 | N/A | N/A | 0
IDEA Intézet | N/A | 2021-03-26 | 2021-03-31 | N | 2000 | N/A | 1 | 44 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | 3 | 48 | N/A | N/A | 1
Republikon | N/A | 2021-03-18 | 2021-03-25 | N | 1000 | N/A | 1 | 45 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 1 | 53 | N/A | N/A | 0
Civitas Intézet | N/A | 2021-03-05 | 2021-03-11 | N | 1007 | N/A | 1 | 54 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 3 | 40 | N/A | N/A | 1
ZRI Závecz Research | N/A | 2021-03-02 | 2021-03-11 | N | 1000 | N/A | 1 | 46 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 3 | 50 | N/A | N/A | 0
Nézőpont Intézet | N/A | 2021-03-08 | 2021-03-09 | N | 1000 | N/A | 1 | 53 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 1 | 44 | N/A | N/A | 0
IDEA Intézet | N/A | 2021-02-22 | 2021-02-25 | N | 2000 | N/A | 1 | 45 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3 | 3 | 48 | N/A | N/A | 0
Publicus Research | N/A | 2021-02-20 | 2021-02-25 | N | 1001 | N/A | 1 | 45 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 54 | N/A | N/A | 0
Republikon | N/A | 2021-02-15 | 2021-02-22 | N | 1000 | N/A | 1 | 46 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 1 | 51 | N/A | N/A | 0
ZRI Závecz Research | N/A | 2021-02-05 | 2021-02-13 | N | 1000 | N/A | 1 | 47 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50 | N/A | N/A | 3
IDEA Intézet | N/A | 2021-01-22 | 2021-01-26 | N | 2000 | N/A | 1 | 44 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4 | 3 | 47 | N/A | N/A | 1
Republikon | N/A | 2021-01-14 | 2021-01-21 | N | 1000 | N/A | 1 | 46 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2 | 2 | 50 | N/A | N/A | 0
Nézőpont Intézet | N/A | 2021-01-18 | 2021-01-20 | N | 1000 | N/A | 1 | 52 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1 | 1 | 45 | N/A | N/A | 0
Medián | N/A | 2020-12-01 | 2020-12-31 | N | 600 | N/A | 1 | 48 | 15 | N/A | N/A | 9 | 1 | 12 | N/A | N/A | 7 | 3 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2020-12-11 | 2020-12-15 | N | 2000 | N/A | 1 | 47 | 9 | 6 | 2 | 17 | 2 | 11 | N/A | N/A | 2 | 3 | N/A | N/A | N/A | N/A
Republikon | N/A | 2020-12-08 | 2020-12-15 | N | 1000 | N/A | 1 | 46 | 8 | 8 | 3 | 15 | 2 | 14 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 0
ZRI Závecz Research | N/A | 2020-12-01 | 2020-12-08 | N | 1000 | N/A | 1 | 45 | 10 | 7 | 2 | 19 | 2 | 10 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2020-11-30 | 2020-12-04 | N | 2000 | N/A | 1 | 47 | 9 | 7 | 2 | 17 | 3 | 10 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 2
Republikon | N/A | 2020-11-16 | 2020-11-23 | N | 1000 | N/A | 1 | 48 | 7 | 8 | 2 | 15 | 2 | 13 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 0
Publicus Research | N/A | 2020-11-18 | 2020-11-21 | N | 1000 | N/A | 1 | 48 | 8 | 10 | 2 | 13 | 1 | 11 | N/A | N/A | 1 | 1 | N/A | N/A | N/A | 0
ZRI Závecz Research | N/A | 2020-11-03 | 2020-11-17 | N | 1000 | N/A | 1 | 47 | 10 | 7 | 2 | 17 | 2 | 11 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2020-10-31 | 2020-11-05 | N | 2000 | N/A | 1 | 48 | 8 | 6 | 2 | 17 | 3 | 10 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 2
Republikon | N/A | 2020-10-19 | 2020-10-26 | N | 1000 | N/A | 1 | 50 | 7 | 7 | 2 | 15 | 2 | 12 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 0
Iránytű Intézet | N/A | 2020-10-15 | 2020-10-20 | N | 1000 | N/A | 1 | 51 | 12 | 6 | 1 | 12 | 2 | 10 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2020-10-05 | 2020-10-15 | N | 1000 | N/A | 1 | 49 | 10 | 6 | 2 | 17 | 2 | 10 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2020-09-30 | 2020-10-04 | N | 2000 | N/A | 1 | 50 | 8 | 6 | 2 | 17 | 2 | 10 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 0
Publicus Research | N/A | 2020-09-22 | 2020-09-25 | N | 1005 | N/A | 1 | 49 | 9 | 9 | 1 | 13 | 1 | 11 | N/A | N/A | 2 | 1 | N/A | N/A | N/A | 2
ZRI Závecz Research | N/A | 2020-09-07 | 2020-09-18 | N | 1000 | N/A | 1 | 50 | 9 | 6 | 2 | 18 | 2 | 10 | N/A | N/A | 1 | 2 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2020-08-27 | 2020-08-31 | N | 2000 | N/A | 1 | 52 | 7 | 6 | 2 | 16 | 2 | 10 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2020-08-27 | 2020-08-31 | N | 1009 | N/A | 1 | 48 | 8 | 10 | 2 | 14 | 2 | 10 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 2
Republikon | N/A | 2020-08-14 | 2020-08-24 | N | 1000 | N/A | 1 | 54 | 8 | 6 | 1 | 14 | 3 | 9 | N/A | N/A | 4 | 1 | N/A | N/A | N/A | 0
ZRI Závecz Research | N/A | 2020-08-05 | 2020-08-19 | N | 1000 | N/A | 1 | 51 | 8 | 6 | 2 | 15 | 2 | 10 | N/A | N/A | 2 | 3 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2020-07-30 | 2020-08-03 | N | 2000 | N/A | 1 | 52 | 6 | 6 | 2 | 16 | 2 | 10 | N/A | N/A | 3 | 1 | N/A | N/A | N/A | 2
ZRI Závecz Research | N/A | 2020-07-13 | 2020-07-15 | N | 1000 | N/A | 1 | 52 | 7 | 5 | 1 | 14 | 3 | 15 | N/A | N/A | 3 | 3 | N/A | N/A | N/A | 0
Nézőpont Intézet | N/A | 2020-06-30 | 2020-07-02 | N | 1000 | N/A | 1 | 51 | 9 | N/A | N/A | 11 | 3 | 16 | N/A | N/A | 4 | 1 | N/A | N/A | N/A | 1
IDEA Intézet | N/A | 2020-06-27 | 2020-06-30 | N | 2000 | N/A | 1 | 50 | 6 | 6 | 2 | 18 | 2 | 10 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 2
Publicus Research | N/A | 2020-06-05 | 2020-06-10 | N | 1007 | N/A | 1 | 51 | 7 | N/A | N/A | 14 | 2 | 9 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 3
Nézőpont Intézet | N/A | 2020-06-03 | 2020-06-05 | N | 1000 | N/A | 1 | 52 | 9 | N/A | N/A | 12 | 2 | 14 | N/A | N/A | 5 | 1 | N/A | N/A | N/A | 1
Medián | N/A | 2020-05-28 | 2020-06-05 | N | 1000 | N/A | 1 | 50 | 7 | 7 | 2 | 12 | 2 | 12 | N/A | N/A | 4 | 2 | N/A | N/A | N/A | 1
IDEA Intézet | N/A | 2020-05-27 | 2020-05-31 | N | 2000 | N/A | 1 | 49 | 7 | 6 | 2 | 17 | 2 | 11 | N/A | N/A | 1 | 3 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2020-05-18 | 2020-05-22 | N | 998 | N/A | 1 | 50 | 8 | N/A | N/A | 16 | 1 | 11 | N/A | N/A | 2 | 1 | N/A | N/A | N/A | 0
Nézőpont Intézet | N/A | 2020-05-07 | 2020-05-08 | N | 1000 | N/A | 1 | 54 | 9 | N/A | N/A | 11 | 2 | 13 | N/A | N/A | 6 | 1 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2020-04-20 | 2020-04-26 | N | 2000 | N/A | 1 | 50 | 8 | 7 | 2 | 16 | 2 | 10 | N/A | N/A | 1 | 2 | N/A | N/A | N/A | 2
ZRI Závecz Research | N/A | 2020-04-14 | 2020-04-19 | N | 1500 | N/A | 1 | 53 | 9 | N/A | N/A | 15 | 3 | 8 | N/A | N/A | 0 | 1 | N/A | N/A | N/A | 1
Nézőpont Intézet | N/A | 2020-04-16 | 2020-04-18 | N | 1000 | N/A | 1 | 55 | 9 | N/A | N/A | 12 | 1 | 11 | N/A | N/A | 5 | 1 | N/A | N/A | N/A | 0
Publicus Research | N/A | 2020-04-14 | 2020-04-18 | N | 1500 | N/A | 1 | 51 | 10 | N/A | N/A | 13 | 2 | 10 | N/A | N/A | 2 | 1 | N/A | N/A | N/A | 2
Publicus Research | N/A | 2020-03-17 | 2020-03-21 | N | 1003 | N/A | 1 | 52 | 10 | N/A | N/A | 13 | 2 | 4 | N/A | N/A | 1 | 2 | N/A | N/A | N/A | 3
IDEA Intézet | N/A | 2020-03-17 | 2020-03-20 | N | 2000 | N/A | 1 | 49 | 9 | 7 | 2 | 16 | 2 | 9 | N/A | N/A | 2 | 3 | N/A | N/A | N/A | 1
Nézőpont Intézet | N/A | 2020-03-12 | 2020-03-14 | N | 1000 | N/A | 1 | 51 | 10 | 4 | 1 | 10 | 3 | 13 | N/A | N/A | 5 | 2 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2020-03-03 | 2020-03-13 | N | 1000 | N/A | 1 | 50 | 9 | 7 | 2 | 16 | 2 | 9 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2020-03-05 | 2020-03-10 | N | 1009 | N/A | 1 | 48 | 10 | N/A | N/A | 14 | 2 | 12 | N/A | N/A | 1 | 1 | N/A | N/A | N/A | 0
Medián | N/A | 2020-02-01 | 2020-02-29 | N | 1200 | N/A | 1 | 55 | 11 | 6 | 1 | 13 | 4 | 7 | N/A | N/A | 1 | 1 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2020-02-13 | 2020-02-20 | N | 1000 | N/A | 1 | 51 | 10 | 7 | 2 | 14 | 2 | 9 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 1
IDEA Intézet | N/A | 2020-01-31 | 2020-02-12 | N | 2000 | N/A | 1 | 47 | 9 | 6 | 2 | 16 | 3 | 10 | N/A | N/A | 3 | 3 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2020-01-13 | 2020-01-20 | N | 1000 | 63.0 | 1 | 52 | 9 | 7 | 1 | 14 | 3 | 10 | N/A | N/A | 1 | 2 | N/A | N/A | N/A | 1
Nézőpont Intézet | N/A | 2020-01-10 | 2020-01-16 | N | 1000 | N/A | 1 | 50 | 10 | N/A | N/A | 10 | 4 | 13 | N/A | N/A | 4 | 3 | N/A | N/A | N/A | 0
Publicus Research | N/A | 2019-12-14 | 2019-12-20 | N | 1002 | N/A | 1 | 47 | 10 | N/A | N/A | 12 | 2 | 12 | N/A | N/A | 3 | 1 | N/A | N/A | N/A | 2
ZRI Závecz Research | N/A | 2019-12-08 | 2019-12-15 | N | 1000 | 66.0 | 1 | 50 | 9 | 7 | 2 | 15 | 1 | 10 | N/A | N/A | 2 | 3 | N/A | N/A | N/A | 1
Medián | N/A | 2019-11-28 | 2019-12-05 | N | 1200 | N/A | 1 | 54 | 10 | N/A | N/A | 11 | 3 | 10 | N/A | N/A | 2 | 3 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2019-11-29 | 2019-12-03 | N | 2000 | N/A | 1 | 49 | 7 | 5 | 2 | 17 | 2 | 12 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 1
Nézőpont Intézet | N/A | 2019-11-01 | 2019-11-30 | N | 5000 | N/A | 1 | 52 | 9 | 7 | 0 | 10 | 3 | 11 | N/A | N/A | 4 | 3 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2019-11-08 | 2019-11-16 | N | 1000 | N/A | 1 | 49 | 9 | 8 | 1 | 15 | 2 | 11 | N/A | N/A | 2 | 3 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2019-10-29 | 2019-10-31 | N | 2000 | N/A | 1 | 51 | 9 | 7 | 2 | 14 | 2 | 9 | N/A | N/A | 2 | 3 | N/A | N/A | N/A | 1
Nézőpont Intézet | N/A | 2019-10-14 | 2019-10-27 | N | 2300 | N/A | 1 | 52 | 9 | N/A | N/A | 11 | 3 | 13 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 1
Medián | N/A | 2019-10-18 | 2019-10-23 | N | 1200 | N/A | 1 | 59 | 6 | 9 | 0 | 14 | 2 | 6 | N/A | N/A | 1 | 1 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2019-10-17 | 2019-10-22 | N | 1001 | N/A | 1 | 50 | 10 | N/A | N/A | 12 | 2 | 12 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 0
Medián | N/A | 2019-09-20 | 2019-09-26 | N | 1200 | N/A | 1 | 62 | 7 | N/A | N/A | 13 | 1 | 5 | N/A | N/A | 1 | 1 | N/A | N/A | N/A | 0
Századvég | N/A | 2019-09-23 | 2019-09-25 | N | 1000 | N/A | 1 | 54 | 8 | N/A | N/A | 11 | 3 | 10 | N/A | N/A | N/A | 3 | N/A | N/A | N/A | 4
IDEA Intézet | N/A | 2019-09-20 | 2019-09-24 | N | 2000 | N/A | 1 | 50 | 8 | 7 | 2 | 16 | 2 | 9 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2019-09-07 | 2019-09-15 | N | 1000 | N/A | 1 | 54 | 7 | 1 | 1 | 15 | 2 | 8 | N/A | N/A | 1 | 3 | N/A | N/A | N/A | 1
Nézőpont Intézet | N/A | 2019-08-01 | 2019-08-26 | N | 5000 | N/A | 1 | 53 | 8 | N/A | N/A | 11 | 3 | 11 | N/A | N/A | 4 | 3 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2019-08-12 | 2019-08-17 | N | 1001 | N/A | 1 | 52 | 10 | N/A | N/A | 12 | 2 | 11 | N/A | N/A | 2 | 1 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2019-08-04 | 2019-08-14 | N | 1000 | N/A | 1 | 53 | 9 | 7 | 1 | 14 | 2 | 7 | N/A | N/A | 2 | 3 | N/A | N/A | N/A | 2
Nézőpont Intézet | N/A | 2019-07-02 | 2019-07-28 | N | 5000 | N/A | 1 | 52 | 9 | N/A | N/A | 11 | 3 | 11 | N/A | N/A | 4 | 3 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2019-07-23 | 2019-07-26 | N | 2000 | N/A | 1 | 48 | 9 | 6 | 1 | 18 | 3 | 8 | N/A | N/A | 4 | 2 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2019-07-16 | 2019-07-23 | N | 1007 | N/A | 1 | 51 | 10 | N/A | N/A | 11 | 2 | 10 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2019-07-04 | 2019-07-14 | N | 1000 | N/A | 1 | 51 | 8 | 7 | 1 | 17 | 2 | 7 | N/A | N/A | 3 | 3 | N/A | N/A | N/A | 1
Medián | N/A | 2019-06-28 | 2019-07-02 | N | 1200 | N/A | 1 | 57 | 8 | 7 | 1 | 17 | 2 | 6 | N/A | N/A | 1 | 1 | N/A | N/A | N/A | 0
Publicus Research | N/A | 2019-06-21 | 2019-06-27 | N | 1001 | N/A | 1 | 52 | 10 | 10 | N/A | 12 | 3 | 11 | N/A | N/A | 1 | 1 | N/A | N/A | N/A | 0
Nézőpont Intézet | N/A | 2019-05-31 | 2019-06-26 | N | 5000 | N/A | 1 | 53 | 8 | N/A | N/A | 12 | 3 | 10 | N/A | N/A | 5 | 2 | N/A | N/A | N/A | N/A
ZRI Závecz Research | N/A | 2019-06-04 | 2019-06-14 | N | 1000 | N/A | 1 | 53 | 7 | 7 | 1 | 17 | 2 | 9 | N/A | N/A | 2 | 3 | N/A | N/A | N/A | 0
IDEA Intézet | N/A | 2019-06-05 | 2019-06-09 | N | 2000 | N/A | 1 | 49 | 9 | 8 | 2 | 15 | 2 | 9 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 3
Publicus Research | N/A | 2019-05-16 | 2019-05-22 | N | 999 | N/A | 1 | 52 | 15 | N/A | N/A | 7 | 4 | 4 | N/A | N/A | 2 | 1 | N/A | N/A | N/A | 1
Nézőpont Intézet | N/A | 2019-05-02 | 2019-05-19 | N | 4000 | N/A | 1 | 54 | 10 | N/A | N/A | 10 | 5 | 6 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 0
Medián | N/A | 2019-05-15 | 2019-05-18 | N | 1000 | N/A | 1 | 55 | 12 | N/A | N/A | 10 | 4 | 5 | N/A | N/A | 1 | 2 | N/A | N/A | N/A | 1
Századvég | N/A | 2019-05-10 | 2019-05-18 | N | 1000 | N/A | 1 | 51 | 9 | N/A | N/A | 11 | 3 | 6 | N/A | N/A | N/A | 3 | N/A | N/A | N/A | 3
ZRI Závecz Research | N/A | 2019-05-04 | 2019-05-14 | N | 1000 | N/A | 1 | 53 | 12 | 11 | 1 | 11 | 5 | 4 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 1
Iránytű Intézet | N/A | 2019-05-06 | 2019-05-11 | N | 647 | N/A | 1 | 50 | 14 | N/A | N/A | 8 | 5 | 6 | N/A | N/A | 4 | 2 | N/A | N/A | N/A | 2
IDEA Intézet | N/A | 2019-05-02 | 2019-05-06 | N | 2000 | N/A | 1 | 50 | 13 | 10 | 2 | 9 | 5 | 4 | N/A | N/A | 4 | 2 | N/A | N/A | N/A | 1
Nézőpont Intézet | N/A | 2019-04-01 | 2019-04-26 | N | 1000 | N/A | 1 | 57 | 11 | N/A | N/A | 8 | 4 | 5 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 0
ZRI Závecz Research | N/A | 2019-04-15 | 2019-04-25 | N | 1000 | N/A | 1 | 57 | 6 | 12 | 1 | 11 | 4 | 5 | N/A | N/A | 2 | 1 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2019-04-17 | 2019-04-23 | E | 1010 | N/A | 1 | 52 | 15 | N/A | N/A | 7 | 4 | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Publicus Research | N/A | 2019-04-17 | 2019-04-23 | N | 1010 | N/A | 1 | 52 | 15 | N/A | N/A | 7 | 4 | 6 | N/A | N/A | 0 | 0 | N/A | N/A | N/A | 0
Századvég | N/A | 2019-04-19 | 2019-04-21 | N | 1000 | N/A | 1 | 54 | 14 | N/A | N/A | 9 | 4 | 4 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 1
ZRI Závecz Research | N/A | 2019-04-05 | 2019-04-15 | N | 1000 | N/A | 1 | 53 | 12 | 12 | 1 | 9 | 4 | 4 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 1
Medián | N/A | 2019-03-29 | 2019-04-03 | N | 1000 | N/A | 1 | 56 | 11 | 11 | 1 | 10 | 6 | 3 | N/A | N/A | 1 | 0 | N/A | N/A | N/A | 1
IDEA Intézet | N/A | 2019-03-29 | 2019-04-01 | N | 2000 | N/A | 1 | 48 | 14 | 10 | 2 | 9 | 4 | 6 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 2
Nézőpont Intézet | N/A | 2019-03-01 | 2019-03-28 | N | 5000 | N/A | 1 | 56 | 12 | N/A | N/A | 6 | 5 | 4 | N/A | N/A | 4 | 2 | N/A | N/A | N/A | 0
Publicus Research | N/A | 2019-03-13 | 2019-03-20 | N | 1001 | N/A | 1 | 50 | 16 | N/A | N/A | 4 | 2 | 4 | N/A | N/A | 4 | 1 | N/A | N/A | N/A | 2
Publicus Research | N/A | 2019-03-13 | 2019-03-20 | E | 1001 | N/A | 1 | 52 | 16 | N/A | N/A | 6 | 3 | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
ZRI Závecz Research | N/A | 2019-03-08 | 2019-03-19 | N | 1000 | N/A | 1 | 50 | 14 | 13 | 1 | 9 | 4 | 5 | N/A | N/A | 1 | 2 | N/A | N/A | N/A | 2
IDEA Intézet | N/A | 2019-02-28 | 2019-03-04 | N | 2000 | N/A | 1 | 47 | 17 | 10 | 2 | 9 | 3 | 4 | N/A | N/A | 4 | 2 | N/A | N/A | N/A | 2
Nézőpont Intézet | N/A | 2019-01-31 | 2019-02-22 | N | 5000 | N/A | 1 | 54 | 13 | N/A | N/A | 6 | 5 | 4 | N/A | N/A | 4 | 3 | N/A | N/A | N/A | 0
Publicus Research | N/A | 2019-02-13 | 2019-02-20 | N | 999 | N/A | 1 | 50 | 17 | N/A | N/A | 5 | 3 | 4 | N/A | N/A | 2 | 0 | N/A | N/A | N/A | 4
ZRI Závecz Research | N/A | 2019-02-03 | 2019-02-10 | N | 1000 | N/A | 1 | 49 | 14 | 12 | 2 | 9 | 4 | 4 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | 2
IDEA Intézet | N/A | 2019-01-26 | 2019-01-28 | N | 2000 | N/A | 1 | 47 | 16 | 10 | 2 | 9 | 3 | 6 | N/A | N/A | 4 | 1 | N/A | N/A | N/A | 2
Medián | N/A | 2019-01-18 | 2019-01-27 | N | 1200 | N/A | 1 | 56 | 13 | 12 | 1 | 9 | 5 | 3 | N/A | N/A | 0 | 1 | N/A | N/A | N/A | 0
Nézőpont Intézet | N/A | 2019-01-01 | 2019-01-27 | N | 5000 | N/A | 1 | 54 | 13 | N/A | N/A | 7 | 5 | 4 | N/A | N/A | 3 | 3 | N/A | N/A | N/A | 1
Publicus Research | N/A | 2019-01-09 | 2019-01-16 | N | 1009 | N/A | 1 | 47 | 17 | N/A | N/A | 6 | 4 | 4 | N/A | N/A | 3 | 1 | N/A | N/A | N/A | 2
Századvég | N/A | 2019-01-07 | 2019-01-13 | N | 1000 | N/A | 1 | 53 | 13 | N/A | N/A | 8 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9
ZRI Závecz Research | N/A | 2019-01-04 | 2019-01-11 | N | 1000 | N/A | 1 | 48 | 17 | 12 | 2 | 8 | 4 | 5 | N/A | N/A | 3 | 1 | N/A | N/A | N/A | 1
IDEA Intézet | N/A | 2018-12-17 | 2018-12-20 | N | 2000 | N/A | 1 | 50 | 11 | 10 | 3 | 9 | 4 | 5 | N/A | N/A | 4 | 1 | N/A | N/A | N/A | 2
Publicus Research | N/A | 2018-12-13 | 2018-12-19 | N | 1000 | N/A | 1 | 48 | 16 | N/A | N/A | 6 | 4 | 4 | N/A | N/A | 3 | 1 | N/A | N/A | N/A | 3
Nézőpont Intézet | N/A | 2018-11-26 | 2018-12-15 | N | 2000 | N/A | 1 | 54 | 14 | N/A | N/A | 7 | 4 | 4 | N/A | N/A | 3 | 3 | N/A | N/A | N/A | 0
ZRI Závecz Research | N/A | 2018-12-04 | 2018-12-11 | N | 1000 | N/A | 1 | 51 | 15 | 11 | 2 | 8 | 3 | 4 | N/A | N/A | 3 | 2 | N/A | N/A | N/A | 1
