Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ÖVP | SPÖ | FPÖ | NEOS | GRÜNE | JETZT | G!LT | HC | MFG | KPÖ | BIER | Other
OGM | KURIER | 2022-06-20 | 2022-06-23 | N | 1015 | N/A | 1 | 23 | 29 | 19 | 11 | 10 | N/A | N/A | N/A | 5 | N/A | N/A | 3
Unique Research | Heute | 2022-06-20 | 2022-06-23 | N | 800 | N/A | 1 | 21 | 31 | 19 | 11 | 11 | N/A | N/A | N/A | 5 | N/A | N/A | 2
Market | ÖSTERREICH | 2022-06-13 | 2022-06-21 | N | 2000 | N/A | 1 | 21 | 31 | 21 | 11 | 9 | N/A | N/A | N/A | 4 | N/A | N/A | 3
INSA | eXXpress | 2022-06-10 | 2022-06-14 | N | 1000 | N/A | 1 | 22 | 29 | 20 | 11 | 10 | N/A | N/A | N/A | 4 | N/A | N/A | 4
Market | ÖSTERREICH | 2022-06-07 | 2022-06-14 | N | 2000 | N/A | 1 | 22 | 31 | 19 | 12 | 9 | N/A | N/A | N/A | 5 | N/A | N/A | 2
IFDD | Kronen Zeitung | 2022-06-07 | 2022-06-11 | N | 1250 | N/A | 1 | 21 | 31 | 20 | 11 | 9 | N/A | N/A | N/A | 5 | N/A | N/A | 3
Unique Research | profil | 2022-06-07 | 2022-06-09 | N | 800 | N/A | 1 | 22 | 27 | 20 | 10 | 12 | N/A | N/A | N/A | 6 | N/A | N/A | 3
Market | ÖSTERREICH | 2022-06-07 | 2022-06-08 | N | 2000 | N/A | 1 | 21 | 32 | 19 | 12 | 9 | N/A | N/A | N/A | 5 | N/A | N/A | 2
Market | ÖSTERREICH | 2022-05-30 | 2022-06-01 | N | 2000 | N/A | 1 | 22 | 30 | 19 | 13 | 9 | N/A | N/A | N/A | 5 | N/A | N/A | 2
Market | Der Standard | 2022-05-23 | 2022-05-25 | N | 1000 | N/A | 1 | 23 | 29 | 20 | 11 | 10 | N/A | N/A | N/A | 5 | N/A | N/A | 2
Market | ÖSTERREICH | 2022-05-21 | 2022-05-24 | N | 2000 | N/A | 1 | 23 | 29 | 20 | 11 | 11 | N/A | N/A | N/A | 5 | N/A | N/A | 1
Market | POLITIK LIVE and ÖSTERREICH | 2022-05-16 | 2022-05-19 | N | 2000 | N/A | 1 | 23 | 29 | 21 | 11 | 9 | N/A | N/A | N/A | 6 | N/A | N/A | 1
Unique Research | profil | 2022-05-09 | 2022-05-12 | N | 800 | N/A | 1 | 22 | 27 | 20 | 11 | 12 | N/A | N/A | N/A | 6 | N/A | N/A | 2
Market | POLITIK LIVE and ÖSTERREICH | 2022-05-09 | 2022-05-11 | N | 2000 | N/A | 1 | 23 | 27 | 20 | 12 | 9 | N/A | N/A | N/A | 5 | N/A | N/A | 2
OGM | KURIER | 2022-04-29 | 2022-05-05 | N | 800 | N/A | 1 | 26 | 26 | 18 | 10 | 12 | N/A | N/A | N/A | 5 | N/A | N/A | 3
Market | ÖSTERREICH | 2022-04-25 | 2022-05-05 | N | 2000 | N/A | 1 | 24 | 28 | 18 | 11 | 11 | N/A | N/A | N/A | 5 | N/A | N/A | 3
Peter Hajek | APA and ATV | 2022-04-25 | 2022-04-28 | N | 800 | N/A | 1 | 26 | 26 | 18 | 9 | 12 | N/A | N/A | N/A | 7 | N/A | N/A | 2
Unique Research | Heute | 2022-04-22 | 2022-04-26 | N | 800 | N/A | 1 | 24 | 28 | 19 | 12 | 11 | N/A | N/A | N/A | 5 | N/A | N/A | 1
Unique Research | profil | 2022-04-04 | 2022-04-07 | N | 800 | N/A | 1 | 24 | 28 | 19 | 9 | 11 | N/A | N/A | N/A | 7 | N/A | N/A | 2
OGM | KURIER | 2022-03-22 | 2022-03-24 | N | 968 | N/A | 1 | 26 | 26 | 18 | 10 | 11 | N/A | N/A | N/A | 6 | N/A | N/A | 3
IFDD | PULS 24 | 2022-03-21 | 2022-03-24 | N | 1000 | N/A | 1 | 23 | 28 | 19 | 10 | 9 | N/A | N/A | N/A | 6 | N/A | N/A | 5
Unique Research | Heute | 2022-03-21 | 2022-03-24 | N | 800 | N/A | 1 | 22 | 29 | 19 | 9 | 11 | N/A | N/A | N/A | 8 | N/A | N/A | 2
Unique Research | profil | 2022-03-03 | 2022-03-10 | N | 800 | N/A | 1 | 23 | 27 | 19 | 10 | 11 | N/A | N/A | N/A | 8 | N/A | N/A | 2
IFDD | Kronen Zeitung | 2022-02-21 | 2022-03-03 | N | 600 | N/A | 1 | 23 | 28 | 20 | 11 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | 9
Peter Hajek | APA and ATV | 2022-02-21 | 2022-02-24 | N | 800 | N/A | 1 | 23 | 25 | 20 | 11 | 11 | N/A | N/A | N/A | 7 | N/A | N/A | 3
Market | Der Standard | 2022-02-18 | 2022-02-22 | N | 803 | N/A | 1 | 24 | 27 | 20 | 12 | 11 | N/A | N/A | N/A | 5 | N/A | N/A | 1
Unique Research | profil | 2022-02-07 | 2022-02-10 | N | 800 | N/A | 1 | 24 | 25 | 18 | 10 | 13 | N/A | N/A | N/A | 7 | N/A | N/A | 3
Unique Research | profil | 2022-01-10 | 2022-01-13 | N | 500 | N/A | 1 | 25 | 25 | 20 | 11 | 11 | N/A | N/A | N/A | 6 | N/A | N/A | 2
Market | Der Standard | 2021-12-23 | 2021-12-28 | N | 800 | N/A | 1 | 24 | 26 | 21 | 11 | 12 | N/A | N/A | N/A | 4 | N/A | N/A | 2
Peter Hajek | APA and ATV | 2021-12-13 | 2021-12-16 | N | 800 | N/A | 1 | 27 | 25 | 17 | 10 | 14 | N/A | N/A | N/A | 4 | N/A | N/A | 3
Market | Der Standard | 2021-12-06 | 2021-12-09 | N | 800 | N/A | 1 | 24 | 26 | 22 | 11 | 12 | N/A | N/A | N/A | 4 | N/A | N/A | 1
Unique Research | profil | 2021-12-06 | 2021-12-09 | N | 800 | N/A | 1 | 27 | 27 | 17 | 9 | 11 | N/A | N/A | N/A | 6 | N/A | N/A | 3
IFDD | PULS 24 | 2021-12-06 | 2021-12-09 | N | 552 | N/A | 1 | 23 | 26 | 20 | 12 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 7
OGM | KURIER | 2021-11-23 | 2021-11-25 | N | 837 | N/A | 1 | 23 | 26 | 21 | 12 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Unique Research | profil | 2021-11-15 | 2021-11-18 | N | 800 | N/A | 1 | 24 | 25 | 20 | 10 | 13 | N/A | N/A | N/A | 3 | N/A | N/A | 5
Unique Research | Heute | 2021-11-08 | 2021-11-11 | N | 800 | N/A | 1 | 24 | 25 | 18 | 11 | 13 | N/A | N/A | N/A | 6 | N/A | N/A | 3
Peter Hajek | APA and ATV | 2021-10-18 | 2021-10-21 | N | 800 | N/A | 1 | 23 | 23 | 20 | 12 | 16 | N/A | N/A | N/A | 4 | N/A | N/A | 2
OGM | KURIER | 2021-10-12 | 2021-10-15 | N | 1170 | N/A | 1 | 26 | 24 | 21 | 12 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Unique Research | profil | 2021-10-12 | 2021-10-15 | N | 800 | N/A | 1 | 25 | 25 | 19 | 11 | 14 | N/A | N/A | N/A | 3 | N/A | N/A | 3
Market | Der Standard | 2021-10-11 | 2021-10-12 | N | 800 | N/A | 1 | 27 | 25 | 21 | 13 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 3
IFDD | N/A | 2021-10-07 | 2021-10-11 | N | 1526 | N/A | 1 | 26 | 25 | 21 | 11 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 6
OGM | KURIER | 2021-09-07 | 2021-09-09 | N | 804 | N/A | 1 | 34 | 24 | 18 | 11 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2021-08-06 | 2021-08-11 | N | 805 | N/A | 1 | 31 | 25 | 18 | 11 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2021-08-02 | 2021-08-05 | N | 800 | N/A | 1 | 35 | 21 | 19 | 11 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 2
IFDD | PULS 24 | 2021-07-15 | 2021-07-21 | N | 800 | N/A | 1 | 35 | 22 | 19 | 12 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2021-07-05 | 2021-07-08 | N | 800 | N/A | 1 | 34 | 22 | 17 | 12 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 3
IFDD | PULS 24 | 2021-06-28 | 2021-07-02 | N | 806 | N/A | 1 | 33 | 24 | 18 | 12 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | Heute | 2021-06-28 | 2021-07-01 | N | 800 | N/A | 1 | 35 | 22 | 17 | 12 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2021-06-29 | 2021-06-30 | N | 820 | N/A | 1 | 31 | 26 | 17 | 11 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 2
OGM | KURIER | 2021-06-22 | 2021-06-24 | N | 801 | N/A | 1 | 33 | 25 | 18 | 11 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Peter Hajek | N/A | 2021-06-21 | 2021-06-24 | N | 800 | N/A | 1 | 34 | 23 | 18 | 12 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 2
IFDD | PULS 24 | 2021-06-10 | 2021-06-15 | N | 803 | N/A | 1 | 32 | 27 | 18 | 11 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2021-06-08 | 2021-06-10 | N | 841 | N/A | 1 | 32 | 27 | 16 | 11 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2021-06-07 | 2021-06-10 | N | 800 | N/A | 1 | 33 | 23 | 18 | 11 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Market | N/A | 2021-05-24 | 2021-05-30 | N | 1000 | N/A | 1 | 29 | 28 | 20 | 11 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Demox Research | N/A | 2021-05-14 | 2021-05-14 | N | 1000 | N/A | 1 | 33 | 23 | 18 | 11 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 3
Unique Research | profil | 2021-05-10 | 2021-05-12 | N | 800 | N/A | 1 | 34 | 23 | 18 | 10 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 3
Peter Hajek | APA and ATV | 2021-04-26 | 2021-04-29 | N | 800 | N/A | 1 | 33 | 25 | 18 | 9 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2021-04-05 | 2021-04-08 | N | 800 | N/A | 1 | 33 | 24 | 19 | 10 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 2
OGM | KURIER | 2021-03-30 | 2021-04-01 | N | 801 | N/A | 1 | 35 | 24 | 17 | 10 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 3
Market | Der Standard | 2021-03-26 | 2021-03-30 | N | 800 | N/A | 1 | 36 | 26 | 15 | 10 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | Heute | 2021-03-23 | 2021-03-25 | N | 800 | N/A | 1 | 36 | 23 | 18 | 11 | 11 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peter Hajek | APA and ATV | 2021-03-08 | 2021-03-11 | N | 800 | N/A | 1 | 35 | 25 | 17 | 11 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2021-03-01 | 2021-03-04 | N | 800 | N/A | 1 | 35 | 24 | 17 | 12 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Market | Der Standard | 2021-02-15 | 2021-02-17 | N | 1000 | N/A | 1 | 37 | 25 | 14 | 10 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2021-02-08 | 2021-02-11 | N | 800 | N/A | 1 | 36 | 23 | 17 | 11 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 3
IFDD | Kronen Zeitung | 2021-01-25 | 2021-02-01 | N | 800 | N/A | 1 | 35 | 24 | 18 | 11 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2021-01-11 | 2021-01-14 | N | 800 | N/A | 1 | 37 | 22 | 16 | 10 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2020-12-17 | 2020-12-21 | N | 809 | N/A | 1 | 39 | 23 | 13 | 9 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | 2
OGM | KURIER | 2020-12-15 | 2020-12-17 | N | 794 | N/A | 1 | 40 | 23 | 13 | 9 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Peter Hajek | APA and ATV | 2020-12-08 | 2020-12-12 | N | 800 | N/A | 1 | 39 | 22 | 16 | 9 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2020-12-05 | 2020-12-05 | N | 814 | N/A | 1 | 40 | 20 | 15 | 10 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Market | Der Standard | 2020-11-30 | 2020-12-02 | N | 800 | N/A | 1 | 39 | 23 | 14 | 8 | 14 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | N/A | 2020-11-02 | 2020-11-06 | N | 804 | N/A | 1 | 38 | 21 | 16 | 10 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
OGM | N/A | 2020-10-20 | 2020-10-22 | N | 1647 | N/A | 1 | 40 | 23 | 11 | 8 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Unique Research | N/A | 2020-10-12 | 2020-10-16 | N | 806 | N/A | 1 | 40 | 22 | 13 | 9 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Unique Research | N/A | 2020-09-14 | 2020-09-18 | N | 804 | N/A | 1 | 39 | 20 | 16 | 8 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2020-08-10 | 2020-08-13 | N | 806 | N/A | 1 | 41 | 18 | 15 | 9 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Unique Research | profil | 2020-07-13 | 2020-07-16 | N | 801 | N/A | 1 | 41 | 19 | 15 | 8 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 1
OGM | N/A | 2020-06-23 | 2020-06-25 | N | 805 | N/A | 1 | 42 | 19 | 13 | 8 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2020-06-09 | 2020-06-12 | N | 802 | N/A | 1 | 44 | 17 | 14 | 8 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Karmasin Research & Identity | N/A | 2020-06-05 | 2020-06-09 | N | 1000 | N/A | 1 | 42 | 19 | 13 | 8 | 15 | N/A | N/A | N/A | N/A | N/A | N/A | 3
Market | Der Standard | 2020-05-21 | 2020-05-26 | N | 809 | N/A | 1 | 44 | 20 | 12 | 7 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2020-05-18 | 2020-05-19 | N | 1000 | N/A | 1 | 43 | 21 | 12 | 6 | 17 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2020-05-11 | 2020-05-14 | N | 802 | N/A | 1 | 46 | 17 | 14 | 6 | 15 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Market | Der Standard | 2020-05-11 | 2020-05-13 | N | 1000 | N/A | 1 | 44 | 21 | 11 | 6 | 17 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Market | N/A | 2020-04-20 | 2020-04-22 | N | 1000 | N/A | 1 | 44 | 20 | 10 | 7 | 18 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2020-04-13 | 2020-04-16 | N | 806 | N/A | 1 | 48 | 16 | 13 | 6 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peter Hajek | ATV | 2020-04-07 | 2020-04-14 | N | 807 | N/A | 1 | 46 | 17 | 10 | 7 | 16 | N/A | N/A | 3 | N/A | N/A | N/A | 1
Market | Der Standard | 2020-04-03 | 2020-04-07 | N | 1800 | N/A | 1 | 44 | 19 | 11 | 6 | 19 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
OGM | N/A | 2020-03-31 | 2020-04-02 | N | 800 | N/A | 1 | 45 | 16 | 12 | 7 | 18 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Market | Der Standard | 2020-03-24 | 2020-03-31 | N | 1000 | N/A | 1 | 43 | 19 | 11 | 7 | 19 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | N/A | 2020-03-09 | 2020-03-13 | N | 811 | N/A | 1 | 39 | 16 | 17 | 9 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 3
Market | Der Standard | 2020-03-11 | 2020-03-12 | N | 1000 | N/A | 1 | 40 | 20 | 13 | 9 | 17 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2020-02-10 | 2020-02-14 | N | 804 | N/A | 1 | 38 | 15 | 16 | 10 | 17 | N/A | N/A | N/A | N/A | N/A | N/A | 4
Market | N/A | 2020-02-04 | 2020-02-06 | N | 813 | N/A | 1 | 39 | 19 | 15 | 9 | 17 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Peter Hajek | ATV | 2020-01-27 | 2020-01-31 | N | 802 | N/A | 1 | 40 | 18 | 15 | 9 | 14 | N/A | N/A | 3 | N/A | N/A | N/A | 1
Karmasin Research & Identity | N/A | 2020-01-10 | 2020-01-15 | N | 1000 | N/A | 1 | 39 | 17 | 15 | 9 | 17 | N/A | N/A | N/A | N/A | N/A | N/A | 3
Unique Research | profil | 2020-01-06 | 2020-01-10 | N | 806 | N/A | 1 | 38 | 16 | 16 | 10 | 17 | N/A | N/A | N/A | N/A | N/A | N/A | 3
Market | Der Standard | 2019-12-16 | 2019-12-19 | N | 806 | N/A | 1 | 39 | 19 | 14 | 10 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2019-12-09 | 2019-12-13 | N | 807 | N/A | 1 | 39 | 18 | 15 | 10 | 17 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2019-11-29 | 2019-12-04 | N | 792 | N/A | 1 | 39 | 18 | 15 | 10 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2019-11-11 | 2019-11-15 | N | 817 | N/A | 1 | 38 | 19 | 17 | 9 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | 1
Karmasin Research & Identity | N/A | 2019-11-08 | 2019-11-13 | N | 3000 | N/A | 1 | 38 | 20 | 15 | 9 | 15 | N/A | N/A | N/A | N/A | N/A | N/A | 3
Market | Der Standard | 2019-10-15 | 2019-10-17 | N | 802 | N/A | 1 | 38 | 20 | 16 | 9 | 15 | N/A | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2019-10-07 | 2019-10-11 | N | 807 | N/A | 1 | 37 | 20 | 17 | 9 | 15 | N/A | N/A | N/A | N/A | N/A | N/A | 2
OGM | Servus TV | 2019-09-16 | 2019-09-23 | N | 1006 | N/A | 1 | 34 | 22 | 20 | 8 | 12 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Peter Hajek | ATV, PULS 4 and Servus TV | 2019-09-12 | 2019-09-20 | N | 3021 | N/A | 1 | 34 | 22 | 20 | 8 | 13 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2019-09-16 | 2019-09-18 | N | 806 | N/A | 1 | 35 | 23 | 20 | 8 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Institut für Grundlagenforschung | N/A | 2019-09-01 | 2019-09-18 | N | 710 | N/A | 0.5 | 32 | 19 | 26 | 8 | 11 | 3.5 | N/A | N/A | N/A | N/A | N/A | 0.5
Karmasin Research & Identity | N/A | 2019-09-11 | 2019-09-17 | N | 3000 | N/A | 1 | 34 | 22 | 20 | 9 | 13 | 1 | N/A | N/A | N/A | N/A | N/A | 1
OGM | KURIER | 2019-09-06 | 2019-09-13 | N | 2167 | N/A | 1 | 35 | 22 | 20 | 8 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2019-09-02 | 2019-09-13 | N | 2402 | N/A | 1 | 33 | 22 | 20 | 8 | 13 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Karmasin Research & Identity | PULS 24 | 2019-09-05 | 2019-09-10 | N | 3000 | N/A | 1 | 35 | 22 | 19 | 9 | 12 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2019-09-05 | 2019-09-08 | N | 803 | N/A | 1 | 34 | 22 | 21 | 10 | 10 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2019-09-02 | 2019-09-04 | N | 800 | N/A | 1 | 34 | 22 | 21 | 9 | 11 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Karmasin Research & Identity | PULS 24 | 2019-08-29 | 2019-09-03 | N | 3000 | N/A | 1 | 35 | 21 | 20 | 9 | 12 | 1 | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2019-08-19 | 2019-08-22 | N | 800 | N/A | 1 | 36 | 20 | 20 | 9 | 12 | 1 | N/A | N/A | N/A | N/A | N/A | 2
OGM | KURIER | 2019-08-08 | 2019-08-12 | N | 812 | N/A | 0.5 | 35 | 23 | 20 | 8 | 11 | 1.5 | N/A | N/A | N/A | N/A | N/A | 1.5
Kowarcz Marktforschung | N/A | 2019-07-26 | 2019-08-09 | N | 1600 | N/A | 1 | 31 | 20 | 22 | 9 | 13 | 2 | N/A | N/A | N/A | N/A | N/A | 3
Market | Der Standard | 2019-08-02 | 2019-08-05 | N | 800 | N/A | 1 | 35 | 22 | 20 | 10 | 10 | 1 | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2019-07-08 | 2019-07-12 | N | 800 | N/A | 1 | 37 | 20 | 21 | 9 | 11 | 1 | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2019-07-08 | 2019-07-09 | N | 807 | N/A | 1 | 36 | 21 | 20 | 10 | 11 | 1 | N/A | N/A | N/A | N/A | N/A | 1
Peter Hajek | ATV | 2019-06-24 | 2019-06-28 | N | 800 | N/A | 1 | 38 | 20 | 20 | 9 | 11 | 1 | N/A | N/A | N/A | N/A | N/A | 1
SORA | ORF | 2019-05-31 | 2019-06-10 | N | 1089 | N/A | 1 | 38 | 21 | 18 | 8 | 12 | 1 | N/A | N/A | N/A | N/A | N/A | 2
Market | Der Standard | 2019-06-05 | 2019-06-06 | N | 809 | N/A | 1 | 38 | 22 | 19 | 9 | 10 | 1 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | N/A | 2019-05-31 | 2019-06-05 | N | 800 | N/A | 1 | 37 | 20 | 21 | 10 | 10 | 1 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | N/A | 2019-05-29 | 2019-05-31 | N | 954 | N/A | 1 | 38 | 21 | 19 | 10 | 10 | 1 | N/A | N/A | N/A | N/A | N/A | 1
Demox Research | N/A | 2019-05-01 | 2019-05-31 | N | 1000 | N/A | 0.5 | 37.5 | 22.5 | 18.5 | 10.5 | 8.5 | N/A | N/A | N/A | N/A | N/A | N/A | 2
OGM | KURIER | 2019-05-27 | 2019-05-29 | N | 805 | N/A | 0.5 | 36.0 | 22.0 | 21.0 | 8.0 | 10.0 | 1.5 | N/A | N/A | N/A | N/A | N/A | 1.5
Unique Research | N/A | 2019-04-29 | 2019-05-09 | E | 2405 | N/A | 1 | 30 | 27 | 23 | 8 | 10 | 1 | N/A | N/A | N/A | N/A | N/A | N/A
OGM | KURIER | 2019-04-29 | 2019-05-02 | E | 860 | N/A | 0.5 | 30.5 | 27.5 | 24.5 | 7 | 7 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A
Demox Research | N/A | 2019-04-25 | 2019-05-02 | N | 1500 | N/A | 1 | 34 | 27 | 22 | 8 | 6 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2019-04-12 | 2019-04-15 | N | 803 | N/A | 1 | 34 | 28 | 22 | 7 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | profil | 2019-04-08 | 2019-04-12 | N | 800 | N/A | 1 | 34 | 28 | 22 | 7 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Demox Research | N/A | 2019-03-28 | 2019-04-11 | N | 1500 | N/A | 1 | 33 | 27 | 24 | 7 | 6 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2019-03-11 | 2019-03-15 | N | 800 | N/A | 1 | 34 | 25 | 24 | 8 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | Heute | 2019-03-04 | 2019-03-07 | N | 800 | N/A | 1 | 33 | 27 | 24 | 7 | 6 | 2 | N/A | N/A | N/A | N/A | N/A | 1
INSA | SWG | 2019-02-27 | 2019-03-01 | E | 1000 | N/A | 1 | 29 | 25 | 24 | 8 | 9 | 2 | N/A | N/A | N/A | N/A | N/A | 3
Peter Hajek | ATV | 2019-02-21 | 2019-02-28 | N | 800 | N/A | 1 | 34 | 27 | 23 | 8 | 6 | 1 | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2019-02-18 | 2019-02-20 | E | 804 | N/A | 1 | 34 | 25 | 21 | 11 | 8 | 2 | N/A | N/A | N/A | N/A | N/A | N/A
Unique Research | profil | 2019-02-11 | 2019-02-15 | N | 800 | N/A | 1 | 32 | 26 | 25 | 8 | 6 | 1 | N/A | N/A | N/A | N/A | N/A | 2
Demox Research | Die Presse | 2019-02-05 | 2019-02-08 | N | 1000 | N/A | 0.5 | 34 | 27 | 22 | 8.5 | 5 | 1.5 | N/A | N/A | N/A | N/A | N/A | 2
OGM | KURIER | 2019-01-15 | 2019-01-17 | N | 803 | N/A | 1 | 35 | 27 | 24 | 7 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 0
Unique Research | profil | 2019-01-07 | 2019-01-11 | N | 800 | N/A | 1 | 35 | 27 | 21 | 8 | 6 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2018-12-10 | 2018-12-14 | N | 800 | N/A | 1 | 35 | 26 | 22 | 8 | 6 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2018-12-07 | 2018-12-12 | N | 804 | N/A | 1 | 34 | 27 | 24 | 7 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Peter Hajek | ATV | 2018-12-03 | 2018-12-11 | N | 800 | N/A | 1 | 35 | 26 | 22 | 9 | 5 | 3 | N/A | N/A | N/A | N/A | N/A | 0
GfK | Die Presse | 2018-11-26 | 2018-12-09 | N | 2000 | N/A | 0.5 | 34 | 26 | 23.5 | 7.5 | 5.5 | 1.5 | N/A | N/A | N/A | N/A | N/A | 2
Unique Research | Heute | 2018-12-03 | 2018-12-06 | N | 800 | N/A | 1 | 33 | 26 | 22 | 9 | 6 | 3 | N/A | N/A | N/A | N/A | N/A | 1
Unique Research | profil | 2018-11-12 | 2018-11-16 | N | 800 | N/A | 1 | 35 | 24 | 24 | 9 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Market | Der Standard | 2018-11-13 | 2018-11-15 | N | 803 | N/A | 1 | 33 | 26 | 25 | 8 | 5 | 2 | N/A | N/A | N/A | N/A | N/A | 1
Peter Hajek | ATV | 2018-10-22 | 2018-10-31 | N | 1000 | N/A | 1 | 33 | 25 | 25 | 7 | 6 | 2 | N/A | N/A | N/A | N/A | N/A | 2
