Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ANO | Piráti | ODS | SPD | KSČM | SOCDEM | STAN | TOP 09 | KDU-ČSL | Zelení | Svobodní | Trikolóra | SPOLU | Přísaha | SsČR | PRO | Other
Median | N/A | 2020-02-29 | 2020-03-26 | N | 1019 | N/A | 0.5 | 29.5 | 12.0 | 13.0 | 6.0 | 7.5 | 7.5 | 5.5 | 5.5 | 5.0 | 1.5 | N/A | 3.0 | N/A | N/A | N/A | N/A | N/A
CVVM | N/A | 2020-02-29 | 2020-03-11 | N | 1012 | 62.0 | 0.5 | 33.0 | 12.5 | 14.5 | 4.5 | 7.0 | 8.5 | 4.5 | 4.5 | 7.0 | 1.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | 1.0
TNS Kantar | O24 | 2020-02-10 | 2020-02-28 | N | 888 | 73.0 | 0.5 | 31.0 | 15.5 | 13.0 | 6.5 | 4.5 | 5.5 | 6.5 | 5.5 | 5.0 | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | 4.0
CVVM | N/A | 2020-02-01 | 2020-02-13 | N | 1020 | 62.0 | 0.5 | 33.0 | 13.0 | 14.0 | 5.0 | 8.0 | 9.0 | 3.5 | 3.5 | 6.0 | 2.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | 1.0
Median | N/A | 2020-01-01 | 2020-02-13 | N | 1111 | 62.5 | 0.5 | 30.0 | 11.5 | 14.0 | 7.5 | 8.0 | 7.0 | 6.0 | 4.5 | 5.0 | 2.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | 2.5
TNS Kantar | N/A | 2020-01-13 | 2020-01-31 | N | 899 | 59.0 | 0.5 | 30.0 | 16.5 | 12.5 | 7.5 | 6.5 | 5.0 | 5.0 | 5.5 | 5.0 | 2.0 | N/A | 2.5 | N/A | N/A | N/A | N/A | 2.5
CVVM | N/A | 2020-01-11 | 2020-01-20 | N | 758 | N/A | 0.5 | 32.0 | 13.5 | 15.0 | 4.0 | 7.5 | 8.5 | 5.5 | 5.0 | 5.5 | 1.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | 0.5
Phoenix Research | N/A | 2020-01-01 | 2020-01-12 | N | 1002 | N/A | 0.1 | 28.8 | 15.9 | 10.2 | 8.5 | 4.5 | 7.0 | 5.8 | 2.8 | 6.6 | N/A | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A
CVVM | N/A | 2019-11-30 | 2019-12-11 | N | 713 | N/A | 0.5 | 29.5 | 14 | 12.5 | 5.5 | 8 | 10 | 4.0 | 3.5 | 6.5 | 1.5 | N/A | 3.5 | N/A | N/A | N/A | N/A | 1.5
Median | N/A | 2019-10-29 | 2019-11-30 | N | 1126 | N/A | 0.5 | 30.5 | 12.5 | 12.5 | 7.5 | 7.5 | 7.5 | 6.0 | 5.5 | 5.0 | 1.5 | N/A | 2.0 | N/A | N/A | N/A | N/A | 2.0
TNS Kantar | N/A | 2019-11-09 | 2019-11-29 | N | 1200 | N/A | 0.5 | 28.5 | 13.5 | 14.5 | 6.5 | 6.0 | 6.0 | 6.5 | 5.5 | 4.5 | N/A | N/A | 6.5 | N/A | N/A | N/A | N/A | 3.0
STEM | N/A | 2019-11-14 | 2019-11-26 | N | 1111 | N/A | 0.1 | 34.9 | 10.9 | 10.5 | 9.1 | 7.1 | 6.4 | 7.2 | 3.7 | 5.5 | 1.0 | N/A | 1.9 | N/A | N/A | N/A | N/A | 1.6
Phoenix Research | N/A | 2019-11-01 | 2019-11-18 | N | 1089 | N/A | 0.1 | 26.6 | 10.5 | 8.8 | 7.1 | 4.7 | 5.7 | 4.5 | 3.4 | 5.6 | N/A | N/A | 5.1 | N/A | N/A | N/A | N/A | 18.0
CVVM | N/A | 2019-11-02 | 2019-11-15 | N | 685 | 61.0 | 0.5 | 30.0 | 13.5 | 14.0 | 5.5 | 9.0 | 9.0 | 4.0 | 3.5 | 5.5 | 1.0 | 1.0 | 3.5 | N/A | N/A | N/A | N/A | 0.5
TNS Kantar | N/A | 2019-10-12 | 2019-11-01 | N | 1200 | N/A | 0.1 | 31.5 | 17.0 | 12.5 | 4.5 | 7.0 | 4.5 | 5.0 | 6.0 | 5.0 | 1.4 | N/A | 4.2 | N/A | N/A | N/A | N/A | 1.9
Median | N/A | 2019-09-30 | 2019-10-28 | N | 1153 | N/A | 0.5 | 30.5 | 12.5 | 11.5 | 8.0 | 7.0 | 7.5 | 6.0 | 6.0 | 4.5 | 2.0 | N/A | 1.5 | N/A | N/A | N/A | N/A | 3.0
STEM | N/A | 2019-10-11 | 2019-10-25 | N | 991 | N/A | 0.1 | 33.1 | 12.2 | 10.5 | 7.5 | 8.4 | 6.5 | 4.3 | 4.4 | 5.6 | 1.4 | N/A | 4.2 | N/A | N/A | N/A | N/A | 1.9
TNS Kantar | N/A | 2019-09-16 | 2019-10-05 | N | 1200 | N/A | 0.5 | 30.0 | 15.5 | 14.5 | 6.0 | 6.5 | 5.0 | 5.5 | 5.5 | 5.0 | 2.0 | N/A | 3.5 | N/A | N/A | N/A | N/A | 3.5
Median | N/A | 2019-08-28 | 2019-09-29 | N | 1041 | N/A | 0.5 | 31.0 | 13.5 | 12.5 | 7.5 | 6.5 | 7.0 | 5.5 | 5.5 | 5.5 | 2.0 | N/A | 1.5 | N/A | N/A | N/A | N/A | 2.0
Phoenix Research | N/A | 2019-08-20 | 2019-09-18 | N | 1055 | N/A | 0.5 | 30 | 19 | 11 | 6 | 5 | 7.5 | 3.5 | 5.0 | 5.5 | 2.0 | N/A | 4.0 | N/A | N/A | N/A | N/A | 3.0
CVVM | N/A | 2019-09-07 | 2019-09-17 | N | 1018 | 59.0 | 0.5 | 30.0 | 13.0 | 12.0 | 8.5 | 8.5 | 9.5 | 4.5 | 4.0 | 4.5 | 1.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | 1.5
TNS Kantar | N/A | 2019-08-10 | 2019-08-30 | N | 1200 | N/A | 0.5 | 30.0 | 17.0 | 14.5 | 8.0 | 4.5 | 6.0 | 5.0 | 4.5 | 5.0 | 2.0 | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A
Median | N/A | 2019-07-27 | 2019-08-26 | N | 1041 | N/A | 0.5 | 29.5 | 14.5 | 14.5 | 8.5 | 6.0 | 6.5 | 5.0 | 5.5 | 5.0 | 2.0 | N/A | 2.0 | N/A | N/A | N/A | N/A | 2.0
Median | N/A | 2019-07-01 | 2019-07-26 | N | 1041 | N/A | 0.5 | 28.5 | 14.0 | 12.5 | 9.0 | 6.5 | 8.0 | 6.0 | 4.5 | 6.0 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Median | N/A | 2019-06-01 | 2019-06-30 | N | 1045 | N/A | 0.5 | 29.0 | 13.0 | 14.5 | 9.0 | 7.5 | 7.5 | 5.0 | 4.5 | 5.5 | 2.5 | 1.0 | N/A | N/A | N/A | N/A | N/A | 1.0
TNS Kantar | Česká televize | 2019-06-17 | 2019-06-26 | N | 1200 | N/A | 0.5 | 25.5 | 18.5 | 13.0 | 8.5 | 5.5 | 6.5 | 6.0 | 5.0 | 4.5 | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | 4.0
CVVM | N/A | 2019-06-08 | 2019-06-17 | N | 1003 | N/A | 0.5 | 29.0 | 17.0 | 15.0 | 6.5 | 9.0 | 7.5 | 4.5 | 3.0 | 5.0 | 1.0 | N/A | 1.0 | N/A | N/A | N/A | N/A | 1.5
TNS Kantar | Česká televize | 2019-05-11 | 2019-05-31 | N | 1200 | N/A | 0.5 | 27.5 | 17.5 | 12.5 | 10.5 | 6.5 | 6.0 | 7.0 | 4.0 | 4.5 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Median | N/A | 2019-04-24 | 2019-05-25 | N | 1003 | N/A | 0.5 | 30.5 | 12.0 | 14.5 | 10.0 | 6.0 | 8.5 | 5.0 | 4.5 | 5.5 | 1.0 | 1.0 | N/A | N/A | N/A | N/A | N/A | 1.5
Phoenix Research | N/A | 2019-04-10 | 2019-05-16 | E | 1065 | N/A | 1 | 19 | 17 | 16 | 4 | 6 | 8 | N/A | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CVVM | N/A | 2019-05-04 | 2019-05-14 | N | 1001 | N/A | 0.5 | 28.0 | 13.5 | 17.0 | 5.0 | 11.0 | 9.5 | 4.5 | 3.0 | 4.5 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
STEM | N/A | 2019-04-29 | 2019-05-03 | E | 1658 | N/A | 1 | 20 | 16 | 11 | 14 | 7 | 6 | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
TNS Kantar | Česká televize | 2019-04-12 | 2019-05-03 | N | 878 | N/A | 0.5 | 30 | 16 | 14 | 9 | 6.0 | 7 | 6 | 4.0 | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
STEM | N/A | 2019-04-05 | 2019-04-17 | N | 1074 | N/A | 1 | 34 | 11 | 13 | 10 | 10 | 8 | 3 | 4 | 5 | 1 | 1 | N/A | N/A | N/A | N/A | N/A | N/A
CVVM | N/A | 2019-03-30 | 2019-04-10 | N | 719 | N/A | 1 | 32 | 13 | 14 | 6 | 11 | 13 | 4 | 3 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Phoenix Research | Blesk Zprávy | 2019-03-21 | 2019-04-04 | E | 1049 | 68.3 | 0.1 | 14.2 | 16.5 | 12.0 | 3.1 | 5.2 | 6.8 | N/A | N/A | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.0
Median | N/A | 2019-02-24 | 2019-03-24 | N | 1038 | N/A | 0.5 | 30.5 | 14 | 14 | 8.5 | 8.0 | 8.0 | 5 | 4 | 5 | 1.5 | 1 | N/A | N/A | N/A | N/A | N/A | 1.0
CVVM | N/A | 2019-03-12 | 2019-03-13 | N | 1096 | N/A | 0.5 | 32.0 | 12.5 | 14.0 | 4.5 | 8.5 | 12.5 | 3.5 | 4.0 | 5.5 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
TNS Kantar | Česká televize | 2019-02-09 | 2019-03-01 | N | 1200 | N/A | 0.5 | 31.0 | 17.5 | 12.5 | 9.5 | 6.0 | 6.5 | 5.0 | 4.0 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Median | N/A | 2019-01-24 | 2019-02-24 | N | 1018 | N/A | 0.5 | 33.5 | 13 | 13 | 7 | 7.5 | 8 | 5 | 4 | 6 | 1.5 | 1 | N/A | N/A | N/A | N/A | N/A | N/A
CVVM | N/A | 2019-02-02 | 2019-02-13 | E | 684 | N/A | 0.5 | 26.0 | 11.5 | 16.0 | 4.5 | 8.0 | 7.5 | N/A | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
STEM | N/A | 2019-01-25 | 2019-02-06 | N | 1084 | N/A | 0.1 | 31.9 | 15.7 | 11 | 7.7 | 8.5 | 8.3 | 4 | 3.6 | 6 | 1 | 1 | N/A | N/A | N/A | N/A | N/A | N/A
TNS Kantar | Česká televize | 2019-01-12 | 2019-02-02 | N | 1200 | N/A | 0.5 | 32.0 | 16.5 | 13.5 | 7.0 | 6.5 | 5.0 | 5.0 | 5.5 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
CVVM | N/A | 2019-01-12 | 2019-02-01 | N | 886 | N/A | 0.5 | 30.5 | 14.5 | 14.5 | 4.5 | 10 | 11 | 4.5 | 3 | 5 | 1 | 1 | N/A | N/A | N/A | N/A | N/A | N/A
Median | N/A | 2018-12-10 | 2019-01-24 | N | 1129 | N/A | 0.5 | 30.0 | 13.5 | 15.5 | 8.0 | 7.5 | 9.0 | 4.5 | 4.5 | 4.5 | 1.0 | 1.5 | N/A | N/A | N/A | N/A | N/A | 1.0
CVVM | N/A | 2019-01-05 | 2019-01-19 | N | 759 | N/A | 0.5 | 31.0 | 15.0 | 13.0 | 4.0 | 9.5 | 12.5 | 3.5 | 3.0 | 5.0 | 1.5 | 1.0 | N/A | N/A | N/A | N/A | N/A | 1.0
CVVM | N/A | 2018-12-01 | 2018-12-13 | N | 1050 | N/A | 0.5 | 33.5 | 14.0 | 14.5 | 4.0 | 10.0 | 9.5 | 3.0 | 4.5 | 4.0 | 1.0 | 1.0 | N/A | N/A | N/A | N/A | N/A | 1.0
Median | N/A | 2018-11-10 | 2018-12-09 | N | 1056 | N/A | 0.5 | 29.5 | 13.0 | 13.5 | 10.0 | 7.0 | 7.5 | 5.0 | 5.0 | 5.5 | 0.5 | 1.5 | N/A | N/A | N/A | N/A | N/A | 1.0
Phoenix Research | N/A | 2018-11-20 | 2018-12-08 | N | 1018 | N/A | 0.1 | 29.7 | 14.1 | 14.2 | 6.3 | 4.9 | 6.1 | 3.5 | 3.0 | 5.1 | 0.0 | 0.4 | N/A | N/A | N/A | N/A | N/A | 12.7
STEM | N/A | 2018-11-19 | 2018-11-30 | N | 1034 | N/A | 0.1 | 35.7 | 13.1 | 12.4 | 6.9 | 7.6 | 6.6 | 4.6 | 4.9 | 5.1 | 0.8 | 1.5 | N/A | N/A | N/A | N/A | N/A | 0.8
TNS Kantar | Česká televize | 2018-11-03 | 2018-11-25 | N | 1200 | N/A | 0.5 | 32.5 | 19.0 | 16.0 | 5.5 | 6.0 | 5.0 | 5.5 | 4.0 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
CVVM | N/A | 2018-11-03 | 2018-11-15 | N | 1104 | N/A | 0.5 | 29.5 | 14.0 | 14.5 | 7.5 | 10.0 | 9.0 | 4.0 | 3.0 | 5.0 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Phoenix Research | N/A | 2018-10-20 | 2018-11-07 | N | 1018 | N/A | 0.1 | 24.9 | 13.2 | 14.7 | 7.8 | 5.5 | 5.0 | 4.0 | 3.1 | 5.1 | 0.5 | 0.5 | N/A | N/A | N/A | N/A | N/A | 15.7
CVVM | N/A | 2018-10-13 | 2018-10-26 | N | 1001 | N/A | 0.5 | 30.0 | 11.0 | 19.0 | 5.0 | 8.5 | 9.0 | 4.0 | 3.0 | 7.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
TNS Kantar | Česká televize | 2018-10-06 | 2018-10-26 | N | 1200 | N/A | 0.5 | 27.0 | 16.0 | 14.0 | 7.5 | 6.5 | 5.5 | 7.0 | 5.0 | 6.0 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Median | N/A | 2018-09-25 | 2018-10-25 | N | 1097 | N/A | 0.5 | 28.5 | 12.0 | 12.0 | 9.0 | 8.5 | 9.5 | 5.5 | 5.5 | 5.0 | 1.0 | 1.5 | N/A | N/A | N/A | N/A | N/A | 2.0
STEM | N/A | 2018-10-09 | 2018-10-24 | N | 1011 | N/A | 0.1 | 33.4 | 12.6 | 12.9 | 9.6 | 7.4 | 6.7 | 5.3 | 2.1 | 6.4 | 1.1 | 0.5 | N/A | N/A | N/A | N/A | N/A | 1.5
Phoenix Research | Blesk Zprávy | 2018-10-01 | 2018-10-10 | N | 1062 | N/A | 0.1 | 24.5 | 13.8 | 15.0 | 7.2 | 5.2 | 5.2 | 4.1 | 3.1 | 5.3 | 1.0 | 1.0 | N/A | N/A | N/A | N/A | N/A | 14.6
TNS Kantar | N/A | 2018-09-01 | 2018-09-21 | N | 1200 | N/A | 0.5 | 29.5 | 15.5 | 13.0 | 9.0 | 5.5 | 7.0 | 5.5 | 4.0 | 5.0 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
CVVM | N/A | 2018-09-08 | 2018-09-20 | N | 1037 | N/A | 0.5 | 30.0 | 13.0 | 14.0 | 5.0 | 10.5 | 12.0 | 4.0 | 4.0 | 4.5 | 1.0 | 1.0 | N/A | N/A | N/A | N/A | N/A | 1.0
Median | N/A | 2018-07-25 | 2018-08-28 | N | 1053 | N/A | 0.5 | 31.0 | 10.5 | 14.0 | 8.0 | 9.0 | 8.5 | 3.5 | 5.5 | 5.5 | 2.0 | 1.5 | N/A | N/A | N/A | N/A | N/A | 1.5
TNS Kantar | N/A | 2018-08-04 | 2018-08-26 | N | 1200 | N/A | 1 | 28.0 | 15.0 | 13.0 | 8.0 | 8.0 | 7.0 | 7.0 | 5.0 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Median | N/A | 2018-06-27 | 2018-07-23 | N | 1235 | N/A | 0.5 | 30.0 | 11.5 | 14.0 | 8.5 | 8.5 | 8.5 | 4.0 | 5.0 | 5.5 | 2.5 | 1.5 | N/A | N/A | N/A | N/A | N/A | 0.5
CVVM | N/A | 2018-06-16 | 2018-06-29 | N | 1046 | N/A | 0.5 | 31.0 | 10.0 | 14.0 | 6.5 | 10.5 | 11.0 | 4.5 | 4.5 | 6.0 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | 1.0
STEM | N/A | 2018-06-13 | 2018-06-27 | N | 1007 | N/A | 0.1 | 32.0 | 10.2 | 15.5 | 8.6 | 9.1 | 7.9 | 2.7 | 4.9 | 6.3 | 0.6 | 1.9 | N/A | N/A | N/A | N/A | N/A | 0.3
Median | N/A | 2018-05-25 | 2018-06-26 | N | 1141 | N/A | 0.5 | 31.5 | 11.5 | 12.5 | 8.5 | 8.0 | 9.0 | 4.0 | 6.0 | 4.5 | 2.0 | 1.0 | N/A | N/A | N/A | N/A | N/A | 1.5
Phoenix Research | Blesk Zprávy | 2018-06-18 | 2018-06-24 | N | 1016 | N/A | 0.1 | 25.5 | 12.1 | 11.1 | 8.6 | 9.6 | 5.4 | 2.6 | 3.0 | 4.3 | 1.4 | 2.1 | N/A | N/A | N/A | N/A | N/A | 4.3
TNS Kantar | Česká televize | 2018-06-02 | 2018-06-22 | N | 1200 | N/A | 0.5 | 28.5 | 12.5 | 15.5 | 9.5 | 8.0 | 7.0 | 5.5 | 3.5 | 5.0 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
TNS Kantar | Česká televize | 2018-05-12 | 2018-06-01 | N | 1200 | N/A | 0.5 | 27.0 | 14.5 | 16.0 | 9.0 | 7.5 | 7.0 | 5.5 | 5.0 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5
CVVM | N/A | 2018-05-12 | 2018-05-24 | N | 1008 | N/A | 0.5 | 29.0 | 11.0 | 13.0 | 7.5 | 10.5 | 13.0 | 4.5 | 3.0 | 5.5 | 1.0 | 1.0 | N/A | N/A | N/A | N/A | N/A | 1.0
Median | N/A | 2018-04-10 | 2018-05-05 | N | 1224 | N/A | 0.5 | 30.5 | 11.5 | 14.0 | 9.0 | 8.5 | 8.0 | 4.0 | 6.0 | 5.5 | 1.5 | 1.0 | N/A | N/A | N/A | N/A | N/A | 0.5
Median | N/A | 2017-11-15 | 2018-05-03 | N | 5781 | N/A | 0.5 | 30.5 | 12.0 | 13.0 | 9.5 | 8.5 | 7.5 | 5.0 | 5.5 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
STEM | N/A | 2018-04-19 | 2018-04-29 | N | 1046 | N/A | 0.1 | 32.9 | 13.5 | 13.7 | 9.0 | 8.5 | 7.0 | 3.9 | 3.9 | 5.4 | 0.8 | 0.8 | N/A | N/A | N/A | N/A | N/A | 0.6
TNS Kantar | Česká televize | 2018-04-07 | 2018-04-27 | N | 887 | N/A | 0.5 | 30.5 | 14.5 | 14.5 | 8.0 | 8.0 | 6.5 | 5.5 | 4.0 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
CVVM | N/A | 2018-04-07 | 2018-04-19 | N | 1115 | N/A | 0.5 | 29.0 | 12.5 | 13.5 | 7.5 | 10.0 | 11.5 | 3.0 | 4.5 | 6.5 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | 1.0
TNS Kantar | Česká televize | 2018-03-10 | 2018-03-29 | N | 847 | N/A | 0.5 | 29.5 | 13.5 | 14.0 | 7.5 | 6.5 | 8.5 | 6.0 | 4.5 | 5.0 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
CVVM | N/A | 2018-03-03 | 2018-03-15 | N | 1061 | N/A | 0.5 | 30.5 | 12.5 | 12.5 | 6.5 | 11.0 | 11.0 | 4.5 | 4.5 | 4.5 | 1.0 | 1.0 | N/A | N/A | N/A | N/A | N/A | 0.5
TNS Kantar | Česká televize | 2018-02-03 | 2018-02-23 | N | 1200 | N/A | 0.5 | 33.0 | 12.5 | 12.0 | 8.5 | 6.5 | 7.5 | 4.5 | 4.5 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
CVVM | N/A | 2018-02-03 | 2018-02-15 | N | 812 | N/A | 0.5 | 33.5 | 13.0 | 10.5 | 6.5 | 10.0 | 12.0 | 3.0 | 3.5 | 3.5 | 1.0 | 1.0 | N/A | N/A | N/A | N/A | N/A | 2.5
STEM | N/A | 2018-02-01 | 2018-02-08 | N | 1028 | N/A | 0.1 | 32.5 | 13.3 | 11.0 | 9.5 | 8.7 | 7.1 | 4.0 | 4.6 | 5.2 | 1.1 | 1.5 | N/A | N/A | N/A | N/A | N/A | 1.5
CVVM | N/A | 2018-01-15 | 2018-01-24 | N | 1068 | N/A | 0.5 | 30.5 | 12.5 | 12.0 | 7.5 | 8.0 | 12.5 | 3.0 | 4.0 | 5.0 | 1.5 | 1.5 | N/A | N/A | N/A | N/A | N/A | 2.0
CVVM | N/A | 2017-12-02 | 2017-12-17 | N | 715 | N/A | 0.5 | 35.5 | 11.5 | 11.5 | 6.5 | 7.5 | 10.0 | 4.0 | 4.5 | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
STEM | N/A | 2017-12-01 | 2017-12-11 | N | 1027 | N/A | 0.1 | 33.0 | 12.2 | 9.6 | 8.7 | 8.8 | 8.0 | 5.2 | 4.4 | 5.4 | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
TNS Kantar | Česká televize | 2017-11-04 | 2017-11-24 | N | 1200 | N/A | 0.5 | 30.0 | 14.0 | 12.0 | 9.5 | 7.0 | 5.5 | 5.5 | 5.0 | 4.5 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
