Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | N-VA | cd&v | Open Vld | Vooruit | Groen | VB | PTB/PVDA | PS | MR | Ecolo | LE | PP | DéFI | DC | Other
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2016-09-19 | 2016-09-25 | N | 983 | N/A | 0.1 | 25.9 | 17.6 | 12.5 | 13.7 | 10.7 | 12.0 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Dedicated | La Libre Belgique and RTBf | 2016-09-02 | 2016-09-06 | N | 1002 | N/A | 0.1 | 25.2 | 15.6 | 14.0 | 14.9 | 10.0 | 13.1 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2016-05-06 | 2016-05-12 | N | 1045 | N/A | 0.1 | 24.2 | 13.8 | 13.2 | 15.6 | 11.1 | 13.9 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Dedicated | La Libre Belgique and RTBf | 2016-03-31 | 2016-04-04 | N | 975 | N/A | 0.1 | 25.6 | 18.3 | 13.3 | 14.4 | 10.2 | 12.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
TNS Media | De Standaard and VRT | 2016-02-22 | 2016-03-09 | N | 1005 | N/A | 0.1 | 27.3 | 19.1 | 14.1 | 14.7 | 11.6 | 8.1 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2016-01-15 | 2016-01-20 | N | 1043 | N/A | 0.1 | 28.5 | 16.0 | 12.5 | 15.2 | 10.3 | 11.6 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Dedicated | La Libre Belgique and RTBf | 2015-12-03 | 2015-12-07 | N | 990 | N/A | 0.1 | 29.2 | 15.0 | 12.6 | 14.1 | 11.6 | 11.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2015-09-28 | 2015-10-04 | N | 1030 | N/A | 0.1 | 28.8 | 17.8 | 12.5 | 14.5 | 9.0 | 10.5 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
TNS Media | De Standaard and VRT | 2015-09-22 | 2015-10-02 | N | 1019 | N/A | 0.1 | 31.1 | 18.4 | 14.9 | 13.8 | 9.9 | 7.0 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Dedicated | La Libre Belgique and RTBf | 2015-09-09 | 2015-09-14 | N | 745 | N/A | 0.1 | 27.5 | 16.0 | 14.4 | 16.2 | 10.1 | 9.7 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Dedicated | La Libre Belgique and RTBf | 2015-05-12 | 2015-05-18 | N | 761 | N/A | 0.1 | 28.1 | 17.2 | 15.4 | 15.6 | 10.0 | 7.9 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
TNS Media | De Standaard and VRT | 2015-04-20 | 2015-05-03 | N | 1032 | N/A | 0.1 | 28.5 | 21.2 | 16.1 | 14.3 | 11.6 | 5.8 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2015-04-20 | 2015-04-24 | N | 963 | N/A | 0.1 | 28.3 | 15.8 | 14.0 | 15.6 | 10.7 | 8.0 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Dedicated | La Libre Belgique and RTBf | 2015-03-05 | 2015-03-09 | N | 691 | N/A | 0.1 | 28.8 | 16.7 | 15.4 | 16.4 | 9.6 | 7.4 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2015-01-23 | 2015-01-28 | N | 1035 | N/A | 0.1 | 30.2 | 17.1 | 14.9 | 14.7 | 10.2 | 7.6 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ipsos | Het Laatste Nieuws, Le Soir, RTL TVi and VTM | 2015-01-05 | 2015-01-11 | N | 1043 | N/A | 0.1 | 27.8 | 18.3 | 14.3 | 15.7 | 10.4 | 6.8 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
AQ Rate | Het Laatste Nieuws | 2014-12-04 | 2014-12-05 | N | 794 | N/A | 1 | 28 | 17 | 12 | 16 | 14 | 6 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Dedicated | La Libre Belgique and RTBf | 2014-11-27 | 2014-12-01 | N | 773 | N/A | 0.1 | 30.9 | 18.2 | 13.3 | 15.2 | 10.2 | 5.7 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
AQ Rate | Het Laatste Nieuws | 2014-10-09 | 2014-10-10 | N | 801 | N/A | 1 | 30 | 14 | 16 | 18 | 9 | 8 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
TNS Media | De Standaard and VRT | 2014-09-22 | 2014-10-03 | N | 1023 | N/A | 0.1 | 29.9 | 20.0 | 14.4 | 15.7 | 9.8 | 6.5 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Dedicated | La Libre Belgique and RTBf | 2014-09-05 | 2014-09-09 | N | 792 | N/A | 0.1 | 31.9 | 17.7 | 15.4 | 15.0 | 9.6 | 5.5 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
AQ Rate | Het Laatste Nieuws | 2014-07-01 | 2014-07-31 | N | 880 | N/A | 0.1 | 32.9 | 17.7 | 15.4 | 14.6 | 9.0 | 5.8 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
AQ Rate | Het Laatste Nieuws | 2014-06-01 | 2014-06-30 | N | N/A | N/A | 0.1 | 38.4 | 15.5 | 13.8 | 13.1 | 7.8 | 5.2 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
