Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PS | PSD | BE | CDU | CDS–PP | PAN | A | L | IL | CH | Other
Aximage | N/A | 2020-10-22 | 2020-10-26 | N | 694 | N/A | 0.1 | 35.5 | 27.0 | 10.0 | 5.7 | 1.2 | 5.2 | N/A | N/A | 3.2 | 5.4 | 6.4
Intercampus | Correio da Manhã and Negócios | 2020-10-06 | 2020-10-11 | N | 618 | N/A | 0.1 | 37.5 | 24.8 | 11.0 | 4.3 | 4.1 | 4.1 | N/A | 0.4 | 2.4 | 7.7 | 3.7
Eurosondagem | N/A | 2020-10-05 | 2020-10-08 | N | 1010 | N/A | 0.1 | 38.8 | 29.0 | 8.1 | 5.5 | 3.3 | 2.0 | N/A | N/A | 1.3 | 4.8 | 7.2
ICS/ISCTE | N/A | 2020-09-14 | 2020-09-24 | N | 801 | N/A | 1 | 37 | 27 | 8 | 6 | 2 | 4 | N/A | N/A | 2 | 7 | 6
Aximage | N/A | 2020-09-12 | 2020-09-15 | N | 603 | N/A | 0.1 | 37.6 | 23.9 | 8.3 | 5.6 | 1.1 | 4.8 | N/A | 1.2 | 2.6 | 6.8 | 8.1
Eurosondagem | N/A | 2020-09-07 | 2020-09-10 | N | 1022 | N/A | 0.1 | 38.5 | 28.2 | 8.3 | 5.8 | 2.5 | 3.3 | N/A | N/A | 1.0 | 4.5 | 7.9
Intercampus | Correio da Manhã and Negócios | 2020-09-04 | 2020-09-09 | N | 614 | N/A | 0.1 | 37.4 | 24.3 | 9.9 | 5.1 | 4.3 | 4.1 | N/A | 0.4 | 2.1 | 7.4 | 5.0
Intercampus | Correio da Manhã and Negócios | 2020-08-06 | 2020-08-11 | N | 601 | N/A | 0.1 | 39.6 | 24.8 | 8.5 | 6.1 | 4.4 | 3.2 | N/A | 0.0 | 2.8 | 7.9 | 2.7
CESOP–UCP | Público and RTP | 2020-07-13 | 2020-07-18 | N | 1482 | N/A | 1 | 39 | 26 | 7 | 6 | 3 | 3 | N/A | N/A | 3 | 7 | 6
Intercampus | Correio da Manhã and Negócios | 2020-07-08 | 2020-07-13 | N | 620 | N/A | 0.1 | 39.0 | 23.9 | 10.4 | 6.2 | 4.8 | 3.0 | N/A | 0.4 | 2.8 | 6.2 | 3.2
Aximage | Jornal Económico | 2020-07-05 | 2020-07-08 | N | 624 | N/A | 0.1 | 40.4 | 26.7 | 8.5 | 6.0 | 2.1 | 2.6 | N/A | 0.1 | 2.1 | 5.2 | 6.3
Eurosondagem | N/A | 2020-06-29 | 2020-07-02 | N | 1025 | N/A | 0.1 | 38.4 | 29.3 | 8.4 | 6.0 | 2.2 | 2.8 | N/A | N/A | 1.1 | 4.4 | 7.4
Intercampus | Correio da Manhã and Negócios | 2020-06-09 | 2020-06-13 | N | 610 | N/A | 0.1 | 40.0 | 24.1 | 9.8 | 6.2 | 4.1 | 3.1 | N/A | 0.8 | 1.9 | 6.8 | 3.2
Aximage | Jornal Económico | 2020-06-05 | 2020-06-08 | N | 605 | 59.2 | 0.1 | 39.9 | 25.8 | 8.0 | 4.9 | 1.2 | 4.3 | N/A | 0.2 | 1.4 | 5.3 | 9.0
Eurosondagem | N/A | 2020-06-01 | 2020-06-04 | N | 1021 | N/A | 0.1 | 38.0 | 29.3 | 8.0 | 5.3 | 2.7 | 3.0 | N/A | N/A | 1.1 | 4.1 | 8.5
Pitagórica | Jornal de Notícias | 2020-05-16 | 2020-05-24 | N | 802 | N/A | 0.1 | 44.8 | 24.1 | 6.1 | 5.8 | 2.8 | 3.3 | N/A | N/A | 1.6 | 6.4 | 5.1
Eurosondagem | N/A | 2020-05-17 | 2020-05-20 | N | 2120 | N/A | 0.1 | 37.9 | 30.0 | 8.1 | 5.2 | 3.2 | 2.2 | N/A | N/A | 1.2 | 4.3 | 7.9
Intercampus | Correio da Manhã and Negócios | 2020-05-05 | 2020-05-09 | N | 620 | N/A | 0.1 | 40.3 | 23.3 | 9.0 | 5.9 | 3.6 | 3.6 | N/A | 0.7 | 3.2 | 6.8 | 3.6
Eurosondagem | N/A | 2020-05-04 | 2020-05-07 | N | 1005 | N/A | 0.1 | 37.7 | 29.4 | 8.3 | 5.5 | 3.0 | 2.5 | N/A | N/A | 1.2 | 4.0 | 8.4
Pitagórica | Jornal de Notícias | 2020-04-15 | 2020-04-26 | N | 605 | N/A | 0.1 | 41.9 | 23.1 | 8.1 | 5.6 | 2.6 | 2.6 | N/A | N/A | 2.6 | 7.3 | 6.2
Intercampus | Correio da Manhã and Negócios | 2020-04-09 | 2020-04-14 | N | 623 | N/A | 0.1 | 35.4 | 23.3 | 11.9 | 5.8 | 3.9 | 4.9 | N/A | 0.7 | 2.4 | 7.8 | 3.9
Eurosondagem | N/A | 2020-03-29 | 2020-04-02 | N | 1008 | N/A | 0.1 | 37.5 | 27.2 | 9.0 | 6.0 | 2.8 | 2.4 | N/A | N/A | 1.2 | 3.6 | 10.3
Pitagórica | Jornal de Notícias | 2020-03-13 | 2020-03-21 | N | 605 | N/A | 0.1 | 41.7 | 25.2 | 8.6 | 5.4 | 2.9 | 3.1 | N/A | N/A | 2.0 | 8.1 | 3.1
Intercampus | Correio da Manhã and Negócios | 2020-03-13 | 2020-03-19 | N | 611 | N/A | 0.1 | 31.4 | 21.9 | 14.5 | 6.1 | 3.6 | 5.9 | N/A | 0.2 | 2.3 | 8.6 | 5.5
Eurosondagem | N/A | 2020-03-01 | 2020-03-05 | N | 1011 | N/A | 0.1 | 37.3 | 27.4 | 8.8 | 6.3 | 2.9 | 2.8 | N/A | N/A | 1.1 | 3.3 | 10.1
Aximage | N/A | 2020-02-14 | 2020-02-18 | N | 839 | N/A | 0.1 | 35.1 | 26.1 | 7.7 | 5.4 | 2.1 | 4.1 | N/A | 0.7 | 2.5 | 4.3 | 12.0
Intercampus | Correio da Manhã and Negócios | 2020-02-11 | 2020-02-17 | N | 614 | N/A | 0.1 | 31.1 | 23.8 | 13.2 | 6.3 | 3.5 | 5.4 | N/A | 0.8 | 2.9 | 6.9 | 6.1
Eurosondagem | N/A | 2020-02-02 | 2020-02-06 | N | N/A | N/A | 0.1 | 37.4 | 26.7 | 9.0 | 6.5 | 3.3 | 3.1 | N/A | 0.5 | 1.1 | 2.5 | 9.9
ICS/ISCTE | N/A | 2020-01-22 | 2020-02-05 | N | 800 | N/A | 1 | 33 | 28 | 9 | 8 | 4 | 3 | N/A | 1 | 2 | 6 | 6
Intercampus | Correio da Manhã and Negócios | 2020-01-19 | 2020-01-24 | N | 619 | N/A | 0.1 | 32.8 | 25.8 | 11.9 | 6.2 | 1.9 | 6.0 | N/A | 1.7 | 2.3 | 6.2 | 5.2
Eurosondagem | N/A | 2020-01-05 | 2020-01-09 | N | 1010 | N/A | 0.1 | 37.2 | 26.5 | 9.6 | 6.6 | 3.5 | 3.6 | N/A | 0.6 | 1.3 | 2.2 | 8.9
Intercampus | Correio da Manhã and Negócios | 2019-12-12 | 2019-12-17 | N | 606 | N/A | 0.1 | 33.9 | 25.7 | 10.7 | 6.3 | 3.9 | 6.1 | N/A | 1.1 | 2.4 | 5.7 | 4.2
Eurosondagem | N/A | 2019-12-08 | 2019-12-12 | N | 1019 | N/A | 0.1 | 37.1 | 26.9 | 9.5 | 7.1 | 3.6 | 3.5 | N/A | 0.6 | 1.1 | 1.9 | 8.7
Intercampus | Correio da Manhã and Negócios | 2019-11-20 | 2019-11-26 | N | 604 | N/A | 0.1 | 34.9 | 24.9 | 10.8 | 8.1 | 2.9 | 4.8 | N/A | 2.7 | 2.9 | 4.8 | 3.2
Eurosondagem | N/A | 2019-11-17 | 2019-11-21 | N | 1011 | N/A | 0.1 | 36.9 | 27.1 | 10.1 | 6.9 | 4.0 | 3.3 | N/A | N/A | N/A | N/A | 11.7
Aximage | N/A | 2019-11-08 | 2019-11-11 | N | 639 | N/A | 0.1 | 37.4 | 27.1 | 10.4 | 6.2 | 4.0 | 3.2 | N/A | 0.9 | 1.3 | 3.0 | 6.5
Intercampus | Correio da Manhã and Negócios | 2019-10-22 | 2019-10-28 | N | 604 | N/A | 0.1 | 37.1 | 25.8 | 11.1 | 7.2 | 4.6 | 5.5 | N/A | 2.8 | 0.8 | 2.6 | N/A
Pitagórica | Jornal de Notícias | 2019-09-30 | 2019-10-03 | N | 600 | N/A | 0.1 | 37.2 | 27.8 | 9.2 | 6.6 | 4.6 | 4.8 | 1.1 | 0.9 | 0.9 | 1.8 | 5.3
Pitagórica | Jornal de Notícias | 2019-09-29 | 2019-10-02 | N | 600 | N/A | 0.1 | 37.3 | 28.8 | 9.2 | 6.6 | 3.9 | 4.4 | 1.5 | 0.9 | 0.9 | 1.5 | 5.0
Aximage | Jornal Económico | 2019-09-26 | 2019-10-02 | N | 2171 | N/A | 0.1 | 36.5 | 26.8 | 10.7 | 6.6 | 4.9 | 3.8 | N/A | 1.3 | 1.1 | 1.3 | 7.0
Pitagórica | Jornal de Notícias | 2019-09-28 | 2019-10-01 | N | 600 | N/A | 0.1 | 37.4 | 28.5 | 8.9 | 7.4 | 4.0 | 3.8 | 1.1 | 0.8 | 0.4 | 1.5 | 6.2
Intercampus | Correio da Manhã and Negócios | 2019-09-26 | 2019-10-01 | N | 1000 | N/A | 0.1 | 35.0 | 26.1 | 8.7 | 8.0 | 4.5 | 5.6 | N/A | N/A | N/A | N/A | 12.1
Eurosondagem | Porto Canal | 2019-09-25 | 2019-10-01 | N | 2071 | N/A | 0.1 | 38.8 | 25.5 | 9.6 | 7.1 | 5.0 | 4.0 | N/A | N/A | N/A | N/A | 10.0
Pitagórica | Jornal de Notícias | 2019-09-27 | 2019-09-30 | N | 600 | N/A | 0.1 | 35.6 | 28.6 | 9.5 | 7.8 | 4.2 | 2.9 | 1.1 | 1.5 | 1.1 | 1.3 | 6.5
CESOP–UCP | Público and RTP | 2019-09-26 | 2019-09-29 | N | 3226 | N/A | 1 | 37 | 30 | 10 | 6 | 5 | 3 | 1 | 1 | 1 | 1 | 6
Pitagórica | Jornal de Notícias | 2019-09-26 | 2019-09-29 | N | 600 | N/A | 0.1 | 35.3 | 28.9 | 9.1 | 7.8 | 4.5 | 3.2 | 0.6 | 1.5 | 1.3 | 1.1 | 6.7
GfK Metris | Expresso and SIC Notícias | 2019-09-23 | 2019-09-29 | N | 1330 | N/A | 0.1 | 38 | 28 | 10 | 6 | 5 | 3 | 0.3 | 0.5 | 0.2 | 0.4 | 7
Pitagórica | Jornal de Notícias | 2019-09-25 | 2019-09-28 | N | 600 | N/A | 0.1 | 37.7 | 27.7 | 10.0 | 6.3 | 4.4 | 3.1 | 0.7 | 1.3 | 1.1 | 1.1 | 6.8
Pitagórica | Jornal de Notícias | 2019-09-24 | 2019-09-27 | N | 600 | N/A | 0.1 | 37.1 | 26.4 | 10.4 | 6.4 | 3.6 | 3.1 | 0.7 | 1.3 | 2.0 | 1.1 | 7.8
Pitagórica | Jornal de Notícias | 2019-09-23 | 2019-09-26 | N | 600 | N/A | 0.1 | 37.8 | 26.6 | 10.1 | 5.1 | 4.0 | 3.6 | 0.7 | 1.1 | 1.6 | 1.1 | 8.3
Pitagórica | Jornal de Notícias | 2019-09-22 | 2019-09-25 | N | 600 | N/A | 0.1 | 38.3 | 26.8 | 10.6 | 5.3 | 4.4 | 3.3 | 0.7 | 1.1 | 1.3 | 0.7 | 7.5
Aximage | Jornal Económico | 2019-09-21 | 2019-09-25 | N | N/A | N/A | 0.1 | 37.4 | 25.2 | 11.0 | 6.8 | 5.1 | 3.6 | N/A | 1.6 | 1.2 | 1.5 | 6.6
Pitagórica | Jornal de Notícias | 2019-09-21 | 2019-09-24 | N | 600 | N/A | 0.1 | 36.4 | 27.0 | 10.6 | 6.9 | 4.4 | 3.0 | 0.5 | 1.2 | 1.8 | 0.7 | 7.6
Pitagórica | Jornal de Notícias | 2019-09-20 | 2019-09-23 | N | 600 | N/A | 0.1 | 36.0 | 28.5 | 10.5 | 6.8 | 4.4 | 3.7 | 0.5 | 0.9 | 1.2 | 0.5 | 7.0
Pitagórica | Jornal de Notícias | 2019-09-19 | 2019-09-22 | N | 600 | N/A | 0.1 | 37.6 | 27.7 | 10.4 | 7.6 | 4.7 | 3.3 | 0.7 | 0.5 | 0.9 | 0.2 | 6.3
Pitagórica | Jornal de Notícias | 2019-09-18 | 2019-09-21 | N | 600 | N/A | 0.1 | 38.7 | 26.8 | 9.7 | 6.9 | 5.5 | 3.1 | 1.0 | 0.2 | 1.0 | 0.5 | 6.7
Pitagórica | Jornal de Notícias | 2019-09-17 | 2019-09-20 | N | 600 | N/A | 0.1 | 40.6 | 26.6 | 8.8 | 6.8 | 5.2 | 3.6 | 1.1 | 0.2 | 0.5 | 0.5 | 6.1
Pitagórica | Jornal de Notícias | 2019-09-09 | 2019-09-12 | N | 605 | N/A | 0.1 | 39.2 | 23.3 | 10.0 | 7.7 | 5.6 | 3.2 | 1.5 | 0.9 | N/A | N/A | 8.6
Eurosondagem | N/A | 2019-09-07 | 2019-09-12 | N | 2048 | N/A | 0.1 | 38.3 | 23.3 | 9.5 | 7.1 | 5.5 | 4.5 | N/A | N/A | N/A | N/A | 11.8
Intercampus | Correio da Manhã and Negócios | 2019-09-02 | 2019-09-11 | N | 801 | N/A | 0.1 | 37.9 | 23.6 | 9.8 | 8.6 | 6.3 | 5.2 | N/A | N/A | N/A | N/A | 8.6
Aximage | N/A | 2019-09-01 | 2019-09-08 | N | 985 | N/A | 0.1 | 38.4 | 20.6 | 10.2 | 5.4 | 4.6 | 4.9 | N/A | N/A | N/A | N/A | 15.9
Eurosondagem | Associação Mutualista Montepio | 2019-09-01 | 2019-09-05 | N | 1022 | N/A | 0.1 | 38.1 | 23.3 | 9.0 | 6.9 | 6.0 | 4.4 | 1.7 | N/A | N/A | N/A | 10.6
GfK Metris | Expresso and SIC Notícias | 2019-08-24 | 2019-09-05 | N | 801 | N/A | 1 | 42 | 23 | 9 | 6 | 5 | 4 | 0 | 0 | 0 | 0 | 11
Pitagórica | Jornal de Notícias | 2019-08-12 | 2019-08-24 | N | 1525 | N/A | 0.1 | 43.6 | 20.4 | 10.0 | 6.6 | 4.9 | 3.2 | 1.5 | 0.6 | 1.3 | N/A | 7.9
Multidados | TVI | 2019-07-18 | 2019-07-28 | N | 800 | N/A | 0.1 | 35.5 | 20.3 | 14.7 | 5.6 | 3.3 | 7.9 | N/A | N/A | N/A | N/A | 12.7
Aximage | Correio da Manhã and Negócios | 2019-07-12 | 2019-07-15 | N | 601 | N/A | 0.1 | 37.5 | 23.6 | 9.4 | 6.8 | 4.9 | 4.0 | N/A | N/A | N/A | N/A | 13.8
Pitagórica | Jornal de Notícias | 2019-07-08 | 2019-07-14 | N | 800 | N/A | 0.1 | 43.2 | 21.6 | 9.2 | 6.8 | 6.0 | 3.6 | 1.2 | N/A | N/A | 0.8 | 7.6
Eurosondagem | Associação Mutualista Montepio | 2019-07-07 | 2019-07-11 | N | 1011 | N/A | 0.1 | 37.3 | 23.6 | 9.0 | 6.8 | 6.4 | 4.3 | 1.5 | N/A | N/A | N/A | 11.1
ICS/ISCTE | Expresso and SIC Notícias | 2019-06-15 | 2019-06-27 | N | 801 | N/A | 1 | 38 | 23 | 11 | 8 | 5 | 4 | 0 | 0 | 0 | 1 | 10
Aximage | Correio da Manhã and Negócios | 2019-06-13 | 2019-06-19 | N | 605 | N/A | 0.1 | 35.6 | 23.1 | 9.0 | 7.0 | 6.6 | 4.2 | 0.8 | N/A | N/A | N/A | 13.7
Eurosondagem | N/A | 2019-06-02 | 2019-06-06 | N | 1008 | N/A | 0.1 | 37.1 | 24.0 | 9.1 | 6.3 | 6.0 | 4.8 | 1.9 | N/A | N/A | N/A | 10.0
Aximage | Correio da Manhã and Negócios | 2019-05-16 | 2019-05-22 | E | 622 | N/A | 0.1 | 32.5 | 25.4 | 11 | 7 | 9 | 2 | 2 | N/A | N/A | N/A | 10.7
Aximage | Correio da Manhã and Negócios | 2019-05-16 | 2019-05-22 | N | 622 | N/A | 0.1 | 36.5 | 25.7 | 9.1 | 7.3 | 6.9 | 1.5 | 1.3 | N/A | N/A | N/A | 11.7
Eurosondagem | Expresso and SIC Notícias | 2019-05-15 | 2019-05-22 | E | 2025 | N/A | 0.1 | 35.8 | 25.8 | 7.0 | 8.0 | 7.0 | 3.3 | 3.3 | N/A | N/A | N/A | 9.9
CESOP–UCP | N/A | 2019-05-16 | 2019-05-19 | E | 1882 | N/A | 1 | 33 | 23 | 9 | 8 | 8 | 3 | 3 | N/A | N/A | N/A | 9
CESOP–UCP | N/A | 2019-05-16 | 2019-05-19 | N | 1882 | N/A | 1 | 39 | 28 | 9 | 8 | 7 | 3 | 1 | N/A | N/A | N/A | 5
Pitagórica | N/A | 2019-05-10 | 2019-05-19 | E | 605 | N/A | 0.1 | 32.4 | 25.5 | 6.9 | 7.6 | 6.7 | 3.3 | 1.2 | N/A | N/A | N/A | 9
Pitagórica | N/A | 2019-05-10 | 2019-05-19 | N | 605 | N/A | 0.1 | 40.4 | 22.5 | 8.2 | 6.5 | 6.1 | 3.6 | 1.5 | N/A | N/A | N/A | 11.1
ICS/ISCTE | Expresso and SIC Notícias | 2019-05-07 | 2019-05-12 | E | 803 | N/A | 1 | 36 | 28 | 9 | 8 | 8 | 2 | N/A | N/A | N/A | N/A | 9
Aximage | Correio da Manhã and Negócios | 2019-05-03 | 2019-05-08 | E | 601 | 73.7 | 0.1 | 35.4 | 27.6 | 7.9 | 7.2 | 7.4 | 1.6 | 1.4 | N/A | N/A | N/A | 11.7
Eurosondagem | Expresso and SIC Notícias | 2019-04-28 | 2019-05-02 | E | 2010 | N/A | 0.1 | 34.0 | 27.1 | 7.1 | 8.1 | 7.1 | 3.3 | 3.3 | N/A | N/A | N/A | 10.0
Aximage | Correio da Manhã and Negócios | 2019-04-13 | 2019-04-16 | E | 612 | N/A | 0.1 | 31.7 | 29 | 8.3 | 8.4 | 7.7 | 1.3 | 1.3 | N/A | N/A | N/A | 12.3
Pitagórica | N/A | 2019-04-03 | 2019-04-13 | E | 605 | N/A | 0.1 | 30.3 | 28 | 11.3 | 6.5 | 7.6 | N/A | N/A | N/A | N/A | N/A | 16.3
Pitagórica | N/A | 2019-04-03 | 2019-04-13 | N | 605 | N/A | 0.1 | 37.2 | 25.6 | 8.3 | 6.5 | 6.5 | 2.8 | 1.8 | N/A | N/A | N/A | 11.4
Eurosondagem | Expresso and SIC Notícias | 2019-04-07 | 2019-04-11 | N | 1019 | N/A | 0.1 | 36.9 | 25.0 | 7.8 | 7.3 | 8.4 | 2.5 | 3.5 | N/A | N/A | N/A | 8.6
Aximage | Correio da Manhã and Negócios | 2019-03-30 | 2019-04-01 | E | 602 | N/A | 0.1 | 33.6 | 31.1 | 8.0 | 9.4 | 6.8 | 1.3 | 1.3 | N/A | N/A | N/A | 8.5
Aximage | Correio da Manhã and Negócios | 2019-03-30 | 2019-04-01 | N | 602 | N/A | 0.1 | 34.6 | 27.3 | 8.5 | 7.0 | 8.5 | N/A | N/A | N/A | N/A | N/A | 14.1
Eurosondagem | Porto Canal and Sol | 2019-03-10 | 2019-03-14 | N | 1020 | N/A | 0.1 | 37.3 | 25.2 | 8.1 | 7.1 | 8.5 | 2.4 | 3.3 | N/A | N/A | N/A | 8.1
Aximage | Correio da Manhã and Negócios | 2019-03-09 | 2019-03-13 | E | 600 | N/A | 0.1 | 34.1 | 29.1 | 7.6 | 9.2 | 7.3 | 1.9 | 2.0 | N/A | N/A | N/A | 8.8
Aximage | Correio da Manhã and Negócios | 2019-03-09 | 2019-03-13 | N | 600 | N/A | 0.1 | 36.3 | 23.9 | 9.2 | 6.8 | 9.7 | 2.2 | 1.8 | N/A | N/A | N/A | 10.1
GfK Metris | Expresso and SIC Notícias | 2019-02-09 | 2019-02-21 | N | 801 | N/A | 1 | 37 | 25 | 8 | 8 | 8 | 3 | 2 | 1 | 0 | N/A | 8
Aximage | Correio da Manhã | 2019-02-05 | 2019-02-10 | E | 602 | N/A | 0.1 | 36.0 | 26.2 | 9.7 | 8.8 | 8.6 | 1.5 | 1.9 | N/A | N/A | N/A | 7.3
Aximage | Correio da Manhã | 2019-02-05 | 2019-02-10 | N | 602 | N/A | 0.1 | 36.4 | 24.4 | 8.9 | 6.3 | 9.3 | 2.5 | 1.6 | N/A | N/A | N/A | 10.6
Eurosondagem | Expresso and SIC Notícias | 2019-01-02 | 2019-01-09 | N | 1010 | N/A | 0.1 | 40.0 | 24.8 | 7.6 | 7.1 | 7.1 | 1.9 | 4.0 | N/A | N/A | N/A | 7.5
Aximage | Correio da Manhã | 2019-01-04 | 2019-01-07 | E | 608 | N/A | 0.1 | 38.5 | 23.4 | 7.4 | 13.4 | 9.9 | 2.4 | 1.4 | N/A | N/A | N/A | 3.5
Aximage | Correio da Manhã | 2019-01-04 | 2019-01-07 | N | 608 | N/A | 0.1 | 37.7 | 24.1 | 8.8 | 7.2 | 9.4 | 3.5 | 1.2 | N/A | N/A | N/A | 8.1
Aximage | Correio da Manhã and Negócios | 2018-12-07 | 2018-12-11 | N | 602 | N/A | 0.1 | 37.0 | 24.7 | 10.0 | 6.3 | 8.7 | N/A | N/A | N/A | N/A | N/A | 13.3
Eurosondagem | Expresso and SIC Notícias | 2018-11-07 | 2018-11-14 | N | 1018 | N/A | 0.1 | 41.8 | 26.8 | 7.7 | 7.0 | 7.0 | 1.8 | N/A | N/A | N/A | N/A | 7.9
Aximage | Correio da Manhã | 2018-11-09 | 2018-11-12 | N | 603 | N/A | 0.1 | 37.8 | 26.4 | 9.1 | 6.2 | 7.7 | N/A | N/A | N/A | N/A | N/A | 12.8
Aximage | Correio da Manhã | 2018-10-01 | 2018-10-03 | N | 601 | N/A | 0.1 | 38.9 | 24.0 | 9.1 | 7.4 | 9.2 | N/A | N/A | N/A | N/A | N/A | 11.4
Eurosondagem | Expresso and SIC Notícias | 2018-09-05 | 2018-09-12 | N | 1008 | N/A | 0.1 | 41.4 | 27.5 | 8.0 | 6.9 | 7.7 | 1.1 | N/A | N/A | N/A | N/A | 7.4
Aximage | Correio da Manhã | 2018-09-01 | 2018-09-02 | N | 603 | N/A | 0.1 | 39.9 | 24.1 | 7.8 | 7.1 | 9.2 | N/A | N/A | N/A | N/A | N/A | 11.9
Aximage | Correio da Manhã | 2018-07-13 | 2018-07-16 | N | 600 | N/A | 0.1 | 39.0 | 27.2 | 9.5 | 7.0 | 7.4 | N/A | N/A | N/A | N/A | N/A | 9.9
Eurosondagem | Expresso and SIC Notícias | 2018-07-04 | 2018-07-11 | N | 1011 | N/A | 0.1 | 42.0 | 27.3 | 7.9 | 7.3 | 7.5 | 1.1 | N/A | N/A | N/A | N/A | 6.9
Aximage | Correio da Manhã | 2018-06-09 | 2018-06-12 | N | 602 | N/A | 0.1 | 37.0 | 27.8 | 10.3 | 7.2 | 6.3 | N/A | N/A | N/A | N/A | N/A | 11.4
Aximage | Correio da Manhã | 2018-05-05 | 2018-05-09 | N | 600 | N/A | 0.1 | 37.7 | 27.6 | 10.0 | 7.7 | 6.7 | N/A | N/A | N/A | N/A | N/A | 10.3
Eurosondagem | Expresso and SIC Notícias | 2018-05-03 | 2018-05-09 | N | 1008 | N/A | 0.1 | 41.0 | 28.0 | 8.0 | 7.5 | 7.0 | 1.4 | N/A | N/A | N/A | N/A | 7.1
Aximage | Correio da Manhã | 2018-04-08 | 2018-04-12 | N | 601 | N/A | 0.1 | 38.0 | 26.7 | 10.0 | 7.7 | 7.0 | N/A | N/A | N/A | N/A | N/A | 10.6
Eurosondagem | Expresso and SIC Notícias | 2018-03-08 | 2018-03-14 | N | 1010 | N/A | 0.1 | 41.5 | 28.4 | 7.7 | 7.3 | 6.6 | 1.5 | N/A | N/A | N/A | N/A | 7.0
Aximage | Correio da Manhã | 2018-03-02 | 2018-03-05 | N | 605 | N/A | 0.1 | 39.2 | 27.0 | 10.0 | 7.4 | 5.4 | N/A | N/A | N/A | N/A | N/A | 11.0
Aximage | Correio da Manhã | 2018-02-03 | 2018-02-06 | N | 603 | N/A | 0.1 | 40.6 | 26.4 | 8.8 | 7.7 | 6.2 | N/A | N/A | N/A | N/A | N/A | 10.3
Eurosondagem | Expresso and SIC Notícias | 2018-01-14 | 2018-01-17 | N | 1018 | N/A | 0.1 | 41.3 | 26.9 | 8.5 | 6.9 | 7.0 | 1.8 | N/A | N/A | N/A | N/A | 7.6
Aximage | Correio da Manhã | 2018-01-06 | 2018-01-09 | N | 600 | N/A | 0.1 | 40.2 | 26.2 | 9.2 | 6.8 | 6.2 | N/A | N/A | N/A | N/A | N/A | 11.4
