Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | R | EK | EKRE | SDE | EVA | I | EER | E200 | KALJ | TULE | P | EÜVP | Other
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-03-14 | 2023-03-20 | N | 1000 | N/A | 0.1 | 29.3 | 14.2 | 17.1 | 11.9 | N/A | 7.5 | 1.0 | 15.5 | N/A | N/A | 1.9 | N/A | 1.7
Kantar Emor | ERR | 2023-03-09 | 2023-03-17 | N | 1586 | N/A | 0.1 | 29.3 | 15.4 | 15.7 | 11.6 | N/A | 5.9 | 1.6 | 16.3 | N/A | N/A | 2.9 | 1.5 | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-03-10 | 2023-03-13 | N | 1000 | N/A | 0.1 | 30.2 | 14.9 | 13.5 | 9.2 | N/A | 8.6 | 1.3 | 17.5 | N/A | N/A | 3.0 | N/A | 1.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-02-27 | 2023-03-03 | N | 1000 | N/A | 0.1 | 32.5 | 15.4 | 16.2 | 7.8 | N/A | 7.3 | 1.6 | 14.5 | N/A | N/A | 3.0 | N/A | 1.8
Kantar Emor | ERR | 2023-02-28 | 2023-03-02 | N | 1613 | N/A | 0.1 | 29.0 | 16.0 | 14.3 | 11.5 | N/A | 7.2 | 2.2 | 15.3 | N/A | N/A | 2.4 | N/A | 2.2
Turu-uuringute AS | Eesti Päevaleht | 2023-02-20 | 2023-02-28 | N | 600 | N/A | 1 | 30 | 17 | 15 | 9 | N/A | 8 | 2 | 14 | N/A | N/A | 3 | N/A | 2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-02-21 | 2023-02-27 | N | 1000 | N/A | 0.1 | 24.8 | 18.5 | 25.0 | 8.5 | N/A | 9.1 | 1.0 | 9.7 | N/A | N/A | 1.4 | N/A | 1.2
RAIT Faktum&Ariko | N/A | 2023-02-10 | 2023-02-27 | N | 959 | N/A | 1 | 24 | 17 | 22 | 8 | N/A | 8 | 2 | 13 | N/A | N/A | 1 | 1 | 2
Kantar Emor | ERR | 2023-02-20 | 2023-02-22 | N | 1577 | N/A | 0.1 | 28.2 | 13.9 | 18.1 | 10.4 | N/A | 9.1 | 2.9 | 13.5 | N/A | N/A | 2.2 | N/A | 1.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-02-14 | 2023-02-20 | N | 1000 | N/A | 0.1 | 29.0 | 17.9 | 21.7 | 6.6 | N/A | 10.3 | 2.2 | 9.7 | N/A | N/A | 1.3 | N/A | 1.3
Kantar Emor | ERR | 2023-02-13 | 2023-02-16 | N | 1595 | N/A | 0.1 | 31.0 | 16.2 | 17.2 | 8.6 | N/A | 7.3 | 2.5 | 13.4 | N/A | N/A | 2.1 | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-02-07 | 2023-02-13 | N | 1000 | N/A | 0.1 | 27.5 | 20.6 | 21.1 | 7.1 | N/A | 8.4 | 1.6 | 10.2 | N/A | N/A | 1.7 | N/A | 1.8
Kantar Emor | ERR | 2023-02-06 | 2023-02-09 | N | 1493 | N/A | 0.1 | 31.8 | 15.8 | 18.6 | 8.0 | N/A | 8.8 | 2.7 | 12.1 | N/A | N/A | 1.8 | N/A | 0.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-01-31 | 2023-02-06 | N | 1000 | N/A | 0.1 | 31.9 | 18.1 | 22.8 | 7.1 | N/A | 7.0 | 1.9 | 8.4 | N/A | N/A | 1.8 | N/A | 1.0
Kantar Emor | ERR | 2023-01-30 | 2023-02-02 | N | 1554 | N/A | 0.1 | 30.3 | 16.4 | 19.3 | 8.3 | N/A | 7.0 | 2.4 | 13.1 | N/A | N/A | 1.6 | N/A | 1.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-01-24 | 2023-01-30 | N | 1000 | N/A | 0.1 | 27.7 | 19.5 | 21.5 | 6.7 | N/A | 7.8 | 1.4 | 13.0 | N/A | N/A | 1.3 | N/A | 1.0
Turu-uuringute AS | N/A | 2023-01-27 | 2023-01-27 | N | 600 | N/A | 1 | 26 | 16 | 25 | 7 | N/A | 7 | 2 | 13 | N/A | N/A | 1 | N/A | 3
Kantar Emor | ERR | 2023-01-19 | 2023-01-26 | N | 1720 | N/A | 0.1 | 31.5 | 16.0 | 19.1 | 7.6 | N/A | 5.6 | 2.9 | 12.4 | N/A | N/A | 2.0 | N/A | 2.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-01-17 | 2023-01-23 | N | 1000 | N/A | 0.1 | 31.7 | 21.3 | 18.4 | 7.7 | N/A | 5.4 | 1.1 | 12.5 | N/A | N/A | 1.4 | N/A | 0.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-01-10 | 2023-01-16 | N | 1000 | N/A | 0.1 | 30.4 | 17.8 | 20.0 | 9.5 | N/A | 8.3 | 2.3 | 10.7 | N/A | N/A | 0.7 | N/A | 0.4
Kantar Emor | ERR | 2023-01-05 | 2023-01-11 | N | 1639 | N/A | 1 | 28 | 18 | 21 | 10 | N/A | 7 | 3 | 11 | N/A | N/A | 1 | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2023-01-02 | 2023-01-09 | N | 1000 | N/A | 0.1 | 34.2 | 16.9 | 23.3 | 8.4 | N/A | 4.8 | 2.2 | 9.2 | N/A | N/A | 0.6 | N/A | 0.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-12-20 | 2022-12-27 | N | 1000 | N/A | 0.1 | 31.0 | 16.5 | 22.8 | 5.6 | N/A | 9.1 | 2.1 | 10.6 | N/A | N/A | 1.2 | N/A | 1.1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-12-13 | 2022-12-19 | N | 1000 | N/A | 0.1 | 31.5 | 15.2 | 24.6 | 7.7 | N/A | 6.5 | 2.1 | 9.6 | N/A | N/A | 0.4 | N/A | 1.6
Kantar Emor | ERR | 2022-12-08 | 2022-12-16 | N | 1510 | N/A | 1 | 30 | 16 | 18 | 9 | N/A | 8 | 3 | 14 | N/A | N/A | 1 | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-12-06 | 2022-12-12 | N | 1000 | N/A | 0.1 | 31.3 | 15.1 | 27.1 | 6.0 | N/A | 8.3 | 1.4 | 8.6 | N/A | N/A | 0.8 | N/A | 1.4
Turu-uuringute AS | N/A | 2022-12-06 | 2022-12-06 | N | 600 | N/A | 1 | 35 | 14 | 21 | 7 | N/A | 7 | 1 | 11 | N/A | N/A | 1 | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-11-29 | 2022-12-05 | N | 1000 | N/A | 0.1 | 34.0 | 15.5 | 24.0 | 7.5 | N/A | 5.4 | 1.6 | 10.3 | N/A | N/A | 1.1 | N/A | 0.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-11-22 | 2022-11-28 | N | 1000 | N/A | 0.1 | 33.6 | 17.0 | 23.7 | 5.4 | N/A | 7.0 | 1.5 | 10.6 | N/A | N/A | 0.9 | N/A | 0.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-11-15 | 2022-11-21 | N | 1000 | N/A | 0.1 | 32.5 | 18.1 | 24.3 | 5.9 | N/A | 8.7 | 1.2 | 8.4 | N/A | N/A | 0.3 | N/A | 0.6
Kantar Emor | ERR | 2022-11-10 | 2022-11-17 | N | 1512 | N/A | 1 | 31 | 15 | 22 | 8 | N/A | 6 | 3 | 14 | N/A | N/A | 1 | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-11-08 | 2022-11-14 | N | 1000 | N/A | 0.1 | 33.7 | 16.8 | 23.6 | 7.9 | N/A | 5.9 | 1.1 | 9.1 | N/A | N/A | 0.7 | N/A | 1.2
Turu-uuringute AS | N/A | 2022-11-09 | 2022-11-09 | N | 600 | N/A | 1 | 32 | 11 | 24 | 9 | N/A | 6 | 2 | 12 | N/A | N/A | 1 | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-11-01 | 2022-11-06 | N | 1000 | N/A | 0.1 | 33.5 | 15.1 | 25.7 | 5.2 | N/A | 8.9 | 1.3 | 8.4 | N/A | N/A | 1.1 | N/A | 0.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-10-26 | 2022-10-31 | N | 1000 | N/A | 0.1 | 31.0 | 14.9 | 28.0 | 6.9 | N/A | 7.0 | 1.0 | 9.0 | N/A | N/A | 1.0 | N/A | 1.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-10-18 | 2022-10-25 | N | 1000 | N/A | 0.1 | 34.2 | 15.3 | 26.3 | 6.2 | N/A | 6.8 | 0.5 | 8.6 | N/A | N/A | 0.8 | N/A | 1.3
Kantar Emor | ERR | 2022-10-13 | 2022-10-19 | N | 1469 | N/A | 1 | 28 | 14 | 25 | 8 | N/A | 7 | 2 | 14 | N/A | N/A | 1 | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-10-11 | 2022-10-17 | N | 1000 | N/A | 0.1 | 32.2 | 11.6 | 28.8 | 6.4 | N/A | 8.9 | 1.7 | 9.0 | N/A | N/A | 0.3 | N/A | 1.1
Turu-uuringute AS | N/A | 2022-10-12 | 2022-10-12 | N | 600 | N/A | 1 | 29 | 12 | 28 | 7 | N/A | 8 | 1 | 12 | N/A | N/A | 0 | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-10-04 | 2022-10-10 | N | 1000 | N/A | 0.1 | 31.9 | 13.8 | 26.8 | 7.6 | N/A | 6.2 | 1.7 | 9.0 | N/A | N/A | 0.8 | N/A | 2.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-09-27 | 2022-10-03 | N | 1000 | N/A | 0.1 | 33.5 | 11.9 | 27.8 | 5.5 | N/A | 8.3 | 1.4 | 9.4 | N/A | N/A | 0.7 | N/A | 1.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-09-20 | 2022-09-26 | N | 1000 | N/A | 0.1 | 28.3 | 19.6 | 27.4 | 6.3 | N/A | 5.9 | 1.5 | 8.7 | N/A | N/A | 0.6 | N/A | 1.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-09-13 | 2022-09-19 | N | 1000 | N/A | 0.1 | 30.5 | 16.7 | 27.7 | 6.5 | N/A | 6.0 | 1.2 | 9.3 | N/A | N/A | 1.3 | N/A | 0.8
Turu-uuringute AS | N/A | 2022-09-16 | 2022-09-16 | N | 500 | N/A | 0.1 | 33 | 15 | 18 | 9 | N/A | 7 | 2 | 12 | N/A | N/A | 0.8 | N/A | 3.2
Kantar Emor | ERR | 2022-09-08 | 2022-09-14 | N | 1431 | N/A | 1 | 29 | 14 | 23 | 11 | N/A | 8 | 3 | 11 | N/A | N/A | 1 | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-09-06 | 2022-09-12 | N | 1000 | N/A | 0.1 | 30.4 | 15.4 | 24.7 | 8.3 | N/A | 8.4 | 1.7 | 8.1 | N/A | N/A | N/A | N/A | 3.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-08-27 | 2022-09-05 | N | 1000 | N/A | 0.1 | 31.1 | 13.6 | 22.9 | 9.3 | N/A | 8.1 | 2.1 | 11.1 | N/A | N/A | N/A | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-08-23 | 2022-08-29 | N | 1000 | N/A | 0.1 | 32.0 | 16.0 | 24.9 | 6.5 | N/A | 7.5 | 1.5 | 9.6 | N/A | N/A | 0.9 | N/A | 1.1
Turu-uuringute AS | N/A | 2022-08-25 | 2022-08-25 | N | 600 | N/A | 1 | 28 | 15 | 17 | 11 | N/A | 8 | 2 | 14 | N/A | N/A | N/A | N/A | 5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-08-16 | 2022-08-22 | N | 1000 | N/A | 0.1 | 35.1 | 15.2 | 20.1 | 7.4 | N/A | 9.9 | 2.2 | 9.0 | N/A | N/A | N/A | N/A | 1.1
Kantar Emor | ERR | 2022-08-11 | 2022-08-22 | N | 1514 | N/A | 1 | 31 | 16 | 18 | 11 | N/A | 7 | 2 | 13 | N/A | 1 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-08-09 | 2022-08-15 | N | 1000 | N/A | 0.1 | 31.8 | 19.2 | 23.2 | 8.0 | N/A | 7.2 | 1.0 | 7.7 | N/A | N/A | N/A | N/A | 1.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-08-02 | 2022-08-08 | N | 1000 | N/A | 0.1 | 35.5 | 14.5 | 19.1 | 11.0 | N/A | 7.6 | 1.1 | 9.9 | N/A | N/A | N/A | N/A | 1.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-07-25 | 2022-08-01 | N | 1000 | N/A | 0.1 | 35.5 | 16.6 | 21.8 | 8.5 | N/A | 9.0 | 1.7 | 6.7 | N/A | N/A | N/A | N/A | 0.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-07-19 | 2022-07-25 | N | 1000 | N/A | 0.1 | 32.8 | 16.3 | 21.0 | 9.2 | N/A | 8.1 | 1.7 | 10.4 | N/A | N/A | N/A | N/A | 0.5
Kantar Emor | ERR | 2022-07-14 | 2022-07-20 | N | 1501 | N/A | 1 | 30 | 15 | 18 | 9 | N/A | 11 | 3 | 13 | N/A | 1 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-07-12 | 2022-07-18 | N | 1000 | N/A | 0.1 | 33.9 | 18.0 | 16.8 | 8.8 | N/A | 10.7 | 1.7 | 8.3 | N/A | N/A | N/A | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-07-05 | 2022-07-11 | N | 1000 | N/A | 0.1 | 32.4 | 16.9 | 18.5 | 8.1 | N/A | 9.8 | 1.8 | 11.5 | N/A | N/A | N/A | N/A | 1.0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-06-27 | 2022-07-04 | N | 1000 | N/A | 0.1 | 32.5 | 17.9 | 21.1 | 7.6 | N/A | 8.0 | 1.6 | 10.5 | N/A | N/A | N/A | N/A | 0.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-06-14 | 2022-06-20 | N | 1000 | N/A | 0.1 | 34.1 | 16.0 | 22.6 | 5.8 | N/A | 7.6 | 2.1 | 9.9 | N/A | N/A | N/A | N/A | 1.9
Turu-uuringute AS | N/A | 2022-06-17 | 2022-06-17 | N | 600 | N/A | 1 | 31 | 17 | 18 | 8 | N/A | 10 | 1 | 12 | N/A | N/A | N/A | N/A | 3
Kantar Emor | ERR | 2022-06-09 | 2022-06-14 | N | 1537 | N/A | 1 | 32 | 15 | 18 | 8 | N/A | 9 | 3 | 15 | N/A | 0 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-06-07 | 2022-06-13 | N | 1000 | N/A | 0.1 | 35.0 | 16.6 | 21.3 | 6.5 | N/A | 8.4 | 1.8 | 9.1 | N/A | N/A | N/A | N/A | 0.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-06-01 | 2022-06-06 | N | 1000 | N/A | 0.1 | 33.5 | 20.5 | 20.8 | 5.8 | N/A | 6.8 | 2.0 | 10.4 | N/A | N/A | N/A | N/A | 0.2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-05-24 | 2022-05-30 | N | 1000 | N/A | 0.1 | 34.7 | 16.7 | 19.4 | 7.0 | N/A | 6.4 | 0.7 | 13.7 | N/A | N/A | N/A | N/A | 1.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-05-16 | 2022-05-23 | N | 1000 | N/A | 0.1 | 35.4 | 17.2 | 18.5 | 6.1 | N/A | 6.8 | 2.1 | 12.3 | N/A | N/A | N/A | N/A | 1.6
Kantar Emor | ERR | 2022-05-12 | 2022-05-20 | N | 1461 | N/A | 1 | 33 | 16 | 17 | 7 | N/A | 7 | 3 | 17 | N/A | 0 | N/A | N/A | 0
Turu-uuringute AS | N/A | 2022-05-19 | 2022-05-19 | N | 600 | N/A | 1 | 32 | 13 | 19 | 8 | N/A | 6 | 2 | 16 | N/A | N/A | N/A | N/A | 4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-05-10 | 2022-05-16 | N | 1000 | N/A | 0.1 | 33.3 | 14.7 | 20.6 | 8.0 | N/A | 7.5 | 2.1 | 12.9 | N/A | N/A | N/A | N/A | 0.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-05-04 | 2022-05-09 | N | 1000 | N/A | 0.1 | 35.9 | 16.5 | 19.0 | 7.6 | N/A | 5.0 | 2.1 | 13.0 | N/A | N/A | N/A | N/A | 0.9
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-04-26 | 2022-05-02 | N | 1000 | N/A | 0.1 | 30.6 | 19.4 | 23.3 | 7.1 | N/A | 4.7 | 0.8 | 12.7 | N/A | N/A | N/A | N/A | 1.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-04-19 | 2022-04-25 | N | 1000 | N/A | 0.1 | 34.0 | 16.7 | 21.0 | 6.2 | N/A | 5.6 | 2.0 | 14.2 | N/A | N/A | N/A | N/A | 0.3
Kantar Emor | ERR | 2022-04-14 | 2022-04-20 | N | 1495 | N/A | 1 | 25 | 16 | 18 | 9 | N/A | 7 | 4 | 21 | N/A | 0 | N/A | N/A | 0
Turu-uuringute AS | N/A | 2022-04-18 | 2022-04-18 | N | 600 | N/A | 1 | 30 | 14 | 20 | 7 | N/A | 7 | 2 | 18 | N/A | N/A | N/A | N/A | 2
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-04-12 | 2022-04-18 | N | 1000 | N/A | 0.1 | 30.9 | 18.5 | 22.5 | 5.9 | N/A | 5.3 | 2.1 | 12.5 | N/A | N/A | N/A | N/A | 2.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-04-06 | 2022-04-11 | N | 1000 | N/A | 0.1 | 32.1 | 16.0 | 20.8 | 5.9 | N/A | 5.7 | 2.1 | 16.6 | N/A | N/A | N/A | N/A | 0.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-03-28 | 2022-04-04 | N | 1000 | N/A | 0.1 | 29.3 | 16.6 | 21.4 | 6.3 | N/A | 4.2 | 2.3 | 19.3 | N/A | N/A | N/A | N/A | 0.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-03-21 | 2022-03-28 | N | 1000 | N/A | 0.1 | 31.7 | 16.2 | 22.0 | 5.2 | N/A | 4.1 | 1.8 | 17.9 | N/A | N/A | N/A | N/A | 1.1
Turu-uuringute AS | N/A | 2022-03-19 | 2022-03-19 | N | 600 | N/A | 0.5 | 23 | 14 | 21 | 8 | N/A | 7 | 2.5 | 22 | N/A | N/A | N/A | N/A | 2.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-03-14 | 2022-03-18 | N | 1000 | N/A | 0.1 | 28.0 | 17.6 | 20.6 | 9.3 | N/A | 5.1 | 1.6 | 16.5 | N/A | N/A | N/A | N/A | 1.3
Kantar Emor | ERR | 2022-03-10 | 2022-03-16 | N | 1274 | N/A | 1 | 26 | 18 | 18 | 8 | N/A | 6 | 4 | 19 | N/A | 0 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-03-08 | 2022-03-14 | N | 1000 | N/A | 0.1 | 24.5 | 18.9 | 24.3 | 7.3 | N/A | 6.6 | 1.4 | 16.2 | N/A | N/A | N/A | N/A | 0.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-03-01 | 2022-03-07 | N | 1000 | N/A | 0.1 | 31.2 | 13.7 | 18.9 | 8.1 | N/A | 5.8 | 1.3 | 19.7 | N/A | N/A | N/A | N/A | 1.3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-02-22 | 2022-02-28 | N | 1000 | N/A | 0.1 | 26.5 | 14.9 | 22.6 | 7.7 | N/A | 6.3 | 1.0 | 20.4 | N/A | N/A | N/A | N/A | 0.6
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-02-15 | 2022-02-21 | N | 1000 | N/A | 0.1 | 23.3 | 18.2 | 21.8 | 8.2 | N/A | 7.9 | 2.4 | 17.8 | N/A | N/A | N/A | N/A | 0.5
Turu-uuringute AS | N/A | 2022-02-18 | 2022-02-18 | N | 600 | N/A | 1 | 18 | 15 | 22 | 9 | N/A | 7 | N/A | 23 | N/A | N/A | N/A | N/A | 6
Kantar Emor | ERR | 2022-02-10 | 2022-02-18 | N | 1503 | N/A | 1 | 20 | 20 | 20 | 9 | N/A | 7 | 3 | 21 | N/A | 0 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-02-08 | 2022-02-14 | N | 1000 | N/A | 0.1 | 23.1 | 18.6 | 19.5 | 8.1 | N/A | 7.2 | 2.1 | 20.9 | N/A | N/A | N/A | N/A | 0.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-02-01 | 2022-02-07 | N | 1000 | N/A | 0.1 | 23.5 | 19.6 | 21.0 | 7.6 | N/A | 8.5 | 0.9 | 18.4 | N/A | N/A | N/A | N/A | 0.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-01-25 | 2022-01-31 | N | 1000 | N/A | 0.1 | 18.2 | 23.1 | 27.7 | 5.9 | N/A | 6.5 | 2.1 | 16.0 | N/A | N/A | N/A | N/A | 0.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-01-18 | 2022-01-24 | N | 1000 | N/A | 0.1 | 21.9 | 21.8 | 20.3 | 9.0 | N/A | 7.3 | 0.9 | 18.3 | N/A | N/A | N/A | N/A | 0.5
Kantar Emor | ERR | 2022-01-13 | 2022-01-21 | N | 1220 | N/A | 1 | 19 | 20 | 22 | 7 | N/A | 9 | 4 | 20 | N/A | 1 | N/A | N/A | 0
Turu-uuringute AS | N/A | 2022-01-12 | 2022-01-17 | N | 873 | N/A | 1 | 18 | 20 | 24 | 8 | N/A | 7 | N/A | 20 | N/A | N/A | N/A | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-01-11 | 2022-01-17 | N | 1000 | N/A | 0.1 | 22.0 | 20.6 | 24.9 | 6.7 | N/A | 6.6 | 1.4 | 17.1 | N/A | N/A | N/A | N/A | 0.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2022-01-05 | 2022-01-10 | N | 1000 | N/A | 0.1 | 24.4 | 18.6 | 23.9 | 8.7 | N/A | 5.9 | 1.8 | 15.9 | N/A | N/A | N/A | N/A | 0.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-12-27 | 2022-01-04 | N | 1000 | N/A | 0.1 | 27.4 | 21.2 | 20.5 | 6.4 | N/A | 6.9 | 1.9 | 15.0 | N/A | N/A | N/A | N/A | 0.7
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-12-14 | 2021-12-20 | N | 1000 | N/A | 0.1 | 24.2 | 22.1 | 19.9 | 5.8 | N/A | 7.8 | 1.6 | 16.7 | N/A | N/A | N/A | N/A | 1.9
Kantar Emor | N/A | 2021-12-09 | 2021-12-15 | N | 1220 | N/A | 1 | 19 | 17 | 22 | 10 | N/A | 7 | 4 | 20 | N/A | 1 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-12-07 | 2021-12-13 | N | 1000 | N/A | 0.1 | 27.1 | 18.7 | 22.4 | 8.0 | N/A | 7.8 | 1.0 | 14.5 | N/A | N/A | N/A | N/A | 0.5
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-12-01 | 2021-12-07 | N | 1000 | N/A | 0.1 | 22.3 | 19.2 | 19.5 | 7.7 | N/A | 8.3 | 2.4 | 16.0 | N/A | N/A | N/A | N/A | 1.1
Turu-uuringute AS | ERR | 2021-11-30 | 2021-12-07 | N | 1009 | N/A | 1 | 21 | 20 | 22 | 8 | N/A | 7 | 2 | 18 | N/A | N/A | N/A | N/A | 1
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-11-23 | 2021-11-29 | N | 1000 | N/A | 0.1 | 19.8 | 22.3 | 21.3 | 9.3 | N/A | 8.2 | 1.3 | 16.0 | N/A | N/A | N/A | N/A | 1.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-11-16 | 2021-11-22 | N | 1000 | N/A | 0.1 | 20.0 | 20.8 | 24.4 | 9.0 | N/A | 7.8 | 2.0 | 15.0 | N/A | N/A | N/A | N/A | 1.0
Kantar Emor | N/A | 2021-11-11 | 2021-11-17 | N | 1045 | N/A | 1 | 20 | 16 | 20 | 12 | N/A | 10 | 3 | 19 | N/A | 1 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-11-09 | 2021-11-15 | N | 1000 | N/A | 0.1 | 22.0 | 23.6 | 23.0 | 8.7 | N/A | 7.3 | 2.0 | 12.8 | N/A | N/A | N/A | N/A | 0.6
Turu-uuringute AS | ERR | 2021-11-04 | 2021-11-09 | N | 1000 | N/A | 1 | 21 | 17 | 19 | 10 | N/A | 9 | 2 | 19 | N/A | N/A | N/A | N/A | 3
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-11-02 | 2021-11-08 | N | 1000 | N/A | 0.1 | 20.5 | 20.5 | 25.5 | 9.4 | N/A | 8.0 | 2.7 | 12.7 | N/A | N/A | N/A | N/A | 0.8
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-10-26 | 2021-11-02 | N | 1000 | N/A | 0.1 | 22.8 | 21.9 | 20.8 | 8 | N/A | 7.7 | 1.5 | 16.9 | N/A | N/A | N/A | N/A | 0.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-10-20 | 2021-10-25 | N | 1000 | N/A | 0.1 | 24 | 22.8 | 20.3 | 7.3 | N/A | 8.3 | 1.6 | 14.2 | N/A | N/A | N/A | N/A | 1.5
Kantar Emor | N/A | 2021-10-14 | 2021-10-20 | N | 1218 | N/A | 1 | 23 | 18 | 21 | 10 | N/A | 8 | 4 | 16 | N/A | 1 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-10-13 | 2021-10-18 | N | 1000 | N/A | 0.1 | 23.5 | 18.1 | 26.4 | 8.9 | N/A | 9 | 1.6 | 11.1 | N/A | N/A | N/A | N/A | 1.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-10-05 | 2021-10-12 | N | 1000 | N/A | 0.1 | 26.7 | 19.7 | 22 | 8.3 | N/A | 6.7 | 2.4 | 11.9 | N/A | N/A | N/A | N/A | 2.3
Turu-uuringute AS | ERR | 2021-10-04 | 2021-10-08 | N | 1000 | N/A | 1 | 24 | 19 | 23 | 7 | N/A | 7 | 3 | 13 | N/A | N/A | N/A | N/A | 4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-09-28 | 2021-10-05 | N | 1000 | N/A | 0.1 | 22.8 | 19.8 | 26.3 | 7.9 | N/A | 7 | 2.3 | 12.5 | N/A | N/A | N/A | N/A | 1.4
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-09-22 | 2021-09-27 | N | 1000 | N/A | 0.1 | 22.9 | 22.3 | 24.6 | 9 | N/A | 7.9 | 1.5 | 11.1 | N/A | N/A | N/A | N/A | 0.7
Kantar Emor | N/A | 2021-09-16 | 2021-09-21 | N | 1060 | N/A | 1 | 27 | 16 | 22 | 9 | N/A | 6 | 3 | 16 | N/A | 1 | N/A | N/A | 0
Norstat | MTÜ Ühiskonnauuringute Instituut | 2021-09-14 | 2021-09-20 | N | 1000 | N/A | 0.1 | 24.1 | 15.4 | 26.1 | 10.1 | N/A | 5.9 | 2 | 14 | N/A | N/A | N/A | N/A | 2.4
