Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Lab | Con | Lib Dems | SNP | Plaid | UKIP | GPEW | SGP | Reform UK | Change UK | Other
Techne UK | N/A | 2022-10-19 | 2022-10-20 | N | 1632 | N/A | 1 | 53 | 22 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Redfield & Wilton Strategies | N/A | 2022-10-19 | 2022-10-19 | N | 2500 | N/A | 1 | 55 | 19 | 12 | 4 | N/A | N/A | N/A | N/A | 4 | N/A | 1
Survation | N/A | 2022-10-18 | 2022-10-19 | N | 1252 | N/A | 1 | 52 | 23 | 11 | 4 | 1 | 1 | N/A | N/A | 2 | N/A | 3
Deltapoll | N/A | 2022-10-13 | 2022-10-17 | N | 1050 | N/A | 1 | 55 | 23 | 7 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Redfield & Wilton Strategies | N/A | 2022-10-16 | 2022-10-16 | N | 2000 | N/A | 1 | 56 | 20 | 11 | 4 | N/A | N/A | N/A | N/A | 2 | N/A | 1
Savanta ComRes | N/A | 2022-10-14 | 2022-10-16 | N | 2195 | N/A | 1 | 52 | 22 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 8
Omnisis | N/A | 2022-10-13 | 2022-10-14 | N | 1328 | N/A | 1 | 49 | 28 | 10 | 3 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Redfield & Wilton Strategies | N/A | 2022-10-13 | 2022-10-13 | N | 1500 | N/A | 1 | 53 | 24 | 13 | 4 | N/A | N/A | N/A | N/A | 2 | N/A | 3
Techne UK | N/A | 2022-10-12 | 2022-10-13 | N | 1626 | N/A | 1 | 49 | 25 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
PeoplePolling | GB News | 2022-10-12 | 2022-10-12 | N | 1158 | N/A | 1 | 53 | 19 | 8 | 6 | 1 | N/A | N/A | N/A | 4 | N/A | 4
YouGov | The Times | 2022-10-11 | 2022-10-12 | N | 1675 | N/A | 1 | 51 | 23 | 9 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Ipsos MORI | Evening Standard | 2022-10-05 | 2022-10-12 | N | 1001 | N/A | 1 | 47 | 26 | 10 | 4 | 0 | N/A | N/A | N/A | 2 | N/A | 2
Redfield & Wilton Strategies | N/A | 2022-10-09 | 2022-10-09 | N | 2000 | N/A | 1 | 54 | 25 | 10 | 3 | N/A | N/A | N/A | N/A | 3 | N/A | 1
Savanta ComRes | N/A | 2022-10-07 | 2022-10-09 | N | 2036 | N/A | 1 | 51 | 23 | 10 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 8
YouGov | The Times | 2022-10-06 | 2022-10-07 | N | 1737 | N/A | 1 | 52 | 22 | 9 | 5 | 1 | N/A | N/A | N/A | 5 | N/A | 2
Omnisis | N/A | 2022-10-06 | 2022-10-07 | N | 1328 | N/A | 1 | 51 | 24 | 10 | 3 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Deltapoll | N/A | 2022-10-06 | 2022-10-07 | N | 1034 | N/A | 1 | 51 | 26 | 9 | 4 | 0 | 2 | N/A | N/A | 2 | N/A | 0
Opinium | The Observer | 2022-10-05 | 2022-10-07 | N | 2023 | N/A | 1 | 47 | 26 | 11 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | 6
PeoplePolling | GB News | 2022-10-06 | 2022-10-06 | N | 1512 | N/A | 1 | 52 | 20 | 8 | 5 | 1 | N/A | N/A | N/A | 4 | N/A | 3
Techne UK | N/A | 2022-10-05 | 2022-10-06 | N | 1636 | N/A | 1 | 48 | 26 | 10 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Redfield & Wilton Strategies | N/A | 2022-10-05 | 2022-10-05 | N | 1500 | N/A | 1 | 52 | 24 | 10 | 4 | N/A | N/A | N/A | N/A | 3 | N/A | 1
Savanta ComRes | N/A | 2022-10-02 | 2022-10-02 | N | 2113 | N/A | 1 | 50 | 25 | 11 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | 8
Redfield & Wilton Strategies | N/A | 2022-10-02 | 2022-10-02 | N | 2000 | N/A | 1 | 52 | 24 | 10 | 5 | N/A | N/A | N/A | N/A | 3 | N/A | 1
Opinium | The Observer | 2022-09-29 | 2022-09-30 | N | 1468 | N/A | 1 | 46 | 27 | 9 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 6
Omnisis | N/A | 2022-09-29 | 2022-09-30 | N | 1320 | N/A | 1 | 55 | 23 | 7 | 5 | 0 | N/A | N/A | N/A | 3 | N/A | 1
Survation | N/A | 2022-09-29 | 2022-09-29 | N | 1092 | N/A | 1 | 49 | 28 | 11 | 5 | 1 | 1 | N/A | N/A | 2 | N/A | 3
Redfield & Wilton Strategies | N/A | 2022-09-28 | 2022-09-29 | N | 2500 | N/A | 1 | 46 | 29 | 13 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | 1
PeoplePolling | GB News | 2022-09-28 | 2022-09-29 | N | 2216 | N/A | 1 | 50 | 20 | 9 | 5 | 0 | N/A | N/A | N/A | 3 | N/A | 4
YouGov | The Times | 2022-09-28 | 2022-09-29 | N | 1712 | N/A | 1 | 54 | 21 | 7 | 5 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Techne UK | N/A | 2022-09-28 | 2022-09-29 | N | 1625 | N/A | 1 | 47 | 27 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Deltapoll | Daily Mirror | 2022-09-27 | 2022-09-29 | N | 1613 | N/A | 1 | 48 | 29 | 9 | 4 | 1 | 1 | N/A | N/A | 2 | N/A | 1
BMG Research | N/A | 2022-09-27 | 2022-09-29 | N | N/A | N/A | 1 | 47 | 30 | 9 | N/A | N/A | N/A | N/A | N/A | 3 | N/A | N/A
Omnisis | N/A | 2022-09-23 | 2022-09-26 | N | 1307 | N/A | 1 | 44 | 32 | 10 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 1
Kantar | N/A | 2022-09-22 | 2022-09-26 | N | 1141 | N/A | 1 | 39 | 35 | 10 | 5 | 1 | 2 | N/A | N/A | 3 | N/A | 1
Redfield & Wilton Strategies | N/A | 2022-09-25 | 2022-09-25 | N | 2000 | N/A | 1 | 44 | 31 | 11 | 4 | N/A | N/A | N/A | N/A | 2 | N/A | 1
YouGov | The Times | 2022-09-23 | 2022-09-25 | N | 1730 | N/A | 1 | 45 | 28 | 9 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | N/A | 2022-09-23 | 2022-09-25 | N | N/A | N/A | 1 | 43 | 29 | 12 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | 8
Deltapoll | N/A | 2022-09-22 | 2022-09-25 | N | 2192 | N/A | 1 | 44 | 31 | 12 | 4 | 1 | 1 | N/A | N/A | 2 | N/A | 0
Opinium | N/A | 2022-09-21 | 2022-09-23 | N | N/A | N/A | 1 | 39 | 34 | 10 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 5
YouGov | The Times | 2022-09-21 | 2022-09-22 | N | 1713 | N/A | 1 | 40 | 32 | 9 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Techne UK | N/A | 2022-09-21 | 2022-09-22 | N | 1639 | N/A | 1 | 41 | 34 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Redfield & Wilton Strategies | N/A | 2022-09-21 | 2022-09-21 | N | 2000 | N/A | 1 | 42 | 32 | 12 | 4 | N/A | N/A | N/A | N/A | 4 | N/A | 2
PeoplePolling | GB News | 2022-09-21 | 2022-09-21 | N | 1298 | N/A | 1 | 40 | 28 | 10 | 6 | 1 | N/A | N/A | N/A | 4 | N/A | 4
Deltapoll | N/A | 2022-09-16 | 2022-09-20 | N | 2084 | N/A | 1 | 42 | 32 | 10 | 4 | 1 | 2 | N/A | N/A | 2 | N/A | 1
Redfield & Wilton Strategies | N/A | 2022-09-18 | 2022-09-18 | N | 2000 | N/A | 1 | 42 | 34 | 10 | 4 | N/A | N/A | N/A | N/A | 3 | N/A | 1
Savanta ComRes | Labour List | 2022-09-15 | 2022-09-16 | N | 6226 | N/A | 1 | 45 | 33 | 10 | N/A | N/A | N/A | N/A | N/A | 3 | N/A | 5
Techne UK | N/A | 2022-09-14 | 2022-09-15 | N | 1647 | N/A | 1 | 41 | 35 | 10 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Ipsos MORI | N/A | 2022-09-07 | 2022-09-15 | N | 1000 | N/A | 1 | 40 | 30 | 13 | 5 | N/A | N/A | N/A | N/A | 1 | N/A | 4
PeoplePolling | GB News | 2022-09-13 | 2022-09-13 | N | 1245 | N/A | 1 | 40 | 28 | 10 | 4 | 2 | N/A | N/A | N/A | 5 | N/A | 4
YouGov | The Times | 2022-09-11 | 2022-09-12 | N | 1727 | N/A | 1 | 42 | 32 | 10 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 1
Deltapoll | N/A | 2022-09-09 | 2022-09-12 | N | 1573 | N/A | 1 | 44 | 32 | 9 | 4 | 1 | 2 | N/A | N/A | 2 | N/A | 0
Savanta ComRes | Daily Mail | 2022-09-11 | 2022-09-11 | N | 2272 | N/A | 1 | 42 | 35 | 10 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Techne UK | N/A | 2022-09-07 | 2022-09-08 | N | 1628 | N/A | 1 | 42 | 34 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Redfield & Wilton Strategies | N/A | 2022-09-07 | 2022-09-07 | N | 2000 | N/A | 1 | 42 | 30 | 14 | 5 | N/A | N/A | N/A | N/A | 2 | N/A | 2
PeoplePolling | GB News | 2022-09-07 | 2022-09-07 | N | 1162 | N/A | 1 | 40 | 28 | 9 | 5 | 1 | N/A | N/A | N/A | 4 | N/A | 5
YouGov | The Times | 2022-09-06 | 2022-09-07 | N | 1688 | N/A | 1 | 44 | 29 | 10 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Redfield & Wilton Strategies | N/A | 2022-09-04 | 2022-09-04 | N | 2000 | N/A | 1 | 43 | 31 | 12 | 5 | N/A | N/A | N/A | N/A | 3 | N/A | 1
Deltapoll | N/A | 2022-09-02 | 2022-09-02 | N | 1573 | N/A | 1 | 42 | 31 | 10 | 5 | 1 | 2 | N/A | N/A | 3 | N/A | 1
Techne UK | N/A | 2022-09-01 | 2022-09-02 | N | 1628 | N/A | 1 | 42 | 32 | 12 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Opinium | The Observer | 2022-09-01 | 2022-09-02 | N | 1516 | N/A | 1 | 38 | 34 | 12 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 6
YouGov | N/A | 2022-09-01 | 2022-09-01 | N | 1711 | N/A | 1 | 43 | 28 | 11 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Redfield & Wilton Strategies | N/A | 2022-08-31 | 2022-08-31 | N | 2000 | N/A | 1 | 42 | 31 | 12 | 4 | N/A | N/A | N/A | N/A | 3 | N/A | 2
Survation | N/A | 2022-08-31 | 2022-08-31 | N | 1013 | N/A | 1 | 43 | 33 | 11 | 4 | 1 | 1 | N/A | N/A | 5 | N/A | 3
PeoplePolling | GB News | 2022-08-30 | 2022-08-30 | N | 1203 | N/A | 1 | 42 | 25 | 10 | 5 | 2 | N/A | N/A | N/A | 4 | N/A | 6
Deltapoll | The Mirror | 2022-08-26 | 2022-08-30 | N | 1600 | N/A | 1 | 44 | 31 | 12 | 4 | 1 | 1 | N/A | N/A | 2 | N/A | 1
Redfield & Wilton Strategies | N/A | 2022-08-28 | 2022-08-28 | N | 2000 | N/A | 1 | 42 | 33 | 13 | 3 | 0 | N/A | N/A | N/A | 4 | N/A | 1
Techne UK | N/A | 2022-08-24 | 2022-08-25 | N | 1630 | N/A | 1 | 41 | 33 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Redfield & Wilton Strategies | N/A | 2022-08-24 | 2022-08-25 | N | 1500 | N/A | 1 | 42 | 33 | 12 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 1
YouGov | The Times | 2022-08-23 | 2022-08-24 | N | 2007 | N/A | 1 | 39 | 31 | 11 | 5 | 1 | N/A | N/A | N/A | 5 | N/A | 2
PeoplePolling | GB News | 2022-08-22 | 2022-08-22 | N | 1235 | N/A | 1 | 40 | 26 | 11 | 6 | 1 | N/A | N/A | N/A | 5 | N/A | 5
Deltapoll | N/A | 2022-08-19 | 2022-08-22 | N | 1591 | N/A | 1 | 43 | 31 | 11 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 1
Kantar | N/A | 2022-08-18 | 2022-08-22 | N | 1106 | N/A | 1 | 40 | 33 | 14 | 4 | 1 | 0 | N/A | N/A | 2 | N/A | 1
Redfield & Wilton Strategies | N/A | 2022-08-21 | 2022-08-21 | N | 2000 | N/A | 1 | 43 | 31 | 13 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Opinium | The Observer | 2022-08-18 | 2022-08-19 | N | 1527 | N/A | 1 | 39 | 31 | 10 | 3 | 1 | N/A | N/A | N/A | N/A | N/A | 8
BMG Research | N/A | 2022-08-16 | 2022-08-18 | N | 2091 | N/A | 1 | 42 | 32 | 11 | 5 | 0 | N/A | N/A | N/A | 3 | N/A | 1
YouGov | The Times | 2022-08-16 | 2022-08-17 | N | 1696 | N/A | 1 | 43 | 28 | 11 | 5 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Redfield & Wilton Strategies | N/A | 2022-08-14 | 2022-08-14 | N | 2000 | N/A | 1 | 41 | 34 | 12 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Techne UK | N/A | 2022-08-10 | 2022-08-12 | N | 1641 | N/A | 1 | 39 | 35 | 12 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
YouGov | The Times | 2022-08-09 | 2022-08-10 | N | 1809 | N/A | 1 | 39 | 30 | 12 | 5 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Redfield & Wilton Strategies | N/A | 2022-08-08 | 2022-08-08 | N | 2000 | N/A | 1 | 40 | 35 | 12 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Opinium | The Observer | 2022-08-03 | 2022-08-08 | N | 2010 | N/A | 1 | 37 | 34 | 12 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 7
YouGov | The Times | 2022-08-04 | 2022-08-05 | N | 1968 | N/A | 1 | 37 | 33 | 11 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Redfield & Wilton Strategies | N/A | 2022-08-04 | 2022-08-04 | N | 1500 | N/A | 1 | 40 | 32 | 13 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Techne UK | N/A | 2022-08-03 | 2022-08-04 | N | 1630 | N/A | 1 | 39 | 34 | 13 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Kantar | N/A | 2022-08-01 | 2022-08-01 | N | 1096 | N/A | 1 | 36 | 32 | 13 | 6 | 0 | 1 | N/A | N/A | 4 | N/A | 1
Redfield & Wilton Strategies | N/A | 2022-07-31 | 2022-07-31 | N | 2000 | N/A | 1 | 38 | 34 | 11 | 4 | 0 | N/A | N/A | N/A | 4 | N/A | 1
YouGov | The Times | 2022-07-27 | 2022-07-28 | N | 1797 | N/A | 1 | 35 | 34 | 13 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 1
Techne UK | N/A | 2022-07-27 | 2022-07-28 | N | 1645 | N/A | 1 | 40 | 33 | 12 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Redfield & Wilton Strategies | N/A | 2022-07-27 | 2022-07-27 | N | 1500 | N/A | 1 | 41 | 33 | 11 | 4 | N/A | N/A | N/A | N/A | 4 | N/A | 2
Ipsos MORI | Evening Standard | 2022-07-21 | 2022-07-27 | N | 1052 | N/A | 1 | 44 | 30 | 10 | 5 | 0 | 1 | N/A | N/A | 1 | N/A | 1
Redfield & Wilton Strategies | N/A | 2022-07-24 | 2022-07-24 | N | 2000 | N/A | 1 | 40 | 34 | 12 | 4 | 0 | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | The Independent | 2022-07-22 | 2022-07-24 | N | 2272 | N/A | 1 | 42 | 29 | 12 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | 5
Deltapoll | Mail on Sunday | 2022-07-21 | 2022-07-23 | N | 1588 | N/A | 1 | 42 | 31 | 10 | 4 | 1 | 3 | N/A | N/A | 3 | N/A | 1
Opinium | The Observer | 2022-07-21 | 2022-07-22 | N | 2001 | N/A | 1 | 37 | 34 | 13 | 3 | 1 | N/A | N/A | N/A | N/A | N/A | 6
YouGov | The Times | 2022-07-21 | 2022-07-22 | N | 1692 | N/A | 1 | 39 | 32 | 12 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Savanta ComRes | Daily Express | 2022-07-21 | 2022-07-21 | N | 2109 | N/A | 1 | 44 | 33 | 9 | 3 | 0 | N/A | N/A | N/A | 3 | N/A | 5
Techne UK | N/A | 2022-07-21 | 2022-07-21 | N | 1645 | N/A | 1 | 41 | 32 | 12 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Redfield & Wilton Strategies | N/A | 2022-07-20 | 2022-07-21 | N | 1500 | N/A | 1 | 44 | 35 | 9 | 3 | N/A | N/A | N/A | N/A | 3 | N/A | 1
Kantar | N/A | 2022-07-14 | 2022-07-18 | N | 1077 | N/A | 1 | 37 | 33 | 13 | 4 | 1 | 1 | N/A | N/A | 4 | N/A | 0
Redfield & Wilton Strategies | N/A | 2022-07-17 | 2022-07-17 | N | 2000 | N/A | 1 | 42 | 32 | 12 | 4 | N/A | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | N/A | 2022-07-15 | 2022-07-17 | N | 1980 | N/A | 1 | 43 | 30 | 11 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 4
Techne UK | N/A | 2022-07-14 | 2022-07-14 | N | 1645 | N/A | 1 | 40 | 31 | 13 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 6
YouGov | The Times | 2022-07-13 | 2022-07-14 | N | 1733 | N/A | 1 | 40 | 29 | 13 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 2
JL Partners | The Sunday Telegraph | 2022-07-12 | 2022-07-14 | N | 4434 | N/A | 1 | 42 | 31 | 12 | 4 | 1 | 1 | N/A | N/A | 3 | N/A | 1
Omnisis | The Byline Times | 2022-07-11 | 2022-07-12 | N | 1002 | N/A | 1 | 46 | 25 | 8 | 5 | 1 | N/A | N/A | N/A | 5 | N/A | 2
Redfield & Wilton Strategies | N/A | 2022-07-10 | 2022-07-10 | N | 2000 | N/A | 1 | 42 | 31 | 12 | 4 | N/A | N/A | N/A | N/A | 5 | N/A | 1
Savanta ComRes | N/A | 2022-07-08 | 2022-07-10 | N | 2168 | N/A | 1 | 43 | 28 | 12 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 5
Opinium | The Observer | 2022-07-06 | 2022-07-08 | N | 2000 | N/A | 1 | 38 | 33 | 12 | 3 | 1 | N/A | N/A | N/A | N/A | N/A | 7
Techne UK | N/A | 2022-07-07 | 2022-07-07 | N | 1644 | N/A | 1 | 41 | 29 | 14 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Redfield & Wilton Strategies | N/A | 2022-07-07 | 2022-07-07 | N | 1500 | N/A | 1 | 43 | 31 | 12 | 3 | N/A | N/A | N/A | N/A | 2 | N/A | 3
YouGov | The Times | 2022-07-06 | 2022-07-07 | N | 1687 | N/A | 1 | 40 | 29 | 15 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Survation | N/A | 2022-07-06 | 2022-07-06 | N | 1052 | N/A | 1 | 45 | 31 | 11 | 5 | 1 | 1 | N/A | N/A | 2 | N/A | 3
Redfield & Wilton Strategies | N/A | 2022-07-03 | 2022-07-03 | N | 2000 | N/A | 1 | 41 | 35 | 11 | 3 | 0 | N/A | N/A | N/A | 5 | N/A | 1
Savanta ComRes | N/A | 2022-07-01 | 2022-07-03 | N | 2106 | N/A | 1 | 41 | 32 | 11 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 5
BMG Research | The Independent | 2022-07-01 | 2022-07-01 | N | 1521 | N/A | 1 | 42 | 32 | 11 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Omnisis | The Byline Times | 2022-07-01 | 2022-07-01 | N | 1015 | N/A | 1 | 47 | 27 | 9 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Techne UK | N/A | 2022-06-29 | 2022-06-30 | N | 1632 | N/A | 1 | 39 | 33 | 13 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Redfield & Wilton Strategies | N/A | 2022-06-29 | 2022-06-30 | N | 1500 | N/A | 1 | 40 | 32 | 13 | 5 | 0 | N/A | N/A | N/A | 3 | N/A | 1
YouGov | The Times | 2022-06-28 | 2022-06-29 | N | 1671 | N/A | 1 | 36 | 33 | 13 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Ipsos MORI | N/A | 2022-06-22 | 2022-06-29 | N | 1059 | N/A | 1 | 41 | 30 | 15 | 5 | 1 | 0 | N/A | N/A | 1 | N/A | 1
Survation | N/A | 2022-06-27 | 2022-06-27 | N | 1017 | N/A | 1 | 43 | 35 | 11 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | 5
Redfield & Wilton Strategies | N/A | 2022-06-26 | 2022-06-26 | N | 2000 | N/A | 1 | 41 | 33 | 15 | 4 | 0 | N/A | N/A | N/A | 3 | N/A | 1
Savanta ComRes | The Independent | 2022-06-24 | 2022-06-26 | N | 2217 | N/A | 1 | 41 | 34 | 10 | 5 | 0 | N/A | N/A | N/A | 1 | N/A | 4
Opinium | The Observer | 2022-06-22 | 2022-06-24 | N | 2000 | N/A | 1 | 37 | 34 | 11 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 7
YouGov | The Times | 2022-06-22 | 2022-06-23 | N | 1671 | N/A | 1 | 39 | 34 | 9 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Techne UK | N/A | 2022-06-22 | 2022-06-23 | N | 1630 | N/A | 1 | 38 | 32 | 14 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Redfield & Wilton Strategies | N/A | 2022-06-22 | 2022-06-22 | N | 2000 | N/A | 1 | 41 | 32 | 13 | 4 | 0 | N/A | N/A | N/A | 4 | N/A | 2
Kantar | N/A | 2022-06-16 | 2022-06-20 | N | 1141 | N/A | 1 | 36 | 34 | 13 | 4 | 1 | 2 | N/A | N/A | 4 | N/A | 1
Redfield & Wilton Strategies | N/A | 2022-06-19 | 2022-06-19 | N | 2000 | N/A | 1 | 40 | 33 | 13 | 4 | 0 | N/A | N/A | N/A | 5 | N/A | 1
Savanta ComRes | N/A | 2022-06-17 | 2022-06-19 | N | 2050 | N/A | 1 | 42 | 31 | 10 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 3
YouGov | The Times | 2022-06-15 | 2022-06-16 | N | 1727 | N/A | 1 | 39 | 33 | 10 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 1
Techne UK | N/A | 2022-06-15 | 2022-06-16 | N | 1612 | N/A | 1 | 39 | 33 | 13 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Redfield & Wilton Strategies | N/A | 2022-06-15 | 2022-06-15 | N | 2000 | N/A | 1 | 42 | 34 | 12 | 3 | 0 | N/A | N/A | N/A | 3 | N/A | 1
Redfield & Wilton Strategies | N/A | 2022-06-12 | 2022-06-12 | N | 2000 | N/A | 1 | 39 | 32 | 15 | 5 | 1 | N/A | N/A | N/A | 2 | N/A | 2
Savanta ComRes | N/A | 2022-06-10 | 2022-06-12 | N | 2237 | N/A | 1 | 40 | 34 | 10 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 5
Survation | N/A | 2022-06-10 | 2022-06-10 | N | 2053 | N/A | 1 | 41 | 34 | 10 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 7
Techne UK | N/A | 2022-06-10 | 2022-06-10 | N | 1632 | N/A | 1 | 39 | 33 | 12 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Opinium | The Observer | 2022-06-08 | 2022-06-10 | N | 2002 | N/A | 1 | 36 | 34 | 13 | 3 | 1 | N/A | N/A | N/A | N/A | N/A | 7
Redfield & Wilton Strategies | N/A | 2022-06-08 | 2022-06-09 | N | 2000 | N/A | 1 | 40 | 32 | 13 | 4 | 0 | N/A | N/A | N/A | 4 | N/A | 2
YouGov | The Times | 2022-06-08 | 2022-06-09 | N | 1727 | N/A | 1 | 39 | 32 | 11 | 5 | 1 | N/A | N/A | N/A | 3 | N/A | 2
Redfield & Wilton Strategies | N/A | 2022-06-05 | 2022-06-05 | N | 2000 | N/A | 1 | 38 | 34 | 11 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 2
YouGov | The Times | 2022-06-01 | 2022-06-03 | N | 2000 | N/A | 1 | 36 | 32 | 12 | 5 | 1 | N/A | N/A | N/A | 4 | N/A | 1
Redfield & Wilton Strategies | N/A | 2022-06-01 | 2022-06-01 | N | 2000 | N/A | 1 | 39 | 33 | 12 | 4 | N/A | N/A | N/A | N/A | 4 | N/A | 1
Techne UK | N/A | 2022-06-01 | 2022-06-01 | N | 1632 | N/A | 1 | 40 | 32 | 12 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Omnisis | The Byline Times | 2022-05-30 | 2022-05-31 | N | 1026 | N/A | 1 | 48 | 25 | 9 | 4 | 1 | N/A | N/A | N/A | 5 | N/A | 3
Redfield & Wilton Strategies | N/A | 2022-05-29 | 2022-05-29 | N | 2000 | N/A | 1 | 43 | 36 | 10 | 3 | 0 | N/A | N/A | N/A | 3 | N/A | 2
Savanta ComRes | N/A | 2022-05-27 | 2022-05-29 | N | 2177 | N/A | 1 | 42 | 31 | 11 | 4 | 1 | N/A | N/A | N/A | 3 | N/A | 4
Opinium | The Observer | 2022-05-25 | 2022-05-27 | N | 1513 | N/A | 1 | 36 | 33 | 11 | 4 | 1 | N/A | N/A | N/A | N/A | N/A | 8
Techne UK | N/A | 2022-05-25 | 2022-05-26 | N | 1629 | N/A | 1 | 40 | 33 | 11 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | 6
Omnisis | The Byline Times | 2022-05-25 | 2022-05-26 | N | 1026 | N/A | 1 | 44 | 29 | 8 | 4 | 1 | N/A | N/A | N/A | 5 | N/A | 3
Redfield & Wilton Strategies | N/A | 2022-05-25 | 2022-05-25 | N | 1500 | N/A | 1 | 40 | 31 | 14 | 4 | 0 | N/A | N/A | N/A | 3 | N/A | 2
YouGov | The Times | 2022-05-24 | 2022-05-25 | N | 1755 | N/A | 1 | 39 | 31 | 12 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 2
Kantar | N/A | 2022-05-19 | 2022-05-23 | N | 1087 | N/A | 1 | 38 | 32 | 13 | 3 | 1 | 1 | N/A | N/A | 3 | N/A | 1
Redfield & Wilton Strategies | N/A | 2022-05-22 | 2022-05-22 | N | 2000 | N/A | 1 | 39 | 33 | 12 | 4 | 1 | N/A | N/A | N/A | 4 | N/A | 1
Savanta ComRes | Daily Mail | 2022-05-18 | 2022-05-19 | N | 2021 | N/A | 1 | 40 | 34 | 10 | 4 | 1 | N/A | N/A | N/A | 2 | N/A | 5
YouGov | The Times | 2022-05-18 | 2022-05-19 | N | 1692 | N/A | 1 | 39 | 31 | 12 | 5 | 1 | N/A | N/A | N/A | 4 | N/A | 1
