Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | LVŽS | TS-LKD | LSDP | LRLS | TT | LLRA-KŠS | DP | TTS | LŽP | LS | LRP | LP | LT | DSVL | NS | JL | KS | Other
Spinter tyrimai | Delfi | 2021-04-19 | 2021-04-28 | N | 1006 | N/A | 0.1 | 23.1 | 23.7 | 8.2 | 12.0 | N/A | 3.6 | 7.4 | N/A | N/A | N/A | N/A | 9.0 | N/A | N/A | N/A | N/A | N/A | 13.1
Vilmorus | Lietuvos rytas | 2021-04-08 | 2021-04-17 | N | 1001 | 97.3 | 0.1 | 26.5 | 29.2 | 11.7 | 9.1 | N/A | 1.0 | 6.7 | N/A | N/A | N/A | 7.0 | 6.9 | N/A | N/A | N/A | N/A | N/A | 1.9
Spinter tyrimai | Delfi | 2021-03-17 | 2021-03-23 | N | 1011 | N/A | 0.1 | 21.1 | 23.5 | 8.6 | 12.8 | N/A | 3.9 | 7.4 | N/A | N/A | N/A | N/A | 9.8 | 3.0 | N/A | N/A | N/A | N/A | 9.8
Spinter tyrimai | Delfi | 2021-02-17 | 2021-02-26 | N | 1014 | N/A | 0.1 | 18.3 | 25.6 | 6.5 | 12.9 | N/A | 4.5 | 5.8 | N/A | N/A | N/A | N/A | 11.8 | 4.3 | N/A | N/A | N/A | N/A | 10.4
Spinter tyrimai | Delfi | 2021-01-18 | 2021-01-27 | N | 1013 | N/A | 0.1 | 16.1 | 27.2 | 8.5 | 12.6 | N/A | 4.2 | 6.0 | N/A | N/A | N/A | N/A | 11.8 | 2.4 | N/A | N/A | N/A | N/A | 11.3
Spinter tyrimai | Delfi | 2020-12-10 | 2020-12-20 | N | 1007 | N/A | 0.1 | 19.7 | 23.3 | 7.8 | 12.1 | N/A | 4.6 | 8.1 | N/A | N/A | N/A | N/A | 11.7 | N/A | N/A | N/A | N/A | N/A | 12.8
Baltijos tyrimai | ELTA | 2020-11-06 | 2020-11-30 | N | N/A | N/A | 0.1 | 19.0 | 22.7 | 9.4 | 12.9 | N/A | 4.7 | 10.5 | 2.5 | N/A | N/A | 1.9 | 11.3 | 4.2 | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2020-09-17 | 2020-09-27 | N | 1006 | N/A | 0.1 | 23.1 | 17.7 | 13.9 | 9.0 | N/A | 5.8 | 8.8 | 3.0 | 0.7 | N/A | 3.2 | 3.4 | 7.9 | N/A | N/A | N/A | N/A | 3.4
Spinter tyrimai | Delfi | 2020-09-16 | 2020-09-26 | N | 1006 | N/A | 0.1 | 19.2 | 19.8 | 11.4 | 9.1 | N/A | 4.8 | 9.8 | 3.3 | N/A | N/A | 3.0 | 6.1 | 4.9 | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2020-09-04 | 2020-09-12 | N | N/A | 98.7 | 0.1 | 21.0 | 20.8 | 11.8 | 7.7 | N/A | 3.5 | 11.7 | 2.6 | 1.7 | N/A | 4.2 | 3.5 | 5.3 | N/A | N/A | N/A | N/A | 6.4
Spinter tyrimai | Delfi | 2020-08-26 | 2020-09-04 | N | 1008 | N/A | 0.1 | 19.4 | 21.7 | 12.6 | 5.9 | N/A | 4.5 | 8.6 | 3.3 | N/A | N/A | 3.7 | 6.8 | 4.5 | N/A | N/A | N/A | N/A | 8.9
Baltijos tyrimai | ELTA | 2020-08-22 | 2020-09-04 | N | 1021 | N/A | 0.1 | 19.9 | 19.2 | 18.5 | 8.4 | N/A | 4.1 | 11.6 | 4.1 | N/A | N/A | 2.8 | 4.1 | 7.5 | N/A | N/A | N/A | N/A | N/A
Norstat | LRT | 2020-07-29 | 2020-08-31 | N | 1000 | N/A | 0.1 | 15.4 | 32.7 | 13.0 | 6.1 | N/A | 1.5 | 7.6 | 1.5 | 1.3 | 0.4 | 3.6 | 5.9 | 3.4 | N/A | N/A | N/A | N/A | 7.3
Baltijos tyrimai | ELTA | 2020-07-16 | 2020-07-30 | N | N/A | N/A | 0.1 | 22.6 | 19.2 | 14.0 | 8.0 | N/A | 4.8 | 11.0 | 2.8 | N/A | N/A | 3.0 | 4.0 | 8.3 | N/A | N/A | N/A | N/A | 2.4
Spinter tyrimai | Delfi | 2020-07-16 | 2020-07-26 | N | 1013 | N/A | 0.1 | 22.1 | 22.8 | 13.9 | 8.8 | N/A | 4.7 | 7.5 | 3.4 | N/A | N/A | N/A | 5.7 | 5.4 | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2020-07-10 | 2020-07-18 | N | 1021 | 97.6 | 0.1 | 25.8 | 25.3 | 10.4 | 6.9 | N/A | 3.2 | 9.1 | 2.3 | N/A | N/A | 4.6 | 2.3 | 5.4 | N/A | N/A | N/A | N/A | 0.2
Spinter tyrimai | Delfi | 2020-06-18 | 2020-06-26 | N | 1014 | N/A | 0.1 | 19.8 | 25.2 | 13.5 | 7.7 | N/A | 5.7 | 8.0 | N/A | N/A | N/A | N/A | 6.1 | 4.9 | N/A | N/A | N/A | N/A | 9.2
Baltijos tyrimai | ELTA | 2020-06-15 | 2020-06-25 | N | 1000 | N/A | 0.1 | 22.5 | 18.2 | 17.0 | 8.8 | N/A | 6.6 | 8.4 | 1.9 | N/A | N/A | 2.9 | 3.7 | 7.8 | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2020-06-05 | 2020-06-13 | N | 1020 | 96.1 | 0.1 | 23.3 | 24.9 | 15.9 | 7.5 | N/A | 3.8 | 8.0 | 3.0 | N/A | N/A | 3.7 | 3.5 | 5.4 | N/A | N/A | N/A | N/A | 0.3
Spinter tyrimai | Delfi | 2020-04-20 | 2020-04-30 | N | 1011 | N/A | 0.1 | 19.3 | 26.4 | 13.7 | 8.5 | N/A | 5.9 | 6.4 | N/A | N/A | N/A | 3.2 | 4.3 | N/A | N/A | N/A | N/A | N/A | 12.3
Spinter tyrimai | Delfi | 2020-03-17 | 2020-03-30 | N | 1009 | N/A | 0.1 | 15.1 | 30.1 | 12.2 | 7.3 | 3.6 | 5.1 | 6.5 | N/A | N/A | N/A | 3.6 | 6.5 | N/A | N/A | N/A | N/A | N/A | 10.0
Vilmorus | Lietuvos rytas | 2020-03-06 | 2020-03-13 | N | 1020 | 96.2 | 0.1 | 21.2 | 29.0 | 14.2 | 6.0 | 6.5 | 2.4 | 8.7 | 2.6 | N/A | N/A | 4.3 | 3.8 | N/A | N/A | N/A | N/A | N/A | 1.5
Baltijos tyrimai | ELTA | 2020-02-13 | 2020-02-26 | N | 1030 | N/A | 0.1 | 15.0 | 24.3 | 15.6 | 11.6 | 6.7 | 5.0 | 9.1 | 2.6 | N/A | N/A | 3.1 | 4.1 | N/A | N/A | N/A | N/A | N/A | 2.9
Spinter tyrimai | Delfi | 2020-02-18 | 2020-02-25 | N | 1012 | N/A | 0.1 | 14.7 | 27.6 | 12.3 | 10.1 | 5.6 | 4.9 | 7.6 | 3.0 | N/A | N/A | 4.3 | 4.0 | N/A | N/A | N/A | N/A | N/A | 5.8
Vilmorus | Lietuvos rytas | 2020-02-07 | 2020-02-13 | N | N/A | 96.9 | 0.1 | 19.2 | 29.4 | 16.1 | 5.1 | 9.5 | 2.7 | 9.8 | 1.8 | N/A | N/A | 3.8 | 2.0 | N/A | N/A | N/A | N/A | N/A | 0.7
Spinter tyrimai | Delfi | 2020-01-20 | 2020-01-28 | N | 1015 | N/A | 0.1 | 14.4 | 26.7 | 11.3 | 9.1 | 4.9 | 4.4 | 9.9 | 3.7 | N/A | N/A | 2.9 | 5.7 | N/A | N/A | N/A | N/A | N/A | 6.9
Vilmorus | Lietuvos rytas | 2020-01-10 | 2020-01-18 | N | N/A | 97.5 | 0.1 | 19.3 | 28.1 | 15.2 | 5.5 | 7.3 | 2.9 | 10.2 | 4.8 | N/A | N/A | 4.1 | 2.2 | N/A | N/A | N/A | N/A | N/A | 0.5
Baltijos tyrimai | ELTA | 2019-12-10 | 2019-12-21 | N | 1020 | N/A | 0.1 | 9.9 | 23.8 | 17.5 | 7.7 | 7.9 | 6.0 | 12.8 | 4.4 | N/A | N/A | 3.2 | 3.3 | N/A | N/A | N/A | N/A | N/A | 3.6
Vilmorus | Lietuvos rytas | 2019-11-29 | 2019-12-07 | N | 1021 | 97.0 | 0.1 | 18.4 | 26.1 | 14.2 | 6.9 | 8.3 | 2.2 | 12.8 | 3.9 | N/A | N/A | 3.7 | 2.9 | N/A | N/A | N/A | N/A | N/A | 0.6
Spinter tyrimai | Delfi | 2019-11-19 | 2019-11-29 | N | 1010 | N/A | 0.1 | 10.8 | 27.5 | 11.5 | 9.5 | 4.5 | 4.8 | 10.4 | 3.9 | 1.6 | N/A | 2.3 | 4.9 | N/A | N/A | N/A | N/A | N/A | 8.2
Baltijos tyrimai | ELTA | 2019-11-14 | 2019-11-27 | N | 1000 | N/A | 0.1 | 12.1 | 25.2 | 19.0 | 5.7 | 5.0 | 5.7 | 13.3 | 3.1 | N/A | N/A | 3.5 | 3.2 | N/A | N/A | N/A | N/A | N/A | 0.0
Vilmorus | Lietuvos rytas | 2019-11-08 | 2019-11-16 | N | 1020 | 97.8 | 0.1 | 17.6 | 26.8 | 13.0 | 7.8 | 7.0 | 3.3 | 12.9 | 4.4 | N/A | N/A | 3.8 | 3.0 | N/A | N/A | N/A | N/A | N/A | 0.3
Baltijos tyrimai | ELTA | 2019-10-15 | 2019-10-29 | N | 1000 | N/A | 0.1 | 10.9 | 24.2 | 19.4 | 6.8 | 8.3 | 7.1 | 13.9 | 4.1 | N/A | N/A | 2.5 | 2.8 | N/A | N/A | N/A | N/A | N/A | 0.0
Spinter tyrimai | Delfi | 2019-10-17 | 2019-10-28 | N | 1008 | N/A | 0.1 | 14.7 | 26.0 | 10.0 | 9.1 | 7.2 | 4.6 | 7.9 | 4.2 | 2.9 | N/A | 3.3 | 5.1 | N/A | N/A | N/A | N/A | N/A | 5.1
Vilmorus | Lietuvos rytas | 2019-10-04 | 2019-10-13 | N | 1020 | 95.3 | 0.1 | 19.0 | 26.7 | 11.6 | 7.9 | 8.2 | 3.1 | 9.2 | 4.6 | N/A | N/A | 5.6 | 3.8 | N/A | N/A | N/A | N/A | N/A | 0.3
Baltijos tyrimai | ELTA | 2019-09-21 | 2019-10-05 | N | 1002 | N/A | 0.1 | 16.5 | 26.2 | 17.4 | 5.7 | 8.4 | 5.1 | 8.5 | 3.4 | N/A | N/A | 2.2 | 3.4 | N/A | N/A | N/A | N/A | N/A | 2.0
Spinter tyrimai | Delfi | 2019-09-18 | 2019-09-27 | N | 1012 | N/A | 0.1 | 19.9 | 26.2 | 12.3 | 7.1 | 5.3 | 4.1 | 6.9 | 3.1 | 1.8 | N/A | 2.8 | 4.5 | N/A | N/A | N/A | N/A | N/A | 6.0
Vilmorus | Lietuvos rytas | 2019-09-06 | 2019-09-14 | N | 1021 | 96.6 | 0.1 | 23.5 | 23.2 | 13.5 | 5.2 | 7.1 | 3.4 | 11.8 | 3.9 | N/A | N/A | 5.2 | 2.9 | N/A | N/A | N/A | N/A | N/A | 0.3
Baltijos tyrimai | ELTA | 2019-08-26 | 2019-09-08 | N | 1019 | N/A | 0.1 | 18.6 | 19.4 | 18.0 | 7.4 | 8.2 | 5.1 | 10.6 | 4.5 | N/A | N/A | 1.8 | 3.4 | N/A | N/A | N/A | N/A | N/A | 0.1
Baltijos tyrimai | ELTA | 2019-07-15 | 2019-07-29 | N | 1000 | N/A | 0.1 | 17.5 | 20.3 | 18.6 | 6.8 | 10.0 | 5.1 | 8.3 | 3.9 | N/A | N/A | 2.6 | 3.5 | N/A | N/A | N/A | N/A | N/A | 0.1
Spinter tyrimai | Delfi | 2019-07-17 | 2019-07-26 | N | 1007 | N/A | 0.1 | 16.6 | 26.2 | 13.7 | 7.2 | 7.1 | 4.6 | 7.6 | 3.0 | N/A | N/A | 2.9 | 4.3 | N/A | N/A | N/A | N/A | N/A | 6.8
Vilmorus | Lietuvos rytas | 2019-07-05 | 2019-07-13 | N | 1021 | 95.9 | 0.1 | 20.2 | 25.6 | 11.7 | 4.3 | 9.4 | 4.0 | 13.4 | 2.0 | N/A | N/A | 4.3 | 4.6 | N/A | N/A | N/A | N/A | N/A | 0.5
Baltijos tyrimai | ELTA | 2019-06-14 | 2019-06-28 | N | 1021 | N/A | 0.1 | 19.9 | 22.1 | 18.7 | 7.9 | 8.6 | 5.0 | 7.6 | 3.2 | N/A | N/A | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | 5.6
Spinter tyrimai | Delfi | 2019-06-18 | 2019-06-27 | N | 1014 | N/A | 0.1 | 18.2 | 26.9 | 14.0 | 6.1 | 6.5 | 4.7 | 6.9 | 2.9 | N/A | N/A | 2.9 | 4.7 | N/A | N/A | N/A | N/A | N/A | 6.1
Vilmorus | Lietuvos rytas | 2019-06-07 | 2019-06-15 | N | 1023 | 96.0 | 0.1 | 23.0 | 26.1 | 12.4 | 4.4 | 9.0 | 4.8 | 10.4 | 2.1 | N/A | N/A | 3.4 | 3.4 | N/A | N/A | N/A | N/A | N/A | 0.9
Baltijos tyrimai | ELTA | 2019-05-27 | 2019-06-09 | N | N/A | N/A | 0.1 | 20.1 | 22.4 | 17.7 | 5.7 | 6.7 | 5.9 | 8.4 | 3.0 | N/A | N/A | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | 5.0
Spinter tyrimai | Delfi | 2019-05-17 | 2019-05-25 | N | 1008 | N/A | 0.1 | 22.2 | 26.1 | 11.4 | 9.3 | 6.7 | 5.5 | 7.7 | 2.2 | N/A | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | 5.4
Vilmorus | Lietuvos rytas | 2019-05-13 | 2019-05-18 | N | 1022 | 96.1 | 0.1 | 28.8 | 30.4 | 10.6 | 4.4 | 5.8 | 4.5 | 8.6 | 2.8 | N/A | N/A | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | 0.2
Spinter tyrimai | Delfi | 2019-04-20 | 2019-04-29 | N | 1009 | N/A | 1 | 24 | 28 | 11 | 9 | 7 | 6 | 8 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2019-04-12 | 2019-04-26 | E | N/A | N/A | 1 | 25 | 23 | 13 | 5 | 5 | 4 | 6 | 7 | 2 | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2019-04-04 | 2019-04-13 | N | N/A | N/A | 1 | 24 | 31 | 11 | 4 | 9 | 5 | 9 | 4 | N/A | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2019-03-15 | 2019-04-10 | N | N/A | N/A | 1 | 25 | 24 | 16 | 5 | 5 | 4 | 9 | N/A | N/A | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2019-03-18 | 2019-03-28 | N | 1006 | N/A | 1 | 21 | 25 | 14 | 8 | 7 | 5 | 7 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2019-03-07 | 2019-03-15 | N | N/A | N/A | 0.1 | 26.8 | 23.49 | 12.25 | 4.47 | 6.92 | 3.31 | 7.64 | N/A | N/A | N/A | 5.91 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2019-02-18 | 2019-02-28 | N | 1006 | N/A | 0.1 | 22.53 | 27.8 | 9.75 | 5.27 | 5.8 | 5.93 | 7.38 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2019-02-15 | 2019-02-26 | N | N/A | N/A | 0.1 | 21.41 | 23.75 | 11.44 | 5.72 | 9.82 | 4.25 | 10.56 | N/A | N/A | N/A | 3.67 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2019-02-08 | 2019-02-17 | N | 1025 | N/A | 0.1 | 27.3 | 31.09 | 8.06 | 5.76 | 7.07 | 3.45 | 7.89 | 4 | N/A | N/A | 3.62 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2019-01-23 | 2019-02-03 | N | N/A | N/A | 0.1 | 21.73 | 23.93 | 12.68 | 6.21 | 11.9 | 2.98 | 8.15 | 5 | N/A | N/A | 3.62 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2019-01-15 | 2019-01-26 | N | 1011 | N/A | 0.1 | 22.43 | 26.48 | 11 | 4.49 | 8.25 | 6.51 | 6.95 | 3 | N/A | N/A | 3.18 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2019-01-11 | 2019-01-20 | N | 1024 | N/A | 0.1 | 27.07 | 25.17 | 10.34 | 4.83 | 9.14 | 3.79 | 8.97 | 5 | N/A | N/A | 4.48 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2018-12-09 | 2018-12-09 | N | N/A | N/A | 0.1 | 23.12 | 28.59 | 8.91 | 3.75 | 10.31 | 3.91 | 10.78 | N/A | N/A | N/A | 3.75 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2018-11-19 | 2018-11-30 | N | 1013 | N/A | 1 | 22 | 26 | 11 | 4 | 11 | 7 | 6 | 5 | N/A | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2018-11-09 | 2018-11-26 | N | N/A | N/A | 1 | 21 | 27 | 13 | 4 | 10 | 4 | 8 | 6 | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2018-10-16 | 2018-10-30 | N | 1005 | N/A | 1 | 21 | 26 | 8 | 5 | 12 | 6 | 6 | 4 | N/A | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2018-10-10 | 2018-10-26 | N | N/A | N/A | 1 | 18 | 24 | 13 | 7 | 11 | 5 | 7 | 6 | N/A | N/A | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2018-09-24 | 2018-10-07 | N | N/A | N/A | 1 | 18 | 25 | 6 | 7 | 12 | 4 | 8 | 5 | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2018-09-19 | 2018-09-26 | N | 1011 | N/A | 1 | 24 | 26 | 7 | 6 | 10 | 6 | 6 | 4 | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2018-08-24 | 2018-08-31 | N | 1007 | N/A | 1 | 22 | 24 | 8 | 5 | 11 | 5 | 7 | 6 | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2018-08-21 | 2018-08-31 | N | N/A | N/A | 1 | 21 | 22 | 5 | 8 | 10 | 4 | 7 | 7 | N/A | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Baltijos tyrimai | ELTA | 2018-07-16 | 2018-07-31 | N | 1007 | N/A | 1 | 17 | 19 | 10 | 7 | 13 | 6 | 9 | 7 | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2018-06-19 | 2018-06-27 | N | 1003 | N/A | 1 | 20 | 23 | 10 | 6 | 11 | 5 | 9 | 4 | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2018-06-08 | 2018-06-17 | N | 1034 | N/A | 1 | 24 | 26 | 8 | 3 | 10 | 4 | 11 | 5 | N/A | N/A | 8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2018-05-04 | 2018-05-12 | N | 1030 | N/A | 1 | 21 | 24 | 8 | 6 | 11 | 4 | 10 | 6 | N/A | N/A | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2018-04-06 | 2018-04-15 | N | 1032 | 97.9 | 0.1 | 18.9 | 27.9 | 7.8 | 7.5 | 11.4 | 4.3 | 4.6 | 6.3 | 0.8 | 2.1 | 7.9 | N/A | N/A | N/A | N/A | N/A | N/A | 0.5
Vilmorus | Lietuvos rytas | 2018-02-09 | 2018-02-18 | N | N/A | N/A | 1 | 22 | 28 | 13 | 9 | 12 | 6 | 7 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vilmorus | Lietuvos rytas | 2018-01-12 | 2018-01-21 | N | 1034 | N/A | 1 | 23 | 29 | 14 | 7 | 14 | 4 | 3 | 3 | 1 | 1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2017-12-11 | 2017-12-19 | N | 1006 | N/A | 0.1 | 21.1 | 26.4 | 13.2 | 6.9 | 10.6 | 6.4 | 2.8 | 7.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.2
Spinter tyrimai | Delfi | 2017-11-16 | 2017-11-24 | N | N/A | N/A | 0.1 | 26.1 | 27.5 | 10.8 | 7.1 | 8.4 | 6.6 | 2.8 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.2
Spinter tyrimai | Delfi | 2017-10-16 | 2017-10-23 | N | 1009 | N/A | 1 | 23 | 26 | 10 | 7 | 5 | 7 | 3 | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7
Spinter tyrimai | Delfi | 2017-08-21 | 2017-08-28 | N | N/A | N/A | 1 | 21 | 22 | 15 | 8 | 7 | 6 | 3 | 4 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
Spinter tyrimai | Delfi | 2017-07-17 | 2017-07-23 | N | N/A | N/A | 1 | 23 | 21 | 15 | 9 | 7 | 5 | 3 | 5 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
Vilmorus | Lietuvos rytas | 2017-06-30 | 2017-07-09 | N | N/A | 97.1 | 0.1 | 22.5 | 23.6 | 16.9 | 8.6 | 8.2 | 6.1 | 3.0 | 5.6 | 3.5 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.9
Vilmorus | Lietuvos rytas | 2017-06-02 | 2017-06-10 | N | N/A | 97.7 | 0.1 | 25.9 | 25.6 | 17.7 | 8.3 | 6.4 | 4.5 | 3.1 | 5.9 | 1.7 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Spinter tyrimai | Delfi | 2017-01-17 | 2017-01-25 | N | 1010 | N/A | 0.1 | 37.1 | 18.7 | 14.3 | 8.5 | 4.2 | 5.6 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.8
Spinter tyrimai | Delfi | 2016-12-12 | 2016-12-20 | N | 1007 | N/A | 0.1 | 42.8 | 16.7 | 12.4 | 7.9 | 6.0 | 5.0 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.7
Spinter tyrimai | Delfi | 2016-11-18 | 2016-11-25 | N | N/A | N/A | 0.1 | 36.2 | 16.5 | 14.0 | 12.4 | 7.0 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.6
