Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | FG | FF | SF | IA | SD | PBP–S | Lab | GP | CP | Aon | Other
Behaviour and Attitudes | The Sunday Times | 2018-12-06 | 2018-12-18 | N | 911 | N/A | 1 | 31 | 29 | 17 | 2 | 2 | 2 | 5 | 3 | N/A | N/A | 10
Millward Brown | The Sunday Independent | 2018-12-01 | 2018-12-13 | N | 920 | N/A | 1 | 32 | 27 | 21 | 4 | 2 | 1 | 5 | 1 | N/A | N/A | 6
Red C | The Sunday Business Post | 2018-11-15 | 2018-11-22 | N | 1000 | N/A | 1 | 34 | 27 | 13 | 5 | 2 | 0 | 6 | 3 | 0 | N/A | 10
Behaviour and Attitudes | The Sunday Times | 2018-11-01 | 2018-11-13 | N | 905 | N/A | 1 | 30 | 27 | 23 | 1 | 1 | 2 | 6 | 1 | N/A | N/A | 9
Red C | RTÉ | 2018-10-26 | 2018-10-26 | N | 3474 | N/A | 1 | 35 | 22 | 15 | 1 | 3 | 2 | 7 | 4 | 0 | N/A | 11
Red C | The Sunday Business Post | 2018-10-11 | 2018-10-17 | N | 1000 | N/A | 1 | 33 | 25 | 15 | 4 | 2 | 0 | 5 | 4 | N/A | N/A | 12
Behaviour and Attitudes | The Sunday Times | 2018-10-05 | 2018-10-16 | N | 930 | N/A | 1 | 31 | 27 | 19 | 2 | 0 | 2 | 6 | 2 | 0 | N/A | 9
Ipsos MRBI | The Irish Times | 2018-10-10 | 2018-10-12 | N | 1200 | N/A | 1 | 33 | 25 | 24 | 1 | 1 | 3 | 4 | 2 | N/A | N/A | 6
Red C | Paddy Power | 2018-10-03 | 2018-10-10 | N | 1000 | N/A | 1 | 32 | 27 | 14 | 3 | 1 | 2 | 5 | 3 | 0 | N/A | 13
Behaviour and Attitudes | The Sunday Times | 2018-09-06 | 2018-09-18 | N | 940 | N/A | 1 | 32 | 25 | 20 | 4 | 0 | 3 | 5 | 3 | 0 | N/A | 8
Red C | The Sunday Business Post | 2018-09-06 | 2018-09-13 | N | 1000 | N/A | 1 | 33 | 22 | 14 | 4 | 2 | 2 | 6 | 2 | 1 | N/A | 13
Ireland Thinks | The Irish Daily Mail | 2018-08-15 | 2018-08-24 | N | 942 | N/A | 1 | 29 | 24 | 19 | N/A | 2 | 1 | 6 | 2 | N/A | N/A | 17
Behaviour and Attitudes | The Sunday Times | 2018-07-05 | 2018-07-17 | N | 931 | N/A | 1 | 34 | 21 | 22 | 4 | 1 | 1 | 3 | 2 | 0 | N/A | 10
Behaviour and Attitudes | The Sunday Times | 2018-06-12 | 2018-06-12 | N | 931 | N/A | 1 | 31 | 24 | 24 | 3 | 1 | 2 | 4 | 2 | 0 | N/A | 9
Red C | The Sunday Business Post | 2018-05-10 | 2018-05-16 | N | 1000 | N/A | 1 | 34 | 25 | 16 | 4 | 1 | 3 | 6 | 2 | 0 | N/A | 9
Behaviour and Attitudes | The Sunday Times | 2018-05-03 | 2018-05-15 | N | 935 | N/A | 1 | 30 | 23 | 24 | 3 | 1 | 2 | 4 | 2 | N/A | N/A | 10
Millward Brown | The Sunday Independent | 2018-04-19 | 2018-04-30 | N | 1003 | N/A | 1 | 34 | 27 | 22 | 5 | N/A | 1 | 5 | 3 | N/A | N/A | 2
Red C | The Sunday Business Post | 2018-04-26 | 2018-04-26 | N | 1000 | N/A | 1 | 32 | 25 | 14 | 2 | 2 | 2 | 6 | 2 | 1 | N/A | 13
Ireland Thinks | The Irish Daily Mail | 2018-04-04 | 2018-04-18 | N | N/A | N/A | 1 | 29 | 26 | 16 | N/A | 3 | 4 | 5 | 4 | N/A | N/A | 13
Ipsos MRBI | The Irish Times | 2018-04-16 | 2018-04-17 | N | 1200 | N/A | 1 | 31 | 26 | 22 | 1 | 1 | 2 | 5 | 3 | N/A | N/A | 9
Behaviour and Attitudes | The Sunday Times | 2018-04-05 | 2018-04-17 | N | 928 | N/A | 1 | 33 | 25 | 21 | 2 | 1 | 1 | 6 | 2 | 1 | N/A | 10
Red C | The Sunday Business Post | 2018-03-15 | 2018-03-22 | N | 1000 | N/A | 1 | 33 | 24 | 16 | 1 | 2 | 2 | 6 | 2 | 2 | N/A | 12
Behaviour and Attitudes | The Sunday Times | 2018-03-06 | 2018-03-13 | N | 900 | N/A | 1 | 32 | 27 | 19 | 3 | 1 | 2 | 6 | 2 | N/A | N/A | 10
Red C | The Sunday Business Post | 2018-02-15 | 2018-02-22 | N | 1000 | N/A | 1 | 32 | 29 | 14 | 3 | 2 | 1 | 6 | 2 | 1 | N/A | 10
Millward Brown | The Sunday Independent | 2018-02-06 | 2018-02-14 | N | 970 | N/A | 1 | 34 | 26 | 19 | 3 | 1 | 1 | 4 | 2 | N/A | N/A | 10
Behaviour and Attitudes | The Sunday Times | 2018-02-01 | 2018-02-13 | N | 926 | N/A | 1 | 36 | 25 | 16 | 4 | 1 | 3 | 5 | 1 | N/A | N/A | 9
Red C | The Sunday Business Post | 2018-01-15 | 2018-01-25 | N | 1003 | N/A | 1 | 32 | 26 | 15 | 3 | 2 | 3 | 6 | 4 | 0 | N/A | 9
Ipsos MRBI | The Irish Times | 2018-01-22 | 2018-01-23 | N | 1200 | N/A | 1 | 34 | 25 | 19 | 1 | 1 | 2 | 4 | 3 | N/A | N/A | 11
Behaviour and Attitudes | The Sunday Times | 2018-01-04 | 2018-01-16 | N | 920 | N/A | 1 | 32 | 26 | 18 | 4 | 1 | 2 | 6 | 2 | N/A | N/A | 9
Behaviour and Attitudes | The Sunday Times | 2017-12-24 | 2017-12-24 | N | 913 | N/A | 1 | 34 | 26 | 17 | 4 | 2 | 2 | 5 | 2 | N/A | N/A | 8
Ireland Thinks | Irish Daily Mail | 2017-12-22 | 2017-12-22 | N | 1144 | N/A | 1 | 33 | 26 | 16 | N/A | 2 | 3 | 6 | 2 | N/A | N/A | 12
Ipsos MRBI | Irish Times | 2017-12-07 | 2017-12-07 | N | 1200 | N/A | 1 | 36 | 25 | 19 | 1 | 1 | 1 | 4 | 3 | N/A | N/A | 10
Red C | The Sunday Business Post | 2017-11-23 | 2017-11-23 | N | 1004 | N/A | 1 | 27 | 26 | 16 | 4 | 3 | 3 | 6 | 4 | 1 | N/A | 10
Behaviour and Attitudes | The Sunday Times | 2017-11-07 | 2017-11-07 | N | 919 | N/A | 1 | 34 | 31 | 14 | 3 | 1 | 3 | 3 | 2 | 0 | N/A | 8
Red C | The Sunday Business Post | 2017-10-20 | 2017-10-20 | N | 1004 | N/A | 1 | 29 | 25 | 14 | 4 | 2 | 4 | 6 | 4 | 0 | N/A | 12
Behaviour and Attitudes | The Sunday Times | 2017-10-10 | 2017-10-10 | N | 915 | N/A | 1 | 31 | 27 | 19 | 3 | 1 | 1 | 4 | 2 | 0 | N/A | 12
Ipsos MRBI | Irish Times | 2017-10-02 | 2017-10-02 | N | 1200 | N/A | 1 | 31 | 29 | 19 | 1 | 2 | 2 | 4 | 3 | 0 | N/A | 9
Red C | The Sunday Business Post | 2017-09-22 | 2017-09-22 | N | 1004 | N/A | 1 | 30 | 26 | 16 | 2 | 4 | 4 | 5 | 2 | 1 | N/A | 10
Behaviour and Attitudes | The Sunday Times | 2017-09-12 | 2017-09-12 | N | 937 | N/A | 1 | 33 | 25 | 19 | 4 | 1 | 1 | 5 | 2 | 0 | N/A | 10
Millward Brown | The Sunday Independent | 2017-07-21 | 2017-07-21 | N | 956 | N/A | 1 | 30 | 29 | 20 | 5 | 0 | 1 | 7 | 2 | N/A | N/A | 7
Behaviour and Attitudes | The Sunday Times | 2017-07-11 | 2017-07-11 | N | 923 | N/A | 1 | 29 | 30 | 18 | 4 | 1 | 2 | 5 | 2 | 0 | N/A | 9
Red C | The Sunday Business Post | 2017-07-05 | 2017-07-05 | N | 1000 | N/A | 1 | 27 | 24 | 18 | 4 | 2 | 4 | 6 | 4 | 3 | N/A | 8
Behaviour and Attitudes | The Sunday Times | 2017-06-10 | 2017-06-10 | N | 1004 | N/A | 1 | 29 | 29 | 18 | 5 | 1 | 1 | 5 | 3 | 1 | N/A | 9
Red C | The Sunday Business Post | 2017-05-25 | 2017-05-25 | N | 1004 | N/A | 1 | 29 | 21 | 15 | 3 | 4 | 3 | 6 | 3 | 1 | N/A | 15
Behaviour and Attitudes | The Sunday Times | 2017-05-13 | 2017-05-13 | N | 945 | N/A | 1 | 28 | 27 | 18 | 4 | 1 | 1 | 4 | 2 | 1 | N/A | 14
Red C | The Sunday Business Post | 2017-04-28 | 2017-04-28 | N | 1004 | N/A | 1 | 24 | 28 | 18 | 2 | 4 | 4 | 6 | 3 | 1 | N/A | 10
Behaviour and Attitudes | The Sunday Times | 2017-04-11 | 2017-04-11 | N | 937 | N/A | 1 | 29 | 28 | 18 | 5 | 2 | 2 | 5 | 2 | 0 | N/A | 10
Red C | The Sunday Business Post | 2017-03-24 | 2017-03-24 | N | 1004 | N/A | 1 | 24 | 26 | 17 | 3 | 3 | 4 | 6 | 4 | 0 | N/A | 13
Behaviour and Attitudes | The Sunday Times | 2017-03-08 | 2017-03-08 | N | 934 | N/A | 1 | 22 | 28 | 23 | 6 | 1 | 2 | 6 | 2 | 0 | N/A | 9
Ipsos MRBI | Irish Times | 2017-02-28 | 2017-02-28 | N | 1200 | N/A | 1 | 28 | 29 | 21 | 2 | 1 | 3 | 4 | 3 | N/A | N/A | 9
Red C | The Sunday Business Post | 2017-02-23 | 2017-02-23 | N | 1004 | N/A | 1 | 24 | 26 | 19 | 3 | 3 | 6 | 4 | 4 | 1 | N/A | 10
Millward Brown | The Sunday Independent | 2017-02-16 | 2017-02-16 | N | 960 | N/A | 1 | 25 | 33 | 20 | 5 | 2 | 3 | 6 | 2 | N/A | N/A | 4
Behaviour and Attitudes | The Sunday Times | 2017-02-08 | 2017-02-08 | N | 955 | N/A | 1 | 21 | 32 | 19 | 5 | 2 | 3 | 6 | 2 | 0 | N/A | 10
Red C | The Sunday Business Post | 2017-01-26 | 2017-01-26 | N | 1004 | N/A | 1 | 24 | 27 | 14 | 3 | 4 | 4 | 5 | 4 | 1 | N/A | 14
Behaviour and Attitudes | The Sunday Times | 2017-01-21 | 2017-01-21 | N | 921 | N/A | 1 | 23 | 29 | 17 | 3 | 1 | 5 | 5 | 3 | 0 | N/A | 15
Behaviour and Attitudes | The Sunday Times | 2016-12-13 | 2016-12-13 | N | 924 | N/A | 1 | 26 | 28 | 19 | 5 | 1 | 3 | 5 | 3 | 1 | N/A | 9
Ipsos MRBI | Irish Times | 2016-12-06 | 2016-12-06 | N | 1200 | N/A | 1 | 27 | 30 | 17 | 2 | 2 | 3 | 6 | 3 | N/A | N/A | 10
Red C | The Sunday Business Post | 2016-11-25 | 2016-11-25 | N | 1000 | N/A | 1 | 25 | 24 | 16 | 4 | 4 | 5 | 5 | 3 | 1 | N/A | 12
Behaviour and Attitudes | The Sunday Times | 2016-11-09 | 2016-11-09 | N | 924 | N/A | 1 | 28 | 30 | 17 | 5 | 0 | 3 | 3 | 2 | 0 | N/A | 11
Red C | The Sunday Business Post | 2016-10-27 | 2016-10-27 | N | 1002 | N/A | 1 | 25 | 26 | 13 | 6 | 3 | 9 | 5 | 3 | 0 | N/A | 10
Millward Brown | The Sunday Independent | 2016-10-20 | 2016-10-20 | N | 942 | N/A | 1 | 29 | 27 | 20 | 5 | 1 | 5 | 8 | 2 | N/A | N/A | 3
Behaviour and Attitudes | The Sunday Times | 2016-10-12 | 2016-10-12 | N | 917 | N/A | 1 | 26 | 30 | 17 | 4 | 1 | 2 | 5 | 2 | 1 | N/A | 11
Ipsos MRBI | Irish Times | 2016-10-04 | 2016-10-04 | N | 1200 | N/A | 1 | 26 | 26 | 19 | N/A | 2 | 3 | 5 | 3 | N/A | N/A | 15
Red C | The Sunday Business Post | 2016-09-22 | 2016-09-22 | N | 1002 | N/A | 1 | 25 | 27 | 15 | 4 | 4 | 6 | 7 | 2 | 0 | N/A | 10
Behaviour and Attitudes | The Sunday Times | 2016-09-14 | 2016-09-14 | N | 911 | N/A | 1 | 23 | 28 | 18 | 4 | 1 | 4 | 7 | 2 | 0 | N/A | 12
Red C | Paddy Power | 2016-07-27 | 2016-07-27 | N | 1000 | N/A | 1 | 27 | 28 | 15 | 5 | 3 | 4 | 4 | 3 | 0 | N/A | 10
Red C | The Sunday Business Post | 2016-07-13 | 2016-07-13 | N | 1004 | N/A | 1 | 26 | 29 | 13 | 5 | 4 | 5 | 6 | 4 | 1 | N/A | 8
Behaviour and Attitudes | The Sunday Times | 2016-07-13 | 2016-07-13 | N | 909 | N/A | 1 | 25 | 30 | 14 | 4 | 2 | 5 | 6 | 2 | 0 | N/A | 12
Ipsos MRBI | Irish Times | 2016-07-07 | 2016-07-07 | N | 1200 | N/A | 1 | 24 | 33 | 16 | 2 | 2 | 2 | 5 | 4 | N/A | N/A | 11
Millward Brown | The Sunday Independent | 2016-06-29 | 2016-06-29 | N | 1000 | N/A | 1 | 30 | 26 | 20 | N/A | 2 | 4 | 7 | 3 | N/A | N/A | 8
Behaviour and Attitudes | The Sunday Times | 2016-06-15 | 2016-06-15 | N | 913 | N/A | 1 | 25 | 26 | 17 | 6 | 1 | 4 | 5 | 3 | 1 | N/A | 11
Red C | The Sunday Business Post | 2016-05-26 | 2016-05-26 | N | 1004 | N/A | 1 | 26 | 26 | 15 | 4 | 4 | 5 | 6 | 2 | 0 | N/A | 11
Red C | Paddy Power | 2016-05-11 | 2016-05-11 | N | 1015 | N/A | 1 | 27 | 25 | 16 | 3 | 4 | 6 | 5 | 3 | 1 | N/A | 10
Behaviour and Attitudes | The Sunday Times | 2016-05-11 | 2016-05-11 | N | 898 | N/A | 1 | 26 | 27 | 16 | 7 | 2 | 4 | 5 | 4 | 0 | N/A | 9
Behaviour and Attitudes | The Sunday Times | 2016-04-13 | 2016-04-13 | N | 926 | N/A | 1 | 23 | 26 | 17 | 8 | 2 | 4 | 4 | 3 | 1 | N/A | 12
Red C | The Sunday Business Post | 2016-03-10 | 2016-03-10 | N | 1006 | N/A | 1 | 27 | 25 | 15 | 5 | 5 | 4 | 4 | 3 | 2 | N/A | 9
