Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ND | SYRIZA | PASOK-KINAL | ChA | KKE | EK | ANEL | LAE - AA | PE | Potami | EL | MeRA25 | EKE | ED | EAN… | Níki | Spartiátes | Other
MRB | Open TV | 2023-10-30 | 2023-11-01 | N | 1000 | N/A | 0.1 | 38.0 | 15.2 | 13.9 | N/A | 9.6 | N/A | N/A | N/A | 3.8 | N/A | 7.7 | 3.2 | N/A | N/A | N/A | 3.4 | 2.5 | N/A
Pulse RC | ΣΚΑΪ | 2023-10-26 | 2023-10-30 | N | 1163 | N/A | 0.1 | 38.5 | 17.2 | 13.8 | N/A | 9.8 | N/A | N/A | N/A | 2.9 | N/A | 5.2 | 2.9 | N/A | N/A | N/A | 3.4 | 3.4 | N/A
GPO | Star TV | 2023-10-23 | 2023-10-24 | N | 1100 | N/A | 0.1 | 41.6 | 14.7 | 13.5 | N/A | 9.7 | N/A | N/A | N/A | 2.6 | N/A | 6.1 | N/A | N/A | N/A | N/A | 2.8 | 4.0 | N/A
Metron Analysis | Mega TV | 2023-10-18 | 2023-10-24 | N | 1300 | N/A | 0.1 | 38.0 | 15.2 | 13.4 | N/A | 10.3 | N/A | N/A | N/A | 3.7 | N/A | 7.0 | 3.5 | N/A | N/A | N/A | 3.3 | 2.7 | N/A
Prorata | Attica TV | 2023-09-27 | 2023-10-02 | N | 1000 | N/A | 0.1 | 38.5 | 17.3 | 12.8 | N/A | 10.6 | N/A | N/A | N/A | 2.2 | N/A | 6.7 | N/A | N/A | N/A | N/A | 3.4 | 3.9 | N/A
MRB | Open TV | 2023-09-25 | 2023-09-28 | N | 1058 | N/A | 0.1 | 38.0 | 17.3 | 12.1 | N/A | 9.0 | N/A | N/A | N/A | 2.9 | N/A | 7.3 | 2.8 | N/A | N/A | N/A | 3.9 | 3.3 | N/A
Alco | Alpha TV | 2023-09-25 | 2023-09-28 | N | 1000 | N/A | 0.1 | 37.2 | 17.6 | 13.6 | N/A | 8.9 | N/A | N/A | N/A | 3.1 | N/A | 5.7 | 2.2 | N/A | N/A | N/A | 2.9 | 5.2 | N/A
Pulse RC | ΣΚΑΪ | 2023-09-25 | 2023-09-27 | N | 1306 | N/A | 0.1 | 37.8 | 19.8 | 13.6 | N/A | 8.7 | N/A | N/A | N/A | 2.9 | N/A | 5.8 | 1.7 | N/A | N/A | N/A | 2.9 | 4.1 | N/A
GPO | Απογευματινή | 2023-09-25 | 2023-09-27 | N | 1142 | N/A | 0.1 | 44.4 | 18.2 | 11.8 | N/A | 7.5 | N/A | N/A | N/A | 3.2 | N/A | 5.1 | N/A | N/A | N/A | N/A | 2.7 | 2.6 | N/A
Opinion Poll | Action 24 | 2023-09-21 | 2023-09-26 | N | 1219 | N/A | 0.1 | 39.1 | 17.3 | 12.3 | N/A | 9.5 | N/A | N/A | N/A | 3.5 | N/A | 5.9 | N/A | N/A | N/A | N/A | 4.6 | 3.6 | N/A
Metron Analysis | Mega TV | 2023-09-21 | 2023-09-26 | N | 1005 | N/A | 0.1 | 36.4 | 16.8 | 12.1 | N/A | 9.4 | N/A | N/A | N/A | 3.2 | N/A | 7.5 | 2.3 | N/A | N/A | N/A | 4.4 | 3.8 | N/A
GPO | Παραπολιτικά | 2023-06-22 | 2023-06-23 | N | N/A | N/A | 0.1 | 43.8 | 18.2 | 12.7 | N/A | 7.4 | N/A | N/A | N/A | 3.2 | N/A | 4.0 | 2.5 | N/A | N/A | N/A | 2.9 | 2.8 | N/A
Metron Analysis | N/A | 2023-06-21 | 2023-06-23 | N | 1219 | N/A | 0.1 | 41.4 | 19.6 | 12.0 | N/A | 7.5 | N/A | N/A | N/A | 3.0 | N/A | 2.8 | 3.0 | N/A | N/A | N/A | 3.2 | 4.0 | N/A
Marc | ΑΝΤ1 | 2023-06-20 | 2023-06-22 | N | 1506 | N/A | 0.1 | 42.2 | 19.3 | 11.9 | N/A | 7.4 | N/A | N/A | N/A | 3.9 | N/A | 4.0 | 2.2 | N/A | N/A | N/A | 3.3 | 2.8 | N/A
Pulse RC | ΣΚΑΪ | 2023-06-20 | 2023-06-22 | N | 1021 | N/A | 0.1 | 40.5 | 20.0 | 11.9 | N/A | 7.6 | N/A | N/A | N/A | 3.8 | N/A | 3.8 | 2.2 | N/A | N/A | N/A | 3.8 | 3.0 | N/A
MRB | Open TV | 2023-06-20 | 2023-06-22 | N | 1000 | N/A | 0.1 | 40.5 | 20.1 | 11.7 | N/A | 7.5 | N/A | N/A | N/A | 3.9 | N/A | 3.8 | 2.7 | N/A | N/A | N/A | 3.5 | 3.3 | N/A
Palmos Analysis | Tvxs.gr | 2023-06-19 | 2023-06-22 | N | 1023 | N/A | 0.1 | 41.8 | 18.6 | 13.3 | N/A | 7.4 | N/A | N/A | N/A | 3.8 | N/A | 3.4 | 2.1 | N/A | N/A | N/A | 3.5 | 2.9 | N/A
Rass | iefimerida | 2023-06-19 | 2023-06-22 | N | 1005 | N/A | 0.1 | 43.0 | 17.1 | 13.8 | N/A | 8.1 | N/A | N/A | N/A | 4.1 | N/A | 3.8 | 2.7 | N/A | N/A | N/A | 2.9 | 2.5 | N/A
GPO | Star TV | 2023-06-18 | 2023-06-22 | N | N/A | N/A | 0.1 | 43.9 | 19.6 | 11.8 | N/A | 7.5 | N/A | N/A | N/A | 3.3 | N/A | 4.0 | 2.4 | N/A | N/A | N/A | 3.0 | 2.7 | N/A
Alco | Alpha TV | 2023-06-16 | 2023-06-21 | N | 1403 | N/A | 0.1 | 42.2 | 19.7 | 11.1 | N/A | 7.2 | N/A | N/A | N/A | 3.6 | N/A | 3.7 | 2.1 | N/A | N/A | N/A | 3.0 | 2.2 | N/A
Metron Analysis | Mega TV | 2023-06-15 | 2023-06-21 | N | 1302 | N/A | 0.1 | 40.0 | 20.8 | 11.7 | N/A | 7.3 | N/A | N/A | N/A | 3.8 | N/A | 3.1 | 3.0 | N/A | N/A | N/A | 3.5 | 2.8 | N/A
Pulse RC | ΣΚΑΪ | 2023-06-18 | 2023-06-20 | N | 1016 | N/A | 0.1 | 40.5 | 20.0 | 11.9 | N/A | 7.0 | N/A | N/A | N/A | 3.8 | N/A | 3.8 | 2.2 | N/A | N/A | N/A | 3.8 | 2.7 | N/A
Interview | Politic.gr | 2023-06-16 | 2023-06-19 | N | 2005 | N/A | 0.1 | 42.1 | 21.4 | 10.0 | N/A | 6.4 | N/A | N/A | N/A | 3.7 | N/A | 4.6 | 2.7 | N/A | N/A | N/A | 2.1 | N/A | N/A
MRB | Newsbomb | 2023-06-15 | 2023-06-19 | N | 1000 | N/A | 0.1 | 41.0 | 20.0 | 11.5 | N/A | 7.0 | N/A | N/A | N/A | 4.4 | N/A | 4.0 | 2.7 | N/A | N/A | N/A | 3.4 | 2.5 | N/A
Marc | Πρώτο ΘΕΜΑ | 2023-06-12 | 2023-06-15 | N | 1853 | N/A | 0.1 | 42.7 | 20.2 | 11.6 | N/A | 7.2 | N/A | N/A | N/A | 4.1 | N/A | 3.5 | 2.4 | N/A | N/A | N/A | 3.3 | 2.4 | N/A
Metron Analysis | Το Βήμα | 2023-06-09 | 2023-06-15 | N | 1201 | N/A | 0.1 | 40.6 | 19.6 | 11.6 | N/A | 6.9 | N/A | N/A | N/A | 4.7 | N/A | 4.7 | 2.4 | N/A | N/A | N/A | 3.9 | 1.6 | N/A
Opinion Poll | The TOC | 2023-06-12 | 2023-06-14 | N | 1001 | N/A | 0.1 | 41.4 | 20.2 | 11.0 | N/A | 7.5 | N/A | N/A | N/A | 3.9 | N/A | 4.1 | 2.8 | N/A | N/A | N/A | 3.3 | 1.5 | N/A
GPO | Παραπολιτικά | 2023-06-12 | 2023-06-14 | N | 1000 | N/A | 0.1 | 44.5 | 18.9 | 12.4 | N/A | 6.9 | N/A | N/A | N/A | 3.7 | N/A | 3.7 | 2.7 | N/A | N/A | N/A | 3.1 | 2.2 | N/A
Pulse RC | ΣΚΑΪ | 2023-06-08 | 2023-06-12 | N | 1308 | N/A | 0.1 | 42.2 | 19.4 | 12.2 | N/A | 7.2 | N/A | N/A | N/A | 4.4 | N/A | 3.9 | 1.7 | N/A | N/A | N/A | 3.9 | 1.7 | N/A
Marc | ΑΝΤ1 | 2023-06-07 | 2023-06-11 | N | 1501 | N/A | 0.1 | 41.9 | 19.8 | 11.2 | N/A | 7.3 | N/A | N/A | N/A | 5.2 | N/A | 4.0 | 2.1 | N/A | N/A | N/A | 3.3 | 1.5 | N/A
Metron Analysis | Mega TV | 2023-06-07 | 2023-06-10 | N | 1200 | N/A | 0.1 | 40.3 | 19.2 | 11.1 | N/A | 6.7 | N/A | N/A | N/A | 5.4 | N/A | 5.1 | 3.2 | N/A | N/A | N/A | 3.2 | N/A | N/A
Alco | Alpha TV | 2023-06-06 | 2023-06-10 | N | 1200 | N/A | 0.1 | 43.1 | 19.6 | 11.6 | N/A | 6.6 | N/A | N/A | N/A | 4.8 | N/A | 3.6 | 1.8 | N/A | N/A | N/A | 3.7 | N/A | N/A
GPO | Τα Νέα | 2023-06-06 | 2023-06-08 | N | 1000 | N/A | 0.1 | 43.9 | 20.9 | 12.2 | N/A | 6.9 | N/A | N/A | N/A | 4.7 | N/A | 3.2 | 2.2 | N/A | N/A | N/A | 3.6 | N/A | N/A
MRB | Open TV | 2023-06-06 | 2023-06-07 | N | 1000 | N/A | 0.1 | 41.2 | 20.0 | 11.4 | N/A | 7.0 | N/A | N/A | N/A | 4.8 | N/A | 4.4 | 2.4 | N/A | N/A | N/A | 4.1 | N/A | N/A
GPO | Παραπολιτικά | 2023-05-30 | 2023-05-31 | N | 1000 | N/A | 0.1 | 43.9 | 22.1 | 12.2 | N/A | 6.7 | N/A | N/A | N/A | 4.6 | N/A | 3.8 | 1.7 | N/A | N/A | N/A | 3.3 | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2023-05-23 | 2023-05-31 | N | 3008 | N/A | 0.1 | 42.1 | 20.9 | 11.4 | N/A | 7.3 | N/A | N/A | N/A | 4.8 | N/A | 4.2 | 2.4 | N/A | N/A | N/A | 3.7 | N/A | N/A
Metron Analysis | Mega TV | 2023-05-25 | 2023-05-30 | N | 1202 | N/A | 0.1 | 41.0 | 19.1 | 11.7 | N/A | 7.7 | N/A | N/A | N/A | 4.8 | N/A | 4.4 | 2.5 | N/A | N/A | N/A | 3.8 | N/A | N/A
Κάπα Research | N/A | 2022-05-22 | 2023-05-23 | N | 1002 | N/A | 0.1 | 41.3 | 19.5 | 14.4 | N/A | 7.2 | N/A | N/A | N/A | 3.9 | N/A | 4.6 | 2.0 | N/A | N/A | N/A | 3.5 | N/A | N/A
MRB | Open TV | 2023-05-16 | 2023-05-19 | N | 1100 | N/A | 0.1 | 36.1 | 30.3 | 9.5 | N/A | 6.4 | N/A | N/A | N/A | 1.7 | N/A | 3.7 | 3.6 | N/A | 1.1 | N/A | 2.6 | N/A | N/A
Pulse RC | ΣΚΑΪ | 2023-05-14 | 2023-05-19 | N | 1425 | N/A | 0.1 | 36.4 | 29.0 | 9.7 | N/A | 6.8 | N/A | N/A | N/A | 1.7 | N/A | 4.0 | 4.5 | N/A | 1.7 | N/A | 2.3 | N/A | N/A
Marc | ΑΝΤ1 | 2023-05-16 | 2023-05-18 | N | 1266 | N/A | 0.1 | 38.0 | 29.7 | 8.8 | N/A | 6.5 | N/A | N/A | N/A | 2.6 | N/A | 3.8 | 4.0 | N/A | 1.1 | 1.1 | 2.3 | N/A | N/A
Rass | iefimerida | 2023-05-15 | 2023-05-18 | N | 1221 | N/A | 0.1 | 35.8 | 28.6 | 9.5 | N/A | 6.7 | N/A | N/A | N/A | 1.6 | N/A | 3.4 | 3.7 | N/A | N/A | N/A | 1.5 | N/A | N/A
GPO | Παραπολιτικά | 2023-05-15 | 2023-05-17 | N | 1200 | N/A | 0.1 | 37.2 | 30.3 | 9.7 | N/A | 7.3 | N/A | N/A | N/A | 1.4 | N/A | 3.9 | 4.0 | N/A | 1.3 | 1.1 | 1.1 | N/A | N/A
Palmos Analysis | Tvxs.gr | 2023-05-13 | 2023-05-17 | N | 1306 | N/A | 0.1 | 35.4 | 28.0 | 9.1 | N/A | 6.7 | N/A | N/A | N/A | 2.8 | N/A | 3.7 | 4.4 | N/A | 1.7 | N/A | 1.2 | N/A | N/A
Interview | Politic.gr | 2023-05-12 | 2023-05-17 | N | 2405 | N/A | 0.1 | 37.9 | 30.7 | 9.9 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 3.9 | 4.4 | N/A | 2.2 | N/A | 2.1 | N/A | N/A
Metron Analysis | Mega TV | 2023-05-12 | 2023-05-17 | N | 1500 | N/A | 0.1 | 35.8 | 28.1 | 10.7 | N/A | 7.1 | N/A | N/A | N/A | 1.7 | N/A | 4.6 | 3.9 | N/A | N/A | N/A | 1.4 | N/A | N/A
Rass | Action 24 | 2023-06-13 | 2023-05-16 | N | 1110 | N/A | 0.1 | 43.0 | 17.9 | 12.3 | N/A | 8.1 | N/A | N/A | N/A | 4.0 | N/A | 4.1 | 2.8 | N/A | N/A | N/A | 3.0 | 2.4 | N/A
Alco | Alpha TV | 2023-05-11 | 2023-05-16 | N | 1200 | N/A | 0.1 | 36.8 | 29.2 | 9.3 | N/A | 6.8 | N/A | N/A | N/A | 2.0 | N/A | 4.2 | 3.7 | N/A | 1.1 | N/A | 1.9 | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2023-05-28 | 2023-05-11 | N | 1000 | N/A | 0.1 | 35.0 | 30.0 | 10.6 | N/A | 7.8 | N/A | N/A | N/A | N/A | N/A | 3.3 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2023-05-10 | 2023-05-11 | N | 1120 | N/A | 0.1 | 37.2 | 30.4 | 10.3 | N/A | 7.4 | N/A | N/A | N/A | N/A | N/A | 3.7 | 4.0 | N/A | 1.3 | 1.4 | 1.1 | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2023-05-09 | 2023-05-11 | N | 1212 | N/A | 0.1 | 37.6 | 30.0 | 10.2 | N/A | 6.8 | N/A | N/A | N/A | 1.8 | N/A | 3.8 | 3.7 | N/A | N/A | 1.4 | 1.5 | N/A | N/A
Metron Analysis | Mega TV | 2023-05-04 | 2023-05-11 | N | 2105 | N/A | 0.1 | 36.1 | 28.0 | 10.3 | N/A | 7.3 | N/A | N/A | N/A | 2.4 | N/A | 3.3 | 4.4 | N/A | 1.3 | N/A | 1.3 | N/A | N/A
Marc | ΑΝΤ1 | 2023-05-05 | 2023-05-09 | N | 1286 | N/A | 0.1 | 37.1 | 30.1 | 10.3 | N/A | 6.9 | N/A | N/A | N/A | 1.8 | N/A | 3.8 | 3.7 | N/A | 1.1 | 1.4 | 1.7 | N/A | N/A
Κάπα Research | N/A | 2022-05-05 | 2023-05-09 | N | 1202 | N/A | 0.1 | 36.6 | 29.9 | 9.8 | N/A | 7.6 | N/A | N/A | N/A | 1.2 | N/A | 4.4 | 4.1 | N/A | 1.5 | 1.2 | 1.2 | N/A | N/A
Pulse RC | ΣΚΑΪ | 2023-05-04 | 2023-05-07 | N | 1064 | N/A | 0.1 | 36.8 | 29.8 | 9.9 | N/A | 7.0 | N/A | N/A | N/A | 1.2 | N/A | 3.5 | 4.7 | N/A | 1.2 | N/A | 1.6 | N/A | N/A
Alco | Alpha TV | 2023-05-03 | 2023-05-06 | N | 1000 | N/A | 0.1 | 36.8 | 29.2 | 10.3 | N/A | 7.2 | N/A | N/A | N/A | 1.4 | N/A | 4.3 | 3.7 | N/A | 1.1 | 1.1 | N/A | N/A | N/A
Metron Analysis | Mega TV | 2023-04-25 | 2023-05-05 | N | 1305 | N/A | 0.1 | 35.4 | 27.8 | 10.8 | N/A | 6.7 | N/A | N/A | N/A | 1.5 | N/A | 3.1 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Τα Νέα | 2023-05-02 | 2023-05-03 | N | 1000 | N/A | 0.1 | 37.0 | 30.4 | 10.1 | N/A | 7.0 | N/A | N/A | N/A | N/A | N/A | 3.5 | 3.6 | N/A | 1.7 | 2.1 | N/A | N/A | N/A
Interview | Politic.gr | 2023-04-27 | 2023-04-30 | N | 1705 | N/A | 0.1 | 35.6 | 28.6 | 10.8 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 4.2 | 4.4 | 3.3 | 2.1 | N/A | N/A | N/A | N/A
Prorata | Attica TV | 2023-04-27 | 2023-04-30 | N | 1147 | N/A | 0.1 | 35.2 | 30.7 | 10.6 | N/A | 6.7 | N/A | N/A | N/A | N/A | N/A | 3.4 | 3.9 | 3.9 | N/A | N/A | N/A | N/A | N/A
MRB | Open TV | 2023-04-24 | 2023-04-26 | N | 1000 | N/A | 0.1 | 34.1 | 28.6 | 9.5 | N/A | 6.2 | N/A | N/A | N/A | 1.2 | N/A | 3.4 | 3.7 | 4.6 | 1.1 | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2023-04-19 | 2023-04-23 | N | 1051 | N/A | 0.1 | 36.3 | 29.2 | 10.5 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 4.1 | 5.3 | 3.5 | N/A | N/A | N/A | N/A | N/A
Alco | Alpha TV | 2023-04-18 | 2023-04-22 | N | 1000 | N/A | 0.1 | 35.8 | 28.8 | 10.0 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 4.4 | 4.2 | 3.6 | 1.3 | N/A | N/A | N/A | N/A
Opinion Poll | The TOC | 2023-04-18 | 2023-04-21 | N | 1003 | N/A | 0.1 | 36.4 | 29.5 | 11.2 | N/A | 6.0 | N/A | N/A | N/A | 1.2 | N/A | 4.8 | 3.7 | 3.6 | 1.2 | N/A | N/A | N/A | N/A
Metron Analysis | Το Βήμα | 2023-04-19 | 2023-04-20 | N | 1007 | N/A | 0.1 | 33.8 | 27.0 | 10.3 | N/A | 7.3 | N/A | N/A | N/A | N/A | N/A | 4.9 | 5.3 | 4.3 | N/A | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2023-04-03 | 2023-04-05 | N | 1000 | N/A | 0.1 | 35.6 | 30.2 | 10.8 | N/A | 7.1 | N/A | N/A | N/A | N/A | N/A | 4.1 | 3.6 | 3.1 | 1.4 | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2023-03-30 | 2023-04-03 | N | 1107 | N/A | 0.1 | 35.3 | 29.9 | 11.4 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 4.2 | 4.2 | 3.6 | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2023-03-28 | 2023-04-01 | N | 1415 | N/A | 0.1 | 35.0 | 29.4 | 10.3 | N/A | 7.5 | N/A | N/A | N/A | N/A | N/A | 4.5 | 4.5 | 2.2 | 1.9 | N/A | N/A | N/A | N/A
Rass | Action 24 | 2023-03-27 | 2023-03-31 | N | 1001 | N/A | 0.1 | 32.9 | 26.9 | 13.3 | N/A | 7.9 | N/A | N/A | N/A | N/A | N/A | 5.6 | 5.1 | 4.1 | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2023-03-27 | 2023-03-30 | N | 1213 | N/A | 0.1 | 35.1 | 29.2 | 10.7 | N/A | 6.5 | N/A | N/A | N/A | 1.2 | N/A | 4.4 | 4.8 | 4.2 | 1.1 | N/A | N/A | N/A | N/A
Palmos Analysis | Tvxs.gr | 2023-03-27 | 2023-03-30 | N | 1083 | N/A | 0.1 | 31.0 | 26.2 | 10.7 | N/A | 7.1 | N/A | N/A | N/A | 1.2 | N/A | 4.8 | 4.8 | 4.8 | 2.3 | N/A | N/A | N/A | N/A
Prorata | Η Εφημερίδα των Συντακτών | 2023-03-24 | 2023-03-28 | N | 1085 | N/A | 0.1 | 33.9 | 30.4 | 10.7 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 4.2 | 3.6 | 3.6 | N/A | N/A | N/A | N/A | N/A
MRB | Newsbomb | 2023-03-24 | 2023-03-28 | N | 1000 | N/A | 0.1 | 33.3 | 29.4 | 9.5 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 5.5 | 4.5 | 4.8 | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2023-03-22 | 2023-03-28 | N | 1306 | N/A | 0.1 | 32.5 | 26.7 | 11.7 | N/A | 7.1 | N/A | N/A | N/A | N/A | N/A | 5.2 | 4.8 | 4.7 | N/A | N/A | N/A | N/A | N/A
Rass | iefimerida | 2023-03-24 | 2023-03-27 | N | 1030 | N/A | 0.1 | 34.4 | 27.6 | 12.0 | N/A | 8.3 | N/A | N/A | N/A | N/A | N/A | 4.1 | 4.3 | 4.4 | N/A | N/A | N/A | N/A | N/A
GPO | Star TV | 2023-03-18 | 2023-03-21 | N | 1200 | N/A | 0.1 | 35.6 | 30.7 | 10.8 | N/A | 7.7 | N/A | N/A | N/A | N/A | N/A | 4.0 | 3.7 | 2.4 | 1.2 | N/A | N/A | N/A | N/A
Alco | Alpha TV | 2023-03-13 | 2023-03-17 | N | 1001 | N/A | 0.1 | 33.0 | 28.8 | 10.9 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 4.4 | 3.9 | 3.9 | 1.3 | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2023-03-13 | 2023-03-15 | N | 1121 | N/A | 0.1 | 34.5 | 30.3 | 11.5 | N/A | 7.3 | N/A | N/A | N/A | N/A | N/A | 4.2 | 3.6 | 3.0 | 1.2 | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2023-03-07 | 2023-03-13 | N | 1201 | N/A | 0.1 | 33.7 | 26.3 | 11.8 | N/A | 7.6 | N/A | N/A | N/A | N/A | N/A | 5.1 | 4.5 | 4.6 | N/A | N/A | N/A | N/A | N/A
MRB | Open TV | 2023-03-06 | 2023-03-13 | N | 1450 | N/A | 0.1 | 33.2 | 29.7 | 10.9 | 1.2 | 6.2 | N/A | N/A | N/A | N/A | N/A | 5.4 | 4.7 | 4.8 | N/A | N/A | N/A | N/A | N/A
Prorata | Attica TV | 2023-03-08 | 2023-03-11 | N | 1102 | N/A | 0.1 | 33.7 | 30.8 | 11.2 | N/A | 5.9 | N/A | N/A | N/A | N/A | N/A | 4.1 | 3.6 | 3.0 | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2023-03-06 | 2023-03-09 | N | 1305 | N/A | 0.1 | 33.7 | 29.4 | 10.8 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 5.1 | 4.2 | 1.9 | 1.8 | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2023-03-06 | 2023-03-08 | N | 1000 | N/A | 0.1 | 35.2 | 30.6 | 11.0 | N/A | 8.0 | N/A | N/A | N/A | N/A | N/A | 3.6 | 3.9 | 1.7 | 1.7 | N/A | N/A | N/A | N/A
Marc | ANT1 | 2023-03-04 | 2023-03-07 | N | 1241 | N/A | 0.1 | 34.7 | 29.3 | 11.4 | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | 4.6 | 4.1 | 3.5 | 1.5 | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2023-02-16 | 2023-02-20 | N | 1505 | N/A | 0.1 | 36.6 | 29.2 | 11.0 | N/A | 5.5 | N/A | N/A | N/A | N/A | N/A | 4.9 | 3.7 | 1.7 | 1.8 | N/A | N/A | N/A | N/A
Opinion Poll | The TOC | 2023-02-14 | 2023-02-17 | N | 1004 | N/A | 0.1 | 38.5 | 29.6 | 11.5 | N/A | 5.2 | N/A | N/A | N/A | N/A | N/A | 4.6 | 2.7 | 3.0 | 1.3 | N/A | N/A | N/A | N/A
Alco | Alpha TV | 2023-02-13 | 2023-02-17 | N | 1001 | N/A | 0.1 | 36.6 | 28.7 | 11.2 | N/A | 6.7 | N/A | N/A | N/A | N/A | N/A | 4.2 | 3.1 | 2.9 | 1.4 | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2023-02-07 | 2023-02-09 | N | 1000 | N/A | 0.1 | 38.1 | 29.8 | 11.0 | N/A | 7.2 | N/A | N/A | N/A | N/A | N/A | 3.4 | 2.7 | 2.4 | 1.8 | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2023-02-03 | 2023-02-08 | N | 1009 | N/A | 0.1 | 37.5 | 29.0 | 11.3 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 4.1 | 3.1 | 3.9 | 1.4 | N/A | N/A | N/A | N/A
Marc | ANT1 | 2023-01-24 | 2023-01-31 | N | 1585 | N/A | 0.1 | 37.5 | 28.9 | 11.2 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 4.5 | 3.2 | 3.9 | 1.1 | N/A | N/A | N/A | N/A
MRB | Open TV | 2023-01-23 | 2023-01-24 | N | 1000 | N/A | 0.1 | 36.0 | 28.9 | 12.5 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.5 | 3.0 | 1.2 | N/A | N/A | N/A | N/A
GPO | Star TV | 2023-01-20 | 2023-01-24 | N | 1200 | N/A | 0.1 | 38.1 | 30.0 | 11.0 | N/A | 7.2 | N/A | N/A | N/A | N/A | N/A | 3.9 | 2.5 | 2.1 | 1.4 | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2023-01-19 | 2023-01-23 | N | 1205 | N/A | 0.1 | 37.2 | 29.1 | 12.2 | 1.2 | 6.4 | N/A | N/A | N/A | N/A | N/A | 4.1 | 2.9 | 2.9 | 1.2 | N/A | N/A | N/A | N/A
Prorata | Attica TV | 2023-01-19 | 2023-01-23 | N | 1018 | N/A | 0.1 | 36.6 | 30.8 | 10.7 | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | 4.1 | 3.6 | 2.4 | N/A | N/A | N/A | N/A | N/A
Rass | Action 24 | 2023-01-16 | 2023-01-20 | N | 1003 | N/A | 0.1 | 34.7 | 27.8 | 15.6 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 3.7 | 3.5 | 3.4 | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Mega TV | 2023-01-11 | 2023-01-17 | N | 1309 | N/A | 0.1 | 36.5 | 27.6 | 12.3 | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | 4.4 | 3.6 | 3.4 | N/A | N/A | N/A | N/A | N/A
Interview | Politic.gr | 2023-01-12 | 2023-01-16 | N | 1675 | N/A | 0.1 | 36.0 | 28.4 | 11.2 | N/A | 6.7 | N/A | N/A | N/A | N/A | N/A | 5.0 | 3.9 | 1.7 | 1.7 | N/A | N/A | N/A | N/A
Opinion Poll | The TOC | 2023-01-11 | 2023-01-13 | N | 1005 | N/A | 0.1 | 38.6 | 29.3 | 11.8 | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | 4.7 | 3.2 | 2.7 | 1.3 | N/A | N/A | N/A | N/A
Alco | Alpha TV | 2023-01-09 | 2023-01-13 | N | 1002 | N/A | 0.1 | 35.8 | 27.8 | 12.4 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 5.1 | 3.8 | 3.0 | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2022-12-16 | 2022-12-21 | N | 1003 | N/A | 0.1 | 37.0 | 28.0 | 11.6 | N/A | 6.4 | N/A | N/A | N/A | N/A | N/A | 4.6 | 3.4 | 3.1 | 1.4 | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2022-12-18 | 2022-12-19 | N | 1103 | N/A | 0.1 | 37.9 | 29.3 | 11.5 | N/A | 5.2 | N/A | N/A | N/A | N/A | N/A | 4.0 | 3.4 | 2.9 | 1.1 | N/A | N/A | N/A | N/A
