Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PSD | USR(16) | PNL | ALDE | RMDSZ | PMP | PLUS | PRO | USR PLUS | AUR | PUSL | USR | PER | APP | FD | REPER | SOSRO | PV | Other
USR | N/A | 2019-09-03 | 2019-09-24 | N | 1500 | N/A | 0.1 | 22.6 | 19.0 | 32.9 | 2.9 | N/A | 5.0 | 2.6 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.3
Socio-Data | N/A | 2019-09-16 | 2019-09-20 | N | 1070 | N/A | 1 | 25 | N/A | 28 | 4 | 5 | 5 | N/A | 9 | 22 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
Socio-Data | N/A | 2019-09-09 | 2019-09-13 | N | 1070 | N/A | 1 | 26 | N/A | 32 | 5 | 4 | 3 | N/A | 6 | 22 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
Socio-Data | N/A | 2019-09-02 | 2019-09-06 | N | 1070 | N/A | 1 | 24 | N/A | 32 | 6 | 4 | 5 | N/A | 9 | 21 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
Sociopol | N/A | 2019-08-19 | 2019-08-31 | N | 1001 | N/A | 1 | 20 | N/A | 35 | 5 | 3 | 5 | N/A | 11 | 16 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
Socio-Data | N/A | 2019-08-26 | 2019-08-30 | N | 1070 | N/A | 1 | 22 | N/A | 26 | 6 | 4 | 5 | N/A | 10 | 24 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
Verifield | N/A | 2019-08-26 | 2019-08-30 | N | 1000 | N/A | 1 | 25 | N/A | 28 | 6 | 4 | 2 | N/A | 8 | 23 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
IMAS | Europa FM | 2019-08-05 | 2019-08-28 | N | 1010 | N/A | 0.1 | 17.9 | 19.8 | 28.4 | 7.4 | 4.6 | 2.9 | 5.5 | 8.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.8
CURS | STIRIPESURSE.RO | 2019-07-19 | 2019-08-05 | N | 1600 | N/A | 1 | 24 | N/A | 31 | 8 | 4 | 5 | N/A | 7 | 20 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
IMAS | Europa FM | 2019-07-15 | 2019-08-02 | N | 1010 | N/A | 0.1 | 19.4 | 21.4 | 25.5 | 7.3 | 4.2 | 2.9 | 6 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
BCS | N/A | 2019-07-07 | 2019-07-23 | N | 1128 | N/A | 0.1 | 23.4 | 17.1 | 31.5 | 5.1 | 5.2 | 4.4 | 4.2 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.1
CURS | STIRIPESURSE.RO | 2019-06-28 | 2019-07-08 | N | 1067 | N/A | 1 | 26 | N/A | 29 | 5 | 4 | 4 | N/A | 8 | 22 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
IMAS | Europa FM | 2019-06-07 | 2019-06-26 | N | 1010 | N/A | 0.1 | 18.9 | 17.6 | 27.5 | 8.5 | 2.5 | 3.7 | 7.6 | 9.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
IMAS | Europa FM | 2019-05-02 | 2019-05-20 | E | 1010 | N/A | 0.1 | 21.1 | 19.6 | 28.5 | 9.8 | 3.8 | 6.2 | N/A | 9.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
IMAS | Europa FM | 2019-05-02 | 2019-05-20 | N | 1010 | N/A | 0.1 | 21.4 | 14.4 | 29.3 | 10.2 | 3.3 | 5.5 | 6.3 | 8.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Novel | PNL | 2019-05-14 | 2019-05-19 | E | 1219 | N/A | 0.1 | 27.8 | 14.8 | 28.1 | 7.9 | 5.0 | 6.7 | N/A | 7.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
INSCOP | Konrad-Adenauer-Stiftung | 2019-04-12 | 2019-05-03 | E | 1050 | N/A | 0.1 | 25.6 | 16.7 | 27.5 | 8.8 | 4.9 | 4.3 | N/A | 8.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.9
CURS | STIRIPESURSE.RO | 2019-04-05 | 2019-04-28 | E | 1500 | N/A | 1 | 32 | N/A | 25 | 10 | 5 | 5 | N/A | 9 | 12 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
IMAS | Europa FM | 2019-04-12 | 2019-04-25 | E | 1010 | N/A | 0.1 | 22 | 16.4 | 25.6 | 12.2 | 5.6 | 5.6 | N/A | 11.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
IMAS | Europa FM | 2019-03-18 | 2019-04-03 | E | 1010 | N/A | 0.1 | 21.2 | 17.7 | 25.2 | 12.7 | 5.1 | 4.7 | N/A | 11.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9
CURS | STIRIPESURSE.RO | 2019-03-12 | 2019-03-25 | E | 1067 | N/A | 1 | 31 | N/A | 23 | 10 | 5 | 6 | N/A | 8 | 13 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
BCS | PSnews.ro | 2019-03-15 | 2019-03-20 | E | 1144 | N/A | 0.1 | 26.5 | 10.8 | 29.8 | 8.1 | 4.4 | 6.2 | N/A | 10.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
INSCOP | Konrad-Adenauer-Stiftung | 2019-03-05 | 2019-03-13 | E | 1053 | N/A | 0.1 | 26.9 | 15.3 | 26.3 | 9.3 | 5 | 4.4 | N/A | 9.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7
CURS | STIRIPESURSE.RO | 2019-02-13 | 2019-02-28 | E | 1500 | N/A | 1 | 31 | 12 | 23 | 12 | 5 | 5 | N/A | 10 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
IMAS | Europa FM | 2019-02-01 | 2019-02-21 | E | 1010 | N/A | 0.1 | 22.7 | 17.9 | 22.6 | 12.5 | 4.7 | 4.4 | N/A | 13.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
IMAS | Europa FM | 2019-02-01 | 2019-02-21 | N | 1010 | N/A | 0.1 | 23.4 | 10.5 | 23.6 | 12.4 | 5.0 | 3.5 | 8.0 | 11.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
CURS | STIRIPESURSE.RO | 2019-01-21 | 2019-02-06 | E | 1067 | N/A | 1 | 32 | 8 | 22 | 9 | 5 | 5 | 5 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
CURS | STIRIPESURSE.RO | 2019-01-21 | 2019-02-06 | N | 1067 | N/A | 1 | 31 | 9 | 21 | 10 | 5 | 5 | 4 | 8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7
INSCOP | Konrad-Adenauer-Stiftung | 2019-01-21 | 2019-02-05 | E | 1080 | N/A | 0.1 | 27.8 | 10.0 | 26.7 | 9.2 | 5.1 | 4.4 | 7.0 | 6.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Sociopol | N/A | 2019-01-28 | 2019-02-04 | N | 1003 | N/A | 1 | 33 | 9 | 20 | 11 | 4 | 2 | 6 | 8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7
PNL | N/A | 2019-01-01 | 2019-01-31 | N | 26000 | N/A | 0.1 | 30.2 | 10.2 | 27.0 | 11.6 | 5.0 | 4.2 | 5.0 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
IMAS | Europa FM | 2019-01-11 | 2019-01-30 | E | 1011 | N/A | 0.1 | 24.6 | 13.1 | 23.3 | 12.9 | 5.6 | 2.5 | 7.3 | 9.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
IMAS | Europa FM | 2019-01-11 | 2019-01-30 | N | 1011 | N/A | 0.1 | 25.3 | 11.0 | 22.1 | 13.4 | 4.4 | 3.8 | 8.9 | 8.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
BCS | PSnews.ro | 2019-01-12 | 2019-01-20 | E | N/A | N/A | 0.1 | 23.0 | 6.5 | 23.7 | 8.1 | 4.8 | 9.3 | 8.1 | 10.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.8
IMAS | Europa FM | 2018-12-04 | 2018-12-20 | N | 1010 | N/A | 0.1 | 25.2 | 11.5 | 26.1 | 9.6 | 4.6 | 2.5 | 8.1 | 6.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.2
CURS | STIRIPESURSE.RO | 2018-11-24 | 2018-12-09 | E | 1067 | N/A | 1 | 33 | 7 | 20 | 9 | 6 | 5 | 5 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6
CURS | STIRIPESURSE.RO | 2018-11-24 | 2018-12-09 | N | 1067 | N/A | 1 | 33 | 7 | 20 | 9 | 6 | 5 | 5 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6
IMAS | Europa FM | 2018-11-01 | 2018-11-30 | N | 1010 | N/A | 0.1 | 24.9 | 14.8 | 23.3 | 11.7 | 5.8 | 2.1 | 8.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.2
CURS | STIRIPESURSE.RO | 2018-10-26 | 2018-11-12 | E | 1067 | N/A | 1 | 38 | 8 | 15 | 15 | N/A | 3 | 7 | 9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
IMAS | Europa FM | 2018-10-01 | 2018-10-31 | N | N/A | N/A | 0.1 | 27.6 | 13.1 | 21.9 | 10.6 | 4.7 | 4.1 | 9.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.4
Sociopol | N/A | 2018-10-03 | 2018-10-04 | N | 873 | N/A | 1 | 38 | 6 | 23 | 10 | 4 | 1 | 5 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8
CURS | STIRIPESURSE.RO | 2018-09-20 | 2018-10-01 | N | 1067 | N/A | 1 | 37 | 8 | 22 | 9 | 5 | 5 | 5 | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
IMAS | Europa FM | 2018-09-01 | 2018-09-30 | N | N/A | N/A | 0.1 | 28.1 | 9.5 | 27.1 | 11.4 | 5.6 | 2.7 | 10.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.5
Sociopol | N/A | 2018-09-22 | 2018-09-27 | N | 1004 | N/A | 1 | 36 | 4 | 20 | 11 | 4 | 2 | 8 | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8
Sociopol | N/A | 2018-08-07 | 2018-08-20 | N | 1005 | N/A | 1 | 35 | 8 | 19 | 10 | 4 | 3 | 13 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
IRI | N/A | 2018-07-01 | 2018-07-31 | N | N/A | N/A | 1 | 26 | 5 | 24 | 6 | 1 | 3 | 7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 28
CURS | STIRIPESURSE.RO | 2018-06-23 | 2018-07-01 | N | 1067 | N/A | 1 | 37 | 7 | 24 | 8 | 5 | 4 | 5 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
IMAS | N/A | 2018-06-01 | 2018-06-30 | N | 1200 | N/A | 0.1 | 28.4 | 11.3 | 29.2 | 8.6 | 5.0 | 2.8 | 8.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.7
Sociopol | România TV | 2018-06-22 | 2018-06-26 | N | 917 | N/A | 1 | 41 | 7 | 20 | 12 | 4 | 1 | 7 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
Sociopol | România TV | 2018-05-28 | 2018-06-08 | N | 1003 | N/A | 1 | 40 | 9 | 18 | 7 | 5 | 1 | 8 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9
CURS | STIRIPESURSE.RO | 2018-04-27 | 2018-05-08 | N | 1067 | N/A | 1 | 39 | 6 | 25 | 8 | 6 | 5 | 3 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
CURS | STIRIPESURSE.RO | 2018-03-01 | 2018-03-31 | N | N/A | N/A | 1 | 39 | 7 | 27 | 12 | N/A | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10
Sociopol | STIRIPESURSE.RO | 2018-02-27 | 2018-03-05 | N | 1000 | N/A | 1 | 34 | 12 | 33 | 5 | 6 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5
IMAS | N/A | 2018-02-01 | 2018-02-28 | N | 1010 | N/A | 0.1 | 28.6 | 11.2 | 29.4 | 10.6 | 6.0 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.6
CURS | STIRIPESURSE.RO | 2018-01-03 | 2018-01-10 | N | 1068 | N/A | 1 | 42 | 5 | 27 | 9 | 6 | 5 | 2 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6
Avangarde | N/A | 2017-11-24 | 2017-12-07 | N | 700 | N/A | 1 | 46 | 5 | 23 | 13 | 5 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
CURS | STIRIPESURSE.RO | 2017-11-01 | 2017-11-30 | N | 1067 | N/A | 1 | 43 | 5 | 27 | 9 | 6 | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
Sociopol | N/A | 2017-09-22 | 2017-10-05 | N | N/A | N/A | 1 | 61 | 2 | 24 | 4 | 3 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3
IMAS | N/A | 2017-09-01 | 2017-09-30 | N | 1000 | N/A | 0.1 | 38.8 | 6.8 | 30.9 | 8.1 | 5 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.4
Sociopol | N/A | 2017-08-28 | 2017-09-14 | N | 1005 | N/A | 1 | 51 | 7 | 27 | 6 | 4 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2
Avangarde | N/A | 2017-08-11 | 2017-08-23 | N | 710 | N/A | 1 | 46 | 6 | 25 | 7 | 5 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7
Avangarde | N/A | 2017-06-15 | 2017-06-22 | N | 781 | N/A | 1 | 46 | 9 | 30 | 6 | 3 | 5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1
IMAS | N/A | 2017-04-01 | 2017-04-30 | N | N/A | N/A | 0.1 | 40.6 | 8.2 | 25.4 | 8.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sociopol | N/A | 2017-03-06 | 2017-03-14 | N | 1007 | N/A | 1 | 47 | 12 | 21 | 6 | 5 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6
IMAS | N/A | 2017-01-01 | 2017-01-31 | N | N/A | N/A | 0.1 | 49 | 8.3 | 20.7 | 6.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
