Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | H | Ap | FrP | Sp | SV | V | KrF | MDG | R | ND | INP | Lib | Pp | K | Kp | Hp | FP | Other
Kantar TNS | TV2 | 2022-11-28 | 2022-12-02 | N | 951 | N/A | 0.1 | 30.9 | 19.8 | 10.6 | 5.1 | 8.9 | 5.6 | 2.9 | 4.1 | 7.4 | 1.2 | 1.1 | 0.7 | 0.4 | 1.2 | N/A | 0.1 | N/A | 0.1
Norstat | Aftenposten and NRK | 2022-11-22 | 2022-11-27 | N | 954 | N/A | 0.1 | 30.1 | 17.1 | 12.8 | 5.9 | 8.6 | 4.6 | 3.4 | 3.9 | 7.3 | 1.7 | 1.7 | N/A | 1.4 | N/A | N/A | N/A | N/A | 1.3
Opinion Perduco | ABC Nyheter and Altinget | 2022-11-22 | 2022-11-24 | N | 951 | 67.0 | 0.1 | 31.6 | 17.4 | 13.3 | 3.5 | 8.1 | 3.4 | 3.7 | 3.9 | 9.5 | 0.8 | 2.4 | N/A | 0.4 | N/A | N/A | N/A | N/A | 2.1
Ipsos | Dagbladet | 2022-11-21 | 2022-11-23 | N | 945 | N/A | 0.1 | 29.8 | 19.8 | 14.7 | 4.8 | 8.4 | 6.0 | 3.1 | 3.3 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Norstat | Vårt Land | 2022-11-15 | 2022-11-19 | N | 954 | N/A | 0.1 | 33.6 | 15.4 | 12.7 | 5.0 | 9.2 | 4.9 | 2.8 | 3.3 | 6.3 | 1.1 | 2.4 | N/A | 1.5 | N/A | N/A | N/A | N/A | 1.8
Sentio | Amedia and Nettavisen | 2022-11-08 | 2022-11-14 | N | 1000 | N/A | 0.1 | 31.6 | 16.7 | 13.4 | 4.5 | 10.0 | 4.4 | 4.6 | 4.8 | 4.7 | 1.0 | 1.7 | N/A | 1.5 | 0.2 | N/A | 0.2 | 0.4 | 0.4
Respons Analyse | VG | 2022-11-05 | 2022-11-10 | N | 1000 | N/A | 0.1 | 32.0 | 18.5 | 11.9 | 6.6 | 8.5 | 5.0 | 3.3 | 3.9 | 6.1 | 1.6 | 1.0 | 0.3 | 0.2 | 0.2 | N/A | 0.2 | 0.2 | 0.5
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2022-11-01 | 2022-11-07 | N | 967 | 68.0 | 0.1 | 32.3 | 16.9 | 13.8 | 5.3 | 8.7 | 3.1 | 4.5 | 3.4 | 7.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.4
Norfakta | Klassekampen and Nationen | 2022-11-01 | 2022-11-04 | N | 1011 | N/A | 0.1 | 29.4 | 20.5 | 13.1 | 6.0 | 7.3 | 5.3 | 3.3 | 4.0 | 6.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Kantar TNS | TV2 | 2022-10-24 | 2022-10-31 | N | 1178 | N/A | 0.1 | 28.6 | 19.1 | 12.1 | 6.2 | 8.6 | 4.6 | 3.7 | 3.8 | 7.9 | 0.5 | 2.4 | N/A | 0.7 | 0.6 | N/A | N/A | 0.6 | 0.7
Norstat | Aftenposten and NRK | 2022-10-25 | 2022-10-30 | N | 945 | N/A | 0.1 | 32.4 | 18.2 | 14.7 | 4.3 | 8.4 | 3.4 | 3.6 | 3.7 | 5.9 | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
Ipsos | Dagbladet | 2022-10-24 | 2022-10-26 | N | N/A | N/A | 0.1 | 29.3 | 18.1 | 13.1 | 6.9 | 10.1 | 3.8 | 3.7 | 4.9 | 6.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7
Norstat | Vårt Land | 2022-10-18 | 2022-10-23 | N | 953 | N/A | 0.1 | 28.9 | 18.0 | 13.2 | 6.0 | 8.9 | 5.4 | 4.0 | 4.4 | 6.7 | N/A | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
InFact | Fiskeribladet | 2022-10-21 | 2022-10-21 | N | 1004 | N/A | 0.1 | 28.7 | 19.7 | 15.0 | 5.5 | 8.1 | 5.0 | 3.7 | 3.8 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5
Sentio | Nettavisen | 2022-10-11 | 2022-10-17 | N | 1000 | N/A | 0.1 | 29.3 | 18.1 | 13.7 | 5.2 | 9.3 | 4.0 | 3.7 | 3.8 | 7.1 | 1.0 | 2.8 | 0.2 | 1.2 | 0.2 | N/A | N/A | N/A | 0.6
Norfakta | Klassekampen and Nationen | 2022-10-11 | 2022-10-12 | N | 1000 | N/A | 0.1 | 30.5 | 20.5 | 12.3 | 5.9 | 10.1 | 5.0 | 3.6 | 3.4 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
Respons Analyse | VG | 2022-10-05 | 2022-10-10 | N | 1000 | N/A | 0.1 | 30.0 | 20.0 | 13.1 | 5.5 | 9.8 | 4.1 | 2.9 | 3.7 | 7.0 | 1.5 | 1.6 | N/A | 0.4 | 0.2 | N/A | N/A | 0.2 | 0.0
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2022-10-04 | 2022-10-10 | N | 968 | N/A | 0.1 | 30.2 | 22.6 | 13.6 | 5.6 | 8.2 | 3.4 | 3.4 | 2.9 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.7
Norstat | Aftenposten and NRK | 2022-09-27 | 2022-10-02 | N | 960 | N/A | 0.1 | 29.2 | 19.9 | 14.4 | 6.2 | 9.1 | 3.4 | 3.4 | 3.1 | 7.0 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Kantar TNS | TV2 | 2022-09-26 | 2022-09-30 | N | 984 | N/A | 0.1 | 26.1 | 19.4 | 14.2 | 6.7 | 7.2 | 4.4 | 3.5 | 4.2 | 8.1 | 2.2 | 1.9 | N/A | 0.7 | 0.3 | N/A | 0.2 | N/A | 0.8
Ipsos | Dagbladet | 2022-09-29 | 2022-09-29 | N | N/A | N/A | 0.1 | 28.2 | 19.4 | 15.5 | 7.7 | 6.3 | 4.1 | 2.7 | 3.4 | 8.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.4
Norstat | Vårt Land | 2022-09-20 | 2022-09-25 | N | 950 | N/A | 0.1 | 28.2 | 20.5 | 15.5 | 3.9 | 7.6 | 4.3 | 4.4 | 2.8 | 7.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.4
Sentio | Nettavisen | 2022-09-13 | 2022-09-19 | N | 1000 | N/A | 0.1 | 26.6 | 19.1 | 16.7 | 5.4 | 7.4 | 5.0 | 4.3 | 4.0 | 7.5 | 0.8 | 2.1 | N/A | 0.4 | 0.4 | N/A | 0.2 | 0.2 | 0.0
Respons Analyse | VG | 2022-09-07 | 2022-09-12 | N | 1000 | N/A | 0.1 | 30.2 | 19.8 | 12.7 | 6.0 | 8.9 | 4.9 | 3.3 | 3.5 | 6.5 | 1.7 | 1.7 | N/A | 0.2 | 0.4 | 0.2 | N/A | N/A | 0.0
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2022-09-06 | 2022-09-12 | N | 968 | N/A | 0.1 | 28.3 | 21.5 | 11.0 | 6.3 | 9.5 | 4.5 | 2.7 | 3.0 | 8.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.6
Norfakta | Klassekampen and Nationen | 2022-09-05 | 2022-09-07 | N | 1003 | N/A | 0.1 | 28.7 | 19.2 | 14.1 | 6.5 | 9.2 | 4.6 | 3.7 | 4.0 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
Norstat | Aftenposten and NRK | 2022-08-30 | 2022-09-04 | N | 940 | N/A | 0.1 | 32.4 | 19.6 | 12.6 | 6.4 | 7.4 | 5.3 | 3.1 | 3.4 | 6.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Kantar TNS | TV2 | 2022-08-29 | 2022-09-02 | N | 976 | N/A | 0.1 | 27.8 | 20.8 | 14.1 | 4.6 | 8.4 | 4.5 | 3.5 | 3.7 | 8.2 | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Norstat | Vårt Land | 2022-08-23 | 2022-08-29 | N | 940 | N/A | 0.1 | 29.3 | 21.5 | 13.5 | 5.7 | 7.3 | 4.2 | 3.4 | 3.1 | 8.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Ipsos | Dagbladet | 2022-08-26 | 2022-08-26 | N | N/A | N/A | 0.1 | 27.2 | 21.6 | 15.1 | 5.7 | 7.4 | 4.2 | 3.8 | 3.5 | 7.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Sentio | Amedia and Nettavisen | 2022-08-16 | 2022-08-22 | N | 1000 | N/A | 0.1 | 28.9 | 20.2 | 13.4 | 6.9 | 8.7 | 3.8 | 4.9 | 3.8 | 5.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Respons Analyse | VG | 2022-08-10 | 2022-08-15 | N | 1000 | N/A | 0.1 | 28.9 | 19.9 | 12.5 | 6.6 | 9.5 | 4.1 | 3.9 | 3.8 | 7.5 | 0.6 | 1.7 | 0.3 | 0.3 | 0.6 | N/A | N/A | N/A | 0.0
Norstat | Aftenposten and NRK | 2022-08-09 | 2022-08-14 | N | 960 | N/A | 0.1 | 30.0 | 19.4 | 14.4 | 5.9 | 8.9 | 4.6 | 3.8 | 3.7 | 5.8 | 0.6 | 1.4 | 0.4 | N/A | 0.4 | N/A | 0.2 | 0.4 | 0.1
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2022-08-02 | 2022-08-08 | N | 971 | 70.0 | 0.1 | 29.1 | 19.3 | 14.8 | 6.0 | 8.4 | 5.0 | 3.2 | 3.1 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.9
Kantar TNS | TV2 | 2022-08-01 | 2022-08-05 | N | 981 | 75.1 | 0.1 | 27.2 | 20.4 | 13.2 | 6.8 | 9.9 | 4.9 | 3.3 | 3.6 | 7.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7
Norfakta | Klassekampen and Nationen | 2022-08-02 | 2022-08-03 | N | 1005 | 79.0 | 0.1 | 28.7 | 22.2 | 13.3 | 7.2 | 8.5 | 3.7 | 2.9 | 4.1 | 6.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Norfakta | Klassekampen and Nationen | 2022-07-05 | 2022-07-06 | N | 1005 | N/A | 0.1 | 28.9 | 21.2 | 14.0 | 5.6 | 10.0 | 4.0 | 3.2 | 3.6 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Kantar TNS | TV2 | 2022-06-24 | 2022-06-30 | N | 976 | 79.0 | 0.1 | 29.5 | 21.4 | 13.1 | 6.7 | 8.3 | 4.4 | 3.1 | 3.0 | 6.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.9
Ipsos | Dagbladet | 2022-06-27 | 2022-06-29 | N | N/A | N/A | 0.1 | 26.8 | 23.1 | 14.8 | 4.7 | 9.0 | 4.0 | 3.6 | 3.5 | 6.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Norstat | Vårt Land | 2022-06-13 | 2022-06-20 | N | 951 | N/A | 0.1 | 29.1 | 20.5 | 15.8 | 7.3 | 8.5 | 3.5 | 2.6 | 3.8 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Sentio | Amedia and Nettavisen | 2022-06-07 | 2022-06-13 | N | 1000 | N/A | 0.1 | 24.6 | 22.2 | 14.6 | 7.0 | 9.5 | 4.6 | 3.5 | 4.3 | 5.7 | 0.9 | 0.5 | N/A | 0.9 | 0.2 | N/A | N/A | 0.7 | 0.7
Respons Analyse | VG | 2022-06-04 | 2022-06-09 | N | 1000 | N/A | 0.1 | 26.8 | 20.2 | 14.0 | 7.4 | 9.0 | 4.9 | 3.9 | 4.0 | 6.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Norfakta | Klassekampen and Nationen | 2022-06-07 | 2022-06-08 | N | 1001 | N/A | 0.1 | 27.8 | 23.0 | 13.1 | 6.9 | 8.3 | 5.3 | 3.8 | 3.0 | 5.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2022-05-31 | 2022-06-05 | N | 965 | N/A | 0.1 | 28.0 | 19.7 | 14.1 | 9.2 | 9.3 | 4.2 | 2.8 | 2.9 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5
Kantar TNS | TV2 | 2022-05-30 | 2022-06-03 | N | 979 | N/A | 0.1 | 26.3 | 21.8 | 13.9 | 7.7 | 10.0 | 5.1 | 2.0 | 2.7 | 7.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Norstat | Aftenposten and NRK | 2022-05-24 | 2022-05-30 | N | 949 | N/A | 0.1 | 26.7 | 21.8 | 13.0 | 6.3 | 9.7 | 5.4 | 3.2 | 3.6 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.0
Ipsos | Dagbladet | 2022-05-23 | 2022-05-25 | N | N/A | N/A | 0.1 | 25.7 | 21.6 | 13.0 | 7.4 | 8.4 | 6.1 | 3.6 | 4.1 | 6.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Norstat | Vårt Land | 2022-05-16 | 2022-05-23 | N | 950 | 77.0 | 0.1 | 26.8 | 23.9 | 12.8 | 6.1 | 7.5 | 4.7 | 4.7 | 3.0 | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.3
Sentio | Amedia and Nettavisen | 2022-05-09 | 2022-05-15 | N | 1000 | N/A | 0.1 | 28.8 | 21.3 | 13.4 | 8.4 | 7.1 | 4.9 | 3.5 | 3.2 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
Respons Analyse | VG | 2022-05-04 | 2022-05-09 | N | 1000 | N/A | 0.1 | 29.0 | 22.1 | 12.8 | 6.4 | 8.4 | 4.4 | 3.8 | 3.3 | 5.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2022-05-03 | 2022-05-09 | N | 967 | 71.0 | 0.1 | 27.0 | 22.8 | 13.9 | 6.9 | 7.9 | 3.8 | 4.4 | 2.6 | 6.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Norfakta | Klassekampen and Nationen | 2022-05-03 | 2022-05-04 | N | 1000 | N/A | 0.1 | 26.4 | 23.1 | 13.0 | 8.0 | 7.9 | 4.9 | 3.6 | 3.5 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Kantar TNS | TV2 | 2022-05-03 | 2022-05-03 | N | N/A | N/A | 0.1 | 28.4 | 23.1 | 11.5 | 7.4 | 8.2 | 4.4 | 3.5 | 4.1 | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Norstat | Aftenposten and NRK | 2022-04-26 | 2022-05-02 | N | 963 | 77.0 | 0.1 | 26.5 | 24.8 | 13.0 | 6.6 | 7.6 | 5.0 | 3.0 | 3.3 | 6.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Ipsos | Dagbladet | 2022-04-25 | 2022-04-27 | N | 936 | N/A | 0.1 | 26.2 | 23.8 | 10.6 | 9.4 | 8.6 | 5.5 | 3.4 | 3.9 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Norstat | Vårt Land | 2022-04-19 | 2022-04-25 | N | 952 | N/A | 0.1 | 28.3 | 20.9 | 14.3 | 5.5 | 9.6 | 4.3 | 3.1 | 3.2 | 6.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Sentio | Amedia and Nettavisen | 2022-04-05 | 2022-04-10 | N | 1000 | N/A | 0.1 | 27.6 | 24.5 | 11.2 | 8.6 | 6.0 | 5.7 | 3.2 | 3.9 | 5.7 | 1.4 | 1.0 | 0.6 | 0.2 | 0.2 | N/A | N/A | N/A | 0.2
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2022-04-06 | 2022-04-06 | N | N/A | N/A | 0.1 | 25.6 | 25.8 | 12.7 | 7.1 | 7.1 | 5.6 | 3.4 | 3.2 | 6.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Norfakta | Klassekampen and Nationen | 2022-04-05 | 2022-04-06 | N | 1001 | 79.0 | 0.1 | 29.6 | 23.8 | 11.3 | 6.1 | 8.7 | 4.4 | 2.5 | 3.3 | 7.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Respons Analyse | VG | 2022-04-04 | 2022-04-06 | N | 1003 | N/A | 0.1 | 27.6 | 23.1 | 13.3 | 8.0 | 7.8 | 3.7 | 4.0 | 2.9 | 6.2 | 1.5 | 0.4 | 0.4 | 0.7 | 0.2 | N/A | N/A | N/A | 0.2
Kantar TNS | TV2 | 2022-03-28 | 2022-04-01 | N | 982 | N/A | 0.1 | 27.7 | 23.2 | 13.9 | 6.6 | 8.3 | 4.3 | 3.3 | 3.4 | 5.0 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Norstat | Aftenposten and NRK | 2022-03-22 | 2022-03-28 | N | 945 | N/A | 0.1 | 27.3 | 20.9 | 12.5 | 8.5 | 7.8 | 4.1 | 4.6 | 4.2 | 6.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Ipsos | Dagbladet | 2022-03-21 | 2022-03-23 | N | 938 | 79.0 | 0.1 | 26.4 | 24.0 | 13.2 | 7.6 | 7.1 | 4.3 | 3.1 | 2.6 | 6.6 | 2.6 | 0.3 | N/A | 0.4 | 0.3 | 0.5 | 0.4 | N/A | 0.6
Norstat | Vårt Land | 2022-03-15 | 2022-03-20 | N | 958 | N/A | 0.1 | 28.6 | 22.6 | 11.2 | 6.6 | 5.9 | 3.9 | 3.3 | 4.2 | 8.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.2
Respons Analyse | VG | 2022-03-08 | 2022-03-14 | N | 1000 | N/A | 0.1 | 25.5 | 23.0 | 13.3 | 8.0 | 7.4 | 4.9 | 3.6 | 4.2 | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Sentio | Nettavisen | 2022-03-08 | 2022-03-14 | N | 1000 | 75.0 | 0.1 | 27.5 | 22.5 | 10.4 | 9.2 | 8.7 | 4.9 | 2.5 | 2.9 | 7.2 | 2.0 | 0.5 | N/A | 0.8 | 0.5 | N/A | N/A | N/A | 0.3
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2022-03-02 | 2022-03-07 | N | 965 | 72.0 | 0.1 | 26.9 | 23.6 | 11.6 | 7.5 | 6.5 | 4.3 | 3.8 | 4.4 | 8.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
Norfakta | Klassekampen and Nationen | 2022-03-01 | 2022-03-02 | N | 1007 | 80.0 | 0.1 | 25.8 | 21.8 | 11.1 | 9.7 | 8.7 | 5.1 | 3.1 | 4.3 | 7.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Kantar TNS | TV2 | 2022-02-22 | 2022-02-28 | N | 1303 | N/A | 0.1 | 26.4 | 21.7 | 10.0 | 8.4 | 9.5 | 5.1 | 3.9 | 3.6 | 7.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Norstat | Aftenposten and NRK | 2022-02-22 | 2022-02-28 | N | 956 | 77.0 | 0.1 | 24.9 | 22.6 | 10.9 | 9.1 | 7.9 | 4.3 | 4.2 | 3.4 | 8.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
Ipsos | Dagbladet | 2022-02-21 | 2022-02-23 | N | 989 | 74.0 | 0.1 | 26.8 | 25.5 | 10.5 | 8.0 | 8.1 | 4.7 | 2.7 | 2.8 | 8.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Norstat | Vårt Land | 2022-02-15 | 2022-02-20 | N | 952 | N/A | 0.1 | 25.4 | 22.8 | 11.3 | 7.5 | 8.3 | 4.6 | 2.4 | 3.0 | 10.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.3
Respons Analyse | VG | 2022-02-09 | 2022-02-14 | N | 1000 | N/A | 0.1 | 25.3 | 22.0 | 12.5 | 8.2 | 8.9 | 3.5 | 3.0 | 3.3 | 9.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.9
Sentio | Amedia and Nettavisen | 2022-02-08 | 2022-02-12 | N | N/A | 99.9 | 0.1 | 24.9 | 21.9 | 11.4 | 7.9 | 10.6 | 4.9 | 3.1 | 3.3 | 8.1 | 1.4 | 0.5 | 0.7 | N/A | 0.5 | N/A | N/A | N/A | 0.7
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2022-02-01 | 2022-02-07 | N | 968 | 72.0 | 0.1 | 25.8 | 21.9 | 9.8 | 9.5 | 8.2 | 4.4 | 3.6 | 3.3 | 10.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Norfakta | Klassekampen and Nationen | 2022-02-01 | 2022-02-02 | N | 1000 | 82.0 | 0.1 | 25.8 | 23.4 | 12.2 | 7.2 | 8.5 | 5.0 | 3.7 | 2.6 | 8.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
Kantar TNS | TV2 | 2022-01-25 | 2022-01-31 | N | 1000 | 82.0 | 0.1 | 25.4 | 21.2 | 11.4 | 9.0 | 9.7 | 4.8 | 3.3 | 3.0 | 8.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Norstat | Aftenposten and NRK | 2022-01-25 | 2022-01-31 | N | 953 | N/A | 0.1 | 26.2 | 20.0 | 12.2 | 8.7 | 10.4 | 3.8 | 3.6 | 3.3 | 8.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Ipsos | Dagbladet | 2022-01-24 | 2022-01-26 | N | N/A | N/A | 0.1 | 24.3 | 22.4 | 12.6 | 10.2 | 9.9 | 3.4 | 3.3 | 4.2 | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Norstat | Vårt Land | 2022-01-18 | 2022-01-24 | N | 969 | N/A | 0.1 | 27.1 | 20.8 | 11.2 | 8.8 | 8.5 | 3.7 | 3.1 | 3.5 | 9.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Sentio | Amedia and Nettavisen | 2022-01-10 | 2022-01-15 | N | 1000 | N/A | 0.1 | 25.6 | 22.3 | 12.0 | 9.3 | 9.2 | 4.1 | 5.0 | 3.8 | 5.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Respons Analyse | VG | 2022-01-05 | 2022-01-10 | N | 1000 | N/A | 0.1 | 25.6 | 23.5 | 10.6 | 9.8 | 9.4 | 4.4 | 2.7 | 4.3 | 6.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2022-01-04 | 2022-01-09 | N | 970 | 75.0 | 0.1 | 26.6 | 18.9 | 12.8 | 9.4 | 9.7 | 4.2 | 2.8 | 4.8 | 7.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Kantar TNS | TV2 | 2022-01-03 | 2022-01-07 | N | 972 | N/A | 0.1 | 23.7 | 21.7 | 11.4 | 10.7 | 9.1 | 5.1 | 2.9 | 4.3 | 6.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.9
Norfakta | Klassekampen and Nationen | 2022-01-04 | 2022-01-05 | N | 1001 | N/A | 0.1 | 24.9 | 24.3 | 10.9 | 9.9 | 8.4 | 4.4 | 3.7 | 3.6 | 7.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Norstat | Aftenposten and NRK | 2021-12-27 | 2022-01-03 | N | 943 | N/A | 0.1 | 24.7 | 21.1 | 13.9 | 9.2 | 9.2 | 4.9 | 3.2 | 3.3 | 6.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.3
InFact | Nettavisen | 2021-12-20 | 2021-12-20 | N | 1015 | N/A | 0.1 | 25.4 | 21.6 | 13.8 | 9.9 | 9.1 | 4.7 | 3.2 | 3.4 | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Norstat | Vårt Land | 2021-12-14 | 2021-12-20 | N | 957 | N/A | 0.1 | 23.3 | 22.7 | 11.0 | 10.1 | 9.3 | 5.3 | 3.6 | 3.7 | 7.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
Ipsos | Dagbladet | 2021-12-13 | 2021-12-15 | N | 947 | 84.0 | 0.1 | 24.8 | 20.7 | 12.8 | 10.4 | 9.4 | 6.3 | 2.9 | 2.8 | 5.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Respons Analyse | VG | 2021-12-08 | 2021-12-13 | N | 1001 | N/A | 0.1 | 26.3 | 22.6 | 11.4 | 10.0 | 10.4 | 4.0 | 3.4 | 3.5 | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Sentio | Amedia and Nettavisen | 2021-12-07 | 2021-12-13 | N | 1000 | N/A | 0.1 | 23.0 | 25.0 | 11.7 | 9.9 | 8.1 | 5.8 | 3.5 | 3.5 | 5.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Opinion Perduco | Avisens Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2021-12-03 | 2021-12-09 | N | N/A | N/A | 0.1 | 23.1 | 23.9 | 11.1 | 12.0 | 9.2 | 4.8 | 3.1 | 3.0 | 6.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0
Norfakta | Klassekampen and Nationen | 2021-12-07 | 2021-12-08 | N | 1002 | N/A | 0.1 | 24.8 | 21.7 | 11.1 | 12.3 | 9.6 | 5.1 | 3.5 | 3.6 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Kantar TNS | TV2 | 2021-12-02 | 2021-12-07 | N | N/A | N/A | 0.1 | 24.6 | 23.4 | 10.0 | 10.7 | 9.8 | 5.1 | 3.4 | 3.3 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.8
Norstat | Aftenposten and NRK | 2021-11-23 | 2021-11-27 | N | 988 | 80.0 | 0.1 | 22.1 | 25.0 | 12.0 | 12.4 | 10.3 | 3.5 | 2.6 | 3.7 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
