Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Kok | SDP | Kesk | Vihr | Vas | PS | SFP | KD | Korj | Liik | VKK | Other
Kantar TNS | Helsingin Sanomat | 2019-04-16 | 2019-05-03 | N | 1505 | N/A | 0.1 | 17.1 | 16.9 | 12.7 | 12.8 | 8.3 | 18.7 | 4.4 | 4.1 | 0.5 | 2.5 | N/A | 2.0
Taloustutkimus | Yle | 2019-04-01 | 2019-04-09 | N | 1969 | 63.6 | 0.1 | 15.9 | 19.0 | 14.5 | 12.2 | 8.7 | 16.3 | 4.9 | 4.3 | 0.8 | N/A | N/A | 3.4
Kantar TNS | Helsingin Sanomat | 2019-04-03 | 2019-04-07 | N | 2000 | N/A | 0.1 | 17.5 | 19.6 | 14.4 | 12.0 | 9.6 | 15.0 | 4.4 | 4.1 | 1.1 | N/A | N/A | 2.4
Tietoykkönen | Iltalehti and Uusi Suomi | 2019-03-25 | 2019-04-03 | N | 1503 | 79.9 | 0.1 | 17.0 | 19.6 | 14.7 | 13.3 | 9.1 | 13.4 | 3.9 | 4.1 | 2.0 | N/A | N/A | 2.9
Taloustutkimus | Yle | 2019-03-06 | 2019-03-26 | N | 1954 | 62.5 | 0.1 | 15.8 | 20.1 | 14.4 | 13.0 | 9.8 | 15.1 | 4.3 | 3.5 | 0.9 | N/A | N/A | 3.1
Kantar TNS | Helsingin Sanomat | 2019-02-18 | 2019-03-15 | N | 2490 | 67.0 | 0.1 | 18.1 | 21.0 | 14.3 | 14.0 | 8.9 | 11.1 | 4.4 | 4.2 | 1.2 | N/A | N/A | 2.8
Taloustutkimus | Yle | 2019-02-06 | 2019-03-05 | N | 2905 | 61.2 | 0.1 | 16.2 | 21.3 | 14.1 | 13.7 | 8.9 | 13.3 | 4.7 | 3.5 | 1.8 | N/A | N/A | 2.5
Tietoykkönen | Iltalehti and Uusi Suomi | 2019-02-18 | 2019-03-03 | N | 1500 | 79.2 | 0.1 | 18.1 | 21.3 | 14.1 | 13.2 | 9.0 | 11.2 | 4.1 | 4.1 | 2.3 | N/A | N/A | 2.6
Kantar TNS | Helsingin Sanomat | 2019-01-14 | 2019-02-14 | N | 2688 | 63.0 | 0.1 | 18.6 | 20.8 | 14.7 | 13.6 | 8.7 | 11.4 | 4.3 | 4.0 | 1.0 | N/A | N/A | 2.9
Taloustutkimus | Yle | 2019-01-14 | 2019-02-05 | N | 1794 | N/A | 0.1 | 17.3 | 20.1 | 15.6 | 14.6 | 8.6 | 12.0 | 4.0 | 3.6 | 1.4 | N/A | N/A | 2.7
Tietoykkönen | Iltalehti and Uusi Suomi | 2019-01-14 | 2019-01-28 | N | 1145 | N/A | 0.1 | 19.7 | 21.0 | 14.4 | 13.0 | 8.9 | 9.9 | 4.2 | 4.3 | 2.1 | N/A | N/A | 2.5
Kantar TNS | Helsingin Sanomat | 2018-12-13 | 2019-01-11 | N | 2282 | N/A | 0.1 | 19.5 | 20.9 | 15.6 | 12.9 | 9.4 | 9.7 | 4.3 | 4.0 | 1.1 | N/A | N/A | 2.6
Taloustutkimus | Yle | 2018-12-10 | 2019-01-08 | N | 2443 | N/A | 0.1 | 19.6 | 21.2 | 16.1 | 13.6 | 9.5 | 10.2 | 2.5 | 4.2 | 1.0 | N/A | N/A | 2.1
Tietoykkönen | Iltalehti and Uusi Suomi | 2018-12-05 | 2018-12-18 | N | 1150 | N/A | 0.1 | 19.6 | 20.7 | 15.5 | 12.9 | 9.1 | 9.7 | 4.1 | 3.9 | 1.8 | N/A | N/A | 2.7
Kantar TNS | Helsingin Sanomat | 2018-11-13 | 2018-12-12 | N | 2280 | N/A | 0.1 | 19.4 | 21.4 | 15.6 | 13.4 | 9.6 | 8.6 | 4.4 | 4.1 | 1.2 | N/A | N/A | 2.3
Taloustutkimus | Yle | 2018-11-12 | 2018-12-04 | N | 1810 | N/A | 0.1 | 19.1 | 21.5 | 17.0 | 13.9 | 8.5 | 8.1 | 4.0 | 4.1 | 1.5 | N/A | N/A | 2.3
Tietoykkönen | Iltalehti and Uusi Suomi | 2018-11-14 | 2018-11-23 | N | 1164 | N/A | 0.1 | 19.8 | 21.4 | 15.1 | 13.6 | 9.3 | 8.4 | 4.5 | 3.7 | 2.2 | N/A | N/A | 2.0
Kantar TNS | Helsingin Sanomat | 2018-10-15 | 2018-11-12 | N | 2314 | N/A | 0.1 | 19.7 | 22.4 | 15.4 | 12.5 | 9.7 | 8.7 | 4.4 | 4.0 | 1.2 | N/A | N/A | 2.0
Taloustutkimus | Yle | 2018-10-03 | 2018-11-06 | N | 2024 | N/A | 0.1 | 20.2 | 22.7 | 16.5 | 11.3 | 9.2 | 9.8 | 4.3 | 3.5 | 1.1 | N/A | N/A | 1.4
Tietoykkönen | Iltalehti and Uusi Suomi | 2018-10-12 | 2018-10-30 | N | 1107 | N/A | 0.1 | 19.9 | 22.0 | 15.2 | 12.9 | 9.5 | 7.7 | 4.2 | 3.8 | 2.3 | N/A | N/A | 2.5
Kantar TNS | Helsingin Sanomat | 2018-09-17 | 2018-10-11 | N | 2386 | N/A | 0.1 | 19.6 | 22.0 | 15.7 | 12.0 | 9.8 | 9.1 | 4.4 | 3.8 | 1.4 | N/A | N/A | 2.2
Taloustutkimus | Yle | 2018-09-10 | 2018-10-02 | N | 1394 | N/A | 0.1 | 18.9 | 22.6 | 17.6 | 11.6 | 9.8 | 9.3 | 3.7 | 4.1 | 1.1 | N/A | N/A | 1.3
Tietoykkönen | Iltalehti and Uusi Suomi | 2018-09-14 | 2018-09-27 | N | 1052 | N/A | 0.1 | 19.9 | 22.2 | 15.1 | 12.3 | 9.5 | 7.9 | 4.3 | 3.9 | 2.5 | N/A | N/A | 2.4
Kantar TNS | Helsingin Sanomat | 2018-08-20 | 2018-09-14 | N | 1595 | N/A | 0.1 | 19.7 | 21.4 | 15.5 | 12.9 | 9.6 | 8.7 | 4.5 | 3.9 | 1.6 | N/A | N/A | 2.2
Taloustutkimus | Yle | 2018-08-13 | 2018-09-04 | N | 1460 | N/A | 0.1 | 19.0 | 20.3 | 17.8 | 12.6 | 9.1 | 9.4 | 4.3 | 3.5 | 1.6 | N/A | N/A | 2.4
Tietoykkönen | Iltalehti and Uusi Suomi | 2018-08-13 | 2018-08-25 | N | 1157 | N/A | 0.1 | 19.8 | 21.9 | 15.5 | 13.1 | 9.1 | 8.0 | 4.2 | 3.7 | 2.1 | N/A | N/A | 2.6
Kantar TNS | Helsingin Sanomat | 2018-07-16 | 2018-08-16 | N | 1544 | N/A | 0.1 | 20.2 | 21.7 | 15.5 | 13.7 | 9.6 | 7.9 | 4.3 | 4.1 | 1.2 | N/A | N/A | 2.0
Taloustutkimus | Yle | 2018-07-09 | 2018-08-07 | N | 2452 | N/A | 0.1 | 19.8 | 21.2 | 17.8 | 13.6 | 7.7 | 8.7 | 4.3 | 3.8 | 0.8 | N/A | N/A | 2.3
Kantar TNS | Helsingin Sanomat | 2018-06-11 | 2018-07-12 | N | 2516 | N/A | 0.1 | 20.2 | 22.1 | 15.3 | 13.2 | 9.6 | 7.8 | 4.3 | 4.2 | 1.3 | N/A | N/A | 2.0
Taloustutkimus | Yle | 2018-06-06 | 2018-07-03 | N | 2440 | N/A | 0.1 | 19.7 | 20.3 | 16.6 | 13.9 | 8.6 | 10.3 | 3.3 | 3.6 | 1.1 | N/A | N/A | 2.6
Tietoykkönen | Iltalehti and Uusi Suomi | 2018-06-06 | 2018-06-26 | N | 1145 | N/A | 0.1 | 19.7 | 20.2 | 15.9 | 13.9 | 9.4 | 7.8 | 4.6 | 3.9 | 2.6 | N/A | N/A | 2.0
Kantar TNS | Helsingin Sanomat | 2018-05-14 | 2018-06-10 | N | 2412 | N/A | 0.1 | 19.7 | 21.6 | 15.8 | 13.5 | 9.2 | 8.0 | 4.5 | 3.9 | 1.7 | N/A | N/A | 2.1
Taloustutkimus | Yle | 2018-05-02 | 2018-06-05 | N | 3394 | N/A | 0.1 | 19.3 | 20.0 | 17.6 | 14.4 | 8.9 | 8.3 | 3.9 | 3.4 | 1.7 | N/A | N/A | 2.5
Tietoykkönen | Iltalehti and Uusi Suomi | 2018-05-18 | 2018-05-31 | N | 1152 | N/A | 0.1 | 19.5 | 21.2 | 15.1 | 13.1 | 9.0 | 7.9 | 4.8 | 4.3 | 2.5 | N/A | N/A | 2.6
Kantar TNS | Helsingin Sanomat | 2018-04-16 | 2018-05-11 | N | 2431 | N/A | 0.1 | 20.5 | 21.2 | 15.7 | 14.2 | 8.7 | 7.7 | 4.4 | 3.8 | 1.7 | N/A | N/A | 2.1
Tietoykkönen | Iltalehti and Uusi Suomi | 2018-04-19 | 2018-05-02 | N | 1138 | N/A | 0.1 | 19.5 | 21.8 | 15.9 | 13.2 | 8.7 | 8.0 | 4.6 | 4.0 | 2.1 | N/A | N/A | 2.2
Taloustutkimus | Yle | 2018-04-03 | 2018-04-26 | N | 1603 | N/A | 0.1 | 20.2 | 20.0 | 17.0 | 14.9 | 9.1 | 8.5 | 3.7 | 3.3 | 1.5 | N/A | N/A | 1.8
Kantar TNS | Helsingin Sanomat | 2018-03-19 | 2018-04-12 | N | 2428 | N/A | 0.1 | 20.6 | 21.4 | 15.7 | 14.0 | 8.9 | 8.1 | 4.2 | 3.5 | 1.6 | N/A | N/A | 2.0
Taloustutkimus | Yle | 2018-03-01 | 2018-03-27 | N | 1603 | N/A | 0.1 | 21.5 | 20.2 | 16.3 | 14.2 | 9.0 | 9.2 | 3.5 | 3.3 | 1.5 | N/A | N/A | 1.3
Tietoykkönen | Iltalehti and Uusi Suomi | 2018-03-16 | 2018-03-26 | N | 1148 | N/A | 0.1 | 19.9 | 21.0 | 16.1 | 13.3 | 8.7 | 8.2 | 4.4 | 3.9 | 2.0 | N/A | N/A | 2.5
Kantar TNS | Helsingin Sanomat | 2018-02-19 | 2018-03-15 | N | 2438 | N/A | 0.1 | 21.1 | 20.8 | 15.9 | 14.5 | 8.5 | 8.5 | 4.1 | 3.2 | 1.4 | N/A | N/A | 2.0
Taloustutkimus | Yle | 2018-02-07 | 2018-02-28 | N | 1655 | N/A | 0.1 | 20.1 | 21.0 | 17.0 | 14.5 | 8.9 | 8.5 | 2.9 | 3.3 | 1.6 | N/A | N/A | 2.3
Tietoykkönen | Iltalehti and Uusi Suomi | 2018-02-14 | 2018-02-26 | N | 1142 | N/A | 0.1 | 20.5 | 19.6 | 15.5 | 13.6 | 8.8 | 8.7 | 4.8 | 3.9 | 2.3 | N/A | N/A | 2.3
Kantar TNS | Helsingin Sanomat | 2018-01-22 | 2018-02-15 | N | 2386 | N/A | 0.1 | 21.7 | 19.0 | 16.3 | 14.4 | 9.1 | 8.6 | 4.2 | 3.4 | 1.3 | N/A | N/A | 2.0
Taloustutkimus | Yle | 2017-12-28 | 2018-02-06 | N | 2748 | N/A | 0.1 | 20.8 | 18.7 | 17.4 | 14.0 | 8.1 | 9.6 | 4.6 | 3.2 | 1.6 | N/A | N/A | 2.0
Tietoykkönen | Iltalehti and Uusi Suomi | 2018-01-19 | 2018-01-29 | N | 1208 | N/A | 0.1 | 20.9 | 19.2 | 15.4 | 14.5 | 8.6 | 8.2 | 4.6 | 3.9 | 2.7 | N/A | N/A | 2.0
Kantar TNS | Helsingin Sanomat | 2017-12-12 | 2018-01-18 | N | 2416 | N/A | 0.1 | 21.9 | 19.0 | 15.6 | 15.5 | 8.8 | 8.1 | 4.4 | 3.4 | 1.5 | N/A | N/A | 1.8
