Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | A | V | O | Ø | B | I | Å | F | C | K | D | E | P | G | M | Q | Æ | Other
Voxmeter | N/A | 2022-12-28 | 2022-12-04 | N | 1017 | N/A | 0.1 | 29.3 | 14.7 | 2.3 | 6.1 | 3.6 | 9.4 | 2.6 | 8.5 | 4.7 | N/A | 3.3 | N/A | N/A | N/A | 6.9 | 0.4 | 8.0 | 0.2
Gallup | Berlingske | 2022-11-25 | 2022-12-01 | N | 1561 | N/A | 0.1 | 27.9 | 14.2 | 2.9 | 5.9 | 3.3 | 9.0 | 3.2 | 8.8 | 4.8 | N/A | 3.7 | N/A | N/A | N/A | 8.1 | 0.3 | 7.5 | 0.4
Voxmeter | N/A | 2022-11-21 | 2022-11-27 | N | 1004 | N/A | 0.1 | 28.0 | 13.1 | 2.7 | 5.7 | 3.7 | 8.9 | 3.1 | 9.3 | 5.5 | N/A | 3.5 | N/A | N/A | N/A | 8.4 | 0.3 | 7.6 | 0.2
Voxmeter | N/A | 2022-11-07 | 2022-11-13 | N | 1000 | N/A | 0.1 | 30.0 | 12.8 | 2.5 | 5.7 | 4.5 | 8.4 | 2.6 | 8.8 | 4.1 | N/A | 3.7 | N/A | N/A | N/A | 8.2 | N/A | 8.1 | N/A
Voxmeter | N/A | 2022-10-31 | 2022-10-31 | N | 4577 | N/A | 0.1 | 24.2 | 14.0 | 2.9 | 6.5 | 4.4 | 7.7 | 3.6 | 9.7 | 6.1 | 0.7 | 4.1 | N/A | N/A | N/A | 8.5 | 0.7 | 6.9 | 0.0
Gallup | Berlingske | 2022-10-31 | 2022-10-31 | N | 4483 | N/A | 0.1 | 26.2 | 13.7 | 2.9 | 6.3 | 4.4 | 7.3 | 3.2 | 8.7 | 6.0 | 0.9 | 4.3 | N/A | N/A | N/A | 8.8 | 0.3 | 7.0 | N/A
Yougov | N/A | 2022-10-27 | 2022-10-31 | N | 1336 | N/A | 0.1 | 27.6 | 12.9 | 2.8 | 6.3 | 3.2 | 6.9 | 1.9 | 8.5 | 6.5 | 0.2 | 4.3 | N/A | N/A | N/A | 8.0 | 0.9 | 10.1 | N/A
Epinion | DR | 2022-10-27 | 2022-10-27 | N | 1014 | N/A | 0.1 | 24.4 | 13.3 | 2.4 | 6.3 | 4.7 | 8.6 | 2.3 | 8.7 | 5.8 | 0.4 | 5.2 | N/A | N/A | N/A | 8.3 | 0.7 | 8.6 | N/A
Voxmeter | N/A | 2022-10-25 | 2022-10-27 | N | 1001 | N/A | 0.1 | 26.2 | 12.5 | 3.0 | 6.0 | 4.1 | 6.8 | 2.2 | 9.8 | 5.9 | 0.2 | 3.7 | N/A | N/A | N/A | 10.0 | 0.8 | 8.8 | N/A
Yougov | N/A | 2022-10-21 | 2022-10-25 | N | 1261 | N/A | 0.1 | 28.6 | 10.4 | 2.6 | 6.7 | 3.6 | 7.1 | 2.3 | 8.3 | 6.5 | 0.5 | 4.3 | N/A | N/A | N/A | 9.6 | 0.7 | 8.5 | N/A
Gallup | Berlingske | 2022-10-24 | 2022-10-24 | N | 1928 | N/A | 0.1 | 24.4 | 13.8 | 2.3 | 8.0 | 3.7 | 8.3 | 2.5 | 9.2 | 6.2 | 0.4 | 3.8 | N/A | N/A | N/A | 8.8 | 0.4 | 8.1 | N/A
Voxmeter | N/A | 2022-10-22 | 2022-10-24 | N | 1004 | N/A | 0.1 | 25.0 | 13.2 | 1.9 | 6.5 | 3.8 | 7.3 | 1.7 | 9.6 | 6.0 | 0.6 | 4.2 | N/A | N/A | N/A | 11.5 | 0.6 | 8.1 | 0.0
Voxmeter | N/A | 2022-10-19 | 2022-10-21 | N | 942 | N/A | 0.1 | 25.7 | 14.2 | 2.4 | 6.8 | 4.7 | 7.5 | 2.2 | 9.1 | 6.7 | 0.5 | 3.8 | N/A | N/A | N/A | 8.8 | 0.5 | 6.8 | 0.3
Epinion | DR | 2022-10-20 | 2022-10-20 | N | 2183 | N/A | 0.1 | 24.3 | 12.7 | 2.4 | 7.1 | 4.3 | 7.0 | 2.2 | 8.0 | 7.0 | 0.6 | 4.9 | N/A | N/A | N/A | 9.8 | 0.8 | 8.6 | N/A
Gallup | Berlingske | 2022-10-18 | 2022-10-18 | N | 1989 | N/A | 0.1 | 27.7 | 14.5 | 2.7 | 6.9 | 4.5 | 6.7 | 1.5 | 8.9 | 7.1 | 0.7 | 4.8 | N/A | N/A | N/A | 7.3 | 0.7 | 5.9 | N/A
Voxmeter | N/A | 2022-10-16 | 2022-10-18 | N | 1008 | N/A | 0.1 | 25.0 | 14.7 | 1.8 | 7.4 | 5.3 | 5.7 | 1.6 | 9.1 | 7.7 | 0.6 | 3.9 | N/A | N/A | N/A | 9.2 | 0.5 | 7.4 | 0.1
Yougov | N/A | 2022-10-15 | 2022-10-18 | N | 1343 | N/A | 0.1 | 30.3 | 10.6 | 2.8 | 5.3 | 3.1 | 6.8 | 2.3 | 7.2 | 8.0 | 0.5 | 5.1 | N/A | N/A | N/A | 7.9 | 1.6 | 8.3 | N/A
Voxmeter | N/A | 2022-10-13 | 2022-10-15 | N | 1019 | N/A | 0.1 | 26.1 | 14.4 | 2.6 | 6.6 | 4.8 | 6.1 | 1.9 | 8.7 | 8.9 | 0.9 | 4.5 | N/A | N/A | N/A | 6.1 | 0.4 | 7.9 | 0.1
Epinion | DR | 2022-10-13 | 2022-10-13 | N | 2645 | N/A | 0.1 | 25.9 | 12.9 | 2.3 | 6.5 | 4.9 | 5.8 | 2.4 | 8.3 | 8.6 | 0.4 | 5.9 | N/A | N/A | N/A | 6.9 | 0.7 | 8.0 | N/A
Gallup | Berlingske | 2022-10-12 | 2022-10-12 | N | 1995 | N/A | 0.1 | 27.4 | 12.9 | 3.1 | 6.1 | 5.1 | 5.5 | 1.6 | 8.5 | 9.9 | 1.4 | 4.5 | N/A | N/A | N/A | 5.5 | 0.5 | 8.0 | N/A
Voxmeter | N/A | 2022-10-10 | 2022-10-12 | N | 1019 | N/A | 0.1 | 27.5 | 14.3 | 2.4 | 7.2 | 4.2 | 5.0 | 2.4 | 7.9 | 8.9 | 0.7 | 3.9 | N/A | N/A | N/A | 6.1 | 0.8 | 8.7 | 0.0
Yougov | N/A | 2022-10-11 | 2022-10-11 | N | 1271 | N/A | 0.1 | 30.6 | 10.5 | 3.4 | 5.1 | 4.3 | 5.5 | 1.7 | 8.1 | 10.4 | 0.1 | 4.4 | N/A | N/A | N/A | 4.4 | 0.6 | 10.6 | N/A
Voxmeter | N/A | 2022-10-07 | 2022-10-09 | N | 1015 | N/A | 0.1 | 27.1 | 13.8 | 2.3 | 6.7 | 5.0 | 5.3 | 2.0 | 8.7 | 9.8 | 0.6 | 4.9 | N/A | N/A | N/A | 4.1 | 0.6 | 9.0 | 0.1
Yougov | N/A | 2022-10-07 | 2022-10-07 | N | 1010 | N/A | 0.1 | 29.3 | 9.5 | 2.9 | 8.2 | 3.5 | 4.4 | 1.0 | 8.0 | 10.8 | 0.1 | 5.3 | N/A | N/A | N/A | 5.2 | 0.6 | 11.2 | N/A
Gallup | Berlingske | 2022-10-06 | 2022-10-06 | N | 1726 | N/A | 0.1 | 26.7 | 13.2 | 2.1 | 6.6 | 3.8 | 4.4 | 1.6 | 8.9 | 11.2 | 0.5 | 3.6 | N/A | N/A | N/A | 6.1 | 0.5 | 10.7 | N/A
Voxmeter | N/A | 2022-10-03 | 2022-10-06 | N | 1094 | N/A | 0.1 | 27.5 | 14.6 | 1.7 | 7.1 | 5.4 | 5.6 | 1.2 | 8.3 | 11.4 | 0.8 | 4.7 | N/A | N/A | N/A | 3.3 | 0.3 | 7.9 | 0.1
Epinion | DR | 2022-10-05 | 2022-10-05 | N | 1911 | N/A | 0.1 | 27.3 | 12.7 | 1.8 | 6.7 | 4.9 | 4.1 | 1.3 | 8.1 | 11.2 | 0.4 | 6.3 | N/A | N/A | N/A | 3.7 | 0.7 | 10.3 | N/A
Gallup | Berlingske | 2022-10-02 | 2022-10-02 | N | 1607 | N/A | 0.1 | 24.4 | 11.9 | 1.9 | 8.7 | 6.8 | 4.0 | 1.2 | 7.9 | 12.3 | 1.3 | 6.0 | N/A | N/A | N/A | 3.4 | 0.3 | 9.8 | N/A
Voxmeter | N/A | 2022-09-26 | 2022-10-02 | N | 1001 | N/A | 0.1 | 25.3 | 15.5 | 3.3 | 8.0 | 6.0 | 4.2 | 1.5 | 8.8 | 11.0 | 0.7 | 4.7 | N/A | N/A | N/A | 2.2 | 0.4 | 8.4 | 0.1
Voxmeter | N/A | 2022-09-19 | 2022-09-25 | N | 1004 | N/A | 0.1 | 25.1 | 14.1 | 2.5 | 7.3 | 6.5 | 4.6 | 1.1 | 8.3 | 11.6 | 1.2 | 5.1 | N/A | N/A | 0.3 | 2.4 | 0.6 | 9.1 | 0.2
Epinion | DR | 2022-09-13 | 2022-09-20 | N | 2270 | N/A | 0.1 | 25.4 | 11.9 | 1.9 | 8.1 | 4.6 | 5.3 | 0.9 | 7.6 | 13.4 | 0.3 | 4.6 | N/A | N/A | 0.3 | 3.3 | 1.0 | 10.8 | 0.6
Voxmeter | N/A | 2022-09-12 | 2022-09-18 | N | 1001 | N/A | 0.1 | 24.2 | 13.9 | 2.1 | 8.3 | 6.3 | 4.3 | 0.8 | 8.4 | 13.6 | 1.3 | 4.8 | N/A | N/A | 0.3 | 1.8 | 0.4 | 9.3 | 0.2
Voxmeter | N/A | 2022-09-05 | 2022-09-11 | N | 1003 | N/A | 0.1 | 23.3 | 13.8 | 2.9 | 7.7 | 6.0 | 3.6 | 1.4 | 9.1 | 15.1 | 0.5 | 4.9 | N/A | N/A | 0.1 | 2.1 | 0.5 | 9.0 | 0.0
Voxmeter | N/A | 2022-08-29 | 2022-09-04 | N | 1002 | N/A | 0.1 | 24.7 | 12.5 | 3.3 | 7.2 | 6.4 | 3.4 | 1.6 | 8.0 | 16.2 | 1.0 | 4.3 | N/A | N/A | 0.1 | 1.7 | 0.3 | 9.3 | 0.1
Gallup | Berlingske | 2022-09-02 | 2022-09-02 | N | 1000 | N/A | 0.1 | 23.1 | 12.2 | 2.4 | 8.3 | 6.4 | 3.5 | 0.5 | 8.8 | 14.1 | 1.4 | 4.2 | N/A | N/A | 0.4 | 3.3 | 0.7 | 10.2 | N/A
Voxmeter | N/A | 2022-08-22 | 2022-08-28 | N | 1001 | N/A | 0.1 | 25.2 | 11.8 | 3.4 | 8.1 | 5.7 | 4.0 | 1.4 | 7.8 | 16.4 | 0.4 | 3.7 | N/A | N/A | 0.2 | 2.3 | 0.4 | 8.9 | 0.3
Epinion | DR | 2022-08-16 | 2022-08-24 | N | 2256 | N/A | 0.1 | 23.3 | 11.3 | 2.2 | 7.3 | 5.5 | 3.1 | 1.1 | 8.7 | 16.7 | 0.7 | 4.1 | N/A | N/A | 0.3 | 2.8 | 0.5 | 11.8 | N/A
Voxmeter | N/A | 2022-08-15 | 2022-08-21 | N | 1068 | N/A | 0.1 | 25.1 | 11.0 | 3.2 | 7.5 | 5.6 | 4.9 | 1.2 | 7.6 | 16.5 | 0.6 | 4.3 | N/A | N/A | 0.3 | 1.9 | 0.5 | 9.3 | 0.5
Voxmeter | N/A | 2022-08-08 | 2022-08-14 | N | 1051 | N/A | 0.1 | 23.9 | 13.4 | 2.5 | 8.1 | 6.3 | 4.3 | 0.5 | 8.5 | 13.3 | 1.0 | 5.8 | N/A | N/A | 0.1 | 2.2 | 0.2 | 9.7 | 0.2
Yougov | N/A | 2022-08-07 | 2022-08-07 | N | 1242 | N/A | 0.1 | 26.1 | 10.0 | 3.1 | 6.9 | 5.2 | 3.2 | 1.0 | 7.2 | 13.9 | 0.3 | 5.2 | N/A | N/A | 0.8 | 4.6 | 0.6 | 11.9 | N/A
Voxmeter | N/A | 2022-08-01 | 2022-08-06 | N | 1001 | N/A | 0.1 | 22.9 | 15.2 | 2.8 | 7.4 | 7.2 | 3.2 | 1.2 | 8.3 | 12.5 | 0.4 | 4.7 | N/A | N/A | 0.2 | 1.9 | 0.3 | 11.2 | 0.6
Gallup | Berlingske | 2022-08-05 | 2022-08-05 | N | 1577 | N/A | 0.1 | 23.5 | 13.2 | 1.8 | 6.1 | 6.9 | 4.1 | 0.3 | 9.3 | 11.8 | 1.7 | 6.0 | N/A | N/A | 0.2 | 4.1 | 0.3 | 10.2 | N/A
Epinion | DR | 2022-07-21 | 2022-07-28 | N | 1833 | N/A | 0.1 | 24.2 | 14.2 | 2.1 | 7.3 | 5.8 | 3.8 | 1.3 | 8.1 | 11.5 | 1.0 | 4.4 | N/A | N/A | 0.4 | 3.1 | 0.8 | 10.8 | 0.7
Voxmeter | N/A | 2022-06-27 | 2022-07-03 | N | 1003 | N/A | 0.1 | 25.8 | 13.6 | 2.2 | 7.6 | 6.9 | 3.0 | 1.5 | 9.1 | 12.3 | 0.8 | 4.3 | N/A | N/A | 0.0 | 2.2 | 0.8 | N/A | 10.1
Voxmeter | N/A | 2022-06-20 | 2022-06-26 | N | 1002 | N/A | 0.1 | 26.3 | 15.2 | 4.3 | 7.9 | 7.5 | 3.2 | 1.4 | 8.3 | 13.0 | 0.3 | 5.8 | N/A | N/A | 0.5 | 2.1 | 0.6 | N/A | 3.6
Voxmeter | N/A | 2022-06-13 | 2022-06-19 | N | 1049 | N/A | 0.1 | 26.5 | 17.4 | 4.2 | 7.5 | 6.5 | 3.8 | 0.7 | 8.0 | 14.2 | 0.7 | 6.2 | N/A | N/A | 0.0 | 3.1 | 0.8 | N/A | 0.4
Gallup | Berlingske | 2022-06-14 | 2022-06-14 | N | 1544 | N/A | 0.1 | 25.4 | 14.6 | 5.3 | 7.8 | 6.3 | 3.6 | 1.0 | 9.8 | 13.8 | 1.4 | 6.1 | N/A | N/A | 0.3 | 3.6 | 0.5 | N/A | 0.5
Voxmeter | N/A | 2022-06-06 | 2022-06-12 | N | 1032 | N/A | 0.1 | 26.4 | 17.7 | 5.6 | 6.5 | 7.1 | 3.5 | 1.2 | 8.6 | 12.9 | 0.7 | 5.3 | N/A | N/A | 0.1 | 3.7 | 0.3 | N/A | 0.4
Voxmeter | N/A | 2022-05-30 | 2022-06-05 | N | 1002 | N/A | 0.1 | 26.3 | 17.2 | 4.9 | 7.3 | 7.2 | 4.4 | 0.8 | 9.4 | 13.6 | 0.9 | 5.8 | N/A | N/A | 0.0 | 1.5 | 0.3 | N/A | 0.4
Voxmeter | N/A | 2022-05-23 | 2022-05-29 | N | 1001 | N/A | 0.1 | 24.9 | 16.1 | 4.0 | 7.7 | 7.1 | 3.6 | 1.3 | 9.5 | 14.9 | 0.7 | 6.9 | N/A | N/A | 0.2 | 1.4 | 0.7 | N/A | 1.0
Epinion | DR | 2022-05-22 | 2022-05-29 | N | 2096 | N/A | 0.1 | 27.2 | 15.7 | 5.3 | 6.5 | 6.1 | 3.9 | 1.0 | 8.4 | 13.0 | 0.6 | 7.0 | N/A | N/A | 0.5 | 1.9 | 1.6 | N/A | 1.3
Voxmeter | N/A | 2022-05-16 | 2022-05-22 | N | 1003 | N/A | 0.1 | 25.6 | 17.2 | 4.3 | 8.3 | 7.3 | 3.8 | 1.0 | 8.9 | 13.3 | 1.5 | 7.0 | N/A | N/A | 0.0 | 1.5 | 0.3 | N/A | 0.2
Epinion | DR | 2022-05-11 | 2022-05-18 | N | 1973 | N/A | 0.1 | 25.5 | 15.9 | 5.2 | 6.9 | 6.5 | 4.1 | 1.5 | 7.7 | 14.2 | 0.9 | 6.8 | N/A | N/A | 0.4 | 2.4 | 0.8 | N/A | N/A
Voxmeter | N/A | 2022-05-09 | 2022-05-15 | N | 1028 | N/A | 0.1 | 26.2 | 16.3 | 5.1 | 8.7 | 7.6 | 3.1 | 0.8 | 7.9 | 14.2 | 1.3 | 5.8 | N/A | N/A | 0.2 | 1.9 | 0.6 | N/A | 0.3
Voxmeter | N/A | 2022-05-02 | 2022-05-08 | N | 1021 | N/A | 0.1 | 27.4 | 16.4 | 5.7 | 8.0 | 6.5 | 3.4 | 0.6 | 7.7 | 14.5 | 1.7 | 4.9 | N/A | N/A | 0.1 | 2.1 | 0.5 | N/A | 0.6
Gallup | Berlingske | 2022-04-29 | 2022-05-05 | N | 1415 | N/A | 0.1 | 25.7 | 15.1 | 5.5 | 8.0 | 6.3 | 3.2 | 0.9 | 9.0 | 15.2 | 1.7 | 5.3 | N/A | N/A | 0.3 | 3.0 | 0.7 | N/A | 0.1
Voxmeter | N/A | 2022-04-25 | 2022-05-01 | N | 1067 | N/A | 0.1 | 28.9 | 15.6 | 4.4 | 7.7 | 7.1 | 4.0 | 1.0 | 7.9 | 13.9 | 0.9 | 5.3 | N/A | N/A | 0.1 | 2.1 | 0.2 | N/A | 0.9
Epinion | DR | 2022-04-20 | 2022-04-27 | N | 1676 | N/A | 0.1 | 27.7 | 12.3 | 5.0 | 6.9 | 6.5 | 3.8 | 1.2 | 8.4 | 14.9 | 2.4 | 6.7 | N/A | N/A | 0.6 | 2.4 | 0.6 | N/A | N/A
Voxmeter | N/A | 2022-04-18 | 2022-04-24 | N | 1002 | N/A | 0.1 | 27.9 | 15.6 | 5.2 | 7.2 | 8.2 | 3.1 | 1.2 | 8.6 | 13.8 | 1.3 | 5.7 | N/A | N/A | 0.0 | 1.4 | 0.4 | N/A | 0.4
YouGov | B.T. | 2022-04-08 | 2022-04-11 | N | 1241 | N/A | 0.1 | 29.2 | 11.1 | 4.5 | 6.3 | 3.2 | 3.1 | 0.5 | 8.1 | 17.2 | 1.1 | 9.4 | N/A | N/A | 0.8 | 4.8 | 1.0 | N/A | N/A
Voxmeter | N/A | 2022-04-04 | 2022-04-09 | N | 1001 | N/A | 0.1 | 26.0 | 16.2 | 6.1 | 7.5 | 7.5 | 2.4 | 1.3 | 9.0 | 13.5 | 1.3 | 6.1 | N/A | N/A | 0.1 | 2.2 | 0.2 | N/A | 0.6
Gallup | Berlingske | 2022-04-04 | 2022-04-04 | N | N/A | N/A | 0.1 | 26.7 | 13.4 | 4.9 | 7.6 | 6.2 | 3.0 | 0.5 | 8.5 | 15.4 | 1.6 | 6.7 | N/A | N/A | 0.4 | 3.6 | 0.9 | N/A | 0.6
Voxmeter | N/A | 2022-03-28 | 2022-04-03 | N | 1007 | N/A | 0.1 | 26.0 | 15.4 | 5.7 | 7.6 | 6.7 | 2.9 | 1.2 | 9.4 | 14.5 | 1.6 | 5.5 | N/A | N/A | 0.1 | 2.3 | 0.5 | N/A | 0.6
Voxmeter | N/A | 2022-03-21 | 2022-03-27 | N | 1005 | N/A | 0.1 | 27.6 | 14.3 | 5.2 | 8.8 | 6.8 | 2.2 | 0.8 | 8.6 | 15.2 | 1.2 | 4.6 | N/A | N/A | 0.1 | 3.2 | 0.5 | N/A | 0.9
Voxmeter | N/A | 2022-03-14 | 2022-03-20 | N | 1003 | N/A | 0.1 | 26.5 | 15.1 | 4.4 | 8.5 | 7.4 | 2.6 | 0.7 | 9.5 | 15.9 | 1.3 | 5.1 | N/A | N/A | 0.1 | 1.8 | 0.2 | N/A | 0.9
Epinion | DR | 2022-03-08 | 2022-03-15 | N | 2024 | N/A | 0.1 | 28.0 | 15.3 | 5.0 | 6.8 | 6.5 | 2.6 | 1.4 | 8.0 | 14.3 | 1.2 | 7.1 | N/A | N/A | 0.5 | 1.9 | 0.7 | N/A | N/A
Voxmeter | N/A | 2022-03-07 | 2022-03-12 | N | 1007 | N/A | 0.1 | 27.0 | 14.0 | 5.3 | 7.6 | 6.6 | 3.0 | 1.7 | 8.9 | 15.1 | 1.3 | 5.7 | N/A | N/A | 0.3 | 2.2 | 0.0 | N/A | 1.3
YouGov | B.T. | 2022-03-04 | 2022-03-07 | N | 1248 | N/A | 0.1 | 30.5 | 8.7 | 5.0 | 7.9 | 5.5 | 2.4 | 0.6 | 7.1 | 16.7 | 0.9 | 9.1 | N/A | N/A | 0.6 | 4.8 | 0.3 | N/A | N/A
Voxmeter | N/A | 2022-02-21 | 2022-02-27 | N | 1004 | N/A | 0.1 | 26.5 | 14.5 | 4.3 | 8.9 | 7.7 | 3.1 | 1.3 | 8.2 | 16.8 | 0.9 | 5.6 | N/A | N/A | 0.0 | N/A | 0.3 | N/A | 1.9
Voxmeter | N/A | 2022-02-14 | 2022-02-20 | N | 1007 | N/A | 0.1 | 25.2 | 15.0 | 6.1 | 9.4 | 7.3 | 3.5 | 1.5 | 8.7 | 16.0 | 1.1 | 4.7 | N/A | N/A | 0.0 | N/A | 0.0 | N/A | 1.5
Epinion | DR | 2022-02-09 | 2022-02-16 | N | 2081 | N/A | 0.1 | 24.8 | 13.0 | 6.3 | 7.8 | 6.8 | 2.5 | 0.6 | 8.2 | 16.8 | 1.5 | 8.2 | N/A | N/A | 0.4 | N/A | 0.9 | N/A | 2.2
Voxmeter | N/A | 2022-02-07 | 2022-02-12 | N | 1003 | N/A | 0.1 | 24.9 | 14.1 | 5.6 | 9.5 | 6.9 | 3.1 | 1.4 | 8.9 | 16.6 | 1.5 | 5.0 | N/A | N/A | 0.0 | N/A | 0.2 | N/A | 2.4
YouGov | B.T. | 2022-02-04 | 2022-02-06 | N | 1245 | N/A | 0.1 | 28.2 | 9.6 | 5.3 | 6.8 | 5.0 | 2.4 | 0.8 | 7.9 | 17.4 | 1.0 | 9.5 | N/A | N/A | 1.4 | 4.5 | 0.3 | N/A | N/A
Voxmeter | N/A | 2022-01-31 | 2022-02-06 | N | 1024 | N/A | 0.1 | 24.0 | 14.8 | 6.2 | 9.1 | 7.2 | 2.8 | 0.9 | 9.2 | 16.1 | 1.8 | 5.4 | N/A | N/A | 0.2 | N/A | 0.2 | N/A | 2.1
Gallup | Berlingske | 2022-01-26 | 2022-02-03 | N | 1652 | N/A | 0.1 | 27.5 | 13.8 | 6.0 | 9.8 | 5.8 | 2.1 | 0.6 | 8.1 | 15.3 | 1.5 | 5.6 | N/A | N/A | 0.1 | 2.5 | 0.5 | N/A | 0.8
Voxmeter | N/A | 2022-01-24 | 2022-01-30 | N | 1015 | N/A | 0.1 | 24.9 | 14.2 | 7.1 | 8.3 | 7.7 | 2.1 | 0.9 | 8.6 | 16.4 | 1.7 | 6.0 | N/A | N/A | 0.0 | N/A | 0.0 | N/A | 2.1
Voxmeter | N/A | 2022-01-17 | 2022-01-23 | N | 1008 | N/A | 0.1 | 26.8 | 14.4 | 5.5 | 9.4 | 6.9 | 2.9 | 0.8 | 8.0 | 15.5 | 1.2 | 6.8 | N/A | N/A | 0.0 | N/A | 0.1 | N/A | 1.7
Voxmeter | N/A | 2022-01-10 | 2022-01-16 | N | 1003 | N/A | 0.1 | 25.8 | 15.1 | 5.3 | 9.3 | 7.5 | 3.3 | 1.1 | 8.5 | 14.6 | 1.4 | 5.9 | N/A | N/A | 0.0 | N/A | 0.3 | N/A | 1.9
YouGov | B.T. | 2022-01-07 | 2022-01-10 | N | 1256 | N/A | 0.1 | 28.6 | 11.0 | 6.5 | 7.8 | 5.7 | 2.6 | 0.5 | 6.9 | 17.8 | 1.2 | 8.2 | N/A | N/A | 0.5 | 2.4 | 0.5 | N/A | N/A
Voxmeter | N/A | 2022-01-03 | 2022-01-08 | N | 1002 | N/A | 0.1 | 25.1 | 16.5 | 6.2 | 8.9 | 7.2 | 2.5 | 1.2 | 8.6 | 15.0 | 1.8 | 6.0 | N/A | N/A | 0.0 | N/A | 0.1 | N/A | 0.9
Voxmeter | N/A | 2021-12-20 | 2021-12-23 | N | 1013 | N/A | 0.1 | 26.3 | 15.2 | 6.9 | 9.1 | 6.5 | 2.6 | 1.3 | 8.6 | 14.5 | 1.6 | 6.4 | N/A | N/A | 0.0 | N/A | 0.2 | N/A | 0.8
Voxmeter | N/A | 2021-12-13 | 2021-12-19 | N | 1000 | N/A | 0.1 | 25.9 | 15.4 | 6.9 | 10.0 | 7.0 | 1.9 | 0.8 | 8.8 | 15.5 | 1.5 | 5.5 | N/A | N/A | 0.1 | N/A | 0.0 | N/A | 0.7
Voxmeter | N/A | 2021-12-06 | 2021-12-11 | N | 1150 | N/A | 0.1 | 24.3 | 15.8 | 6.3 | 9.6 | 6.0 | 2.5 | 1.4 | 9.1 | 16.3 | 2.1 | 5.6 | N/A | N/A | 0.1 | N/A | 0.1 | N/A | 0.8
Gallup | N/A | 2021-12-03 | 2021-12-09 | N | 1619 | N/A | 0.1 | 26.7 | 15.2 | 5.3 | 9.4 | 5.4 | 3.6 | 0.6 | 7.3 | 16.4 | 1.7 | 6.0 | N/A | N/A | 0.2 | 1.7 | 0.2 | N/A | 0.3
Epinion | DR | 2021-11-30 | 2021-12-08 | N | 1717 | N/A | 0.1 | 26.3 | 14.6 | 4.8 | 7.8 | 6.5 | 2.8 | 0.8 | 8.9 | 16.0 | 1.9 | 7.5 | N/A | N/A | 0.3 | N/A | 0.6 | N/A | N/A
Voxmeter | N/A | 2021-11-29 | 2021-12-05 | N | 1003 | N/A | 0.1 | 25.7 | 16.4 | 6.6 | 10.3 | 6.4 | 2.4 | 1.1 | 8.4 | 15.1 | 1.6 | 4.9 | N/A | N/A | 0.0 | N/A | 0.0 | N/A | 1.1
Voxmeter | N/A | 2021-11-22 | 2021-11-28 | N | 1005 | N/A | 0.1 | 26.0 | 17.0 | 6.2 | 9.7 | 5.7 | 3.2 | 0.9 | 7.9 | 15.1 | 1.1 | 5.5 | N/A | N/A | 0.2 | N/A | 0.4 | N/A | 1.1
Voxmeter | N/A | 2021-11-15 | 2021-11-21 | N | 1250 | N/A | 0.1 | 25.8 | 17.5 | 5.8 | 8.7 | 5.2 | 3.0 | 1.5 | 8.4 | 14.7 | 1.7 | 6.3 | N/A | N/A | 0.1 | N/A | 0.0 | N/A | 1.3
Voxmeter | N/A | 2021-11-08 | 2021-11-14 | N | 1593 | N/A | 0.1 | 26.5 | 16.3 | 6.4 | 8.9 | 5.3 | 3.5 | 1.1 | 7.8 | 14.3 | 1.7 | 5.7 | N/A | N/A | 0.1 | N/A | 0.2 | N/A | 2.2
Voxmeter | N/A | 2021-11-01 | 2021-11-06 | N | 1006 | N/A | 0.1 | 26.4 | 15.2 | 6.2 | 8.0 | 5.4 | 3.7 | 0.7 | 8.1 | 15.1 | 1.7 | 7.0 | N/A | N/A | 0.0 | N/A | N/A | N/A | 2.6
Gallup | N/A | 2021-10-29 | 2021-11-04 | N | 1589 | N/A | 0.1 | 26.6 | 16.1 | 6.7 | 8.5 | 5.7 | 2.5 | 0.8 | 8.2 | 15.0 | 1.5 | 6.7 | N/A | N/A | 0.0 | 1.6 | N/A | N/A | 0.5
Voxmeter | N/A | 2021-10-25 | 2021-10-31 | N | 1001 | N/A | 0.1 | 26.8 | 14.6 | 6.4 | 8.6 | 5.9 | 3.3 | 0.6 | 7.2 | 15.0 | 1.4 | 7.1 | N/A | N/A | 0.0 | N/A | N/A | N/A | N/A
Voxmeter | N/A | 2021-10-18 | 2021-10-24 | N | 1003 | N/A | 0.1 | 27.1 | 14.3 | 6.9 | 8.1 | 5.3 | 4.2 | 0.6 | 7.8 | 13.9 | 1.2 | 6.6 | N/A | N/A | 0.4 | N/A | N/A | N/A | 3.6
Epinion | N/A | 2021-10-14 | 2021-10-21 | N | 1634 | N/A | 0.1 | 28.0 | 15.9 | 5.9 | 8.0 | 6.0 | 2.9 | 1.4 | 8.0 | 13.5 | 1.5 | 5.8 | N/A | N/A | 0.7 | N/A | N/A | N/A | 2.4
Voxmeter | N/A | 2021-10-11 | 2021-10-17 | N | 1103 | N/A | 0.1 | 27.7 | 13.3 | 6.5 | 8.8 | 5.7 | 4.0 | 0.6 | 8.4 | 12.8 | 1.3 | 7.1 | N/A | N/A | 0.1 | N/A | N/A | N/A | 3.7
